gene	contexts_tested	contexts_with_token_ge_3_cells	support_contexts	strong_support_contexts	opposing_contexts	strong_opposing_contexts	best_context	best_n_nonremission_cells_with_token	best_cosine_shift_z_vs_random	best_projection_minus_random	most_negative_context	most_negative_n_nonremission_cells_with_token	most_negative_cosine_shift_z_vs_random	most_negative_projection_minus_random	supporting_contexts	strong_supporting_contexts	opposing_context_names	strong_opposing_context_names	geneformer_direction_priority_score
CD80	6	3	2	0	1	0	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	3	0.3991072055596009	0.019273864902142022	GSE282122_DC_post_nonremission_to_remission_UC_only	4	-0.3019175453050188	-0.016988540414927734	GSE282122_DC_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only		GSE282122_DC_post_nonremission_to_remission_UC_only		6.25
CD274	6	4	1	0	1	0	GSE282122_Mono_macro_post_nonremission_to_remission	3	0.32991746843081415	0.0032775367487273693	GSE282122_DC_post_nonremission_to_remission	5	-0.0024277502540641497	-0.0009712444042735214	GSE282122_Mono_macro_post_nonremission_to_remission		GSE282122_DC_post_nonremission_to_remission		4.5
FCGR2B	6	4	0	0	2	0	GSE282122_DC_post_nonremission_to_remission	4	0.1768645917963976	-0.03451780030801375	GSE282122_Mono_macro_post_nonremission_to_remission	3	-0.3781688751586819	-0.015263871022681189			GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		4.0
INPP5D	6	1	1	0	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	3	0.44204017497320913	0.007479716349755311	GSE282122_DC_post_nonremission_to_remission_CD_only	3	0.44204017497320913	0.007479716349755311	GSE282122_DC_post_nonremission_to_remission_CD_only				2.25
PTPN6	6	1	1	0	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	6	0.11170169578364084	0.015264933582188354	GSE282122_DC_post_nonremission_to_remission_CD_only	2	-0.5283216831403161	0.002848742787157082	GSE282122_DC_post_nonremission_to_remission_UC_only				2.25
LILRB4	6	1	0	0	1	0	GSE282122_DC_post_nonremission_to_remission_UC_only	1	2.7784685775087596	-0.012616397228298916	GSE282122_Mono_macro_post_nonremission_to_remission	3	-0.32153633650384933	-0.0021379342891224146			GSE282122_Mono_macro_post_nonremission_to_remission		1.75
PTPN11	6	1	0	0	1	0	GSE282122_Mono_macro_post_nonremission_to_remission	1	0.5682610300470993	-0.02682935140393157	GSE282122_DC_post_nonremission_to_remission	3	-0.13705444038343553	-0.0014977981226467008			GSE282122_DC_post_nonremission_to_remission		1.75
BTK	6	2	0	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	2	0.30201800424748787	-0.007160371576901525	GSE282122_DC_post_nonremission_to_remission_UC_only	1	-0.16477686746429326	-0.06289264966940714					0.5
AXL	6	1	0	0	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	2	0.8534747740906484	0.027377178218577887	GSE282122_DC_post_nonremission_to_remission_UC_only	2	-0.6575733142522343	-0.01361832057332827					0.25
LAIR1	6	1	0	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	6	0.36533910756674337	-0.02173531096195802	GSE282122_DC_post_nonremission_to_remission_CD_only	1	-0.46947615889360567	0.02275760776958325					0.25
MERTK	6	0	0	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	1	2.2335929119711304	0.07149042308964353	GSE282122_Mono_macro_post_nonremission_to_remission	1	2.2335929119711304	0.07149042308964353					0.0
GAS6	6	0	0	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	2	1.752695255507842	-0.06768482803664584	GSE282122_DC_post_nonremission_to_remission	2	-0.5145356819822053	-0.014963536395872425					0.0
CD300LF	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	2	0.784182956913811	0.035492419849874245	GSE282122_DC_post_nonremission_to_remission	2	-0.9129826659630687	0.005367281042789627					0.0
SYK	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission	1	0.704743772311171	-0.021296037233615707	GSE282122_DC_post_nonremission_to_remission_UC_only	1	-0.39565853607067003	0.051849454294683205					0.0
CD300A	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	2	0.48301012846137975	0.024958774100782143	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	1	-0.08450069533911143	0.011595982650760561					0.0
PROS1	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission	0			GSE282122_DC_post_nonremission_to_remission	0							0.0
SH2D1B	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission	0			GSE282122_DC_post_nonremission_to_remission	0							0.0
TYRO3	6	0	0	0	0	0	GSE282122_DC_post_nonremission_to_remission	0			GSE282122_DC_post_nonremission_to_remission	0							0.0
