dataset	contrast	contrast_type	case_group	control_group	module	delta_case_minus_control	hedges_g	p	n_case	n_control	statistical_status	note	fdr
GSE325329_ifng_il10_phagocytic_macrophages	IFNg_Tconv_phago_vs_IFNg_nonphago	group	IFNg_Tconv_phago	IFNg_nonphago	generic_ifn	0.016225703988979046	0.1045003746401991	0.8728341700994886	4.0	4.0	welch_t	IFNg-polarized phagocytic vs non-phagocytic macrophages	0.9231899876052283
GSE325329_ifng_il10_phagocytic_macrophages	IFNg_Tconv_phago_vs_IFNg_nonphago	group	IFNg_Tconv_phago	IFNg_nonphago	lipid_lysosomal_apc	-0.040834170042469864	-0.5314709184766948	0.442173532451585	4.0	4.0	welch_t	IFNg-polarized phagocytic vs non-phagocytic macrophages	0.6004825749342513
GSE325329_ifng_il10_phagocytic_macrophages	IFNg_Tconv_phago_vs_IFNg_nonphago	group	IFNg_Tconv_phago	IFNg_nonphago	resolution_efferocytosis	0.04837697696871207	0.3108038362126959	0.6337434911040947	4.0	4.0	welch_t	IFNg-polarized phagocytic vs non-phagocytic macrophages	0.7745753780161156
GSE325329_ifng_il10_phagocytic_macrophages	IFNg_Tconv_phago_vs_IFNg_nonphago	group	IFNg_Tconv_phago	IFNg_nonphago	stress_cytotoxicity	0.3182675232794413	2.4533436840167724	0.026751366613133692	4.0	4.0	welch_t	IFNg-polarized phagocytic vs non-phagocytic macrophages	0.08407572364127731
GSE325329_ifng_il10_phagocytic_macrophages	IFNg_Treg_phago_vs_IFNg_nonphago	group	IFNg_Treg_phago	IFNg_nonphago	fibrosis_profibrotic	-0.21355883327628877	-1.8239693511168316	0.030192742105042827	4.0	4.0	welch_t	IFNg-polarized phagocytic vs non-phagocytic macrophages	0.08976220625823543
GSE325329_ifng_il10_phagocytic_macrophages	IFNg_Treg_phago_vs_IFNg_nonphago	group	IFNg_Treg_phago	IFNg_nonphago	generic_ifn	-0.36274216550319227	-3.5756325821272137	0.0012426159217040027	4.0	4.0	welch_t	IFNg-polarized phagocytic vs non-phagocytic macrophages	0.010514442414418484
GSE325329_ifng_il10_phagocytic_macrophages	IFNg_Treg_phago_vs_IFNg_nonphago	group	IFNg_Treg_phago	IFNg_nonphago	lipid_lysosomal_apc	-0.28033225550480473	-2.557162825115634	0.006076811879808141	4.0	4.0	welch_t	IFNg-polarized phagocytic vs non-phagocytic macrophages	0.02906301333821285
GSE325329_ifng_il10_phagocytic_macrophages	IFNg_Treg_phago_vs_IFNg_nonphago	group	IFNg_Treg_phago	IFNg_nonphago	resolution_efferocytosis	0.144631438618898	1.384540541674814	0.0716122579704213	4.0	4.0	welch_t	IFNg-polarized phagocytic vs non-phagocytic macrophages	0.16760315695204986
GSE325329_ifng_il10_phagocytic_macrophages	IFNg_Treg_phago_vs_IFNg_nonphago	group	IFNg_Treg_phago	IFNg_nonphago	stress_cytotoxicity	0.02290361444721184	0.1709549610860088	0.796675830152934	4.0	4.0	welch_t	IFNg-polarized phagocytic vs non-phagocytic macrophages	0.8763434131682274
GSE325329_ifng_il10_phagocytic_macrophages	IL10_Tconv_phago_vs_IL10_nonphago	group	IL10_Tconv_phago	IL10_nonphago	fibrosis_profibrotic	0.18606639786310653	2.790903488025357	0.00461776407877339	4.0	4.0	welch_t	IL10-polarized phagocytic vs non-phagocytic macrophages	0.024188288031670134
GSE325329_ifng_il10_phagocytic_macrophages	IL10_Tconv_phago_vs_IL10_nonphago	group	IL10_Tconv_phago	IL10_nonphago	generic_ifn	-0.022469718097604674	-0.27762511054251854	0.6742001076568224	4.0	4.0	welch_t	IL10-polarized phagocytic vs non-phagocytic macrophages	0.8061088243722877
GSE325329_ifng_il10_phagocytic_macrophages	IL10_Tconv_phago_vs_IL10_nonphago	group	IL10_Tconv_phago	IL10_nonphago	lipid_lysosomal_apc	0.16691708419059226	8.064150769990274	8.361084454444793e-05	4.0	4.0	welch_t	IL10-polarized phagocytic vs non-phagocytic macrophages	0.0012809562807466913
GSE325329_ifng_il10_phagocytic_macrophages	IL10_Tconv_phago_vs_IL10_nonphago	group	IL10_Tconv_phago	IL10_nonphago	resolution_efferocytosis	0.2016768301740004	2.5962997602029687	0.018568774644830963	4.0	4.0	welch_t	IL10-polarized phagocytic vs non-phagocytic macrophages	0.06885057072227725
GSE325329_ifng_il10_phagocytic_macrophages	IL10_Tconv_phago_vs_IL10_nonphago	group	IL10_Tconv_phago	IL10_nonphago	stress_cytotoxicity	-0.32705867993149507	-2.3168342685348997	0.018777428378802884	4.0	4.0	welch_t	IL10-polarized phagocytic vs non-phagocytic macrophages	0.06885057072227725
GSE325329_ifng_il10_phagocytic_macrophages	IL10_Treg_phago_vs_IL10_nonphago	group	IL10_Treg_phago	IL10_nonphago	fibrosis_profibrotic	-0.7059010304210758	-9.021242356054444	6.708090605666403e-06	4.0	4.0	welch_t	IL10-polarized phagocytic vs non-phagocytic macrophages	0.00036894498331165217
GSE325329_ifng_il10_phagocytic_macrophages	IL10_Treg_phago_vs_IL10_nonphago	group	IL10_Treg_phago	IL10_nonphago	generic_ifn	0.16873338725706333	1.9918888859821438	0.024978699740669987	4.0	4.0	welch_t	IL10-polarized phagocytic vs non-phagocytic macrophages	0.08081344033746173
GSE325329_ifng_il10_phagocytic_macrophages	IL10_Treg_phago_vs_IL10_nonphago	group	IL10_Treg_phago	IL10_nonphago	lipid_lysosomal_apc	0.11938834549896932	4.48175159081462	0.00034530810777260384	4.0	4.0	welch_t	IL10-polarized phagocytic vs non-phagocytic macrophages	0.003453081077726038
GSE325329_ifng_il10_phagocytic_macrophages	IL10_Treg_phago_vs_IL10_nonphago	group	IL10_Treg_phago	IL10_nonphago	resolution_efferocytosis	0.31424811758952836	2.9667646868138298	0.014358509730729914	4.0	4.0	welch_t	IL10-polarized phagocytic vs non-phagocytic macrophages	0.05640843108501038
GSE325329_ifng_il10_phagocytic_macrophages	IL10_Treg_phago_vs_IL10_nonphago	group	IL10_Treg_phago	IL10_nonphago	stress_cytotoxicity	-0.24766761911006738	-4.134570775683117	0.0031857956198078886	4.0	4.0	welch_t	IL10-polarized phagocytic vs non-phagocytic macrophages	0.019468751009937096
GSE100260_human_LIPA_KO_iPSC_macrophages	LIPA_KO_vs_WT	group	LIPA_KO	LIPA_WT	fibrosis_profibrotic	0.769763883499363	0.8188390448768141	0.3242112352419916	3.0	3.0	welch_t	human iPSC macrophage LIPA loss	0.5022990968537897
GSE100260_human_LIPA_KO_iPSC_macrophages	LIPA_KO_vs_WT	group	LIPA_KO	LIPA_WT	generic_ifn	-0.2548708925993236	-0.3170579477173569	0.6655848959031623	3.0	3.0	welch_t	human iPSC macrophage LIPA loss	0.8045531708719544
GSE100260_human_LIPA_KO_iPSC_macrophages	LIPA_KO_vs_WT	group	LIPA_KO	LIPA_WT	lipid_lysosomal_apc	-0.5739519763629953	-0.7308025661982522	0.34587625768285857	3.0	3.0	welch_t	human iPSC macrophage LIPA loss	0.5072851779348593
GSE100260_human_LIPA_KO_iPSC_macrophages	LIPA_KO_vs_WT	group	LIPA_KO	LIPA_WT	resolution_efferocytosis	-0.0433155189199787	-0.07037504779989238	0.9193903848121495	3.0	3.0	welch_t	human iPSC macrophage LIPA loss	0.9364161326790412
GSE100260_human_LIPA_KO_iPSC_macrophages	LIPA_KO_vs_WT	group	LIPA_KO	LIPA_WT	stress_cytotoxicity	0.5648025947896795	2.1514675183385803	0.04752813205270354	3.0	3.0	welch_t	human iPSC macrophage LIPA loss	0.12447844109041402
GSE243117_mouse_LipaOE_peritoneal_macrophages	LipaOE_vs_Control_PM	group	LipaOE	Control	fibrosis_profibrotic	-0.07373794432268219	-0.2077460683571072	0.7665551870622758	3.0	3.0	welch_t	mouse peritoneal macrophage Lipa overexpression	0.860419087518881
GSE243117_mouse_LipaOE_peritoneal_macrophages	LipaOE_vs_Control_PM	group	LipaOE	Control	generic_ifn	1.3633957507809225	2.152112431673928	0.04520223142587288	3.0	3.0	welch_t	mouse peritoneal macrophage Lipa overexpression	0.12418488391878997
GSE243117_mouse_LipaOE_peritoneal_macrophages	LipaOE_vs_Control_PM	group	LipaOE	Control	lipid_lysosomal_apc	0.47775046093267703	1.141678009104031	0.21261941082673488	3.0	3.0	welch_t	mouse peritoneal macrophage Lipa overexpression	0.3898022531823473
GSE243117_mouse_LipaOE_peritoneal_macrophages	LipaOE_vs_Control_PM	group	LipaOE	Control	resolution_efferocytosis	0.10605087388941878	0.18250394301567033	0.7951321572460556	3.0	3.0	welch_t	mouse peritoneal macrophage Lipa overexpression	0.8763434131682274
GSE243117_mouse_LipaOE_peritoneal_macrophages	LipaOE_vs_Control_PM	group	LipaOE	Control	stress_cytotoxicity	-0.6190896791394225	-0.9787756143997373	0.26844926544906067	3.0	3.0	welch_t	mouse peritoneal macrophage Lipa overexpression	0.46139717499057303
GSE285961_mouse_LipaOE_plaque_macrophages	LipaOE_vs_Control_plaque	group	LipaOE	Control	fibrosis_profibrotic	0.716622395497359	1.0729636260274604	0.15451042452801902	4.0	4.0	welch_t	mouse plaque macrophage Lipa overexpression	0.32684897496311716
GSE285961_mouse_LipaOE_plaque_macrophages	LipaOE_vs_Control_plaque	group	LipaOE	Control	generic_ifn	-0.502704012906867	-0.6482519932589397	0.33582004030690765	4.0	4.0	welch_t	mouse plaque macrophage Lipa overexpression	0.5072851779348593
GSE285961_mouse_LipaOE_plaque_macrophages	LipaOE_vs_Control_plaque	group	LipaOE	Control	lipid_lysosomal_apc	-0.24384556727275009	-0.48200343974625365	0.4639152526052973	4.0	4.0	welch_t	mouse plaque macrophage Lipa overexpression	0.6223253388607647
GSE285961_mouse_LipaOE_plaque_macrophages	LipaOE_vs_Control_plaque	group	LipaOE	Control	resolution_efferocytosis	0.09630299806097595	0.3324744181271637	0.6081753694394909	4.0	4.0	welch_t	mouse plaque macrophage Lipa overexpression	0.7689164869046612
GSE285961_mouse_LipaOE_plaque_macrophages	LipaOE_vs_Control_plaque	group	LipaOE	Control	stress_cytotoxicity	-0.6048251331555702	-1.0142560909858178	0.1617483828943781	4.0	4.0	welch_t	mouse plaque macrophage Lipa overexpression	0.3343237890725564
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_BMDM_vs_WT_BMDM	group	GpnmbR150X_BMDM	WT_BMDM	fibrosis_profibrotic	-0.49669294674643427	-13.77993420129275	0.00015632064573963927	3.0	3.0	welch_t	GpnmbR150X baseline	0.0019105856701511466
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_BMDM_vs_WT_BMDM	group	GpnmbR150X_BMDM	WT_BMDM	generic_ifn	0.04889480592703799	0.3608709370863862	0.6221233394046805	3.0	3.0	welch_t	GpnmbR150X baseline	0.7689164869046612
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_BMDM_vs_WT_BMDM	group	GpnmbR150X_BMDM	WT_BMDM	lipid_lysosomal_apc	1.270806243832392	17.211900169866368	1.454923546223287e-05	3.0	3.0	welch_t	GpnmbR150X baseline	0.00040010397521140394
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_BMDM_vs_WT_BMDM	group	GpnmbR150X_BMDM	WT_BMDM	resolution_efferocytosis	0.47612271142419615	4.889929794170737	0.00539629586297	3.0	3.0	welch_t	GpnmbR150X baseline	0.02698147931485
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_BMDM_vs_WT_BMDM	group	GpnmbR150X_BMDM	WT_BMDM	stress_cytotoxicity	0.5954067617318846	4.548381995779387	0.004589125864985318	3.0	3.0	welch_t	GpnmbR150X baseline	0.024188288031670134
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_OxLDL_vs_WT_OxLDL	group	GpnmbR150X_OxLDL	WT_OxLDL	fibrosis_profibrotic	0.2658744235184982	1.8753269646768485	0.07696577900413314	3.0	3.0	welch_t	GpnmbR150X under OxLDL lipid loading	0.17278032021336012
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_OxLDL_vs_WT_OxLDL	group	GpnmbR150X_OxLDL	WT_OxLDL	generic_ifn	0.13667546840185618	1.9583527631791857	0.07332369434724288	3.0	3.0	welch_t	GpnmbR150X under OxLDL lipid loading	0.16803346621243162
