analysis	dataset_path	disease_name	compartment	donor_id	disease	group	module	n_cells	mean_score	high_fraction	cell_types
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	mif_cd74_receptor_state	406	0.06303845773466343	0.35714285714285715	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	hla_ii_apc	323	-0.09464980184113723	0.08978328173374613	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	ifn_apc	323	1.2262723553384383	0.6749226006191951	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	lysosomal_apc	323	0.10981417233284406	0.2755417956656347	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_4	Crohn disease	case	mif_cd74_receptor_state	323	-0.11367728088937434	0.2786377708978328	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	hla_ii_apc	647	-0.22735442181631743	0.07109737248840804	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	ifn_apc	647	0.23945755405603797	0.3956723338485317	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	lysosomal_apc	647	-0.029116292949815308	0.1901081916537867	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_5	Crohn disease	case	mif_cd74_receptor_state	647	0.8318597832552448	0.6877897990726429	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	hla_ii_apc	438	0.05015381591658416	0.2328767123287671	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	ifn_apc	438	0.8462492407285871	0.6666666666666666	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	lysosomal_apc	438	0.1186783604246131	0.3447488584474886	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_6	Crohn disease	case	mif_cd74_receptor_state	438	-0.016134433401544898	0.2945205479452055	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	hla_ii_apc	60	-0.06735464580630351	0.15	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	ifn_apc	60	0.3292360316769472	0.36666666666666664	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	lysosomal_apc	60	-0.027620792861211767	0.15	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	mif_cd74_receptor_state	60	-0.06072174044890972	0.16666666666666666	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	hla_ii_apc	112	0.037634919863659064	0.1875	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	ifn_apc	112	0.04815646863678853	0.23214285714285715	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	lysosomal_apc	112	-0.2994791407399636	0.03571428571428571	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	mif_cd74_receptor_state	112	0.14374630249017897	0.1875	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	hla_ii_apc	135	-0.13571321217583934	0.08888888888888889	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	ifn_apc	135	0.14045465692137807	0.32592592592592595	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	lysosomal_apc	135	0.12601167149007486	0.28888888888888886	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	mif_cd74_receptor_state	135	-0.12898075114751673	0.23703703703703705	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	hla_ii_apc	75	0.27074988796776667	0.3466666666666667	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	ifn_apc	75	-0.1356957794938593	0.16	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	lysosomal_apc	75	0.16628744000653664	0.36	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_4	normal	control	mif_cd74_receptor_state	75	0.14935861718911592	0.32	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_5	normal	control	hla_ii_apc	192	-0.0469325677270307	0.1875	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_5	normal	control	ifn_apc	192	-0.10098784650288352	0.23958333333333334	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_5	normal	control	lysosomal_apc	192	-0.0579988778542132	0.2604166666666667	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_5	normal	control	mif_cd74_receptor_state	192	-0.05433759891350645	0.25	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_6	normal	control	hla_ii_apc	103	0.0665268230426611	0.24271844660194175	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_6	normal	control	ifn_apc	103	-0.14118655419155357	0.18446601941747573	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_6	normal	control	lysosomal_apc	103	0.16360740030007093	0.3883495145631068	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_6	normal	control	mif_cd74_receptor_state	103	0.04065089956464916	0.3300970873786408	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_1	normal	control	hla_ii_apc	60	-0.06735464580630351	0.15	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_1	normal	control	ifn_apc	60	0.3292360316769472	0.36666666666666664	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_1	normal	control	lysosomal_apc	60	-0.027620792861211767	0.15	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_1	normal	control	mif_cd74_receptor_state	60	-0.06072174044890972	0.16666666666666666	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_2	normal	control	hla_ii_apc	112	0.037634919863659064	0.1875	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_2	normal	control	ifn_apc	112	0.04815646863678853	0.23214285714285715	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_2	normal	control	lysosomal_apc	112	-0.2994791407399636	0.03571428571428571	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_2	normal	control	mif_cd74_receptor_state	112	0.14374630249017897	0.1875	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_3	normal	control	hla_ii_apc	135	-0.13571321217583934	0.08888888888888889	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_3	normal	control	ifn_apc	135	0.14045465692137807	0.32592592592592595	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_3	normal	control	lysosomal_apc	135	0.12601167149007486	0.28888888888888886	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_3	normal	control	mif_cd74_receptor_state	135	-0.12898075114751673	0.23703703703703705	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_4	normal	control	hla_ii_apc	75	0.27074988796776667	0.3466666666666667	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_4	normal	control	ifn_apc	75	-0.1356957794938593	0.16	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_4	normal	control	lysosomal_apc	75	0.16628744000653664	0.36	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_4	normal	control	mif_cd74_receptor_state	75	0.14935861718911592	0.32	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_5	normal	control	hla_ii_apc	192	-0.0469325677270307	0.1875	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_5	normal	control	ifn_apc	192	-0.10098784650288352	0.23958333333333334	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_5	normal	control	lysosomal_apc	192	-0.0579988778542132	0.2604166666666667	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_5	normal	control	mif_cd74_receptor_state	192	-0.05433759891350645	0.25	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_6	normal	control	hla_ii_apc	103	0.0665268230426611	0.24271844660194175	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_6	normal	control	ifn_apc	103	-0.14118655419155357	0.18446601941747573	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_6	normal	control	lysosomal_apc	103	0.16360740030007093	0.3883495145631068	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	HC_6	normal	control	mif_cd74_receptor_state	103	0.04065089956464916	0.3300970873786408	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_1	ulcerative colitis	case	hla_ii_apc	49	0.18017631745728566	0.22448979591836735	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_1	ulcerative colitis	case	ifn_apc	49	0.3312662611142252	0.4489795918367347	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_1	ulcerative colitis	case	lysosomal_apc	49	-0.062813043634166	0.12244897959183673	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_1	ulcerative colitis	case	mif_cd74_receptor_state	49	0.06535735934617631	0.32653061224489793	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_2	ulcerative colitis	case	hla_ii_apc	138	0.05950803273439163	0.21014492753623187	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_2	ulcerative colitis	case	ifn_apc	138	0.35996385215052606	0.45652173913043476	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_2	ulcerative colitis	case	lysosomal_apc	138	0.37379164162439854	0.3333333333333333	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_2	ulcerative colitis	case	mif_cd74_receptor_state	138	0.8615354246486302	0.6521739130434783	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_3	ulcerative colitis	case	hla_ii_apc	275	0.12969540885003375	0.2909090909090909	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_3	ulcerative colitis	case	ifn_apc	275	0.7260307759512485	0.5781818181818181	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_3	ulcerative colitis	case	lysosomal_apc	275	0.20546257142512647	0.3236363636363636	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_3	ulcerative colitis	case	mif_cd74_receptor_state	275	0.7503249263365598	0.6218181818181818	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_4	ulcerative colitis	case	hla_ii_apc	189	0.10775904710371031	0.2857142857142857	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_4	ulcerative colitis	case	ifn_apc	189	1.345924132543606	0.7248677248677249	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_4	ulcerative colitis	case	lysosomal_apc	189	0.25833706693890757	0.32275132275132273	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_4	ulcerative colitis	case	mif_cd74_receptor_state	189	0.7694754798341341	0.7407407407407407	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_5	ulcerative colitis	case	hla_ii_apc	329	0.02846027729773766	0.23100303951367782	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_5	ulcerative colitis	case	ifn_apc	329	0.6366934312692908	0.5562310030395137	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_5	ulcerative colitis	case	lysosomal_apc	329	0.18985654911391553	0.331306990881459	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_5	ulcerative colitis	case	mif_cd74_receptor_state	329	0.6277970374353798	0.60790273556231	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_6	ulcerative colitis	case	hla_ii_apc	181	0.049491246759391594	0.23204419889502761	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_6	ulcerative colitis	case	ifn_apc	181	0.4531737152377972	0.46408839779005523	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_6	ulcerative colitis	case	lysosomal_apc	181	0.07691834680051576	0.2541436464088398	myeloid cell
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	UC_6	ulcerative colitis	case	mif_cd74_receptor_state	181	0.5004552837409418	0.44751381215469616	myeloid cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_1	Crohn disease	case	hla_ii_apc	307	-0.014536475364455449	0.029315960912052116	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_1	Crohn disease	case	ifn_apc	307	0.20359495844529268	0.36482084690553745	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_1	Crohn disease	case	lysosomal_apc	307	-0.08525426643184353	0.14006514657980457	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_1	Crohn disease	case	mif_cd74_receptor_state	307	0.40285092172999076	0.14006514657980457	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_2	Crohn disease	case	hla_ii_apc	598	0.15834435025367513	0.05351170568561873	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_2	Crohn disease	case	ifn_apc	598	0.19687004210229292	0.4013377926421405	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_2	Crohn disease	case	lysosomal_apc	598	-0.007379792893837588	0.23745819397993312	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_2	Crohn disease	case	mif_cd74_receptor_state	598	0.3332464373726968	0.16722408026755853	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_3	Crohn disease	case	hla_ii_apc	846	0.34303178658751826	0.13711583924349882	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_3	Crohn disease	case	ifn_apc	846	0.38108553920997285	0.5531914893617021	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_3	Crohn disease	case	lysosomal_apc	846	0.06963763854250976	0.2919621749408983	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_3	Crohn disease	case	mif_cd74_receptor_state	846	0.24089825152889652	0.21631205673758866	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_4	Crohn disease	case	hla_ii_apc	573	0.1720590321154861	0.11169284467713787	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_4	Crohn disease	case	ifn_apc	573	0.3337758107667766	0.506108202443281	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_4	Crohn disease	case	lysosomal_apc	573	0.2087088048905026	0.4223385689354276	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_4	Crohn disease	case	mif_cd74_receptor_state	573	0.16886874992249204	0.19546247818499127	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_5	Crohn disease	case	hla_ii_apc	288	-0.026894142002051088	0.04513888888888889	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_5	Crohn disease	case	ifn_apc	288	-0.02671365762981015	0.21875	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_5	Crohn disease	case	lysosomal_apc	288	0.133206068710379	0.3263888888888889	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_5	Crohn disease	case	mif_cd74_receptor_state	288	0.3602979703927713	0.2916666666666667	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_6	Crohn disease	case	hla_ii_apc	2089	0.158671337323624	0.057443752991862135	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_6	Crohn disease	case	ifn_apc	2089	0.19804431411800574	0.3973192915270464	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_6	Crohn disease	case	lysosomal_apc	2089	0.024282212401287365	0.27764480612733367	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	CD_6	Crohn disease	case	mif_cd74_receptor_state	2089	0.05925920894813482	0.09669698420296793	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_1	normal	control	hla_ii_apc	256	0.01081994825020633	0.01953125	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_1	normal	control	ifn_apc	256	-0.02616432700658956	0.1640625	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_1	normal	control	lysosomal_apc	256	-0.021728298157871147	0.2109375	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_1	normal	control	mif_cd74_receptor_state	256	0.18350752422154382	0.09375	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_2	normal	control	hla_ii_apc	976	-0.004050518502346067	0.027663934426229508	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_2	normal	control	ifn_apc	976	-0.02395079443841118	0.24692622950819673	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_2	normal	control	lysosomal_apc	976	0.04941374706372107	0.2530737704918033	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_2	normal	control	mif_cd74_receptor_state	976	0.07146040495715611	0.09118852459016394	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_3	normal	control	hla_ii_apc	1671	0.09875302894979053	0.047875523638539794	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_3	normal	control	ifn_apc	1671	0.178490663648998	0.3494913225613405	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_3	normal	control	lysosomal_apc	1671	-0.13942963892662116	0.15559545182525433	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_3	normal	control	mif_cd74_receptor_state	1671	0.014597131759580342	0.07839616995810891	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_4	normal	control	hla_ii_apc	1439	-0.03464351743763752	0.019457956914523976	colon epithelial cell
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	HC_4	normal	control	ifn_apc	1439	-0.0766061379799596	0.19805420430854762	colon epithelial cell
