source	gene	contexts_with_token	disease_cells_with_token	mean_cosine_shift	mean_projection_shift	mean_cosine_z_vs_random	support_contexts	strong_support_contexts	positive_projection_contexts	negative_projection_contexts	best_context	best_context_cells_with_token	best_context_cosine_z	best_context_projection_minus_random	best_context_support	best_context_strong_support	source_rank
unrestricted_survivor_delete	LIMS1	11	47	-8.36347942161036e-05	-0.004399559227749681	0.03639188316636669	3	1	6	5	IBD_stromal	7	0.539681409189993	0.0180318633938441	True	True	17
broad_residual_delete	SQLE	11	33	7.366903909398753e-05	0.002961501860144472	0.03643238252390219	3	1	6	5	t1d_endothelial	4	0.5166089720180714	0.01659818746654	True	True	18
wave14_narrowed_delete	PTPN2	9	24	0.00018875929931202638	0.016844040300283154	0.35930942984015807	3	1	5	4	ra_classical_monocyte	3	0.8641911293336803	0.0404259498399268	True	True	19
candidate_delete	CBX3	8	34	-0.0001073785697371841	0.010737664822954688	0.10882467268737124	3	1	4	4	sjogren_APC	3	1.9767254488788943	0.1314032992425685	True	True	20
wave15_loader_dependency_delete	CTSB	10	65	0.00014250146268750418	0.01882396196015179	0.2611564536777028	2	1	5	5	IBD_myeloid	11	1.1901557534756693	0.0884617837178262	True	True	21
pivot_panel_delete	CTSL	9	53	0.00036247031190818894	0.003751126376705021	0.4379369360101481	2	1	5	4	sjogren_APC	6	1.029679084428995	0.0529267780521573	True	True	22
candidate_delete	HIF1A	7	35	0.0002165655283273955	0.012123540908630373	0.44803584794293144	2	1	4	3	t1d_acinar	5	1.0362465720993688	0.050414412579913	True	True	23
unrestricted_survivor_delete	BIRC3	9	39	-5.115038624755884e-05	0.007192063766221188	0.06944249930986945	2	1	4	5	IBD_epithelial	5	0.8034038828943404	0.023929368383445	True	True	24
wave14_narrowed_delete	SH2B3	5	23	-0.0001715281180167723	-0.002599390782415881	-0.14561321186877824	2	1	3	2	IBD_myeloid	4	0.6504513861407107	0.0089701172481808	True	True	25
wave14_narrowed_delete	TNFAIP3	5	35	0.00019940787242374102	0.0177673326805234	0.3651713399465516	2	1	2	3	IBD_myeloid	9	1.7254577793493462	0.0933323558937344	True	True	26
candidate_delete	STAT1	4	19	-0.0002001350221689796	-0.006771785556338726	-0.16488669814147958	2	1	2	2	IBD_myeloid	4	0.7868861210548939	0.0569055793392989	True	True	27
candidate_delete	SNX10	3	10	-0.00031224886576333336	-0.05018217240770656	-0.04878839506809818	2	1	2	1	IBD_myeloid	4	0.5022066890053595	0.0235297163534494	True	True	28
broad_residual_delete	CD74	7	80	1.5269305939522118e-05	-0.02031414137621015	0.24260406169601573	1	1	5	2	IBD_epithelial	4	2.169165654806057	0.1334118285468625	True	True	29
candidate_delete	TGM2	5	8	0.0004715859889983601	0.045590567961335114	1.0417667842724974	1	1	5	0	IBD_stromal	4	1.4255702761095392	0.032413805298145	True	True	30
broad_residual_delete	CFB	5	17	-9.137050074061858e-06	0.020330289751291218	0.09349038877708944	1	1	5	0	t1d_ductal	5	0.6771240937597409	0.0072956315590999	True	True	31
unrestricted_survivor_delete	TRIQK	8	12	-2.5629997253394116e-06	0.01341930450871585	0.2246705045622271	1	1	5	3	t1d_ductal	3	0.5999917424031237	0.0234722409649595	True	True	32
broad_residual_delete	IFITM2	7	30	-4.037098759517514e-05	0.018068754247256687	-0.002342740284662113	1	1	4	3	t1d_endothelial	3	1.4580936715270107	0.0567826759865661	True	True	33
broad_residual_delete	ATOX1	12	64	-0.00011216944744772413	-0.0017630722528944244	-0.05370051243924851	1	1	4	8	t1d_ductal	5	0.7649455171353233	0.0268685768707654	True	True	34
broad_residual_delete	CXCL8	7	24	0.0003684924699233	-0.016716241304363513	0.47473358271235916	1	1	3	4	IBD_myeloid	7	3.660171164213907	0.1846306889366436	True	True	35
candidate_delete	IFITM2	4	17	0.0003741532564163	0.03056552447378633	0.6992429291872189	1	1	3	1	IBD_stromal	6	1.831005504560255	0.0389915950816228	True	True	36
candidate_delete	SERPINA1	5	11	-4.471857682802694e-05	-0.0027166779153048994	0.08792901280630516	1	1	3	2	IBD_myeloid	5	1.599006114008607	0.0683998731482359	True	True	37
candidate_delete	CHI3L1	4	18	-0.000145683065056775	0.044097425416111946	0.17063192468689004	1	1	3	1	IBD_stromal	6	1.2581482831466964	0.1490765013020588	True	True	38
wave15_loader_dependency_delete	CTSD	10	40	-4.92350931381008e-05	-0.0121691713808104	0.018184174286999782	1	1	3	7	ra_classical_monocyte	4	1.093926048659726	0.0138300958173608	True	True	39
wave15_loader_dependency_delete	LAMP3	4	6	-0.00033229092878170005	0.024459238222334503	-0.29304657109387433	1	1	3	1	psoriasis_dendritic	3	0.774854916190616	0.0441648118964319	True	True	40
broad_residual_delete	ACSL3	12	32	-0.00010757624234731736	-0.01276268957493206	-0.04536972952519405	1	1	3	9	sjogren_duct	3	0.5530527485496555	0.0286503549587601	True	True	41
candidate_delete	CFB	2	5	0.0003207325935363	0.022645343095064146	1.1214706127878213	1	1	2	0	t1d_acinar	4	1.0434641725102949	0.0069174173469137	True	True	42
pivot_panel_delete	CD300E	2	12	0.00063279271125785	0.05664420127868645	1.016998788862656	1	1	2	0	IBD_myeloid	11	0.9451323905283155	0.0577663910400587	True	True	43
wave15_loader_dependency_delete	IFI30	3	9	0.0003683335186603019	-0.012138422578573232	0.568994811483941	1	1	2	1	IBD_myeloid	3	0.8853592302288179	0.0496691847252401	True	True	44
broad_residual_delete	HLA-DRB1	5	21	0.0002272006218845222	0.0051210917532444	0.3859532805436581	1	1	2	3	IBD_myeloid	13	0.7110711174518061	0.0588716908406544	True	True	45
broad_residual_delete	FMNL2	5	12	-0.00010336552513763998	0.00853181928396224	0.04897281593620821	1	1	2	3	psoriasis_macrophage	7	0.6153629314801833	0.0538320074711616	True	True	46
wave14_narrowed_delete	TASL	3	6	5.902846654253335e-05	0.01650845538824797	0.12931059515194643	1	1	2	1	sjogren_APC	4	0.6077588693959135	0.0409984682369718	True	True	47
wave14_narrowed_delete	CTSS	7	85	-0.00037303081002651423	-0.014978999005896684	-0.5229534445007865	1	1	2	5	IBD_myeloid	16	0.586564766275806	0.0799428578983578	True	True	48
pivot_panel_delete	ACSL3	8	26	-9.039665519593363e-05	-0.010607309173792575	-0.1629472025939936	1	1	2	6	IBD_myeloid	3	0.5175691746182316	0.0059748572122771	True	True	49
pivot_panel_delete	LAMP3	1	8	0.0008416026830673	0.134614810347557	1.456825634832924	1	1	1	0	psoriasis_dendritic	8	1.456825634832924	0.1266027453452504	True	True	50
pivot_panel_delete	CD300LF	2	7	-0.00022904080105945002	-0.02704787813127045	0.05119679104641928	1	1	1	1	IBD_myeloid	4	0.7899827353940465	0.0091394875955302	True	True	51
wave15_loader_dependency_delete	HLA-DMB	3	11	-0.00020204484462736663	0.020432969128402565	-0.08846240952582639	1	1	1	2	sjogren_APC	4	0.7554470884256149	0.0983530274275431	True	True	52
broad_residual_delete	SEL1L3	2	4	0.00011088450264648125	0.0074034705758095	0.3392723912974593	1	1	1	1	IBD_epithelial	3	0.6639087855973177	0.0099010785362528	True	True	53
broad_residual_delete	PPIB	12	60	1.6327602073323243e-05	0.03244663980634259	0.09790574185448024	6	0	11	1	IBD_epithelial	4	0.4549186841315948	0.0710731559685277	True	False	54
broad_residual_delete	IFITM3	9	59	0.00012637199445935402	0.023886429042451886	0.24882005852831662	5	0	8	1	IBD_myeloid	5	0.4947724495510394	0.028432179899149	True	False	55
pivot_panel_delete	UGCG	11	62	-7.689555059185504e-05	0.0005720691300335895	-0.0401887596057065	3	0	6	5	sjogren_duct	3	0.3915213025854623	0.0193730950452542	True	False	56
pivot_panel_delete	LGALS8	11	27	7.009722933368693e-05	0.0029729090165346818	0.13611294695793935	3	0	6	5	sjogren_APC	6	0.3539647491026781	0.0299919500985803	True	False	57
wave15_loader_dependency_delete	CTSH	9	43	-8.088985729649199e-05	0.0071296108783119455	0.011232570016448352	3	0	4	5	psoriasis_macrophage	4	0.3571795623431968	0.0228341259644366	True	False	58
broad_residual_delete	PTPN2	9	24	-0.00013406342946431382	-0.013256917397181198	-0.09262891508645041	2	0	6	3	t1d_ductal	4	0.4965416683024769	0.0079235115437767	True	False	59
broad_residual_delete	TIMP1	10	84	-0.00027017906613763	0.02237882558256387	-0.2505651499361018	2	0	6	4	IBD_stromal	21	0.429470396932031	0.183885273465421	True	False	60
broad_residual_delete	CASP4	8	22	0.00029879648718631456	-0.0007416349835693741	0.35673158620853684	2	0	5	3	t1d_acinar	7	0.3199400563640415	3.0934595270100396e-05	True	False	61
broad_residual_delete	NME1	10	27	4.3336834187358194e-05	-0.00509958991315212	0.11840281949597146	2	0	5	5	t1d_stellate	7	0.1152652855016321	0.0155813035943235	True	False	62
broad_residual_delete	PSME1	8	25	-0.0002020867086685	0.03714462387142702	-0.35246949143057	2	0	3	5	sjogren_acinar	5	0.4675747554916685	0.110733539686771	True	False	63
broad_residual_delete	TNFAIP8	6	23	-9.918543279738515e-06	-0.00734027676905195	0.002005128043598222	2	0	3	3	psoriasis_keratinocyte	3	0.370340801811323	0.0037192464631516	True	False	64
broad_residual_delete	CTSL	9	47	-5.356414072188252e-05	-0.016707513170937667	0.029476226685725734	2	0	3	6	IBD_stromal	4	0.2858920929269409	0.0139592540799639	True	False	65
broad_residual_delete	SNX10	5	18	-0.0001240872174093844	-0.0048500654287636415	-0.1473100175531906	2	0	2	3	IBD_myeloid	7	0.3490611740841985	0.0180165606599378	True	False	66
broad_residual_delete	CALR	11	60	-0.00047521104141359875	0.00092226235640489	-0.4761068520050235	1	0	6	5	psoriasis_macrophage	5	0.4948379879913038	0.054792260650235	True	False	67
broad_residual_delete	CTSB	9	68	-2.682381050865555e-05	0.02519550050298371	-0.006685540966188591	1	0	6	3	IBD_myeloid	10	0.4221101406598099	0.0256198651205825	True	False	68
unrestricted_survivor_delete	STARD10	9	51	-0.00011923364460621865	0.008052627374935466	-0.05119622282964382	1	0	5	4	sjogren_duct	7	0.3689416988317947	0.0308139897213549	True	False	69
broad_residual_delete	COL4A1	7	30	-0.00043531765861964846	0.005909504235855158	-0.5626130649931266	1	0	5	2	IBD_stromal	8	0.2740644650302073	0.0205773142515681	True	False	70
broad_residual_delete	SDC4	10	41	0.0002044665410721731	-0.0018331117928028103	0.4023806600588179	1	0	5	5	t1d_acinar	14	0.2119831663656405	0.0146209027327131	True	False	71
broad_residual_delete	CBX3	10	30	-0.0003322861601190761	-0.0157442358788103	-0.3374627927416943	1	0	5	5	psoriasis_keratinocyte	3	0.1854058137827433	0.0111920251336413	True	False	72
broad_residual_delete	PTPRE	7	26	-5.7918014655492325e-05	0.003511449455150528	-0.026028757559816762	1	0	4	3	sjogren_APC	4	0.4972533717068192	0.0132971171600121	True	False	73
unrestricted_survivor_delete	PPIL3	7	16	-0.00012672543484119184	0.006851819842787714	0.015874008287082186	1	0	4	3	t1d_stellate	5	0.3681151666075528	0.0164106784815278	True	False	74
broad_residual_delete	PDLIM7	8	24	-0.00021337270936780712	-0.012187136511784036	-0.19144846177290914	1	0	4	4	t1d_ductal	3	0.3314357775096719	0.010902454832103	True	False	75
wave15_loader_dependency_delete	CD44	11	79	-0.0002853470878934636	-0.023804883599619985	-0.25017235307547536	1	0	4	7	ra_classical_monocyte	9	0.0763659768617069	0.0645228738980627	True	False	76
pivot_panel_delete	GBA2	6	15	-0.0001448806797270667	0.010425737127661719	-0.2522224013697639	1	0	4	2	t1d_endothelial	3	0.0637174475738867	0.0142962695768801	True	False	77
wave15_loader_dependency_delete	CD74	9	80	-0.0003640952862850868	-0.04084993733300102	-0.3277677671515076	1	0	4	5	ra_nonclassical_monocyte	10	0.0583227942457365	0.0018348861631238	True	False	78
broad_residual_delete	CTSS	7	45	-0.0002965412305846521	0.0026028070798409706	-0.37998062392226295	1	0	4	3	IBD_epithelial	3	0.0509435850820343	0.0065014102748439	True	False	79
broad_residual_delete	MPHOSPH6	10	24	-0.00012154807482144397	-0.006295411862083709	-0.06508402159938785	1	0	4	6	IBD_stromal	4	0.0200014736077929	0.0023081326799001	True	False	80
pivot_panel_delete	CD44	11	86	-0.0004585540531975368	-0.030960067556324314	-0.5691725459469908	1	0	3	8	IBD_stromal	3	0.428294593893025	0.0224944052994638	True	False	81
wave14_narrowed_delete	UNC93B1	6	20	-0.0005211962561588347	0.010769217585523917	-0.5740364580313724	1	0	3	3	psoriasis_macrophage	10	0.4251562043977818	0.026167149034639	True	False	82
broad_residual_delete	CNN3	7	26	0.00042133671896795453	-0.0038133019115775416	0.7212505124936676	1	0	3	4	t1d_stellate	8	0.3555771594706205	0.0161841323987271	True	False	83
broad_residual_delete	FKBP1A	10	45	-0.00026241926316285155	-0.00955256251618265	-0.2526515408463023	1	0	3	7	psoriasis_macrophage	8	0.3493386923296723	0.022720932859617	True	False	84
pivot_panel_delete	FABP5	5	28	0.0003173814478941498	0.02055905908346174	0.3778258572767295	1	0	3	2	IBD_epithelial	5	0.2505371934428996	0.0391795736427108	True	False	85
wave15_loader_dependency_delete	CTSS	8	77	-0.00044996462020204994	-0.007878054864704602	-0.40785447643170136	1	0	3	5	IBD_myeloid	14	0.2452192375937499	0.0752162607419046	True	False	86
wave15_loader_dependency_delete	LGALS9	5	19	-6.709337176287712e-05	0.0006509177386760801	0.07950013464124339	1	0	3	2	ra_nonclassical_monocyte	5	0.2074492432967844	0.0264367181953275	True	False	87
wave15_loader_dependency_delete	LAPTM5	7	32	-1.377225921062837e-05	0.003922901448926771	0.18909087474219127	1	0	3	4	ra_nonclassical_monocyte	5	0.0201047191046364	0.0295215305086458	True	False	88
broad_residual_delete	HLA-B	8	41	6.602377652606082e-06	-0.014475296852651795	0.13122388140922556	1	0	2	6	IBD_myeloid	13	0.4330011775029553	0.031348039121561	True	False	89
wave15_loader_dependency_delete	VPS35	9	33	-0.00012151245937274924	-0.0026824845311542228	-0.04796566589505233	1	0	2	7	ra_classical_monocyte	3	0.3963281830068677	0.0088856390761471	True	False	90
pivot_panel_delete	PLIN2	5	23	0.00012081331660735745	0.004110393533483138	0.14780479925860038	1	0	2	3	t1d_stellate	9	0.2476694876738555	0.0370709960145177	True	False	91
unrestricted_survivor_delete	FMNL2	4	14	-0.0002463624950905513	0.0017445090925321252	-0.09283492434736285	1	0	2	2	psoriasis_keratinocyte	4	0.1353726730514128	0.0177971738953299	True	False	92
candidate_delete	FMNL2	3	6	8.19166501363013e-05	0.02570615957180657	0.20323694024000585	1	0	2	1	psoriasis_keratinocyte	4	0.105113973647902	0.0291879155847709	True	False	93
candidate_delete	MMP7	2	5	0.0027970969676970945	0.1135060116648674	1.992538219045452	1	0	2	0	t1d_endothelial	4	0.1049704800736589	0.0009323252015747	True	False	94
candidate_delete	TNFAIP8L1	2	7	-0.00040482481563229995	-0.0013163089752197508	-1.1933510249122752	1	0	1	1	t1d_endothelial	6	0.2255931881158524	0.0194568676524796	True	False	95
broad_residual_delete	CHI3L1	3	15	-0.00041647042598921764	0.007966603462894767	-0.482218100891812	1	0	1	2	IBD_stromal	7	0.2219588775513177	0.071884800621774	True	False	96
unrestricted_survivor_delete	NCK1	10	24	-0.00029715100827159	-0.001301920413970931	-0.1786909371997134	0	0	6	4	IBD_myeloid	1	0.7664445994619067	0.0227095909668909	False	False	97
unrestricted_survivor_delete	DCLRE1B	6	8	-2.3129913946202127e-05	0.0157603796881934	0.08233616563893516	0	0	4	2	psoriasis_dendritic	1	1.4607105531489788	0.0317810308343421	False	False	98
unrestricted_survivor_delete	AQR	11	23	-0.0002657378261739554	-0.016389526172795054	-0.24853758391078165	0	0	4	7	t1d_acinar	1	0.4802966442237947	0.0021744296536781	False	False	99
broad_residual_delete	HAPLN3	4	6	0.00059405962383605	0.0196796238888055	1.1333795373008035	0	0	3	1	psoriasis_macrophage	1	2.5376785363356253	0.0453658456836517	False	False	100
wave15_loader_dependency_delete	RAB5A	8	14	-3.3081819765363085e-05	-0.000805120682343851	0.15279709272477573	0	0	3	5	psoriasis_dendritic	2	0.7836081379560963	0.0239133366218691	False	False	101
unrestricted_survivor_delete	IL2RG	3	4	0.00034102797508235675	0.022555995422104933	0.5296697415898355	0	0	3	0	psoriasis_dendritic	1	0.7736192139979163	0.0052791563949237	False	False	102
wave15_loader_dependency_delete	SNX10	8	20	-0.0002921124305430357	-0.004279338842025	-0.2510197784051923	0	0	3	5	IBD_myeloid	4	0.7686074383232124	-0.0038011195105758	False	False	103
wave14_narrowed_delete	GSK3B	5	7	-0.0002423564594209732	0.0163735507056117	-0.351227578881297	0	0	3	2	IBD_myeloid	1	0.7018532671248244	0.0059762010868224	False	False	104
pivot_panel_delete	CHI3L1	5	11	-5.0379833555790404e-05	0.018059495091438282	0.09815950329816552	0	0	3	2	psoriasis_keratinocyte	2	0.5274240722842264	0.0350878895435016	False	False	105
pivot_panel_delete	SCARB2	11	33	-0.00013845513537737522	-0.0090547108345411	-0.10932087452009519	0	0	3	8	IBD_myeloid	2	0.4568030697137034	0.0171840582799631	False	False	106
broad_residual_delete	LTA4H	6	10	-0.0002308769362570804	-0.0012020055825511834	-0.33292453251265103	0	0	3	3	sjogren_APC	2	0.3281202389374612	0.0254497666222352	False	False	107
unrestricted_survivor_delete	MYO1E	7	29	-0.00030394622133044505	-0.027252923896802304	-0.3073164248713724	0	0	3	4	sjogren_acinar	1	0.2189023601836337	0.0226115529056794	False	False	108
unrestricted_survivor_delete	ABHD2	7	20	-0.00023098999580331832	-0.002902532212569257	-0.12231011903971363	0	0	3	4	IBD_myeloid	3	0.101677363311735	-0.0081965876723795	False	False	109
wave14_narrowed_delete	CD74	8	87	-0.00032089113938125303	-0.035519665107131004	-0.2285048178598216	0	0	2	6	IBD_epithelial	2	2.184406319356157	0.0438964749919251	False	False	110
broad_residual_delete	ACSL1	7	14	1.905503735801091e-05	-0.0015333501978602585	0.03280143205412985	0	0	2	5	IBD_myeloid	2	1.2725981210166508	0.0920392393183041	False	False	111
candidate_delete	LTA4H	4	6	-0.0002886404690798	-0.00278497114777565	-0.19806642796728025	0	0	2	2	IBD_myeloid	1	1.055667060352499	0.0342500326741072	False	False	112
wave15_loader_dependency_delete	LIPA	5	7	9.872317314143998e-05	-0.01841105297207828	0.2936948314690424	0	0	2	3	sjogren_APC	1	0.9490525816022024	0.0048556561264881	False	False	113
wave14_narrowed_delete	SLC15A4	7	16	-0.00021408498287197323	-0.00975370134360023	-0.1501568130150645	0	0	2	5	IBD_myeloid	2	0.9109186148793386	-0.0211334507394996	False	False	114
unrestricted_survivor_delete	TNFAIP8L1	5	9	-0.00016604661941528582	-0.003307005669921599	-0.04003075893309942	0	0	2	3	t1d_endothelial	3	0.7759546213415992	-0.0403862189404511	False	False	115
wave14_narrowed_delete	TLR8	4	5	-0.00027493387460705	-0.00367220491170885	-0.31130463536127945	0	0	2	2	IBD_myeloid	1	0.406519648223191	-0.0307096708048549	False	False	116
wave14_narrowed_delete	CIITA	6	12	-0.00020082493574587957	0.00792966146642965	-0.1474089788048465	0	0	2	4	psoriasis_dendritic	5	0.1793039905391943	-0.0078677748226456	False	False	117
pivot_panel_delete	APOC1	3	4	-0.0009873608748117667	-0.017054866999387797	-1.091748006188827	0	0	2	1	IBD_stromal	1	-0.448397863591871	0.082653297834137	False	False	118
pivot_panel_delete	APOE	7	14	-0.00015517887160448573	-0.054939140299601175	-0.26487649263178215	0	0	1	6	t1d_acinar	1	2.1391759932808365	-0.0113217821732784	False	False	119
wave15_loader_dependency_delete	CTSL	5	16	-5.39405005838497e-05	-0.030817100312560776	0.222559267124379	0	0	1	4	psoriasis_dendritic	1	2.052005533382139	0.0399750635794287	False	False	120
unrestricted_survivor_delete	SEL1L3	4	11	0.00043224841374464866	0.01966467360034583	0.4773651805201125	0	0	1	3	sjogren_acinar	2	1.4454993546651167	0.0722864363905198	False	False	121
wave15_loader_dependency_delete	HLA-DRA	6	35	-0.0002778562680608235	-0.013463895806732249	-0.1844092408505813	0	0	1	5	IBD_epithelial	2	1.2722557690621918	-0.0044300580985791	False	False	122
unrestricted_survivor_delete	CXCL9	2	3	0.00046657025814055	0.03615237027406695	0.7202243997707136	0	0	1	1	IBD_myeloid	2	1.224561773323401	0.0957764886571871	False	False	123
broad_residual_delete	C1QTNF1	1	1	0.0005165934562683	0.0033833098132163	1.1336007211526975	0	0	1	0	psoriasis_macrophage	1	1.1336007211526975	0.0013697586410369	False	False	124
broad_residual_delete	KRTCAP3	5	38	-0.00016919414410947076	-0.00508991269161926	-0.0733756272828385	0	0	1	4	IBD_epithelial	1	0.7743582342847807	-0.008846762937416	False	False	125
pivot_panel_delete	GPNMB	4	10	1.1521080978144275e-05	-0.018998443149030226	0.03594516222376229	0	0	1	3	sjogren_APC	2	0.7595561382598505	0.0636425606945218	False	False	126
wave14_narrowed_delete	TLR7	1	2	0.0003178417682647	0.0214217379689216	0.7501681356392066	0	0	1	0	psoriasis_macrophage	2	0.7501681356392066	0.0282472412412363	False	False	127
broad_residual_delete	IL7R	3	5	2.1848415296200012e-05	-0.010927708121016599	0.12040450865711412	0	0	1	2	psoriasis_dendritic	1	0.6875996849666223	-0.0242629958200267	False	False	128
wave14_narrowed_delete	IRF5	2	3	7.763504981995e-05	0.00518576800823215	0.34953104310086475	0	0	1	1	IBD_myeloid	1	0.6544190173162906	0.0318330955277714	False	False	129
unrestricted_survivor_delete	PPP3CA	4	8	-0.00040350109338760154	-0.015129924053326253	-0.3499631312952315	0	0	1	3	sjogren_APC	2	0.5286065270576011	0.0668642681014413	False	False	130
wave14_narrowed_delete	RFX5	2	2	0.00014531612396235	-0.0003208201378584012	0.5031273630618915	0	0	1	1	psoriasis_dendritic	1	0.5070760579349937	0.0595786404899423	False	False	131
pivot_panel_delete	MSR1	1	1	0.0001567006111145	0.0157453995198011	0.4463774912257262	0	0	1	0	sjogren_APC	1	0.4463774912257262	0.0240232285150947	False	False	132
wave14_narrowed_delete	GPR65	5	8	-0.00030149022786644	-0.03176566325128076	-0.3358443721626083	0	0	1	4	sjogren_APC	3	0.4246861566021784	-0.0189415402096023	False	False	133
broad_residual_delete	IL2RG	1	2	4.565715789794922e-05	0.0201708208769559	0.0330662280758151	0	0	1	0	IBD_myeloid	2	0.0330662280758151	0.0153761605780649	False	False	134
broad_residual_delete	PDPN	4	13	-0.00038159390533105703	-0.0109826705884188	-0.4423865768324817	0	0	1	3	IBD_myeloid	1	0.0099695805322325	-0.00738152982182	False	False	135
broad_residual_delete	REG1A	5	29	-0.0010989805072312653	-0.03170111179351802	-1.6796252945244745	0	0	1	4	IBD_epithelial	2	0.0027651179727962	-0.0833668372341585	False	False	136
unrestricted_survivor_delete	PLEK2	4	6	-0.0005553290247917095	-0.04678290418814865	-0.30239718026766466	0	0	0	4	IBD_epithelial	1	1.320299506161979	-0.0157357103608471	False	False	137
wave15_loader_dependency_delete	HLA-DMA	4	18	-0.00019315481040395002	-0.029857070185244076	-0.17073077017541072	0	0	0	4	ra_classical_monocyte	1	0.5834991112519414	-0.0756037157876157	False	False	138
wave14_narrowed_delete	CLEC16A	2	3	-0.0003654807806014921	-0.045472195371985394	-0.4970432441904855	0	0	0	2	psoriasis_dendritic	2	0.4805508058595709	-0.0199244039961033	False	False	139
broad_residual_delete	LDLRAD3	2	3	-0.00069157779216765	-0.04257337749004355	-0.8168546624469014	0	0	0	2	sjogren_duct	1	0.432441774046527	-0.0278591435480242	False	False	140
