gene	score	wave62_call	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	ms_max_l2g_score	ms_max_qtl_h4	broad_positive_disease_count	broad_positive_fdr10_compartment_count	broad_positive_diseases	chembl_target_id	druggable_activity_count	manual_blocker	prior_context_blocker	wave103_call	genetics_gate	cellstate_gate	reachable_gate	unblocked_gate	promote	blockers
TNRC18	15.0	NO_GO_WAVE62_TARGET_RESOLUTION	6	AS;Crohn;MS;Psoriasis;T1D;UC	2	Crohn;UC	0.8121318221092224	0.0	1	0	Crohn disease		0	nan	nan	NO_GO_NO_DIRECTIONAL_SUPPORT	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IL2RA	14.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	5	Crohn;MS;Psoriasis;RA;T1D	2	MS;RA	0.8340961933135986	0.8424868378351196	0	0			0	CD25_IL2_axis_prior_art_directionality	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
ANKRD55	13.5	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	4	Crohn;MS;RA;T1D	3	Crohn;MS;RA	0.7806254625320435	0.9983304925105227	0	0			0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
ETS1	13.0	NO_GO_WAVE62_TARGET_RESOLUTION	4	Celiac;Psoriasis;RA;SLE	2	Celiac;Psoriasis	0.0	0.0	2	1	Crohn disease;ulcerative colitis	CHEMBL2169736	0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
TNFAIP3	13.0	NO_GO_WAVE62_TARGET_RESOLUTION	4	Psoriasis;RA;SLE;T1D	2	Psoriasis;SLE	0.0	0.0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	CHEMBL4523200	0	A20_restoration_not_currently_druggable	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
RGS1	13.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	4	Celiac;MS;Psoriasis;T1D	2	Celiac;MS	0.884235680103302	0.9856571406462532	1	0	type 1 diabetes mellitus		0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IL23R	13.0	NO_GO_WAVE62_TARGET_RESOLUTION	5	AS;Crohn;Psoriasis;RA;UC	4	AS;Crohn;Psoriasis;UC	0.0	0.0	0	0			0	prior_art_IL23_axis	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
RMI2	12.5	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	2	MS;T1D	5	Crohn;MS;PBC;Psoriasis;T1D	0.7914115786552429	0.9780145044618388	0	0			0	nan	nan	NO_GO_NO_CROSS_DISEASE_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
RGS14	12.5	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	3	Crohn;MS;Psoriasis	3	Crohn;MS;Psoriasis	0.8030093312263489	0.9952074420704352	1	0	Crohn disease		0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
GALC	12.5	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	2	Crohn;MS	3	AS;Crohn;MS	0.7024610638618469	0.9873343718864264	3	0	psoriasis;type 1 diabetes mellitus;ulcerative colitis		0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
PUS10	12.0	NO_GO_WAVE62_TARGET_RESOLUTION	3	Celiac;Crohn;UC	4	MS;Psoriasis;RA;UC	0.0816564038395881	0.9852343045238628	1	0	type 1 diabetes mellitus		0	nan	nan	NO_GO_NO_DIRECTIONAL_SUPPORT	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
CD40	12.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	RA	6	Celiac;Crohn;PBC;Psoriasis;RA;T1D	0.0	0.0	2	0	Crohn disease;ulcerative colitis	CHEMBL1250358	0	prior_art_costimulation_axis	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
FUT2	11.5	NO_GO_WAVE62_TARGET_RESOLUTION	3	Crohn;Psoriasis;T1D	3	Crohn;Psoriasis;T1D	0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus	CHEMBL4105777	0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
PDCD1	11.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		8	AITD;Celiac;Crohn;MS;RA;SLE;T1D;UC	0.0	0.9587479572161116	0	0			0	checkpoint_axis_safety_prior_art	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TNFRSF14	11.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Celiac;RA	4	Celiac;MS;RA;T1D	0.0652648583054542	0.9398596564252308	1	1	type 1 diabetes mellitus		0	HVEM_LIGHT_axis_directionality_prior_art	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
CD86	10.5	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	1	MS	5	Celiac;MS;PBC;SLE;T1D	0.9702414870262146	0.9982892957376484	0	0			0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
CD5	10.5	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	1	MS	5	Crohn;MS;PBC;RA;T1D	0.9009516835212708	0.9970245508905228	0	0			0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
MMEL1	10.5	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	2	Celiac;MS	3	Celiac;MS;RA	0.8332656621932983	0.995917803854985	1	0	type 1 diabetes mellitus		0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IRF4	10.5	NO_GO_WAVE62_TARGET_RESOLUTION	5	Celiac;Psoriasis;RA;SLE;T1D	1	SLE	0.0	0.0	2	0	Sjogren syndrome;ulcerative colitis		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
TTC34	10.5	NO_GO_WAVE62_TARGET_RESOLUTION	2	PBC;UC	5	Celiac;MS;PBC;RA;UC	0.3978502154350281	0.9674284461684486	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IFI30	10.5	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	1	MS	3	Celiac;Crohn;MS	0.6501023173332214	0.9959013728724722	3	0	psoriasis;type 1 diabetes mellitus;ulcerative colitis		0	direct_antigen_processing_host_defense_and_druggability	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
SIRPB1	10.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		6	Celiac;Crohn;MS;PBC;SLE;T1D	0.0	0.9438772520186	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
STAT3	10.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Crohn;UC	2	Crohn;UC	0.0	0.0	2	2	Crohn disease;ulcerative colitis	CHEMBL4296101	0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
LPP	9.5	NO_GO_WAVE62_TARGET_RESOLUTION	4	Celiac;Crohn;Psoriasis;UC	3	Celiac;Crohn;UC	0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
CD83	9.5	NO_GO_WAVE62_TARGET_RESOLUTION	1	RA	5	Celiac;MS;Psoriasis;RA;SLE	0.0	0.9553555791585512	1	0	type 1 diabetes mellitus		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
PTPN22	9.5	NO_GO_WAVE62_TARGET_RESOLUTION	4	Crohn;RA;SLE;T1D	1	RA	0.0	0.0	1	0	Sjogren syndrome	CHEMBL2889	1114	directionality_unresolved_PTPN22_autoimmune_axis	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	True	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;prior_or_local_no_go_blocker
PTPRC	9.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Crohn	2	Celiac;PBC	0.0	0.0	3	2	Crohn disease;Sjogren syndrome;ulcerative colitis	CHEMBL3243	0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
CD226	9.0	NO_GO_WAVE62_TARGET_RESOLUTION	3	Crohn;PBC;T1D	4	Crohn;PBC;Psoriasis;T1D	0.0	0.0	0	0			0	nan	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
BACH2	9.0	NO_GO_WAVE62_TARGET_RESOLUTION	3	Crohn;Psoriasis;T1D	2	Crohn;T1D	0.0	0.0	1	0	Sjogren syndrome	CHEMBL5069364	0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	True	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;prior_or_local_no_go_blocker
SOCS1	9.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	PBC;Psoriasis	4	Crohn;PBC;Psoriasis;T1D	0.1046850234270095	0.0	2	0	psoriasis;type 1 diabetes mellitus		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
CCL2	9.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Crohn;UC	4	Celiac;Crohn;SLE;UC	0.0	0.0	1	1	type 1 diabetes mellitus		0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
CCDC88B	9.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Psoriasis	4	Crohn;PBC;Psoriasis;RA	0.0	0.0	3	1	Crohn disease;psoriasis;ulcerative colitis		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
DENND1B	8.5	NO_GO_WAVE62_TARGET_RESOLUTION	3	Crohn;PBC;Psoriasis	3	Crohn;PBC;Psoriasis	0.0	0.0	1	0	psoriasis		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
GPR35	8.5	NO_GO_WAVE62_TARGET_RESOLUTION	3	AS;Crohn;UC	3	AS;Crohn;UC	0.0	0.0	1	0	Crohn disease		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IFNGR2	8.5	NO_GO_WAVE62_TARGET_RESOLUTION	2	Crohn;RA	3	Crohn;RA;T1D	0.0	0.0	1	0	type 1 diabetes mellitus	CHEMBL2364171	0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	True	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;prior_or_local_no_go_blocker
RNASET2	8.5	NO_GO_WAVE62_TARGET_RESOLUTION	2	Crohn;Psoriasis	5	Celiac;Crohn;Psoriasis;RA;T1D	0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
UBE2L3	8.5	NO_GO_WAVE62_TARGET_RESOLUTION	0		5	Celiac;Crohn;Psoriasis;RA;SLE	0.0	0.0	1	1	ulcerative colitis	CHEMBL4105871	0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
ALDH2	8.5	NO_GO_WAVE62_TARGET_RESOLUTION	0		7	Celiac;Crohn;PBC;Psoriasis;RA;SLE;T1D	0.0	0.0	1	0	Crohn disease		0	nan	nan	NO_GO_NO_CROSS_DISEASE_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
FLT3	8.5	NO_GO_WAVE62_TARGET_RESOLUTION	2	Celiac;SLE	5	Celiac;Crohn;PBC;SLE;T1D	0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
NELL2	8.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	6	Celiac;Crohn;Psoriasis;RA;T1D;UC	0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
SH2B3	8.0	NO_GO_WAVE62_TARGET_RESOLUTION	5	Celiac;Crohn;Psoriasis;RA;T1D	0		0.0	0.0	1	0	ulcerative colitis		0	nan	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TNFSF15	8.0	NO_GO_WAVE62_TARGET_RESOLUTION	3	Crohn;Psoriasis;UC	2	Crohn;UC	0.0	0.0	2	0	psoriasis;ulcerative colitis		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
COG6	8.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Crohn;RA	2	Crohn;RA	0.0	0.0	2	0	Crohn disease;type 1 diabetes mellitus	CHEMBL4105962	0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
PRDM1	8.0	NO_GO_WAVE62_TARGET_RESOLUTION	3	Crohn;SLE;UC	0		0.0	0.0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	CHEMBL5214860	0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
ERAP1	8.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	AS;Psoriasis	2	AS;Psoriasis	0.0	0.0	2	0	Crohn disease;ulcerative colitis	CHEMBL5939	0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
IL6R	7.5	NO_GO_WAVE62_TARGET_RESOLUTION	2	AS;RA	3	AS;MS;RA	0.0	0.9398497867793156	0	0			0	prior_art_IL6R_axis	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IRF8	7.5	NO_GO_WAVE62_TARGET_RESOLUTION	3	PBC;SLE;UC	3	PBC;SLE;UC	0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TIMMDC1	7.5	NO_GO_WAVE62_TARGET_RESOLUTION	1	PBC	3	MS;PBC;SLE	0.4899875223636627	0.9897445585012262	2	0	psoriasis;ulcerative colitis		0	nan	nan	NO_GO_NO_DIRECTIONAL_SUPPORT	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
GAL	7.5	NO_GO_WAVE62_TARGET_RESOLUTION	1	AS	3	Crohn;MS;SLE	0.0	0.8778669465825155	2	0	psoriasis;ulcerative colitis		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
ZFP36L1	7.5	NO_GO_WAVE62_TARGET_RESOLUTION	3	Crohn;RA;T1D	3	Crohn;RA;T1D	0.0	0.0	0	0			0	nan	nan	NO_GO_NO_DIRECTIONAL_SUPPORT	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
CD28	7.5	NO_GO_WAVE62_TARGET_RESOLUTION	3	Celiac;Crohn;Psoriasis	3	Celiac;Crohn;T1D	0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
UBASH3A	7.5	NO_GO_WAVE62_TARGET_RESOLUTION	3	Celiac;RA;T1D	3	Celiac;RA;T1D	0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
SPRED2	7.0	NO_GO_WAVE62_TARGET_RESOLUTION	3	Celiac;RA;SLE	2	RA;SLE	0.0	0.0	1	0	type 1 diabetes mellitus		0	nan	nan	NO_GO_NO_DIRECTIONAL_SUPPORT	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TNFSF11	7.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	PBC	4	Crohn;PBC;RA;T1D	0.0	0.0	1	1	ulcerative colitis		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
PLCL2	7.0	NO_GO_WAVE62_TARGET_RESOLUTION	3	PBC;Psoriasis;RA	2	Psoriasis;RA	0.0	0.0	1	0	psoriasis		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IL21R	7.0	NO_GO_WAVE62_TARGET_RESOLUTION	3	Crohn;PBC;RA	2	PBC;Psoriasis	0.0	0.0	1	0	Crohn disease		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
FASLG	7.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Celiac;T1D	4	Crohn;Psoriasis;RA;T1D	0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
JAK2	7.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Crohn;UC	2	Crohn;UC	0.0	0.0	1	0	Crohn disease	CHEMBL2971	24473	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	True	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;prior_or_local_no_go_blocker
SNX29	7.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	4	Crohn;MS;PBC;T1D	0.0	0.987925585835159	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
