seed	mode	effect	arrival	n_responders	n_nonresponders	mean_p	minimum_p	maximum_mean_e_factor
57121	v42_plus_one_mc	0.0	9	6	6	0.5218368023197679	0.0004999500049995	0.9790807534744828
57121	v42_plus_one_mc	0.0	10	7	7	0.5179011648835117	9.999000099990002e-05	0.9821698359561348
57121	v42_plus_one_mc	0.0	11	8	8	0.5130669353064693	9.999000099990002e-05	0.9866675912496453
57121	v42_plus_one_mc	0.0	12	10	10	0.5114154054594541	9.999000099990002e-05	0.989469905010307
57121	v42_plus_one_mc	0.5	1	4	5	0.3424790490950905	0.005099490050994901	1.3444899570512718
57121	v42_plus_one_mc	0.5	2	5	5	0.3264105669433057	0.0018998100189981002	1.5515143307216501
57121	v42_plus_one_mc	0.5	3	6	6	0.3027534526547346	0.00029997000299970003	2.0184101313012146
57121	v42_plus_one_mc	0.5	4	7	7	0.28063539446055397	9.999000099990002e-05	2.6499721341833404
57121	v42_plus_one_mc	0.5	5	8	8	0.2621887361263873	9.999000099990002e-05	3.1051181675918826
57121	v42_plus_one_mc	0.5	6	10	10	0.23328651034896514	9.999000099990002e-05	4.1104779258698105
57121	v42_plus_one_mc	0.5	7	4	5	0.34226638536146375	0.0053994600539946005	1.3380699623364618
57121	v42_plus_one_mc	0.5	8	5	5	0.32577994300569946	0.0017998200179982	1.563574050691607
57121	v42_plus_one_mc	0.5	9	6	6	0.3016009669033096	0.00039996000399960006	2.0430707351444637
57121	v42_plus_one_mc	0.5	10	7	7	0.2802297120287971	9.999000099990002e-05	2.5841557453113206
57121	v42_plus_one_mc	0.5	11	8	8	0.26321214978502155	9.999000099990002e-05	3.076551061762249
57121	v42_plus_one_mc	0.5	12	10	10	0.23434933306669328	9.999000099990002e-05	4.0368532132360935
57121	v42_plus_one_mc	0.9	1	4	5	0.2152388271172883	0.004999500049995001	2.2142711671989392
57121	v42_plus_one_mc	0.9	2	5	5	0.19527312468753125	0.0018998100189981002	2.8570108557946923
57121	v42_plus_one_mc	0.9	3	6	6	0.16573255574442558	0.00029997000299970003	4.384293657098294
57121	v42_plus_one_mc	0.9	4	7	7	0.14258565343465654	9.999000099990002e-05	6.562467083319974
57121	v42_plus_one_mc	0.9	5	8	8	0.1228707099290071	9.999000099990002e-05	9.020527274534794
57121	v42_plus_one_mc	0.9	6	10	10	0.09277080191980802	9.999000099990002e-05	14.297739261993435
57121	v42_plus_one_mc	0.9	7	4	5	0.21402446455354465	0.0045995400459954	2.2193847785585086
57121	v42_plus_one_mc	0.9	8	5	5	0.1952897170282972	0.0015998400159984002	2.839926654071139
57121	v42_plus_one_mc	0.9	9	6	6	0.16577875512448753	0.00029997000299970003	4.366945141701343
57121	v42_plus_one_mc	0.9	10	7	7	0.14279149585041495	9.999000099990002e-05	6.566216893769383
57121	v42_plus_one_mc	0.9	11	8	8	0.12214317468253175	9.999000099990002e-05	9.08593067533125
57121	v42_plus_one_mc	0.9	12	10	10	0.09374944105589442	9.999000099990002e-05	14.144149739865137
57122	exact_discrete	0.0	1	4	5	0.5340009523809525	0.007936507936507936	0.9629063824080998
57122	exact_discrete	0.0	2	5	5	0.5267297222222221	0.003968253968253968	0.9707200469598367
57122	exact_discrete	0.0	3	6	6	0.522717803030303	0.0010822510822510823	0.9762286420816556
57122	exact_discrete	0.0	4	7	7	0.5181966346153846	0.0002913752913752914	0.9815531635646154
57122	exact_discrete	0.0	5	8	8	0.5155445757575756	7.77000777000777e-05	0.9845919555796075
57122	exact_discrete	0.0	6	10	10	0.5094916725843817	1.082508822446903e-05	0.9914071276750249
57122	exact_discrete	0.0	7	4	5	0.534564126984127	0.007936507936507936	0.9639566586394159
57122	exact_discrete	0.0	8	5	5	0.5279435317460318	0.003968253968253968	0.9695583957579367
57122	exact_discrete	0.0	9	6	6	0.5242158333333333	0.0010822510822510823	0.9758849831674892
57122	exact_discrete	0.0	10	7	7	0.5182008100233101	0.0002913752913752914	0.9819632979718648
57122	exact_discrete	0.0	11	8	8	0.5143299005439003	7.77000777000777e-05	0.9853277236262962
57122	exact_discrete	0.0	12	10	10	0.510354537660482	1.082508822446903e-05	0.9903646404476646
57122	exact_discrete	0.5	1	4	5	0.3404370634920635	0.007936507936507936	1.350279788022854
57122	exact_discrete	0.5	2	5	5	0.3266816269841269	0.003968253968253968	1.5502173796386147
57122	exact_discrete	0.5	3	6	6	0.29999041125541126	0.0010822510822510823	2.030765388931767
57122	exact_discrete	0.5	4	7	7	0.27875561771561774	0.0002913752913752914	2.6283522566491477
57122	exact_discrete	0.5	5	8	8	0.2623800745920746	7.77000777000777e-05	3.2579903634671648
57122	exact_discrete	0.5	6	10	10	0.233681247970296	5.412544112234515e-06	5.04777878992608
57122	exact_discrete	0.5	7	4	5	0.3414365873015873	0.007936507936507936	1.3446773270290644
57122	exact_discrete	0.5	8	5	5	0.32659353174603173	0.003968253968253968	1.5620401777388289
57122	exact_discrete	0.5	9	6	6	0.29996686147186147	0.0010822510822510823	2.031986053226751
57122	exact_discrete	0.5	10	7	7	0.27996660547785546	0.0002913752913752914	2.628912587020366
57122	exact_discrete	0.5	11	8	8	0.26201859751359746	7.77000777000777e-05	3.328494007799461
57122	exact_discrete	0.5	12	10	10	0.23300751483037088	5.412544112234515e-06	4.993297337771277
57122	exact_discrete	0.9	1	4	5	0.21494801587301587	0.007936507936507936	2.2216297195262604
57122	exact_discrete	0.9	2	5	5	0.19545071428571428	0.003968253968253968	2.8141149869238586
57122	exact_discrete	0.9	3	6	6	0.16557718614718614	0.0010822510822510823	4.379332990876327
57122	exact_discrete	0.9	4	7	7	0.14200640734265738	0.0002913752913752914	6.657677224928619
57122	exact_discrete	0.9	5	8	8	0.12225973659673658	7.77000777000777e-05	10.14270450630523
57122	exact_discrete	0.9	6	10	10	0.09415483199463076	5.412544112234515e-06	22.811742487012943
57122	exact_discrete	0.9	7	4	5	0.21540888888888887	0.007936507936507936	2.2078922237195804
57122	exact_discrete	0.9	8	5	5	0.19612436507936507	0.003968253968253968	2.8302413677844256
57122	exact_discrete	0.9	9	6	6	0.16464374458874462	0.0010822510822510823	4.441708628700202
57122	exact_discrete	0.9	10	7	7	0.14133501748251748	0.0002913752913752914	6.803958059413061
57122	exact_discrete	0.9	11	8	8	0.12348129914529911	7.77000777000777e-05	10.072385392715603
57122	exact_discrete	0.9	12	10	10	0.09304942821883999	5.412544112234515e-06	22.77945004393287
57122	v42_plus_one_mc	0.0	1	4	5	0.5340479362063794	0.0053994600539946005	0.9639852436691223
57122	v42_plus_one_mc	0.0	2	5	5	0.5284162873712628	0.0022997700229977	0.9696035972522953
57122	v42_plus_one_mc	0.0	3	6	6	0.5214740705929407	0.00029997000299970003	0.9772062219153872
57122	v42_plus_one_mc	0.0	4	7	7	0.5194445635436457	9.999000099990002e-05	0.9804462500872527
57122	v42_plus_one_mc	0.0	5	8	8	0.5141552584741527	9.999000099990002e-05	0.9864043592379272
57122	v42_plus_one_mc	0.0	6	10	10	0.5116046325367465	9.999000099990002e-05	0.9884233184117016
57122	v42_plus_one_mc	0.0	7	4	5	0.5333225507449255	0.005499450054994501	0.9643685462572796
57122	v42_plus_one_mc	0.0	8	5	5	0.5293623207679231	0.0022997700229977	0.9699660529117874
57122	v42_plus_one_mc	0.0	9	6	6	0.5221465803419658	0.00029997000299970003	0.9768192106964364
57122	v42_plus_one_mc	0.0	10	7	7	0.5190127557244276	9.999000099990002e-05	0.9803349195811895
57122	v42_plus_one_mc	0.0	11	8	8	0.5139053294670534	9.999000099990002e-05	0.9865768393529951
57122	v42_plus_one_mc	0.0	12	10	10	0.5102043505649435	9.999000099990002e-05	0.9883466637764869
57122	v42_plus_one_mc	0.5	1	4	5	0.3413997120287971	0.0051994800519948	1.3403869122003618
57122	v42_plus_one_mc	0.5	2	5	5	0.32751207779222075	0.0018998100189981002	1.5392782339529314
57122	v42_plus_one_mc	0.5	3	6	6	0.29978268073192677	0.00029997000299970003	2.034630363655099
57122	v42_plus_one_mc	0.5	4	7	7	0.2798377452254775	9.999000099990002e-05	2.640376382925839
57122	v42_plus_one_mc	0.5	5	8	8	0.26293395460453955	9.999000099990002e-05	3.060951655799286
57122	v42_plus_one_mc	0.5	6	10	10	0.23263230076992297	9.999000099990002e-05	4.11940824160814
57122	v42_plus_one_mc	0.5	7	4	5	0.3416081631836817	0.0052994700529947	1.3449559704311216
57122	v42_plus_one_mc	0.5	8	5	5	0.32662430356964306	0.0022997700229977	1.5481471120284462
57122	v42_plus_one_mc	0.5	9	6	6	0.30122703829617037	0.00029997000299970003	2.028736462205172
57122	v42_plus_one_mc	0.5	10	7	7	0.28090106289371064	9.999000099990002e-05	2.570481958129504
57122	v42_plus_one_mc	0.5	11	8	8	0.2638385331466854	9.999000099990002e-05	3.1280617448341714
57122	v42_plus_one_mc	0.5	12	10	10	0.2322768113188681	9.999000099990002e-05	4.033484913527184
57122	v42_plus_one_mc	0.9	1	4	5	0.21487062393760628	0.0047995200479952005	2.2145042566393864
57122	v42_plus_one_mc	0.9	2	5	5	0.19412278872112787	0.0020997900209979003	2.8381088672799413
57122	v42_plus_one_mc	0.9	3	6	6	0.16575954404559542	0.00019998000199980003	4.427770363619494
57122	v42_plus_one_mc	0.9	4	7	7	0.14246488551144884	9.999000099990002e-05	6.567739634582318
57122	v42_plus_one_mc	0.9	5	8	8	0.12340133086691331	9.999000099990002e-05	9.00702738497353
57122	v42_plus_one_mc	0.9	6	10	10	0.09408540545945403	9.999000099990002e-05	13.95193058633623
57122	v42_plus_one_mc	0.9	7	4	5	0.21478498250174985	0.0046995300469953	2.2156569613789943
57122	v42_plus_one_mc	0.9	8	5	5	0.1947627637236276	0.0020997900209979003	2.8338931966572254
57122	v42_plus_one_mc	0.9	9	6	6	0.16518627237276273	0.00029997000299970003	4.378557681650085
57122	v42_plus_one_mc	0.9	10	7	7	0.1418841495850415	9.999000099990002e-05	6.6578929167196295
57122	v42_plus_one_mc	0.9	11	8	8	0.12299608539146085	9.999000099990002e-05	8.970425299995638
57122	v42_plus_one_mc	0.9	12	10	10	0.09344333066693329	9.999000099990002e-05	14.21344656129697
57123	exact_discrete	0.0	1	4	5	0.5340999999999999	0.007936507936507936	0.9644083456711169
57123	exact_discrete	0.0	2	5	5	0.5294596428571429	0.003968253968253968	0.9694611698731828
57123	exact_discrete	0.0	3	6	6	0.5238877813852816	0.0010822510822510823	0.9757634259942093
57123	exact_discrete	0.0	4	7	7	0.5176822494172494	0.0002913752913752914	0.9825660209456039
57123	exact_discrete	0.0	5	8	8	0.5141348259518258	7.77000777000777e-05	0.9868209967444121
57123	exact_discrete	0.0	6	10	10	0.5090083781311567	1.082508822446903e-05	0.9912753502641476
57123	exact_discrete	0.0	7	4	5	0.5346607936507937	0.007936507936507936	0.9636923967794797
57123	exact_discrete	0.0	8	5	5	0.5300148809523808	0.003968253968253968	0.9690307755991654
57123	exact_discrete	0.0	9	6	6	0.5200968506493507	0.0010822510822510823	0.9781344674314093
57123	exact_discrete	0.0	10	7	7	0.517656523892774	0.0002913752913752914	0.9821699009684938
57123	exact_discrete	0.0	11	8	8	0.5127453737373736	7.77000777000777e-05	0.9871148235389048
57123	exact_discrete	0.0	12	10	10	0.509866138149776	5.412544112234515e-06	0.990213456427308
57123	exact_discrete	0.5	1	4	5	0.3409601587301587	0.007936507936507936	1.3460243023689897
57123	exact_discrete	0.5	2	5	5	0.32617408730158726	0.003968253968253968	1.5570153158138271
57123	exact_discrete	0.5	3	6	6	0.30155175324675326	0.0010822510822510823	2.0301521742589945
57123	exact_discrete	0.5	4	7	7	0.2797921386946387	0.0002913752913752914	2.6561921586294006
57123	exact_discrete	0.5	5	8	8	0.2634677917637917	7.77000777000777e-05	3.3302583112250175
57123	exact_discrete	0.5	6	10	10	0.23420401464634436	5.412544112234515e-06	5.2191893187134255
57123	exact_discrete	0.5	7	4	5	0.3420023015873016	0.007936507936507936	1.3450017489325767
57123	exact_discrete	0.5	8	5	5	0.325721746031746	0.003968253968253968	1.5609800482910348
57123	exact_discrete	0.5	9	6	6	0.3008524350649351	0.0010822510822510823	2.054991716372212
57123	exact_discrete	0.5	10	7	7	0.2810831672494173	0.0002913752913752914	2.597018396749213
57123	exact_discrete	0.5	11	8	8	0.26308687490287486	7.77000777000777e-05	3.2165915867780073
57123	exact_discrete	0.5	12	10	10	0.23304794177185045	5.412544112234515e-06	5.167571838908074
57123	exact_discrete	0.9	1	4	5	0.21520039682539685	0.007936507936507936	2.2048138131934594
57123	exact_discrete	0.9	2	5	5	0.1952164285714286	0.003968253968253968	2.845136921060729
57123	exact_discrete	0.9	3	6	6	0.16474021645021647	0.0010822510822510823	4.419576616653452
57123	exact_discrete	0.9	4	7	7	0.14177891025641026	0.0002913752913752914	6.7384450671881515
57123	exact_discrete	0.9	5	8	8	0.12282873426573426	7.77000777000777e-05	10.066298558817474
57123	exact_discrete	0.9	6	10	10	0.09355106177877852	5.412544112234515e-06	21.926532773583745
57123	exact_discrete	0.9	7	4	5	0.2157426984126984	0.007936507936507936	2.212477797006141
57123	exact_discrete	0.9	8	5	5	0.19477726190476188	0.003968253968253968	2.8472486639879726
57123	exact_discrete	0.9	9	6	6	0.16561665584415583	0.0010822510822510823	4.437489715161295
57123	exact_discrete	0.9	10	7	7	0.14172484265734264	0.0002913752913752914	6.769964807298769
57123	exact_discrete	0.9	11	8	8	0.12348478010878008	7.77000777000777e-05	9.97399289586066
57123	exact_discrete	0.9	12	10	10	0.09357935368810756	5.412544112234515e-06	22.052786196172946
57123	v42_plus_one_mc	0.0	1	4	5	0.5330660953904609	0.0052994700529947	0.965354067593324
57123	v42_plus_one_mc	0.0	2	5	5	0.5288287221277872	0.0024997500249975004	0.9700978833008779
57123	v42_plus_one_mc	0.0	3	6	6	0.5240128637136287	0.0004999500049995	0.9769304940273456
57123	v42_plus_one_mc	0.0	4	7	7	0.5184208539146086	9.999000099990002e-05	0.9817869443802371
57123	v42_plus_one_mc	0.0	5	8	8	0.5150884821517848	9.999000099990002e-05	0.985164806449277
57123	v42_plus_one_mc	0.0	6	10	10	0.5108189461053894	9.999000099990002e-05	0.989787096590491
57123	v42_plus_one_mc	0.0	7	4	5	0.53478200379962	0.0053994600539946005	0.9635044577127493
57123	v42_plus_one_mc	0.0	8	5	5	0.5274269573042695	0.0023997600239976003	0.9716129693326743
57123	v42_plus_one_mc	0.0	9	6	6	0.5213694800519949	0.0004999500049995	0.9776233804043277
57123	v42_plus_one_mc	0.0	10	7	7	0.5199417348265174	0.00019998000199980003	0.9813611771572903
57123	v42_plus_one_mc	0.0	11	8	8	0.5130920897910208	9.999000099990002e-05	0.9860340717171789
57123	v42_plus_one_mc	0.0	12	10	10	0.5115309349065095	9.999000099990002e-05	0.9880592102411256
57123	v42_plus_one_mc	0.5	1	4	5	0.3416309739026097	0.0051994800519948	1.3430149490319891
57123	v42_plus_one_mc	0.5	2	5	5	0.32587892610738933	0.001999800019998	1.5506506929865087
57123	v42_plus_one_mc	0.5	3	6	6	0.30101136686331365	0.00039996000399960006	2.035323483119598
57123	v42_plus_one_mc	0.5	4	7	7	0.2808298200179982	9.999000099990002e-05	2.5570861450957927
57123	v42_plus_one_mc	0.5	5	8	8	0.2621717088291171	9.999000099990002e-05	3.12740207054961
57123	v42_plus_one_mc	0.5	6	10	10	0.23307286171382866	9.999000099990002e-05	4.092454969137388
57123	v42_plus_one_mc	0.5	7	4	5	0.34251835216478355	0.004999500049995001	1.34165004943713
57123	v42_plus_one_mc	0.5	8	5	5	0.3257876202379762	0.0020997900209979003	1.5626803866219559
57123	v42_plus_one_mc	0.5	9	6	6	0.3007766743325668	0.00029997000299970003	2.054318200665978
57123	v42_plus_one_mc	0.5	10	7	7	0.2803619178082192	9.999000099990002e-05	2.5774006848158564
57123	v42_plus_one_mc	0.5	11	8	8	0.2626622187781221	9.999000099990002e-05	3.0741685711544715
57123	v42_plus_one_mc	0.5	12	10	10	0.23181627737226276	9.999000099990002e-05	4.090334892769784
57123	v42_plus_one_mc	0.9	1	4	5	0.21353093390660935	0.005099490050994901	2.235662556600757
57123	v42_plus_one_mc	0.9	2	5	5	0.1952714378562144	0.0020997900209979003	2.8353933827969793
57123	v42_plus_one_mc	0.9	3	6	6	0.16582375562443755	0.00019998000199980003	4.380067701312244
57123	v42_plus_one_mc	0.9	4	7	7	0.14213727427257272	9.999000099990002e-05	6.595601264245742
57123	v42_plus_one_mc	0.9	5	8	8	0.122138898110189	9.999000099990002e-05	9.018819085081416
57123	v42_plus_one_mc	0.9	6	10	10	0.09316862113788621	9.999000099990002e-05	13.985893800908304
57123	v42_plus_one_mc	0.9	7	4	5	0.21538894010598938	0.004899510048995101	2.2106902899496332
57123	v42_plus_one_mc	0.9	8	5	5	0.19572838216178381	0.0021997800219978004	2.8292665025243493
57123	v42_plus_one_mc	0.9	9	6	6	0.16571940705929405	0.00019998000199980003	4.380046136288293
57123	v42_plus_one_mc	0.9	10	7	7	0.14213598740125985	9.999000099990002e-05	6.588811872417699
57123	v42_plus_one_mc	0.9	11	8	8	0.1227605579442056	9.999000099990002e-05	9.180190985873809
57123	v42_plus_one_mc	0.9	12	10	10	0.0933076482351765	9.999000099990002e-05	14.137940196553085
