study_id	disease	contrast	contrast_type	feature_id	feature_label	metabolite_class	n_case	n_control	hedges_g_case_minus_control	p	fdr_within_study_contrast	ephx2_role	ephx2_family	site
ST000422	T1D	T1D_vs_control	disease_control	ME147224	N-Ethyl N-(2-hydroxy-ethyl) arachidonoyl amine	unclassified	67	68	0.1404899275822702	0.4130665339592048	0.6589388869200841	other_oxylipin		
ST000899	Crohn	Crohn_vs_control	disease_control	ME229669	12,13-DiHOME	unclassified	20	20	-0.1103193414320855	0.7244990058907748	0.839978555323664	diol	linoleate_epome_dihome	12,13
ST000899	Crohn	Crohn_vs_control	disease_control	ME229760	9,10-DiHOME	unclassified	20	20	-0.1589266359451888	0.6128354202302078	0.7503878959388128	diol	linoleate_epome_dihome	9,10
ST000899	Crohn	Crohn_vs_control	disease_control	ME229670	12-HETE	eicosanoid_oxylipin	20	20	0.2608221673159341	0.4056811436812545	0.5521542543815858	other_oxylipin		
ST000899	Crohn	Crohn_vs_control	disease_control	ME229671	HODE	unclassified	20	20	-1.0328840151303054	0.0023816453047654	0.0073702225057559	other_oxylipin		
ST000899	UC	UC_vs_control	disease_control	ME229669	12,13-DiHOME	unclassified	20	20	0.5592556768915417	0.0803141716250463	0.3774080075745215	diol	linoleate_epome_dihome	12,13
ST000899	UC	UC_vs_control	disease_control	ME229760	9,10-DiHOME	unclassified	20	20	0.7298253031318526	0.0248260031397494	0.2673845959661463	diol	linoleate_epome_dihome	9,10
ST000899	UC	UC_vs_control	disease_control	ME229670	12-HETE	eicosanoid_oxylipin	20	20	0.3685936685982829	0.2423978232237514	0.5734982669970834	other_oxylipin		
ST000899	UC	UC_vs_control	disease_control	ME229671	HODE	unclassified	20	20	0.3366750138030511	0.2852276829114084	0.6114625406822844	other_oxylipin		
ST002470	UC	UC_week0_modsev_vs_mild	severity	ME583600	12,13-DiHOME	unclassified	22	10	-0.2222797466497815	0.5565917692977659	0.7703399392562235	diol	linoleate_epome_dihome	12,13
ST002470	UC	UC_week0_modsev_vs_mild	severity	ME583617	9,10-DiHOME	unclassified	22	10	-0.2173996330026094	0.5791548463851666	0.7807865336451875	diol	linoleate_epome_dihome	9,10
ST002470	UC	UC_week0_modsev_vs_mild	severity	ME583599	11-HETE	eicosanoid_oxylipin	18	9	-0.1938105284066495	0.6363204842583794	0.8228087256484905	other_oxylipin		
ST002470	UC	UC_week0_modsev_vs_mild	severity	ME583682	12-HEPE	eicosanoid_oxylipin	15	8	0.3505153331058222	0.4137102013957061	0.6670513481049509	other_oxylipin		
ST002470	UC	UC_week0_modsev_vs_mild	severity	ME583601	12-HETE	eicosanoid_oxylipin	22	10	0.1863717340116732	0.6479830227815402	0.8288829277667901	other_oxylipin		
ST002470	UC	UC_week0_modsev_vs_mild	severity	ME583602	13-HODE	unclassified	22	10	-0.5944635062327736	0.1780687767656378	0.4580709169094853	other_oxylipin		
ST002470	UC	UC_week0_modsev_vs_mild	severity	ME583603	15-HETE	eicosanoid_oxylipin	22	10	0.1929862685590578	0.614213992306154	0.8013401189944088	other_oxylipin		
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	ME583600	12,13-DiHOME	unclassified	18	22	-0.2686741695827733	0.363644686552862	0.4957553030158868	diol	linoleate_epome_dihome	12,13
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	ME583617	9,10-DiHOME	unclassified	18	22	-0.6217357450779464	0.0416601170261194	0.093058093725795	diol	linoleate_epome_dihome	9,10
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	ME583599	11-HETE	eicosanoid_oxylipin	16	18	-0.3511060474986369	0.3004428688566541	0.4436263139072746	other_oxylipin		
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	ME583682	12-HEPE	eicosanoid_oxylipin	6	15	-0.2709755624184877	0.5404658402608943	0.6680121081662667	other_oxylipin		
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	ME583601	12-HETE	eicosanoid_oxylipin	18	22	-0.529048598287944	0.0948836129832983	0.1775713888222138	other_oxylipin		
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	ME583602	13-HODE	unclassified	18	22	-0.2221835288851761	0.4860356558770899	0.6132304289055832	other_oxylipin		
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	ME583603	15-HETE	eicosanoid_oxylipin	18	22	-0.7957613346059891	0.0113023848624009	0.0325222773906239	other_oxylipin		
ST002949	AS	AS_vs_control	disease_control	ME763801	9,10-DiHOME	unclassified	119	109	0.1950005055186936	0.1449355982040687	0.1449355982040687	diol	linoleate_epome_dihome	9,10
