path	line	check	status	detail	header
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	55	external_row_has_source_locator	PASS	| `ebi.ac.uk` | European Nucleotide Archive | `external-unverifiable` | `orthogonal` | https://www.ebi.ac.uk/ena/browser/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	56	external_row_has_source_locator	PASS	| `europepmc.org` | Europe PMC | `external-unverifiable` | `orthogonal` | https://europepmc.org/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	57	external_row_has_source_locator	PASS	| `fda.gov` | FDA FDALabel | `external-unverifiable` | `orthogonal` | https://www.fda.gov/science-research/bioinformatics-tools/fdalabel-full-text-search-drug-product-labeling | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	58	external_row_has_source_locator	PASS	| `info.figshare.com` | Figshare | `external-unverifiable` | `orthogonal` | https://info.figshare.com/about/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	59	external_row_has_source_locator	PASS	| `ncbi.nlm.nih.gov` | NCBI Gene Expression Omnibus | `external-unverifiable` | `orthogonal` | https://www.ncbi.nlm.nih.gov/geo/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	60	external_row_has_source_locator	PASS	| `ebi.ac.uk` | NHGRI-EBI GWAS Catalog | `external-unverifiable` | `orthogonal` | https://www.ebi.ac.uk/gwas/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	61	external_row_has_source_locator	PASS	| `imsgc.net` | International Multiple Sclerosis Genetics Consortium | `external-unverifiable` | `orthogonal` | https://imsgc.net/publications/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	62	external_row_has_source_locator	PASS	| `mssociety.org.uk` | MS Society UK Types of MS | `external-unverifiable` | `orthogonal` | https://www.mssociety.org.uk/about-ms/types-of-ms | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	63	external_row_has_source_locator	PASS	| `msbase.org` | MSBase Registry | `external-unverifiable` | `orthogonal` | https://www.msbase.org/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	64	external_row_has_source_locator	PASS	| `msda.emif-catalogue.eu` | MS Data Alliance Catalogue | `external-unverifiable` | `orthogonal` | https://msda.emif-catalogue.eu/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	65	external_row_has_source_locator	PASS	| `ngdc.cncb.ac.cn` | MSGD / Multiple Sclerosis Gene Database | `external-unverifiable` | `orthogonal` | https://ngdc.cncb.ac.cn/databasecommons/database/id/9285 | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	66	external_row_has_source_locator	PASS	| `atlasofms.org` | MS International Federation Atlas of MS | `external-unverifiable` | `orthogonal` | https://atlasofms.org/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	67	external_row_has_source_locator	PASS	| `narcoms.org` | NARCOMS Registry | `external-unverifiable` | `orthogonal` | https://www.narcoms.org/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	68	external_row_has_source_locator	PASS	| `nationalmssociety.org` | National Multiple Sclerosis Society Disease Modification | `external-unverifiable` | `orthogonal` | https://www.nationalmssociety.org/for-professionals/for-healthcare-professionals/managing-and-treating-ms/diseas	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	69	external_row_has_source_locator	PASS	| `nationalmssociety.org` | National Multiple Sclerosis Society Types of MS | `external-unverifiable` | `orthogonal` | https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	70	external_row_has_source_locator	PASS	| `england.nhs.uk` | NHS England MS DMT treatment algorithm | `external-unverifiable` | `orthogonal` | https://www.england.nhs.uk/wp-content/uploads/2024/03/treatment-algorithm-for-multiple-sclerosis-disease-modifying-therapies-july-23.pdf 	| source domain | record | class | relationship | source | marker |
