sample	module	module_score	n_present	present_genes	donor	sirna	time	stimulation	plate
S44	epithelial_chemokine_entry	4.025399918011221	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT4	1	TNF (1) + IL17 (1)	2
S45	epithelial_chemokine_entry	3.4705636179614237	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT4	6	TNF (1)	2
S46	epithelial_chemokine_entry	4.514464559900828	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT4	6	TNF (1) + IL17 (1)	2
S47	epithelial_chemokine_entry	3.3006122476178392	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT4	16	TNF (1)	2
S48	epithelial_chemokine_entry	4.67917919801299	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT4	16	TNF (1) + IL17 (1)	2
S49	epithelial_chemokine_entry	0.6263773181868861	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	Ctrl	0	None	2
S50	epithelial_chemokine_entry	0.7462356663650103	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	Ctrl	0	None	2
S51	epithelial_chemokine_entry	4.837853116658368	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	Ctrl	1	TNF (1)	2
S52	epithelial_chemokine_entry	4.875408070596444	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	Ctrl	1	TNF (1) + IL17 (1)	2
S53	epithelial_chemokine_entry	3.889594413644969	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	Ctrl	6	TNF (1)	2
S54	epithelial_chemokine_entry	5.58453734608081	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	Ctrl	6	TNF (1) + IL17 (1)	2
S55	epithelial_chemokine_entry	3.6798710138614497	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	Ctrl	16	TNF (1)	2
S56	epithelial_chemokine_entry	5.420360153070935	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	Ctrl	16	TNF (1) + IL17 (1)	2
S57	epithelial_chemokine_entry	0.7214711312116175	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	CUX1	0	None	2
S58	epithelial_chemokine_entry	0.9474781003728578	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	CUX1	0	None	2
S59	epithelial_chemokine_entry	4.006058346935632	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	CUX1	1	TNF (1)	2
S60	epithelial_chemokine_entry	4.262493968652237	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	CUX1	1	TNF (1) + IL17 (1)	2
S61	epithelial_chemokine_entry	3.4848756681695816	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	CUX1	6	TNF (1)	2
S62	epithelial_chemokine_entry	4.880064059833874	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	CUX1	6	TNF (1) + IL17 (1)	2
S63	epithelial_chemokine_entry	3.2993091451088206	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	CUX1	16	TNF (1)	2
S64	epithelial_chemokine_entry	5.011232775917939	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	CUX1	16	TNF (1) + IL17 (1)	2
S65	epithelial_chemokine_entry	1.0274061577434401	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	LIFR	0	None	2
S66	epithelial_chemokine_entry	0.8322821942585279	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	LIFR	0	None	2
S67	epithelial_chemokine_entry	4.39769797907554	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	LIFR	1	TNF (1)	2
S68	epithelial_chemokine_entry	4.760475432346908	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	LIFR	1	TNF (1) + IL17 (1)	2
S69	epithelial_chemokine_entry	3.9110279373786128	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	LIFR	6	TNF (1)	2
S70	epithelial_chemokine_entry	5.071870676556452	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	LIFR	6	TNF (1) + IL17 (1)	2
S71	epithelial_chemokine_entry	3.718549983616338	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	LIFR	16	TNF (1)	2
S72	epithelial_chemokine_entry	4.6169295079495	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	LIFR	16	TNF (1) + IL17 (1)	2
S73	epithelial_chemokine_entry	0.739125158081181	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	ELF3	0	None	2
S74	epithelial_chemokine_entry	0.9435657967731631	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	ELF3	0	None	2
S75	epithelial_chemokine_entry	4.263921748813125	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	ELF3	1	TNF (1)	2
S76	epithelial_chemokine_entry	4.406532638779053	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	ELF3	1	TNF (1) + IL17 (1)	2
S77	epithelial_chemokine_entry	4.164131647752946	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	ELF3	6	TNF (1)	2
S78	epithelial_chemokine_entry	5.255566050612996	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	ELF3	6	TNF (1) + IL17 (1)	2
S79	epithelial_chemokine_entry	4.086241591212039	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	ELF3	16	TNF (1)	2
S80	epithelial_chemokine_entry	5.305827031863628	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	ELF3	16	TNF (1) + IL17 (1)	2
S81	epithelial_chemokine_entry	0.3915903274207918	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT3	0	None	2
S82	epithelial_chemokine_entry	1.067793461982167	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT3	0	None	2
S83	epithelial_chemokine_entry	3.826223092328992	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT3	1	TNF (1)	2
S84	epithelial_chemokine_entry	3.937508776701865	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT3	1	TNF (1) + IL17 (1)	2
S85	epithelial_chemokine_entry	4.19314710923892	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT3	6	TNF (1)	2
S86	epithelial_chemokine_entry	5.037391979679386	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT3	6	TNF (1) + IL17 (1)	2
S87	epithelial_chemokine_entry	3.896136569139543	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT3	16	TNF (1)	2
S88	epithelial_chemokine_entry	4.839460152184975	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT3	16	TNF (1) + IL17 (1)	2
S89	epithelial_chemokine_entry	0.19291969623859678	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT4	0	None	2
S90	epithelial_chemokine_entry	0.7189727076711708	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT4	0	None	2
S91	epithelial_chemokine_entry	4.963976791034557	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT4	1	TNF (1)	2
S92	epithelial_chemokine_entry	4.597288987724734	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT4	1	TNF (1) + IL17 (1)	2
S93	epithelial_chemokine_entry	4.3848016005348125	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT4	6	TNF (1)	2
S94	epithelial_chemokine_entry	5.489540303116987	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT4	6	TNF (1) + IL17 (1)	2
S95	epithelial_chemokine_entry	1.3025014562501014	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT4	16	TNF (1)	2
S96	epithelial_chemokine_entry	5.231884965400653	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA7	STAT4	16	TNF (1) + IL17 (1)	2
S97	epithelial_chemokine_entry	1.214191918808706	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	Ctrl	0	None	1
S98	epithelial_chemokine_entry	0.9535333806451385	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	Ctrl	0	None	1
S99	epithelial_chemokine_entry	4.699221129874099	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	Ctrl	1	TNF (1)	1
S100	epithelial_chemokine_entry	4.71092479926796	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	Ctrl	1	TNF (1) + IL17 (1)	1
S101	epithelial_chemokine_entry	3.942427452266525	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	Ctrl	6	TNF (1)	1
S102	epithelial_chemokine_entry	5.565667436994855	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	Ctrl	6	TNF (1) + IL17 (1)	1
S103	epithelial_chemokine_entry	3.9828516675599843	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	Ctrl	16	TNF (1)	1
S104	epithelial_chemokine_entry	5.193282249557457	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	Ctrl	16	TNF (1) + IL17 (1)	1
S105	epithelial_chemokine_entry	0.650725374756275	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	CUX1	0	None	1
S106	epithelial_chemokine_entry	0.6473401300843797	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	CUX1	0	None	1
S107	epithelial_chemokine_entry	3.639652215869348	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	CUX1	1	TNF (1)	1
S108	epithelial_chemokine_entry	3.8277372296178727	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	CUX1	1	TNF (1) + IL17 (1)	1
S109	epithelial_chemokine_entry	3.393234636949618	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	CUX1	6	TNF (1)	1
S110	epithelial_chemokine_entry	4.623254637157178	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	CUX1	6	TNF (1) + IL17 (1)	1
S111	epithelial_chemokine_entry	3.0736566223627118	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	CUX1	16	TNF (1)	1
S112	epithelial_chemokine_entry	5.319247601392647	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	CUX1	16	TNF (1) + IL17 (1)	1
S113	epithelial_chemokine_entry	1.019498286160248	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	LIFR	0	None	1
S114	epithelial_chemokine_entry	0.9567694556424982	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	LIFR	0	None	1
S115	epithelial_chemokine_entry	4.2701149102976785	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	LIFR	1	TNF (1)	1
S116	epithelial_chemokine_entry	4.1331866327784095	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	LIFR	1	TNF (1) + IL17 (1)	1
S117	epithelial_chemokine_entry	3.909713776121099	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	LIFR	6	TNF (1)	1
S118	epithelial_chemokine_entry	4.644018286836488	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	LIFR	6	TNF (1) + IL17 (1)	1
S119	epithelial_chemokine_entry	3.732938859156378	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	LIFR	16	TNF (1)	1
S120	epithelial_chemokine_entry	5.004646142029371	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	LIFR	16	TNF (1) + IL17 (1)	1
S121	epithelial_chemokine_entry	1.3587018403871118	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	ELF3	0	None	1
S122	epithelial_chemokine_entry	1.0631629723352127	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	ELF3	0	None	1
S123	epithelial_chemokine_entry	4.502937240457657	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	ELF3	1	TNF (1)	1
S124	epithelial_chemokine_entry	4.3546179424114895	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	ELF3	1	TNF (1) + IL17 (1)	1
S125	epithelial_chemokine_entry	3.93883645904069	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	ELF3	6	TNF (1)	1
S126	epithelial_chemokine_entry	5.358995991730589	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	ELF3	6	TNF (1) + IL17 (1)	1
S127	epithelial_chemokine_entry	3.788278985045993	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	ELF3	16	TNF (1)	1
S128	epithelial_chemokine_entry	5.776659532895902	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	ELF3	16	TNF (1) + IL17 (1)	1
S129	epithelial_chemokine_entry	1.0828170146296603	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT3	0	None	1
S130	epithelial_chemokine_entry	1.1127923374969666	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT3	0	None	1
S131	epithelial_chemokine_entry	3.8783424209026345	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT3	1	TNF (1)	1
S132	epithelial_chemokine_entry	3.8564147201687797	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT3	1	TNF (1) + IL17 (1)	1
S133	epithelial_chemokine_entry	3.8624558554379433	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT3	6	TNF (1)	1
S134	epithelial_chemokine_entry	4.7739051804844985	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT3	6	TNF (1) + IL17 (1)	1
