gene	modules	call	biomarker_candidate	target_nomination_allowed	target_closed_or_prior	cross_system	ibd_fdr_contexts_ge2	ra_fdr10	predictive_auc_ge_0_75	effect_abs_g_ge_1	ms_context_trend	weighted_mean_hedges_g_responder_minus_non	median_auc_high_score_nonresponse	fdr10_nonresponse_contexts	fdr_ra	ra_replication_call	cross_system_call	ms_delta_log2	ms_p	wave122_call
CCL3	inflammatory_nfkb	NO_STRATIFICATION_SALVAGE	False	False	False	False	True	False	True	True	False	-1.3914078199742883	0.8479166666666667	3		NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	-0.2101297312042689	0.5505093145587491	NO_GO_FRESH_SCAN
ACSL1	lipid_loader_repair	NO_STRATIFICATION_SALVAGE	False	False	True	False	True	False	True	True	False	-1.3279261929404635	0.8218005952380952	2	0.6815522102585347	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE			
OSM	inflammatory_nfkb	NO_STRATIFICATION_SALVAGE	False	False	False	False	True	False	True	True	False	-1.431254442057994	0.8145833333333333	2	0.602993554573609	RA_BASELINE_SAME_DIRECTION_WEAK	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.0762340874548801	0.8590024396793193	NO_GO_FRESH_SCAN
IFI30	ifn_apc;lysosomal_apc	NO_STRATIFICATION_SALVAGE	False	False	True	False	True	False	True	False	False	-0.9749187121510496	0.79453125	2	0.838990948246161	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.21016237009791	0.379946954952182	NO_GO_FRESH_SCAN
SPP1	lipid_loader_repair	NO_STRATIFICATION_SALVAGE	False	False	True	False	True	False	True	True	False	-1.2339279904417342	0.7854166666666667	2	0.7568722645130643	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE			
GBP1	ifn_apc	NO_STRATIFICATION_SALVAGE	False	False	False	False	True	False	False	False	True	-0.8449835988760043	0.7319568452380952	2	0.2858870110065317	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.491428502182563	0.0681848307220474	NO_GO_FRESH_SCAN
CXCL10	ifn_apc	NO_STRATIFICATION_SALVAGE	False	False	False	False	True	False	False	False	True	-0.8555808106223287	0.7279761904761906	2	0.882306480160059	RA_BASELINE_SAME_DIRECTION_WEAK	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	1.0833175761966238	0.0961728499382612	NO_GO_FRESH_SCAN
CXCR4	mif_cd74_receptor_state	NO_STRATIFICATION_SALVAGE	False	False	False	False	False	False	False	False	False	-0.7992404720915058	0.7138020833333334	1	0.1262389249328699	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.3120868456565837	0.3176858396110893	NO_GO_FRESH_SCAN
TNF	inflammatory_nfkb	NO_STRATIFICATION_SALVAGE	False	False	False	False	False	False	False	False	False	-0.69030184630918	0.7105654761904762	1		NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.0670686782474163	0.8722537108638305	NO_GO_FRESH_SCAN
HLA-DRB1	hla_ii_apc;ifn_apc;mif_cd74_receptor_state	NO_STRATIFICATION_SALVAGE	False	False	False	False	False	False	False	False	True	-0.5088992011453852	0.6981770833333334	1	0.1764612197321706	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.5468677387854282	0.057765674762618	NO_GO_FRESH_SCAN
IRF1	ifn_apc	NO_STRATIFICATION_SALVAGE	False	False	False	False	False	False	False	False	False	-0.5843905657803538	0.6434151785714286	1	0.7568722645130643	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	-0.0303981739668568	0.9222930745319916	NO_GO_FRESH_SCAN
APOE	lipid_loader_repair	NO_STRATIFICATION_SALVAGE	False	False	False	False	False	False	False	False	False	-0.4744409394597065	0.625	1	0.5512355321714882	RA_BASELINE_SAME_DIRECTION_WEAK	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.3729255468001433	0.120208663256457	NO_GO_FRESH_SCAN
CTSS	lysosomal_apc	NO_STRATIFICATION_SALVAGE	False	False	False	False	False	False	False	False	False	-0.3122179821290525	0.5363095238095239	1	0.1233560824177748	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.189873422640673	0.1407159118865243	NO_GO_FRESH_SCAN
MERTK	complement_phagocytosis;lipid_loader_repair	NO_STRATIFICATION_SALVAGE	False	False	True	False	False	False	False	False	False	-0.3858509746932523	0.5264136904761905	1	0.7568722645130643	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.2471109034794576	0.4292940108131474	NO_GO_FRESH_SCAN
