J10135	J10137	J10138	J10139	J10140	J10141	J10143	J10147	J10148	J10150	J10152	J10155	J10156	J10159	J10162	J10164	J10165	J10166	J10167	J10168	J10171	J10172	J10173	J10174	J10175	J10180	J10181	J10183	J10184	J10185	J10187	J10193	J10194	J10196	J10197	J10200	J10203	J10204	J10208	J10209	J10213	J10214	J10215	J10217	J10218	J10219	J10220	J10224	J10226	J10228	J10232	J10234	J10235	J10238	I02255	I02256	I02258	I02260	I02263	I02269	I02272	I02275	I02276	I02277	I02278	I02279	I02280	I02283	I02284	I02286	I02287	I02288	I02290	I02291	I02292	I02293	I02294	I02296	I02297	I02298	I02300	I02301	I02302	I02303	J03062	J03063	J03065	J03066	J03067	J03069	J03070	J03071	J03072	J03073	J03075	J03077	J03078	J03079	J03080	J03081	J03083	J03084	J03087	J03089	J03090	J03091	J03092	J03093	J03094	J03095	J03097	J03099	J03100	J03102	J03103	J03106	J03107	J03108	J03110	J03112	J03113	J03114	J03115	J03117	J03118	J03121	I06617	I06618	I06619	I06620	I17272	I17275	I17276	I17277	I17280	I17281	I17282	I17285	I17286	I17288	I17289	I21313	J06237	J06238	J06239	J10262	J10263	J10264	J10265	feature_id
0	0	0	0	0	0	0	0	2	0	0	0	0	22	0	257	3	0	0	7	55	34	0	20	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	12	0	0	0	956	0	18	0	0	7	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	320	0	0	0	0	24	0	0	271	0	10	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	15	ASV16
273	0	0	0	0	0	0	0	0	0	0	0	0	0	54	466	0	199	79	0	0	0	365	440	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	15	0	0	0	0	0	0	30	1138	39	0	0	0	716	0	0	3441	4290	1715	1077	0	0	0	0	2706	7	0	0	0	0	0	0	0	287	617	0	51	0	0	309	0	0	0	0	2350	812	97	0	0	78	613	0	0	532	0	0	0	0	2021	0	0	0	0	0	0	109	1128	0	4244	0	0	123	0	0	1930	0	0	0	1926	0	0	0	0	0	0	0	682	0	0	0	0	0	725	0	0	0	1523	0	0	0	0	518	ASV18
0	0	0	187	1267	61	0	0	0	0	0	252	0	0	0	111	0	0	16	0	220	0	0	0	0	0	0	42	0	0	0	133	423	127	73	262	5	74	0	0	0	0	0	0	0	0	96	0	108	0	0	1	394	64	0	0	663	0	359	0	0	169	0	0	0	1985	0	0	0	0	0	2667	0	0	0	0	273	945	0	0	471	0	0	0	1348	0	49	0	0	0	0	881	160	413	0	0	307	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	70	113	0	0	0	868	935	0	0	0	911	0	0	0	0	0	373	274	0	0	0	36	0	0	0	0	0	0	0	3337	0	0	0	1	0	0	0	ASV19
0	85	13	0	20	156	2	0	136	360	0	0	204	0	66	133	0	71	695	0	0	0	1123	0	138	458	28	0	0	0	0	261	0	0	31	450	186	0	854	85	0	271	46	0	0	479	22	0	0	0	0	0	0	41	373	55	563	0	65	112	14	0	293	0	0	0	47	3	0	3	261	0	0	0	0	0	0	0	0	0	185	121	0	457	0	269	1078	651	0	0	0	0	314	1254	501	0	0	265	0	320	451	268	2821	2763	230	331	4469	15	1081	0	0	380	2748	780	0	339	0	0	0	215	2	131	440	206	1521	183	3	28	0	0	17	61	0	52	19	406	45	9	0	0	0	0	2	0	27	56	356	0	222	ASV20
1314	0	0	0	0	0	119	283	0	0	0	15	0	0	0	0	256	0	31	0	0	0	122	0	0	0	0	0	6	753	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	410	0	238	0	0	0	173	0	0	0	0	71	0	0	0	0	0	0	0	19	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	75	0	0	98	25	0	147	744	0	61	0	945	0	114	1552	391	0	0	0	911	0	0	0	0	139	0	0	93	0	1291	0	0	0	0	0	760	0	0	1061	514	0	0	469	1857	0	64	0	0	0	0	0	0	148	23	0	0	13	0	145	0	86	0	490	ASV21
0	9	4	0	0	34	0	0	233	451	0	237	0	56	60	116	722	464	0	0	31	25	26	0	0	205	9	0	0	112	0	86	7	64	21	0	0	0	0	6	0	761	67	0	0	0	46	5	195	0	0	108	0	14	850	0	5	0	134	3069	0	8	0	0	0	0	30	27	0	533	5586	0	0	0	1237	0	0	0	944	11	0	13	1640	2821	0	0	21	0	0	0	0	0	36	1249	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	5654	0	0	1128	182	0	61	0	505	0	0	0	369	28	936	60	140	0	0	17	0	0	0	0	0	167	0	0	0	2431	0	0	0	0	0	ASV23
27	226	14	60	18	160	532	0	74	407	0	51	52	118	101	154	70	37	0	33	45	211	55	114	112	54	51	72	164	67	0	157	434	0	556	491	124	359	73	58	90	64	100	326	24	22	97	1190	111	0	0	0	0	0	0	127	0	0	0	0	140	0	0	0	0	52	69	0	22	89	0	18	12	34	0	12	8	50	0	0	21	51	0	0	41	9	19	56	0	9	0	0	29	154	111	0	0	406	0	0	1381	48	30	110	0	153	1094	0	0	78	0	187	16	13	0	229	204	56	193	0	0	45	0	42	0	80	220	0	0	0	131	0	36	0	64	0	95	58	34	0	0	22	0	0	0	0	0	0	24	ASV24
0	0	0	495	0	8	1241	0	0	100	43	15	0	129	73	90	879	375	0	0	0	0	23	0	58	56	0	0	0	708	0	113	261	223	33	0	0	0	244	562	697	0	27	0	1060	10	0	10	0	0	282	0	0	95	386	32	0	0	0	151	19	0	323	287	481	48	0	209	0	682	635	34	0	3	398	0	0	5	367	78	0	0	860	0	0	1716	163	187	1297	0	63	2256	661	48	1847	796	20	169	0	0	85	0	444	2421	0	675	5648	1968	1284	0	1413	0	0	649	609	495	17	0	18	0	663	726	16	340	0	383	772	230	0	0	460	0	0	0	76	101	144	12	0	0	0	0	663	0	101	599	0	1403	321	ASV25
0	77	0	0	203	0	0	0	0	43	139	0	76	62	220	0	0	0	116	226	302	0	0	0	0	203	0	75	0	0	0	143	308	129	74	0	0	48	0	0	0	0	48	0	0	0	56	0	124	383	0	203	407	96	0	324	0	93	326	0	350	0	28	0	0	0	0	0	47	108	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	709	0	0	0	438	0	610	0	344	0	0	0	256	249	0	124	0	1486	0	90	0	31	86	436	594	0	836	0	0	0	1222	0	3697	0	697	0	0	346	1481	468	0	132	0	372	476	85	0	217	0	0	69	455	0	891	0	272	0	0	118	0	958	0	0	0	ASV28
0	81	0	0	185	0	120	0	0	65	0	72	358	106	21	0	0	0	0	0	0	0	279	190	13	863	57	262	0	0	483	0	907	0	0	492	0	29	35	0	158	0	49	0	76	201	65	44	0	93	65	0	171	53	406	86	0	302	33	57	128	83	0	0	0	0	162	145	521	0	249	0	0	154	0	0	151	170	0	155	0	54	0	179	217	0	0	257	0	702	0	0	0	0	0	0	44	0	377	0	0	0	0	0	413	202	0	0	783	0	0	0	0	0	0	398	510	0	505	1089	736	226	65	0	0	88	0	214	0	0	0	0	0	107	212	35	0	112	591	32	72	427	0	482	167	0	0	0	79	ASV29
0	758	0	29	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	43	0	0	0	0	0	23	0	79	0	31	0	0	0	6	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	16	0	36	0	0	14	0	47	0	0	62	0	0	0	0	0	9	0	545	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	ASV33
0	0	0	0	0	0	0	49	0	0	0	179	0	766	0	485	889	0	95	22	0	0	0	79	0	0	0	0	9	0	88	0	0	71	0	0	0	0	87	0	0	0	0	8	0	0	309	0	0	0	0	184	782	0	0	0	0	67	41	0	0	0	0	0	0	0	531	0	285	0	0	0	0	290	0	0	0	0	0	0	0	241	0	0	0	0	0	1086	0	206	0	0	0	0	0	0	0	0	0	745	0	152	2254	0	0	0	20	0	0	684	0	925	0	0	0	0	0	0	0	0	340	0	145	1160	0	0	0	116	0	0	0	340	197	801	720	0	541	508	329	0	171	0	0	0	329	0	516	0	0	ASV34
0	0	0	0	870	0	0	0	0	210	0	0	0	1174	0	0	270	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	410	1118	41	0	252	0	0	0	0	0	0	9	0	0	0	0	0	239	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	149	0	0	0	0	0	356	377	0	0	0	692	0	123	296	372	0	0	0	61	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	51	0	0	541	0	0	0	244	1121	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	ASV35
0	0	0	402	423	0	0	0	0	0	0	302	0	280	0	102	0	114	0	0	0	0	0	0	0	0	0	101	83	0	0	130	261	446	89	0	0	0	103	0	564	0	0	0	0	1295	0	0	622	0	111	0	0	0	0	0	0	0	0	1509	0	0	0	0	0	0	0	0	0	208	1359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	47	0	401	0	0	550	0	0	0	0	0	0	0	0	0	0	0	107	0	35	0	0	0	0	0	507	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	ASV36
264	0	19	17	62	0	0	0	0	0	0	0	432	38	0	0	0	0	694	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	4	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	1670	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	67	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	138	0	0	53	0	0	140	0	0	21	0	0	79	0	0	0	0	0	0	436	0	177	290	0	0	222	0	0	72	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	1051	0	0	0	0	300	0	ASV37
0	0	0	63	0	24	143	6	118	78	0	40	16	38	0	0	59	80	89	0	0	0	0	0	0	62	12	0	0	0	85	0	1000	201	0	0	21	0	124	0	0	0	89	0	0	58	0	19	68	0	10	10	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	32	47	418	0	0	0	0	220	0	328	275	103	38	0	0	807	0	456	0	0	0	0	228	0	269	0	0	0	0	0	53	1940	434	117	139	30	0	0	45	22	0	0	232	0	90	0	0	0	0	401	999	0	0	257	134	0	474	45	74	319	13	0	0	78	65	52	0	0	0	0	0	654	0	6	1523	0	0	0	0	64	0	37	ASV40
0	93	2472	0	307	0	47	294	0	0	0	0	1065	44	0	0	233	0	0	0	32	28	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	113	691	0	0	0	0	0	0	0	473	0	0	625	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	29	382	0	0	0	0	0	0	0	0	243	0	0	0	0	393	0	1233	71	1445	0	0	243	0	0	0	21	76	20	0	0	0	0	0	0	133	624	0	0	843	0	115	0	0	0	0	0	174	59	0	0	931	0	1840	0	21	0	0	0	26	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	ASV41
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	23	0	0	0	0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	52	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	ASV42
438	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	17	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	ASV44
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	ASV47
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV50
0	32	0	0	144	13	20	0	0	0	95	88	0	0	22	22	0	0	44	35	107	102	0	30	176	0	0	0	40	0	0	58	22	35	7	0	0	97	0	0	0	0	54	0	30	0	6	26	132	152	0	0	31	84	218	0	46	0	75	0	0	129	0	0	0	1185	53	0	0	368	0	1259	200	30	296	62	433	973	131	0	139	0	148	0	945	0	127	0	0	0	0	0	31	0	149	0	0	0	0	0	0	0	0	96	990	515	138	0	0	339	0	349	160	142	369	0	0	0	609	1295	181	156	354	0	0	249	427	25	0	0	106	0	195	41	0	0	0	0	0	0	33	3865	0	0	0	352	0	0	93	ASV51
0	59	0	0	308	0	0	0	22	0	323	95	67	20	90	0	0	0	0	122	109	0	239	0	0	67	0	0	0	132	257	43	0	0	0	0	31	0	122	0	0	0	45	0	0	0	0	42	0	211	0	0	261	33	0	380	8	0	0	0	356	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	248	414	0	0	795	0	0	0	813	1377	0	0	42	0	906	610	0	339	370	256	47	0	208	19	0	56	0	60	69	0	173	0	203	184	562	230	48	0	0	1121	205	4897	240	533	101	0	0	0	408	0	140	38	357	427	80	0	31	0	0	26	0	0	0	0	19	775	62	0	0	2082	86	330	0	ASV52
0	0	0	0	0	0	0	0	0	244	0	0	0	846	0	0	278	0	0	0	0	0	0	2064	0	0	15	0	0	0	0	0	0	0	0	0	187	569	0	0	127	0	0	0	0	0	0	13	23	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	185	0	0	1682	0	0	0	0	0	0	0	70	0	0	82	0	0	0	0	0	222	368	0	0	0	376	0	0	182	0	0	0	0	1106	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	962	0	0	531	635	0	0	194	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	ASV53
0	91	57	203	200	19	140	129	511	37	58	45	48	0	108	39	119	0	23	0	166	62	5	0	35	0	141	113	0	0	0	0	156	264	451	55	34	77	0	203	0	56	58	198	0	97	236	73	136	200	0	167	0	44	257	0	0	46	0	0	0	0	0	86	157	0	100	48	101	68	0	0	0	79	0	0	0	0	0	36	0	200	0	0	0	0	79	0	0	26	152	0	93	72	0	78	0	0	41	0	0	12	0	0	0	0	14	0	0	302	197	129	0	0	0	0	27	0	0	0	113	0	0	0	0	0	57	147	96	32	0	5	0	100	0	0	0	0	30	0	9	0	0	0	0	0	0	50	0	ASV54
0	365	489	128	14	48	79	187	0	544	151	111	37	0	43	90	71	0	0	188	0	18	0	0	73	0	49	0	19	42	0	0	354	0	124	0	259	0	136	0	0	0	67	0	0	89	0	221	252	110	0	52	20	104	0	0	0	26	339	0	0	0	72	0	0	0	0	34	63	0	0	0	107	0	69	0	0	0	92	35	86	0	51	0	0	80	0	17	0	59	248	0	0	247	0	189	0	149	0	0	0	0	0	0	119	407	0	0	85	527	432	639	107	27	1173	0	0	46	56	149	196	0	0	0	0	133	0	0	0	0	0	0	284	0	117	137	0	0	0	242	77	0	0	76	0	88	0	72	68	ASV55
0	534	1207	197	0	48	172	222	0	387	76	0	27	0	0	56	91	0	18	84	8	0	0	0	0	0	0	0	0	0	0	0	56	261	162	0	137	95	0	0	0	0	145	0	0	48	16	92	249	0	0	0	0	0	0	35	0	0	83	0	0	0	62	0	0	0	0	191	31	34	0	0	286	0	109	28	0	0	81	97	0	0	0	0	14	0	0	0	0	42	182	0	0	446	0	197	0	65	12	0	0	0	0	0	134	158	0	0	43	0	385	646	0	31	597	0	0	0	0	194	822	7	0	0	0	64	29	121	0	0	32	0	0	0	33	79	0	0	0	160	35	50	0	42	0	0	0	0	51	ASV58
23	0	0	15	39	85	73	0	0	37	0	0	136	23	0	0	0	0	0	0	0	0	23	0	0	0	34	0	25	39	80	230	0	0	56	27	0	0	92	0	10	85	557	0	0	0	0	66	1007	0	86	0	0	860	0	0	0	36	0	59	0	0	7	34	7	0	0	0	547	297	0	45	0	0	0	0	0	14	0	0	0	58	23	0	23	315	278	0	0	202	460	0	91	47	0	64	182	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	32	614	0	0	0	454	0	21	0	0	0	75	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	ASV60
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	ASV62
0	97	0	0	0	0	452	0	22	0	0	15	15	101	27	20	209	0	74	0	0	248	0	36	531	120	64	51	0	0	0	165	0	68	333	0	23	35	90	0	142	38	78	0	14	23	0	407	0	72	335	0	0	0	48	0	0	0	187	0	0	0	0	0	0	0	41	0	0	85	0	0	26	9	0	11	8	35	0	0	0	58	0	18	16	0	35	79	0	0	0	26	43	114	46	0	0	58	0	17	281	51	0	46	0	85	400	0	0	200	0	486	0	0	0	0	89	0	0	0	0	29	0	11	20	57	169	0	0	0	92	19	81	0	55	0	0	73	0	0	0	19	0	0	0	0	43	16	14	ASV63
0	0	0	0	53	0	113	0	0	0	400	0	0	22	72	0	0	0	0	55	0	0	0	0	0	0	0	0	190	0	94	0	0	0	480	497	0	0	134	0	3	0	0	0	0	0	0	0	27	251	96	110	0	0	0	79	0	0	325	0	312	0	63	0	0	0	14	25	0	0	0	0	0	172	0	0	0	0	0	16	0	44	0	0	0	160	0	0	445	0	0	0	0	0	0	0	0	0	387	324	0	29	0	0	0	0	22	284	451	600	0	98	0	0	0	641	0	0	0	0	618	0	3062	0	0	0	0	21	0	0	0	137	132	48	0	69	0	0	0	0	90	0	441	110	0	118	64	0	0	ASV64
