I02255	I02256	I02258	I02260	I02263	I02269	I02272	I02275	I02276	I02277	I02278	I02279	I02280	I02283	I02284	I02286	I02287	I02288	I02290	I02291	I02292	I02293	I02294	I02296	I02297	I02298	I02300	I02301	I02302	I02303	J03062	J03063	J03065	J03066	J03067	J03069	J03070	J03071	J03072	J03073	J03075	J03077	J03078	J03079	J03080	J03081	J03083	J03084	J03087	J03089	J03090	J03091	J03092	J03093	J03094	J03095	J03097	J03099	J03100	J03102	J03103	J03106	J03107	J03108	J03110	J03112	J03113	J03114	J03115	J03117	J03118	J03121	I06617	I06618	I06619	I06620	I17272	I17275	I17276	I17277	I17280	I17281	I17282	I17285	I17286	I17288	I17289	I21313	J06237	J06238	J06239	J10262	J10263	J10264	J10265	feature_id
30	1138	39	0	0	0	716	0	0	3441	4290	1715	1077	0	0	0	0	2706	7	0	0	0	0	0	0	0	287	617	0	51	0	0	309	0	0	0	0	2350	812	97	0	0	78	613	0	0	532	0	0	0	0	2021	0	0	0	0	0	0	109	1128	0	4244	0	0	123	0	0	1930	0	0	0	1926	0	0	0	0	0	0	0	682	0	0	0	0	0	725	0	0	0	1523	0	0	0	0	518	ASV17
850	0	5	0	134	3069	0	8	0	0	0	0	30	27	0	533	5586	0	0	0	1237	0	0	0	944	11	0	13	1640	2821	0	0	21	0	0	0	0	0	36	1249	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	5654	0	0	1128	182	0	61	0	505	0	0	0	369	28	936	60	140	0	0	17	0	0	0	0	0	167	0	0	0	2431	0	0	0	0	0	ASV20
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	ASV23
0	0	9	27	0	0	28	0	0	0	0	270	0	0	590	0	2089	162	873	0	0	0	0	0	8	0	284	0	0	0	38	38	214	0	1294	524	75	0	109	230	86	958	0	60	1893	27	0	0	0	66	101	9	0	628	22	78	280	314	1263	0	6	55	0	0	339	6593	0	0	223	0	51	0	0	0	0	0	0	0	0	29	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	ASV25
373	55	563	0	65	112	14	0	293	0	0	0	47	3	0	3	261	0	0	0	0	0	0	0	0	0	185	121	0	457	0	269	1078	651	0	0	0	0	314	1254	501	0	0	265	0	320	451	268	2821	2763	230	331	4469	15	1081	0	0	380	2748	780	0	339	0	0	0	215	2	131	440	206	1521	183	3	28	0	0	17	61	0	52	19	406	45	9	0	0	0	0	2	0	27	56	356	0	222	ASV27
0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	48	0	0	45	0	0	0	0	0	0	0	929	0	9	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	ASV28
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	56	0	0	0	0	0	6	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	14	0	18	117	0	0	28	0	0	0	0	0	0	0	68	0	0	0	0	0	24	0	0	0	17	12	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	8	0	73	ASV30
0	324	0	93	326	0	350	0	28	0	0	0	0	0	47	108	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	709	0	0	0	438	0	610	0	344	0	0	0	256	249	0	124	0	1486	0	90	0	31	86	436	594	0	836	0	0	0	1222	0	3697	0	697	0	0	346	1481	468	0	132	0	372	476	85	0	217	0	0	69	455	0	891	0	272	0	0	118	0	958	0	0	0	ASV33
0	380	8	0	0	0	356	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	248	414	0	0	795	0	0	0	813	1377	0	0	42	0	906	610	0	339	370	256	47	0	208	19	0	56	0	60	69	0	173	0	203	184	562	230	48	0	0	1121	205	4897	240	533	101	0	0	0	408	0	140	38	357	427	80	0	31	0	0	26	0	0	0	0	19	775	62	0	0	2082	86	330	0	ASV35
0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	221	0	0	38	0	29	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	16	0	0	0	0	83	329	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	ASV37
187	0	915	0	194	841	0	0	0	0	0	0	0	0	0	0	1463	0	0	0	0	0	0	0	0	0	2195	0	0	721	0	741	0	0	0	0	0	0	0	0	101	0	298	0	0	0	0	0	0	582	0	1869	806	0	0	0	0	0	806	0	0	0	0	0	825	0	0	1027	1869	0	0	1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	165	ASV39
0	0	663	0	359	0	0	169	0	0	0	1985	0	0	0	0	0	2667	0	0	0	0	273	945	0	0	471	0	0	0	1348	0	49	0	0	0	0	881	160	413	0	0	307	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	70	113	0	0	0	868	935	0	0	0	911	0	0	0	0	0	373	274	0	0	0	36	0	0	0	0	0	0	0	3337	0	0	0	1	0	0	0	ASV40
34	64	162	0	0	0	56	0	0	23	0	28	80	0	0	149	0	0	1196	112	221	1074	29	68	232	0	772	0	185	40	70	1483	120	127	198	0	604	73	314	332	100	434	0	489	0	175	351	767	0	59	190	0	43	108	0	215	655	177	224	184	198	319	158	234	76	490	124	0	0	0	777	0	84	0	274	400	29	72	240	34	98	0	0	147	0	107	52	110	91	186	81	688	261	524	0	ASV41
0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	ASV42
31	56	5	30	0	0	19	0	0	0	0	0	0	0	31	0	34	0	285	0	477	2487	912	1099	79	0	0	0	377	88	0	0	0	1703	0	205	68	0	0	0	0	423	0	585	518	277	701	57	0	0	0	57	0	16	0	0	720	0	0	0	89	444	0	70	0	0	0	42	0	0	0	0	0	0	0	88	0	20	0	0	370	0	0	530	235	71	0	0	44	0	772	0	13	203	0	ASV43
218	0	46	0	75	0	0	129	0	0	0	1185	53	0	0	368	0	1259	200	30	296	62	433	973	131	0	139	0	148	0	945	0	127	0	0	0	0	0	31	0	149	0	0	0	0	0	0	0	0	96	990	515	138	0	0	339	0	349	160	142	369	0	0	0	609	1295	181	156	354	0	0	249	427	25	0	0	106	0	195	41	0	0	0	0	0	0	33	3865	0	0	0	352	0	0	93	ASV45
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	1460	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	3572	0	0	0	0	0	0	0	0	0	0	1992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	0	0	1750	3820	0	0	0	0	0	ASV48
0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV50
238	0	0	0	0	440	0	0	394	998	515	107	42	25	0	0	670	69	0	31	0	0	58	164	0	19	0	67	0	0	330	0	119	18	0	0	196	94	106	0	152	1474	0	25	0	608	33	238	549	107	0	63	307	0	1135	0	678	0	0	98	0	9	268	0	0	0	9	15	11	121	0	22	42	0	0	0	56	236	0	0	9	217	465	0	0	0	13	867	0	0	0	0	690	653	0	ASV51
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV52
0	0	0	0	327	0	0	0	0	0	0	68	59	0	62	172	0	87	75	0	0	66	279	676	0	0	0	67	0	0	579	250	52	0	0	0	0	489	375	10	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	628	0	95	0	564	0	0	349	0	33	0	0	0	0	0	0	0	601	0	0	0	235	0	211	730	64	0	0	181	0	0	0	5504	0	0	0	487	0	0	0	ASV53
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	1426	154	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	0	45	0	0	0	0	ASV55
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV58
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV60
0	0	0	267	0	0	0	0	0	0	0	0	0	32	47	418	0	0	0	0	220	0	328	275	103	38	0	0	807	0	456	0	0	0	0	228	0	269	0	0	0	0	0	53	1940	434	117	139	30	0	0	45	22	0	0	232	0	90	0	0	0	0	401	999	0	0	257	134	0	474	45	74	319	13	0	0	78	65	52	0	0	0	0	0	654	0	6	1523	0	0	0	0	64	0	37	ASV61
0	0	0	67	41	0	0	0	0	0	0	0	531	0	285	0	0	0	0	290	0	0	0	0	0	0	0	241	0	0	0	0	0	1086	0	206	0	0	0	0	0	0	0	0	0	745	0	152	2254	0	0	0	20	0	0	684	0	925	0	0	0	0	0	0	0	0	340	0	145	1160	0	0	0	116	0	0	0	340	197	801	720	0	541	508	329	0	171	0	0	0	329	0	516	0	0	ASV63
0	0	0	0	0	15	4	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	15	0	0	50	0	0	0	0	0	0	0	3	0	6	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV64
0	173	0	0	0	0	71	0	0	0	0	0	0	0	19	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	75	0	0	98	25	0	147	744	0	61	0	945	0	114	1552	391	0	0	0	911	0	0	0	0	139	0	0	93	0	1291	0	0	0	0	0	760	0	0	1061	514	0	0	469	1857	0	64	0	0	0	0	0	0	148	23	0	0	13	0	145	0	86	0	490	ASV65
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3959	0	0	6973	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	936	0	0	0	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	ASV67
406	86	0	302	33	57	128	83	0	0	0	0	162	145	521	0	249	0	0	154	0	0	151	170	0	155	0	54	0	179	217	0	0	257	0	702	0	0	0	0	0	0	44	0	377	0	0	0	0	0	413	202	0	0	783	0	0	0	0	0	0	398	510	0	505	1089	736	226	65	0	0	88	0	214	0	0	0	0	0	107	212	35	0	112	591	32	72	427	0	482	167	0	0	0	79	ASV68
191	459	551	130	0	138	426	0	0	0	0	0	0	0	15	11	166	0	10	151	693	8	20	8	406	0	655	7	257	107	0	0	0	0	0	62	0	10	120	532	0	0	0	54	555	0	57	0	160	169	0	35	770	0	0	12	0	18	608	101	1165	158	90	911	34	0	0	12	0	427	277	29	0	0	495	246	4	0	6	21	0	0	45	0	395	0	119	0	0	37	0	0	0	0	109	ASV70
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1606	0	0	0	0	0	0	0	0	251	0	0	136	0	0	0	3735	0	0	1522	0	0	0	0	0	0	0	0	0	0	0	6843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	0	0	0	ASV74
0	0	0	0	299	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV79
0	79	0	0	325	0	312	0	63	0	0	0	14	25	0	0	0	0	0	172	0	0	0	0	0	16	0	44	0	0	0	160	0	0	445	0	0	0	0	0	0	0	0	0	387	324	0	29	0	0	0	0	22	284	451	600	0	98	0	0	0	641	0	0	0	0	618	0	3062	0	0	0	0	21	0	0	0	137	132	48	0	69	0	0	0	0	90	0	441	110	0	118	64	0	0	ASV81
19	130	0	0	1255	0	253	300	0	0	0	0	0	8	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	38	0	0	0	0	0	0	196	158	45	381	4	173	109	0	0	0	0	0	43	0	0	341	0	0	0	0	408	0	0	82	0	0	0	535	0	0	0	55	11	0	0	57	15	0	0	10	0	0	30	0	0	0	0	109	0	0	77	57	118	0	ASV84
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	40	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	ASV85
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	29	382	0	0	0	0	0	0	0	0	243	0	0	0	0	393	0	1233	71	1445	0	0	243	0	0	0	21	76	20	0	0	0	0	0	0	133	624	0	0	843	0	115	0	0	0	0	0	174	59	0	0	931	0	1840	0	21	0	0	0	26	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	ASV86
98	69	10	120	21	72	141	5	47	403	250	0	0	0	151	172	220	0	0	0	371	0	47	85	221	0	14	0	179	83	196	55	0	228	105	184	0	121	0	0	0	0	7	0	21	41	0	29	66	0	257	112	37	123	228	0	0	0	22	0	565	296	126	1110	87	287	0	153	70	124	0	35	179	0	49	0	68	39	0	0	121	57	84	191	371	28	0	194	63	0	191	0	29	0	0	ASV87
103	83	0	0	7	0	96	0	0	0	0	0	38	0	22	0	0	0	0	0	0	0	79	48	0	0	103	12	0	143	0	74	0	0	203	0	0	64	0	282	193	0	14	0	86	73	0	0	1340	158	0	362	258	290	0	67	0	68	76	0	0	553	0	149	36	0	11	273	0	868	358	474	0	0	147	174	0	30	15	72	0	0	417	0	122	0	0	135	270	0	168	66	61	0	176	ASV92
439	257	0	0	13	0	72	0	630	0	0	63	0	42	0	0	0	81	0	116	0	0	0	0	0	0	0	0	0	561	0	0	0	0	0	0	0	0	0	0	1079	0	22	620	0	0	522	75	0	810	37	0	1100	0	433	0	0	0	0	0	0	1184	265	0	90	43	86	0	12	0	0	0	0	0	0	0	0	0	0	0	0	644	0	0	0	0	0	0	0	0	0	0	91	0	0	ASV94
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11561	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV95
0	0	0	0	0	0	0	2	0	0	0	0	0	1493	0	0	0	0	0	0	0	0	0	0	0	1463	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	6249	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV96
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV97
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV98
56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	185	0	0	1682	0	0	0	0	0	0	0	70	0	0	82	0	0	0	0	0	222	368	0	0	0	376	0	0	182	0	0	0	0	1106	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	962	0	0	531	635	0	0	194	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	ASV99
0	84	0	0	0	0	109	0	0	0	0	0	18	0	0	246	0	0	9	0	94	17	0	0	78	0	0	24	225	0	0	0	0	0	0	0	695	0	0	0	0	1044	0	0	0	0	0	0	98	0	0	0	0	0	0	83	670	69	0	0	46	128	0	0	0	0	5	0	0	1708	106	0	195	0	15	58	45	0	0	115	0	0	0	0	0	642	0	80	0	198	0	0	0	1378	0	ASV101
0	0	0	551	62	56	0	0	1057	0	0	0	0	0	430	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	492	0	0	0	0	0	0	0	204	0	0	173	0	0	0	0	0	0	0	408	0	0	0	0	0	0	0	337	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	35	1775	0	36	2482	0	0	0	0	0	59	0	0	0	0	ASV102
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1328	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1360	0	0	0	ASV105
0	0	0	0	0	0	0	290	258	101	546	402	891	0	0	0	0	384	0	0	0	0	0	0	0	0	0	893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	534	0	0	0	726	0	274	0	0	0	386	0	0	0	0	0	0	0	0	0	198	567	0	0	0	140	0	0	0	0	0	0	0	0	0	485	0	453	38	0	0	0	0	0	0	0	0	0	0	0	0	ASV108
990	635	5	0	0	0	277	0	0	0	95	0	0	397	0	0	0	0	0	0	0	0	0	0	0	1659	0	0	0	0	0	0	23	0	0	0	92	0	32	46	0	0	10	71	0	0	160	0	0	0	392	65	38	0	0	513	51	0	0	0	0	126	3	0	33	694	119	14	0	0	0	18	5	43	0	0	5	0	5	0	0	0	0	0	0	0	185	0	0	126	512	0	7	55	0	ASV111
0	0	0	36	0	59	0	0	7	34	7	0	0	0	547	297	0	45	0	0	0	0	0	14	0	0	0	58	23	0	23	315	278	0	0	202	460	0	91	47	0	64	182	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	32	614	0	0	0	454	0	21	0	0	0	75	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	ASV112
0	0	110	291	0	0	0	743	143	0	0	0	45	69	270	0	0	0	0	0	0	0	0	0	0	69	536	0	0	0	0	0	0	0	0	348	32	60	0	0	88	0	0	0	0	219	0	1108	0	37	118	0	39	0	1110	0	72	0	130	0	0	0	68	0	514	281	390	0	0	0	0	0	0	69	0	0	0	83	0	0	0	613	0	0	103	0	0	0	0	0	0	0	390	0	0	ASV114
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	634	899	0	0	85	0	0	0	0	0	0	0	0	0	0	0	62	57	0	0	0	0	522	0	0	35	0	0	0	0	0	0	0	0	0	400	0	0	2	0	0	0	20	0	0	0	1414	0	3427	0	0	539	0	0	38	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	33	ASV117
361	0	0	10	0	16	0	83	50	0	13	20	53	61	0	0	116	10	8	0	0	0	12	43	11	60	0	20	0	0	52	81	34	11	331	48	223	477	241	251	79	27	0	36	0	140	0	49	33	186	118	186	76	239	42	203	108	85	0	231	0	0	115	41	0	72	51	37	0	24	0	131	27	85	0	0	21	70	0	10	18	36	0	0	16	9	0	934	629	66	0	186	57	387	96	ASV119
0	0	0	26	339	0	0	0	72	0	0	0	0	34	63	0	0	0	107	0	69	0	0	0	92	35	86	0	51	0	0	80	0	17	0	59	248	0	0	247	0	189	0	149	0	0	0	0	0	0	119	407	0	0	85	527	432	639	107	27	1173	0	0	46	56	149	196	0	0	0	0	133	0	0	0	0	0	0	284	0	117	137	0	0	0	242	77	0	0	76	0	88	0	72	68	ASV124
0	0	0	111	0	0	0	70	0	0	0	0	0	0	56	0	0	0	0	0	0	0	137	232	0	0	0	0	0	0	603	0	0	0	0	531	0	0	0	0	0	0	0	0	0	614	0	609	564	0	0	0	0	0	0	409	0	867	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	33	0	0	0	82	430	0	0	0	161	0	1101	0	0	634	0	33	0	0	578	0	0	ASV127
