source	target	relation	evidence
handoff_artifact:state_transition_validator	output:analysis/v46_returned_package_state_transition_validator/returned_package_state_transition_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:status_board_schema_linter	handoff_artifact:returned_package_preflight_dryrun	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:status_board_schema_linter	output:analysis/v46_returned_package_status_board_schema_linter/status_board_schema_linter_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v45_author_run_return_gate_runner.py	smoke_step:author_run_return_gate_synthetic	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v45_author_run_schema_validator.py	smoke_step:author_run_schema_validator_synthetic	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v45_cold_start_operator_sequence.py	handoff_artifact:cold_start_operator_sequence	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v45_current_action_card.py	handoff_artifact:current_action_card	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v45_locked_artifact_hash_audit.py	smoke_step:locked_artifact_hash_audit	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v45_no_raw_git_scanner.py	regression_step:no_raw_git_scanner	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v45_no_raw_git_scanner.py	smoke_step:no_raw_git_scanner	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v45_opengwas_token_expiry_sentinel.py	smoke_step:opengwas_expiry_sentinel	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v45_readiness_stale_output_detector.py	regression_step:readiness_stale_output_detector	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v45_route_analyzable_pair_calculator.py	smoke_step:route_analyzable_pair_synthetic	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_aggregate_only_returned_package_composition_dryrun.py	regression_step:aggregate_only_composition_dryrun	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_aggregate_only_returned_package_composition_dryrun.py	smoke_step:aggregate_only_returned_package_composition_dryrun	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_analyzable_pair_confidence_envelope.py	handoff_artifact:analyzable_pair_confidence_envelope	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_analyzable_pair_confidence_envelope.py	regression_step:analyzable_pair_confidence_envelope	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_analyzable_pair_confidence_envelope.py	smoke_step:analyzable_pair_confidence_envelope	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_author_run_metric_format_adapter.py	regression_step:metric_format_adapter_synthetic	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_author_run_metric_format_adapter.py	smoke_step:metric_format_adapter_synthetic	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_first30_repair_template_coverage_linter.py	handoff_artifact:first30_repair_template_coverage	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_first30_repair_template_coverage_linter.py	regression_step:first30_repair_template_coverage_linter	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_first30_repair_template_coverage_linter.py	smoke_step:first30_repair_template_coverage_linter	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_first30_returned_package_decision_table.py	handoff_artifact:first30_decision_table	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_first30_returned_package_decision_table.py	regression_step:first30_returned_package_decision_table	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_first30_returned_package_decision_table.py	smoke_step:first30_returned_package_decision_table	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_first30_returned_package_status_board_dryrun.py	handoff_artifact:first30_status_board	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_first30_returned_package_status_board_dryrun.py	regression_step:first30_status_board_dryrun	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_first30_returned_package_status_board_dryrun.py	smoke_step:first30_status_board_dryrun	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_package_manifest_shape_classifier.py	handoff_artifact:package_manifest_shape_classifier	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_package_manifest_shape_classifier.py	regression_step:package_manifest_shape_classifier_synthetic	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_package_manifest_shape_classifier.py	smoke_step:package_manifest_shape_classifier_synthetic	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_partial_label_repair_prioritization.py	handoff_artifact:partial_label_repair_prioritization	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_partial_label_repair_prioritization.py	regression_step:partial_label_repair_prioritization	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_partial_label_repair_prioritization.py	smoke_step:partial_label_repair_prioritization	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_partial_label_return_classifier.py	regression_step:partial_label_classifier_synthetic	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_partial_label_return_classifier.py	smoke_step:partial_label_classifier_synthetic	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_receipt_manifest_schema_linter.py	handoff_artifact:receipt_manifest_schema_linter	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_receipt_manifest_schema_linter.py	regression_step:receipt_manifest_schema_linter_synthetic	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_receipt_manifest_schema_linter.py	smoke_step:receipt_manifest_schema_linter_synthetic	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_result_report_safe_class_linter.py	handoff_artifact:result_report_safe_class_linter	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_result_report_safe_class_linter.py	regression_step:result_report_safe_class_linter	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_result_report_safe_class_linter.py	smoke_step:result_report_safe_class_linter	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_return_repair_request_templates.py	handoff_artifact:repair_request_templates	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_return_repair_request_templates.py	regression_step:return_repair_request_templates	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_return_repair_request_templates.py	smoke_step:return_repair_request_templates	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_returned_package_command_order_planner.py	handoff_artifact:command_order_planner	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_returned_package_command_order_planner.py	regression_step:returned_package_command_order_planner_synthetic	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_returned_package_command_order_planner.py	smoke_step:returned_package_command_order_planner_synthetic	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_returned_package_dependency_graph.py	handoff_artifact:returned_package_dependency_graph	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_returned_package_dependency_graph.py	regression_step:returned_package_dependency_graph	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_returned_package_dependency_graph.py	smoke_step:returned_package_dependency_graph	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_returned_package_doc_crosslink_linter.py	handoff_artifact:returned_package_doc_crosslink_linter	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_returned_package_doc_crosslink_linter.py	regression_step:returned_package_doc_crosslink_linter	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_returned_package_doc_crosslink_linter.py	smoke_step:returned_package_doc_crosslink_linter	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_returned_package_handoff_bundle_manifest.py	regression_step:returned_package_handoff_bundle_manifest	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_returned_package_handoff_bundle_manifest.py	smoke_step:returned_package_handoff_bundle_manifest	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_returned_package_preflight_dryrun.py	handoff_artifact:returned_package_preflight_dryrun	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_returned_package_preflight_dryrun.py	regression_step:returned_package_preflight_dryrun	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_returned_package_preflight_dryrun.py	smoke_step:returned_package_preflight_dryrun	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_returned_package_route_state_matrix.py	regression_step:returned_package_route_state_matrix	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_returned_package_route_state_matrix.py	smoke_step:returned_package_route_state_matrix	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_returned_package_safe_interpretation.py	handoff_artifact:safe_interpretation_classifier	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_returned_package_safe_interpretation.py	regression_step:safe_interpretation_classifier_synthetic	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_returned_package_safe_interpretation.py	smoke_step:safe_interpretation_classifier_synthetic	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_returned_package_state_transition_validator.py	handoff_artifact:state_transition_validator	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_returned_package_state_transition_validator.py	regression_step:returned_package_state_transition_validator	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_returned_package_state_transition_validator.py	smoke_step:returned_package_state_transition_validator	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_returned_package_status_board_schema_linter.py	handoff_artifact:status_board_schema_linter	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_returned_package_status_board_schema_linter.py	regression_step:status_board_schema_linter	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_returned_package_status_board_schema_linter.py	smoke_step:status_board_schema_linter	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_safe_wording_fixture_linter.py	regression_step:safe_wording_fixture_linter	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_safe_wording_fixture_linter.py	smoke_step:safe_wording_fixture_linter	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_small_n_conclusion_language_table.py	handoff_artifact:small_n_language	runs_for_handoff_artifact	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
script:scripts/v46_small_n_conclusion_language_table.py	regression_step:small_n_conclusion_language	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_small_n_conclusion_language_table.py	smoke_step:small_n_conclusion_language	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_terms_governance_matrix.py	regression_step:terms_governance_matrix_synthetic	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_terms_governance_matrix.py	smoke_step:terms_governance_matrix_synthetic	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
script:scripts/v46_unscoreable_return_composition_dryrun.py	regression_step:unscoreable_return_composition_dryrun	runs_for_suite_step	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv
script:scripts/v46_unscoreable_return_composition_dryrun.py	smoke_step:unscoreable_return_composition_dryrun	runs_for_suite_step	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv
source:analysis/v43_method_validation/power_map_summary.tsv	stale_artifact:v46_analyzable_pair_confidence_envelope	freshness_source_for	analysis/v45_readiness_stale_output_detector/readiness_stale_output_detector.tsv
source:analysis/v45_artifact_index/summary.json	stale_artifact:generated_doc_freshness_linter	freshness_source_for	analysis/v45_readiness_stale_output_detector/readiness_stale_output_detector.tsv
source:analysis/v45_author_run_output_check/synthetic_complete_author_run_package/validation_summary.json	stale_artifact:v46_metric_format_adapter	freshness_source_for	analysis/v45_readiness_stale_output_detector/readiness_stale_output_detector.tsv
source:analysis/v45_author_run_packet_bundle/author_run_packet_bundle_index.tsv	stale_artifact:author_run_bundle_dryrun_manifest	freshness_source_for	analysis/v45_readiness_stale_output_detector/readiness_stale_output_detector.tsv
source:analysis/v45_author_run_packet_bundle/author_run_packet_bundle_index.tsv	stale_artifact:collaborator_path_resolver	freshness_source_for	analysis/v45_readiness_stale_output_detector/readiness_stale_output_detector.tsv
source:analysis/v45_author_run_packet_checksums/verify/author_run_packet_checksum_verify.tsv	stale_artifact:author_run_bundle_dryrun_manifest	freshness_source_for	analysis/v45_readiness_stale_output_detector/readiness_stale_output_detector.tsv
source:analysis/v45_author_run_packet_checksums/write/author_run_packet_sha256_manifest.tsv	stale_artifact:author_run_bundle_dryrun_manifest	freshness_source_for	analysis/v45_readiness_stale_output_detector/readiness_stale_output_detector.tsv
source:analysis/v45_author_run_return_gate_runner/synthetic_check_summary.json	stale_artifact:cross_route_readiness_linter	freshness_source_for	analysis/v45_readiness_stale_output_detector/readiness_stale_output_detector.tsv
source:analysis/v45_author_run_return_gate_runner/synthetic_check_summary.json	stale_artifact:v46_safe_interpretation_classifier	freshness_source_for	analysis/v45_readiness_stale_output_detector/readiness_stale_output_detector.tsv
source:analysis/v45_author_run_schema_validator/synthetic_author_run_schema_summary.json	stale_artifact:v46_safe_interpretation_classifier	freshness_source_for	analysis/v45_readiness_stale_output_detector/readiness_stale_output_detector.tsv
source:analysis/v45_cold_start_operator_sequence/cold_start_operator_sequence_summary.json	stale_artifact:v46_returned_package_handoff_bundle_manifest	freshness_source_for	analysis/v45_readiness_stale_output_detector/readiness_stale_output_detector.tsv
