analysis	gene	group	n_cells	mean_log_norm	detection_fraction
ibd_uc_myeloid	LAMP1	case	1161	0.34428445202599467	0.26442721791559
ibd_uc_myeloid	LAMP1	control	677	0.3380058576685028	0.23929098966026588
ibd_uc_myeloid	LAMP2	case	1161	0.399559241663865	0.301464254952627
ibd_uc_myeloid	LAMP2	control	677	0.32626169790882503	0.23042836041358936
ibd_uc_myeloid	LAMP3	case	1161	0.09880718131830436	0.06718346253229975
ibd_uc_myeloid	LAMP3	control	677	0.011677330725827054	0.0103397341211226
ibd_uc_myeloid	LDHA	case	1161	1.0636869419835648	0.5753660637381568
ibd_uc_myeloid	LDHA	control	677	0.5353091298839586	0.34416543574593794
ibd_uc_myeloid	LIPA	case	1161	0.31825629159873703	0.2153316106804479
ibd_uc_myeloid	LIPA	control	677	0.6777351883049142	0.32644017725258495
ibd_uc_myeloid	LPL	case	1161	0.00476273747557223	0.0034453057708871662
ibd_uc_myeloid	LPL	control	677	0.0	0.0
ibd_uc_myeloid	MERTK	case	1161	0.08074548463893313	0.07493540051679587
ibd_uc_myeloid	MERTK	control	677	0.07003585484955267	0.07533234859675036
ibd_uc_myeloid	MSR1	case	1161	0.08572472214025455	0.0714900947459087
ibd_uc_myeloid	MSR1	control	677	0.18548531986942807	0.14180206794682423
ibd_uc_myeloid	NAMPT	case	1161	2.6794808233643748	0.8165374677002584
ibd_uc_myeloid	NAMPT	control	677	1.0485795423501307	0.48301329394387
ibd_uc_myeloid	NFKBIA	case	1161	2.036081394338234	0.739879414298019
ibd_uc_myeloid	NFKBIA	control	677	1.5039161530961083	0.5642540620384048
ibd_uc_myeloid	NLRC5	case	1161	0.09216675008657384	0.07665805340223945
ibd_uc_myeloid	NLRC5	control	677	0.022869699786032448	0.022156573116691284
ibd_uc_myeloid	OSM	case	1161	0.6322975471835233	0.285099052540913
ibd_uc_myeloid	OSM	control	677	0.15293385139642526	0.11078286558345643
ibd_uc_myeloid	PFKFB3	case	1161	0.7131618873034841	0.4134366925064599
ibd_uc_myeloid	PFKFB3	control	677	0.19735727419656604	0.16248153618906944
ibd_uc_myeloid	PLIN2	case	1161	0.925887571205909	0.4763135228251507
ibd_uc_myeloid	PLIN2	control	677	0.7415805421936378	0.4091580502215657
ibd_uc_myeloid	RFX5	case	1161	0.054907721032712464	0.0611541774332472
ibd_uc_myeloid	RFX5	control	677	0.06716391349200224	0.0723781388478582
ibd_uc_myeloid	SLC2A1	case	1161	0.022270397244945644	0.024978466838931956
ibd_uc_myeloid	SLC2A1	control	677	0.015409227364979721	0.013293943870014771
ibd_uc_myeloid	SPP1	case	1161	0.10860403730800802	0.04220499569336779
ibd_uc_myeloid	SPP1	control	677	0.0	0.0
ibd_uc_myeloid	STAT1	case	1161	0.5680721251095842	0.37381567614125755
ibd_uc_myeloid	STAT1	control	677	0.27891491318378064	0.1964549483013294
ibd_uc_myeloid	TAP1	case	1161	0.4073309438550719	0.29112833763996554
ibd_uc_myeloid	TAP1	control	677	0.11254308551490838	0.10782865583456426
ibd_uc_myeloid	TAP2	case	1161	0.17299547289505032	0.16623600344530576
ibd_uc_myeloid	TAP2	control	677	0.04654072022068628	0.051698670605613
ibd_uc_myeloid	TNF	case	1161	0.25250400095632475	0.13781223083548666
ibd_uc_myeloid	TNF	control	677	0.153605711432576	0.0930576070901034
ibd_uc_myeloid	TREM1	case	1161	0.6431540704472791	0.3695090439276486
ibd_uc_myeloid	TREM1	control	677	0.025623758538200373	0.03545051698670606
ibd_uc_myeloid	TREM2	case	1161	0.03320417875289569	0.026701119724375538
ibd_uc_myeloid	TREM2	control	677	0.058012555150899744	0.05465288035450517
ibd_crohn_epithelial	ACSL1	case	4701	0.03639829787089122	0.041480536056158264
ibd_crohn_epithelial	ACSL1	control	6713	0.01698137791948034	0.02145091613287651
ibd_crohn_epithelial	APOE	case	4701	0.006747867422434761	0.005105296745373325
ibd_crohn_epithelial	APOE	control	6713	0.0019739539959371904	0.0013406822583047818
ibd_crohn_epithelial	B2M	case	4701	2.816228076435429	0.8802382471814507
ibd_crohn_epithelial	B2M	control	6713	2.767191588413641	0.8614628333085059
ibd_crohn_epithelial	C1QA	case	4701	0.0	0.0
ibd_crohn_epithelial	C1QA	control	6713	0.0	0.0
ibd_crohn_epithelial	C1QB	case	4701	0.007122350029217653	0.00574345883854499
ibd_crohn_epithelial	C1QB	control	6713	0.007797360041386028	0.005958587814687919
ibd_crohn_epithelial	C1QC	case	4701	0.00381267314464658	0.0025526483726866626
ibd_crohn_epithelial	C1QC	control	6713	0.0032782712000751445	0.0028303292119767616
ibd_crohn_epithelial	CCL2	case	4701	0.006947096491322922	0.0048925760476494365
