dataset	gene	sgRNA	gate	low_vs_high_log2
GSE162463	Cyp4f18	Cyp4f18_sg2	CD40	-2.1399379491386687
GSE162463	Cyp4f18	Cyp4f18_sg2	PDL1	-0.06029204322698944
GSE162463	S1pr1	S1pr1_sg4	MHCII	2.647903728252093
GSE162463	S1pr1	S1pr1_sg4	CD40	0.1892326805894719
GSE162463	S1pr1	S1pr1_sg4	PDL1	0.0
GSE162463	2700081O15Rik	2700081O15Rik_sg3	MHCII	-0.6828628923028472
GSE162463	2700081O15Rik	2700081O15Rik_sg3	CD40	-1.340533817976729
GSE162463	2700081O15Rik	2700081O15Rik_sg3	PDL1	2.843728634513047
GSE162463	Rassf8	Rassf8_sg1	MHCII	-0.6157781995452997
GSE162463	Rassf8	Rassf8_sg1	CD40	-3.5573142257811754
GSE162463	Rassf8	Rassf8_sg1	PDL1	0.0
GSE162463	Txndc9	Txndc9_sg2	MHCII	-0.5239019420896418
GSE162463	Txndc9	Txndc9_sg2	CD40	-3.313090436458318
GSE162463	Txndc9	Txndc9_sg2	PDL1	-0.6808210802188469
GSE162463	Gpat4	Gpat4_sg1	MHCII	0.6394839435001102
GSE162463	Gpat4	Gpat4_sg1	CD40	-0.04055667290362272
GSE162463	Gpat4	Gpat4_sg1	PDL1	1.3301708345357952
GSE162463	Zfp687	Zfp687_sg1	MHCII	-0.4142479865581156
GSE162463	Zfp687	Zfp687_sg1	CD40	-0.9312503903742133
GSE162463	Zfp687	Zfp687_sg1	PDL1	-1.708940268597205
GSE162463	Rb1	Rb1_sg2	MHCII	0.07150656862659027
GSE162463	Rb1	Rb1_sg2	CD40	-0.3097622544627008
GSE162463	Rb1	Rb1_sg2	PDL1	1.491427962955629
GSE162463	Rnf34	Rnf34_sg3	MHCII	1.3684220366466247
GSE162463	Rnf34	Rnf34_sg3	CD40	2.325943717070934
GSE162463	Rnf34	Rnf34_sg3	PDL1	0.2951290846066463
GSE162463	Cxcr2	Cxcr2_sg3	MHCII	-1.9197717854227923
GSE162463	Cxcr2	Cxcr2_sg3	CD40	0.6187160172392957
GSE162463	Cxcr2	Cxcr2_sg3	PDL1	1.623272096066027
GSE162463	Rab15	Rab15_sg1	MHCII	0.06228528461940348
GSE162463	Rab15	Rab15_sg1	CD40	-0.7962872154805073
GSE162463	Rab15	Rab15_sg1	PDL1	-0.006692172158347148
GSE162463	Cog2	Cog2_sg2	MHCII	-3.9065253210221917
GSE162463	Cog2	Cog2_sg2	CD40	-2.1105280675189166
GSE162463	Cog2	Cog2_sg2	PDL1	0.0
GSE162463	Mfsd13a	Mfsd13a_sg3	MHCII	4.683036875410677
GSE162463	Mfsd13a	Mfsd13a_sg3	CD40	0.5836761749223133
GSE162463	Mfsd13a	Mfsd13a_sg3	PDL1	-0.8645919255453098
GSE162463	Ankhd1	Ankhd1_sg2	MHCII	-0.6718494956368294
GSE162463	Ankhd1	Ankhd1_sg2	CD40	0.8705637305426728
GSE162463	Ankhd1	Ankhd1_sg2	PDL1	1.3395334672251078
GSE162463	Plcxd1	Plcxd1_sg3	MHCII	-0.5310433957659848
GSE162463	Plcxd1	Plcxd1_sg3	CD40	-2.4722434926247017
GSE162463	Plcxd1	Plcxd1_sg3	PDL1	0.29871704550409284
GSE162463	Pdik1l	Pdik1l_sg1	MHCII	0.22714265494107194
GSE162463	Pdik1l	Pdik1l_sg1	CD40	-2.705465188695702
GSE162463	Pdik1l	Pdik1l_sg1	PDL1	-0.7513870705233074
GSE162463	Kctd18	Kctd18_sg3	MHCII	-0.5465050464836799
GSE162463	Kctd18	Kctd18_sg3	CD40	1.3933471550304495
GSE162463	Kctd18	Kctd18_sg3	PDL1	0.20144117206160062
GSE162463	1300017J02Rik	1300017J02Rik_sg2	MHCII	-1.8436401550516377
GSE162463	1300017J02Rik	1300017J02Rik_sg2	CD40	0.5401665722242529
GSE162463	1300017J02Rik	1300017J02Rik_sg2	PDL1	-0.6668566508821689
GSE162463	Sgms2	Sgms2_sg1	MHCII	0.3248717025371936
GSE162463	Sgms2	Sgms2_sg1	CD40	-0.5188104168472403
GSE162463	Sgms2	Sgms2_sg1	PDL1	-0.28010975022319745
GSE162463	Spata6	Spata6_sg3	MHCII	-0.5561311226899233
GSE162463	Spata6	Spata6_sg3	CD40	-1.1724860508276898
GSE162463	Spata6	Spata6_sg3	PDL1	0.26958894947356765
GSE162463	Ugt2a3	Ugt2a3_sg3	MHCII	-1.263146366485845
GSE162463	Ugt2a3	Ugt2a3_sg3	CD40	0.8097774722151254
GSE162463	Ugt2a3	Ugt2a3_sg3	PDL1	-0.6297715550943397
GSE162463	Mettl17	Mettl17_sg1	MHCII	-0.6335418671174765
GSE162463	Mettl17	Mettl17_sg1	CD40	-1.099931518499704
GSE162463	Mettl17	Mettl17_sg1	PDL1	0.5470579047354089
GSE162463	Btbd6	Btbd6_sg4	MHCII	-0.0999983246175006
GSE162463	Btbd6	Btbd6_sg4	CD40	-0.028910298726620588
GSE162463	Btbd6	Btbd6_sg4	PDL1	-1.1224722153228603
GSE162463	Dync1i2	Dync1i2_sg3	MHCII	2.018890830581245
GSE162463	Dync1i2	Dync1i2_sg3	CD40	2.0307396438792806
GSE162463	Dync1i2	Dync1i2_sg3	PDL1	2.1609767432869833
GSE162463	Eml4	Eml4_sg3	MHCII	2.7941375646461584
GSE162463	Eml4	Eml4_sg3	CD40	-1.4417236898389354
GSE162463	Eml4	Eml4_sg3	PDL1	-0.14785531367945443
GSE162463	Sms	Sms_sg4	MHCII	-0.5356139406611569
GSE162463	Sms	Sms_sg4	CD40	-0.15992510675115534
GSE162463	Sms	Sms_sg4	PDL1	0.7766170149412355
GSE162463	Mia2	Mia2_sg7	MHCII	-1.1276423737394197
GSE162463	Mia2	Mia2_sg7	CD40	0.4835096931502295
GSE162463	Mia2	Mia2_sg7	PDL1	1.2291945911440567
GSE162463	Dnph1	Dnph1_sg4	MHCII	0.21073721083063204
GSE162463	Dnph1	Dnph1_sg4	CD40	-2.642750329847841
GSE162463	Dnph1	Dnph1_sg4	PDL1	0.40413644276355704
GSE162463	Gpr132	Gpr132_sg3	MHCII	0.5232953982717486
GSE162463	Gpr132	Gpr132_sg3	CD40	-0.28692642698571236
GSE162463	Gpr132	Gpr132_sg3	PDL1	-0.4278591972993275
GSE162463	Klk1b11	Klk1b11_sg4	MHCII	-0.32494968449441175
GSE162463	Klk1b11	Klk1b11_sg4	CD40	-0.7788827929650322
GSE162463	Klk1b11	Klk1b11_sg4	PDL1	1.140373808217097
GSE162463	N4bp1	N4bp1_sg2	MHCII	-0.32163960032806554
GSE162463	N4bp1	N4bp1_sg2	CD40	-2.0990672042130267
GSE162463	N4bp1	N4bp1_sg2	PDL1	-0.1627554423911181
GSE162463	Ccdc114	Ccdc114_sg4	MHCII	0.4548065918339678
GSE162463	Ccdc114	Ccdc114_sg4	CD40	-0.46704096503324943
GSE162463	Ccdc114	Ccdc114_sg4	PDL1	-0.3886866852535954
GSE162463	Baat	Baat_sg1	MHCII	-0.6729878762256124
GSE162463	Baat	Baat_sg1	CD40	0.787660464381244
GSE162463	Baat	Baat_sg1	PDL1	-0.2844179771357587
GSE162463	H2-M3	H2-M3_sg2	MHCII	2.874536413582523
GSE162463	H2-M3	H2-M3_sg2	CD40	0.5027055490416663
GSE162463	H2-M3	H2-M3_sg2	PDL1	-2.577638086834795
GSE162463	Control	BRDN0000737895	MHCII	1.7938618242666748
GSE162463	Control	BRDN0000737895	CD40	1.5258273654515873
GSE162463	Control	BRDN0000737895	PDL1	-0.22976241167798778
GSE162463	Rwdd4a	Rwdd4a_sg4	MHCII	1.3180551674492444
GSE162463	Rwdd4a	Rwdd4a_sg4	CD40	-4.046014332275457
GSE162463	Rwdd4a	Rwdd4a_sg4	PDL1	1.0426391844184366
GSE162463	Mapk11	Mapk11_sg2	MHCII	0.09129226010684445
GSE162463	Mapk11	Mapk11_sg2	CD40	-0.568202605751357
GSE162463	Mapk11	Mapk11_sg2	PDL1	0.9159504289792099
GSE162463	Samd9l	Samd9l_sg4	MHCII	-0.5557927957944095
GSE162463	Samd9l	Samd9l_sg4	CD40	-2.3698806597134032
GSE162463	Samd9l	Samd9l_sg4	PDL1	0.7659466854157102
GSE162463	Lrif1	Lrif1_sg1	MHCII	0.7326119933457607
GSE162463	Lrif1	Lrif1_sg1	CD40	-0.7822086183064505
GSE162463	Lrif1	Lrif1_sg1	PDL1	0.3084987874050326
GSE162463	Efcab11	Efcab11_sg4	MHCII	0.46286476574925073
GSE162463	Efcab11	Efcab11_sg4	CD40	1.1442867304512343
GSE162463	Efcab11	Efcab11_sg4	PDL1	-3.3506656224000864
GSE162463	Thumpd2	Thumpd2_sg4	MHCII	-1.061248396586187
GSE162463	Thumpd2	Thumpd2_sg4	CD40	-2.871010097078326
GSE162463	Thumpd2	Thumpd2_sg4	PDL1	0.2281574363617888
GSE162463	Nek8	Nek8_sg3	MHCII	0.45724653921796116
GSE162463	Nek8	Nek8_sg3	CD40	-2.2342232981552295
GSE162463	Nek8	Nek8_sg3	PDL1	-3.214112382600583
GSE162463	Nf1	Nf1_sg3	MHCII	2.670133673125426
GSE162463	Nf1	Nf1_sg3	CD40	-1.31511693709453
GSE162463	Nf1	Nf1_sg3	PDL1	1.191754294125402
GSE162463	Dennd1a	Dennd1a_sg3	MHCII	-0.47246870455005135
GSE162463	Dennd1a	Dennd1a_sg3	CD40	-0.36816412835857787
GSE162463	Dennd1a	Dennd1a_sg3	PDL1	0.0791662013391113
GSE162463	Rbpms	Rbpms_sg2	MHCII	0.993894223700692
GSE162463	Rbpms	Rbpms_sg2	CD40	-1.014165489158155
GSE162463	Rbpms	Rbpms_sg2	PDL1	-0.7880637867084217
GSE162463	Kalrn	Kalrn_sg3	MHCII	1.061648864477376
GSE162463	Kalrn	Kalrn_sg3	CD40	0.4887804367113341
GSE162463	Kalrn	Kalrn_sg3	PDL1	-0.11055782042132295
GSE162463	Mtg1	Mtg1_sg4	MHCII	0.0071352466567638625
GSE162463	Mtg1	Mtg1_sg4	CD40	0.2736914993185724
GSE162463	Mtg1	Mtg1_sg4	PDL1	-0.062464853006349345
GSE162463	Ccl6	Ccl6_sg4	MHCII	-0.22396407562475915
GSE162463	Ccl6	Ccl6_sg4	CD40	0.6118396240729136
GSE162463	Ccl6	Ccl6_sg4	PDL1	-1.950068689597602
GSE162463	Baz1a	Baz1a_sg3	MHCII	1.6100814371319507
GSE162463	Baz1a	Baz1a_sg3	CD40	-0.1018231251753696
GSE162463	Baz1a	Baz1a_sg3	PDL1	-2.409600917818612
GSE162463	Cpne8	Cpne8_sg1	MHCII	4.567402377143616
GSE162463	Cpne8	Cpne8_sg1	CD40	0.10802648017749372
GSE162463	Cpne8	Cpne8_sg1	PDL1	-0.6929473682570808
GSE162463	Mthfs	Mthfs_sg4	MHCII	-0.9902133687397414
GSE162463	Mthfs	Mthfs_sg4	CD40	0.9360134970850622
GSE162463	Mthfs	Mthfs_sg4	PDL1	-0.09326322461805647
GSE162463	Vav1	Vav1_sg1	MHCII	-0.1524578815115547
GSE162463	Vav1	Vav1_sg1	CD40	-2.31053209607101
GSE162463	Vav1	Vav1_sg1	PDL1	-0.7463372461618567
GSE162463	Pkn2	Pkn2_sg2	MHCII	-1.0534761778802026
GSE162463	Pkn2	Pkn2_sg2	CD40	-4.291129095383253
GSE162463	Pkn2	Pkn2_sg2	PDL1	0.01890168921018541
GSE162463	Usp39	Usp39_sg2	MHCII	0.29643737170480894
GSE162463	Usp39	Usp39_sg2	CD40	0.26594373616502315
GSE162463	Usp39	Usp39_sg2	PDL1	-1.891065068593933
GSE162463	Trit1	Trit1_sg3	MHCII	1.111355856164013
GSE162463	Trit1	Trit1_sg3	CD40	3.1905146455618207
GSE162463	Trit1	Trit1_sg3	PDL1	2.9867918324839238
GSE162463	Control	BRDN0000737383	MHCII	-0.3444652975986829
GSE162463	Control	BRDN0000737383	CD40	1.0041696553288064
GSE162463	Control	BRDN0000737383	PDL1	-0.9382308241480912
GSE162463	Nagk	Nagk_sg3	MHCII	1.4837036277004885
GSE162463	Nagk	Nagk_sg3	CD40	-1.1066017523783467
GSE162463	Nagk	Nagk_sg3	PDL1	-3.4259243975594513
GSE162463	Bcl2	Bcl2_sg3	MHCII	0.8800000505594476
GSE162463	Bcl2	Bcl2_sg3	CD40	-0.04576622256864078
GSE162463	Bcl2	Bcl2_sg3	PDL1	-1.377745079020154
GSE162463	Pwwp3b	Pwwp3b_sg3	MHCII	-1.2054961409060911
GSE162463	Pwwp3b	Pwwp3b_sg3	CD40	-0.6004953912508474
GSE162463	Pwwp3b	Pwwp3b_sg3	PDL1	-0.13108512755299184
GSE162463	Lbp	Lbp_sg2	MHCII	1.1193481271669354
GSE162463	Lbp	Lbp_sg2	CD40	-0.6584201126741404
GSE162463	Lbp	Lbp_sg2	PDL1	0.8591034768987983
GSE162463	Rictor	Rictor_sg2	MHCII	1.6309586328668442
GSE162463	Rictor	Rictor_sg2	CD40	-0.5271409866747163
GSE162463	Rictor	Rictor_sg2	PDL1	-0.6175408414660359
GSE162463	Csf2rb	Csf2rb_sg1	MHCII	1.9521981321395405
GSE162463	Csf2rb	Csf2rb_sg1	CD40	-1.8357675915988478
GSE162463	Csf2rb	Csf2rb_sg1	PDL1	-0.4122780426292268
GSE162463	Hmgxb4	Hmgxb4_sg2	MHCII	-0.4745338578067478
GSE162463	Hmgxb4	Hmgxb4_sg2	CD40	-0.2415387050067335
GSE162463	Hmgxb4	Hmgxb4_sg2	PDL1	0.0748544486656321
GSE162463	Nek9	Nek9_sg1	MHCII	-0.9065944185490928
GSE162463	Nek9	Nek9_sg1	CD40	-2.3429741778477835
GSE162463	Nek9	Nek9_sg1	PDL1	0.39350958148319426
GSE162463	Eaf2	Eaf2_sg1	MHCII	-0.1546006197632602
GSE162463	Eaf2	Eaf2_sg1	CD40	1.4719535333340223
GSE162463	Eaf2	Eaf2_sg1	PDL1	0.3209566782428109
GSE162463	Appl1	Appl1_sg4	MHCII	-0.8794318999124808
GSE162463	Appl1	Appl1_sg4	CD40	0.8592853500802785
GSE162463	Appl1	Appl1_sg4	PDL1	0.1842004948157593
GSE162463	Gli1	Gli1_sg4	MHCII	-0.7301223945964057
GSE162463	Gli1	Gli1_sg4	CD40	0.05017286868525143
GSE162463	Gli1	Gli1_sg4	PDL1	-0.8645977835947278
GSE162463	Cpt1b	Cpt1b_sg4	MHCII	-0.5711637386529977
GSE162463	Cpt1b	Cpt1b_sg4	CD40	-1.7942546616852413
GSE162463	Cpt1b	Cpt1b_sg4	PDL1	0.817042272710369
GSE162463	Rpp14	Rpp14_sg4	MHCII	-0.6531153332215424
GSE162463	Rpp14	Rpp14_sg4	CD40	-0.7354203542289903
GSE162463	Rpp14	Rpp14_sg4	PDL1	-3.6483543790192328
GSE162463	Pmel	Pmel_sg3	MHCII	2.394763617718166
GSE162463	Pmel	Pmel_sg3	CD40	-1.787234148516168
GSE162463	Pmel	Pmel_sg3	PDL1	-0.27525111733705626
GSE162463	Pde8a	Pde8a_sg3	MHCII	0.7371728161099113
GSE162463	Pde8a	Pde8a_sg3	CD40	0.7016139402586584
GSE162463	Pde8a	Pde8a_sg3	PDL1	1.1190565132345351
GSE162463	Mafg	Mafg_sg2	MHCII	-0.46293044130733113
GSE162463	Mafg	Mafg_sg2	CD40	-1.1811258602663222
GSE162463	Mafg	Mafg_sg2	PDL1	-0.3774837519656816
