dataset	organism	contrast	gene	n_case	n_control	mean_case_log2	mean_control_log2	log2fc	hedges_g	welch_t	p	fdr
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Dnajb1	3	3	10.335702314768664	10.741500748124603	-0.40579843335593857	-1.1073217394296084	-1.6952332766835327	0.19914545031218944	0.27156197769844015
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Fos	3	3	7.272401801192082	7.521438141320229	-0.24903634012814724	-0.7295117070284919	-1.116832152254086	0.36034910725503944	0.4157874314481224
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Gadd45a	3	3	8.464989292119327	8.29737150693438	0.1676177851849463	0.5092892521998951	0.7796867496083486	0.5117888541690145	0.5483452008953728
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Gbp2	3	3	16.235936783667874	16.26597427112128	-0.03003748745340573	-0.07839711327195897	-0.12002057801467153	0.9131623107505825	0.9131623107505825
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	H2-Aa	3	3	9.184585190342657	12.681130094112158	-3.4965449037695002	-10.751393285655567	-16.459642233650776	0.0021045338173603595	0.048411284752710865
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	H2-Ab1	3	3	11.059226007526023	13.202407557944674	-2.1431815504186513	-6.375871861425551	-9.76102045366361	0.006319150873450646	0.048411284752710865
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	H2-DMa	3	3	9.649009784109333	11.169573269531144	-1.5205634854218104	-4.852837248891234	-7.429359415347008	0.008068547458785144	0.048411284752710865
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	H2-DMb1	3	3	10.14226403003613	11.34392337032446	-1.2016593402883284	-3.5332808695639737	-5.409209530230613	0.03142001984174764	0.0785500496043691
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	H2-DMb2	3	3	4.216268983241923	6.355482207889096	-2.1392132246471727	-3.3407307251504066	-5.114428527910332	0.0069496339574570964	0.048411284752710865
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	H2-Eb1	3	3	10.158782321835192	12.629978958551789	-2.4711966367165967	-7.0610057619966895	-10.809913242339881	0.0036535281638467834	0.048411284752710865
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Hmox1	3	3	12.316260782712462	12.375499057242061	-0.05923827452959962	-0.16024204533508152	-0.24531952900679949	0.8256000284796902	0.8540689949789898
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Hsp90aa1	3	3	15.351870262815716	15.922024802734255	-0.5701545399185388	-1.4909810979903053	-2.282589316381783	0.12697040946696408	0.20267607293356693
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Hspa1a	3	3	5.603151379193356	6.625163298625886	-1.0220119194325301	-1.7734874085494294	-2.7150870101230917	0.06961688565276389	0.13923377130552778
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Hspa1b	3	3	6.965132591510563	8.50362732409493	-1.5384947325843674	-4.077977457419273	-6.243102470780959	0.02289334357874592	0.06868003073623777
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Ifi30	3	3	11.78179480607527	12.346640612266071	-0.5648458061908013	-1.5519582454708236	-2.3759411271928497	0.12512152848046054	0.20267607293356693
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Ifit1	3	3	8.192014418045524	9.314306470109697	-1.1222920520641733	-3.101140468124948	-4.747632354751177	0.026585549532403923	0.07250604417928343
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Irf1	3	3	13.17012055820116	13.549513863974733	-0.3793933057735721	-1.0117500929245316	-1.5489196717991043	0.24237573622808892	0.3029696702851111
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Isg15	3	3	7.751301389334462	9.299819317419875	-1.5485179280854124	-3.962331582817472	-6.06605660601077	0.022556587317280236	0.06868003073623777
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Jun	3	3	11.762982675713003	11.299189244874233	0.4637934308387699	1.2708601654536034	1.9455993373689588	0.17218628339081035	0.25827942508621554
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Klf6	3	3	12.232611386159194	12.800316965151472	-0.5677055789922782	-1.5789747459436911	-2.4173015276892165	0.10730864681236991	0.2012037127731936
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Rfx5	3	3	8.939543774561978	9.962062826583253	-1.0225190520212752	-2.600383160879394	-3.9810074249251097	0.04021576047579767	0.09280560109799461
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Stat1	3	3	14.48924949269371	14.728168109092389	-0.23891861639867784	-0.6516541343815113	-0.9976375737561016	0.40509614495820073	0.45010682773133415
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Atf4	3	3	12.971586930494942	14.03925918271206	-1.0676722522171183	-2.871092145137972	-4.395444225063008	0.046487440521209275	0.10727870889509833
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Bax	3	3	12.804508454115192	12.675194960481754	0.12931349363343791	0.36672064839967355	0.5614240417011228	0.6282697265054419	0.6499341998332158
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Casp3	3	3	11.005081239194306	11.459112040120162	-0.4540308009258567	-1.3131576457465384	-2.010353864945907	0.17989460476586755	0.27810544855160324
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Cd74	3	3	12.989462393809873	15.448672872200161	-2.459210478390288	-7.195398921812146	-11.015659908882492	0.004839919225945197	0.01814969709729449
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Ciita	3	3	8.25139640367662	11.594113977366165	-3.3427175736895443	-9.169331044233452	-14.037613963145755	0.0013038730403771054	0.008994091118457927
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Ctss	3	3	14.380429834919576	14.96849038120338	-0.5880605462838027	-1.5785876925540498	-2.4167089756218183	0.13163922294675168	0.2468235430251594
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Cxcl10	3	3	11.334724982768899	11.008073558350283	0.32665142441861583	0.8855100679710578	1.355654892891463	0.3073977258222703	0.4275839034934732
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Ddit3	3	3	7.646158261653322	9.025589972578537	-1.379431710925215	-3.808448457192231	-5.830472144881744	0.027842645034270162	0.07531207227056583
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Dnajb1	3	3	10.481566681429454	10.741500748124603	-0.2599340666951484	-0.7668564573515133	-1.1740043915434861	0.35986877062220074	0.4275839034934732
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Fos	3	3	7.754462805782258	7.521438141320229	0.23302466446202885	0.693930659832539	1.0623600209141042	0.38513940097806815	0.42793266775340905
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Gadd45a	3	3	7.866393055205294	8.29737150693438	-0.43097845172908666	-1.295856863761716	-1.983867559937188	0.1713204162817617	0.27810544855160324
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Gbp2	3	3	15.78392777781493	16.26597427112128	-0.48204649330635085	-1.3405752788988436	-2.052328371932134	0.17328441383993506	0.27810544855160324
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	H2-Aa	3	3	5.347447793264564	12.681130094112158	-7.3336823008475935	-20.143146028919393	-30.8377684907636	4.4532219091457765e-05	0.001335966572743733
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	H2-Ab1	3	3	8.495155780266714	13.202407557944674	-4.7072517776779605	-13.563677089689163	-20.765054941010494	0.0006071097168573496	0.0060710971685734956
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	H2-DMa	3	3	7.71190591312363	11.169573269531144	-3.457667356407514	-11.342772345585566	-17.36500282202283	0.0014990151864096542	0.008994091118457927
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	H2-DMb1	3	3	7.8677119111515035	11.34392337032446	-3.476211459172956	-9.886854158736853	-15.136092406386954	0.002328270381794046	0.011641351908970228
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	H2-DMb2	3	3	3.904748505888708	6.355482207889096	-2.4507337020003876	-4.293754982327652	-6.573442992022344	0.003835204720218745	0.016436591658080334
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	H2-Eb1	3	3	6.384782801768941	12.629978958551789	-6.245196156782847	-17.057938625266775	-26.114528559759968	0.00016072830406585974	0.002410924560987896
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Hmox1	3	3	12.268279980323427	12.375499057242061	-0.10721907691863386	-0.29727542267305984	-0.4551081866369962	0.6901029201783577	0.6901029201783577
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Hsp90aa1	3	3	15.650497818072246	15.922024802734255	-0.27152698466200853	-0.74672156521733	-1.143179259196781	0.37057271636101013	0.4275839034934732
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Hspa1a	3	3	6.093251885240368	6.625163298625886	-0.5319114133855187	-1.245650714042036	-1.9070054044603182	0.1306067905389125	0.2468235430251594
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Hspa1b	3	3	7.734482493889058	8.50362732409493	-0.7691448302058719	-1.9964672316544168	-3.0564537535876375	0.0804437198323942	0.17237939964084473
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Ifi30	3	3	12.070627504984344	12.346640612266071	-0.27601310728172734	-0.7712040476727422	-1.180660252729532	0.3522874547585955	0.4275839034934732
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Ifit1	3	3	7.742568316837268	9.314306470109697	-1.5717381532724293	-4.39589152459855	-6.729806999932285	0.013217824828274792	0.04405941609424931
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Irf1	3	3	13.275544891034476	13.549513863974733	-0.27396897294025635	-0.7602723950027023	-1.1639246458002	0.36274793483969	0.4275839034934732
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Isg15	3	3	7.9025656627435295	9.299819317419875	-1.3972536546763452	-3.6178730241443215	-5.538714289583421	0.03012482890822633	0.07531207227056583
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Jun	3	3	11.745486389887716	11.299189244874233	0.4462971450134834	1.2426914090466115	1.9024749124402807	0.18540363236773547	0.27810544855160324
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Klf6	3	3	12.514745237436978	12.800316965151472	-0.285571727714494	-0.8426853964110924	-1.290093271813842	0.3204828647116296	0.4275839034934732
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Rfx5	3	3	9.764291295330285	9.962062826583253	-0.1977715312529682	-0.5214578338638781	-0.79831600958969	0.5027910337737405	0.5387046790432933
GSE162464	Mus musculus	Med16_IFNg_vs_NTC_IFNg	Stat1	3	3	13.33939436816672	14.728168109092389	-1.388773740925668	-3.9353100446784923	-6.024688493194736	0.02163249775619648	0.06489749326858944
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Atf4	3	3	12.354848965164058	13.216197373901132	-0.861348408737074	-4.563215821329622	-6.985968967783014	0.006485068058304523	0.031178958531908798
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Bax	3	3	12.539470102046423	12.53315675625577	0.006313345790651681	0.03478379028998525	0.05325158595652498	0.9603699368145521	0.9603699368145521
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Casp3	3	3	11.291420415709332	11.177331805718394	0.1140886099909384	0.7776009663545174	1.1904534944147984	0.3016825191368984	0.3934989380046501
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Cd74	3	3	12.171295059698496	10.220430944667466	1.9508641150310293	10.058305074060947	15.398571942935176	0.0003032397095324969	0.009097191285974908
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Ciita	3	3	2.163951032109891	3.3974309381569223	-1.2334799060470312	-2.381582699336015	-3.646038996008401	0.03498035344429862	0.08072389256376604
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Ctss	3	3	12.807562591579696	13.536115054249754	-0.7285524626700575	-4.746263360974672	-7.26620213703442	0.0027002942235229187	0.031178958531908798
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Cxcl10	3	3	4.00722468095279	4.5380832425631334	-0.5308585616103434	-0.7075357300910081	-1.0831884459440821	0.3515487191968093	0.42185846303617114
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Ddit3	3	3	7.391895531631025	7.723190912656894	-0.33129538102586853	-2.271333422916146	-3.4772549511710658	0.06770202469658021	0.1413585681183793
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Dnajb1	3	3	10.386893574878734	10.448713256880945	-0.061819682002210996	-0.3774325497690635	-0.577823224532389	0.6027307388410426	0.6457829344725455
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Fos	3	3	9.189642321757242	7.477426285980321	1.7122160357769216	5.1802042559163075	7.930535743992975	0.004964640737708055	0.031178958531908798
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Gadd45a	3	3	8.58046663827429	7.704831364759404	0.8756352735148853	8.024884845570064	12.285545697650026	0.003993544942040934	0.031178958531908798
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Gbp2	3	3	8.021028101259335	7.384510334489054	0.6365177667702806	4.394619669481272	6.727859877392235	0.006613243972961358	0.031178958531908798
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	H2-Aa	3	3	2.7799500009615414	3.7097610056483217	-0.9298110046867802	-2.164743497265952	-3.3140731201934592	0.02959281260807655	0.08070767074929969
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	H2-Ab1	3	3	6.672764187184028	5.805511220066528	0.8672529671175004	2.471767580473831	3.784105834321652	0.02939988418851515	0.08070767074929969
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	H2-DMa	3	3	5.820719582699215	6.194870079083176	-0.3741504963839617	-1.7477878420483925	-2.6757427447866773	0.09170129162907306	0.16182580875718777
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	H2-DMb1	3	3	6.780723394084201	6.87801331550176	-0.0972899214175591	-0.452157235638319	-0.6922215692632867	0.5547676519065323	0.6164085021183693
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	H2-DMb2	3	3	2.4406426982957874	3.3589385323502774	-0.91829583405449	-1.4797018935869748	-2.265321631698838	0.08638972440157233	0.16182580875718777
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	H2-Eb1	3	3	2.6356301985361728	3.2604532378415527	-0.62482303930538	-0.5900095927083797	-0.9032640284267853	0.417487482855752	0.4817163263720215
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Hmox1	3	3	12.097700956785795	12.183987357006659	-0.08628640022086387	-0.7160599003108198	-1.0962383631435613	0.3388941624377669	0.42185846303617114
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Hsp90aa1	3	3	15.70933950745802	15.843546857039499	-0.1342073495814784	-1.057808516446231	-1.6194319442898333	0.1839898516346618	0.27598477745199274
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Hspa1a	3	3	5.174724794462517	6.044066155769083	-0.8693413613065655	-5.086748483754208	-7.787461396921135	0.012916758895821306	0.043055862986071024
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Hspa1b	3	3	7.041343891959575	7.482712830785005	-0.4413689388254296	-3.7258726313547146	-5.7040542458874635	0.008314388941842346	0.031178958531908798
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Ifi30	3	3	11.91947739881409	12.062189256690589	-0.14271185787649898	-0.8197607305468724	-1.2549971881318802	0.2969338809343096	0.3934989380046501
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Ifit1	3	3	1.861654166907052	3.2134149787407815	-1.3517608118337294	-1.117635660158112	-1.711023178578751	0.16344425466166332	0.2580698757815737
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Irf1	3	3	9.153686934895196	9.413378378647463	-0.25969144375226705	-1.1858952550480506	-1.8155239145346505	0.1591667461827573	0.2580698757815737
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Isg15	3	3	2.8629048785274214	4.431683808519203	-1.5687789299917818	-2.995300320890081	-4.585598382859635	0.033617438929672096	0.08072389256376604
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Jun	3	3	11.80623637058734	11.669927073591081	0.13630929699625938	0.9964863307552116	1.5255519037553351	0.2490022137741986	0.35571744824885515
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Klf6	3	3	11.741222795702244	11.723417931600517	0.01780486410172699	0.15913324955975697	0.24362203908273775	0.8199232979050568	0.8481965150741967
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Rfx5	3	3	9.044394825033805	9.74777202840932	-0.7033772033755152	-4.170397920987108	-6.3845918317388834	0.007531525401685714	0.031178958531908798
GSE162464	Mus musculus	Gsk3b_US_vs_NTC_US	Stat1	3	3	10.398148557321845	10.151947233550155	0.24620132377168957	2.0664395163447913	3.1635764996052482	0.07067928405918965	0.1413585681183793
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Atf4	3	3	12.56562807127993	13.216197373901132	-0.6505693026212018	-1.66210926574073	-2.544574748635498	0.11503645483551889	0.5922818752105585
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Bax	3	3	12.991017224234158	12.53315675625577	0.45786046797838686	1.134105788431038	1.7362378099955351	0.20888871157265027	0.5922818752105585
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Casp3	3	3	11.62279375407095	11.177331805718394	0.4454619483525555	1.0521968292974806	1.610840837970726	0.23691275008422344	0.5922818752105585
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Cd74	3	3	12.002237840266183	10.220430944667466	1.7818068955987165	4.446556592628959	6.807371727718471	0.01461806706315164	0.4385420118945492
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Ciita	3	3	3.095134072954083	3.3974309381569223	-0.30229686520283927	-0.5459091163984584	-0.8357492381936575	0.466744765575748	0.7369654193301285
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Ctss	3	3	13.252502328742823	13.536115054249754	-0.28361272550693073	-0.6818406562863242	-1.0438510586161884	0.3976589667358263	0.6825715285546972
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Cxcl10	3	3	4.39122571210114	4.5380832425631334	-0.14685753046199324	-0.37305634560674417	-0.5711235575274352	0.6231706336777757	0.834791755208667
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Ddit3	3	3	7.420598073996501	7.723190912656894	-0.30259283866039244	-0.7219083198571481	-1.1051918904499511	0.38354260154841496	0.6825715285546972
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Dnajb1	3	3	10.516011875811854	10.448713256880945	0.06729861893090927	0.17983291257479528	0.27531179672924067	0.8069653633683781	0.834791755208667
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Fos	3	3	8.060724707674678	7.477426285980321	0.5832984216943577	1.0679690258490782	1.6349869840171625	0.18877963582288024	0.5922818752105585
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Gadd45a	3	3	8.529669120186197	7.704831364759404	0.8248377554267927	2.047505589310195	3.134589962066593	0.08742719969757064	0.5922818752105585
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Gbp2	3	3	7.831253232269876	7.384510334489054	0.44674289778082166	0.8256449505430249	1.2640055234599148	0.32189784606274635	0.6825715285546972
