pert_id	cmap_name	target	moa	target_antigen_presentation_best_rank	target_antigen_presentation_min_qval	target_antigen_presentation_max_reversal_strength	target_antigen_presentation_n_signatures	generic_ifn_jak_best_rank	generic_ifn_jak_min_qval	generic_ifn_jak_max_reversal_strength	generic_ifn_jak_n_signatures	l1000_target_minus_generic_reversal_strength	l1000_selectivity_call
BRD-K62970326	BRD-K62970326			38.0	8.11131886327998e-06	12.688932319407876	1			0.0	0	12.688932319407876	target_opposite_hit_absent_from_generic_top50
BRD-A37735495	BRD-A37735495			22.0	8.29616302467671e-06	12.615870959453028	1			0.0	0	12.615870959453028	target_opposite_hit_absent_from_generic_top50
BRD-K22832646	MW-STK33-1A			21.0	8.11131886327998e-06	12.418484837044863	1			0.0	0	12.418484837044863	target_opposite_hit_absent_from_generic_top50
BRD-K77987382	mebendazole			33.0	8.11131886327998e-06	12.372859590468245	1			0.0	0	12.372859590468245	target_opposite_hit_absent_from_generic_top50
BRD-K15791587	L-733060	TACR1	Tachykinin antagonist	43.0	8.11131886327998e-06	12.220800616366772	1			0.0	0	12.220800616366772	target_opposite_hit_absent_from_generic_top50
BRD-K80970344	pyrrolidine-dithiocarbamate	HSD11B1	NFKB pathway inhibitor	39.0	8.19840637673327e-06	12.163747018579452	1			0.0	0	12.163747018579452	target_opposite_hit_absent_from_generic_top50
BRD-K74133369	oligomycin-a	ATP5F1A	ATPase inhibitor	24.0	9.08872765809517e-06	12.10488718004912	1			0.0	0	12.10488718004912	target_opposite_hit_absent_from_generic_top50
BRD-K27305650	LY-294002	MTOR	PLK inhibitor	41.0	8.1484685461735e-06	12.097210035935046	1			0.0	0	12.097210035935046	target_opposite_hit_absent_from_generic_top50
BRD-K12539581	nocodazole			26.0	8.56575657431508e-06	12.06904280514963	1			0.0	0	12.06904280514963	target_opposite_hit_absent_from_generic_top50
BRD-K53561341	KIN-001-220			30.0	8.11131886327998e-06	12.05804225221134	1			0.0	0	12.05804225221134	target_opposite_hit_absent_from_generic_top50
BRD-A19500257	geldanamycin	HSP90AA1	HSP inhibitor	29.0	8.11131886327998e-06	12.04076155157386	1			0.0	0	12.04076155157386	target_opposite_hit_absent_from_generic_top50
BRD-K84450674	BRD-K84450674			48.0	0.000116255820953784	10.235832684179007	1			0.0	0	10.235832684179007	target_opposite_hit_absent_from_generic_top50
BRD-K25737009	CD-1530	RARG	Retinoid receptor agonist	46.0	0.000132993384455494	10.000575123434452	1			0.0	0	10.000575123434452	target_opposite_hit_absent_from_generic_top50
BRD-K37691127	hinokitiol			47.0	0.000132893991713038	9.899858930901479	1			0.0	0	9.899858930901479	target_opposite_hit_absent_from_generic_top50
BRD-A75144621	digoxin	ATP1A1	ATPase inhibitor	50.0	0.000132893991713038	9.585959237951748	1			0.0	0	9.585959237951748	target_opposite_hit_absent_from_generic_top50
BRD-K52911425	GDC-0941	PIK3CG	PI3K inhibitor	45.0	0.000134849425834976	9.367456325409748	1			0.0	0	9.367456325409748	target_opposite_hit_absent_from_generic_top50
BRD-K71799949	carbamazepine	SCN1A	Carboxamide antiepileptic	49.0	0.000138633155766914	9.048382157779944	1			0.0	0	9.048382157779944	target_opposite_hit_absent_from_generic_top50
BRD-K36198571	WAY-170523	MMP13	Metalloproteinase inhibitor	36.0	9.0050056086294e-06	12.677513445035995	1	9.0	2.36730754054808e-06	12.862640056737613	1	-0.1851266117016177	generic_ifn_reversal_at_least_as_strong
BRD-K01877528	TL-HRAS-61					0.0	0	44.0	2.17450539084096e-06	12.513504186606928	1	-12.513504186606928	generic_ifn_reversal_at_least_as_strong
BRD-K49810818	sorafenib	FGFR1	KIT inhibitor			0.0	0	16.0	3.18778308568874e-06	12.820965716941336	1	-12.820965716941336	generic_ifn_reversal_at_least_as_strong
BRD-K79353516	indolophenanthridine					0.0	0	43.0	2.17201533062368e-06	13.077800376197665	1	-13.077800376197665	generic_ifn_reversal_at_least_as_strong
BRD-U08759356	BRD-U08759356					0.0	0	7.0	2.15740486115298e-06	13.338642272821682	1	-13.338642272821682	generic_ifn_reversal_at_least_as_strong
BRD-K97534490	BRD-K97534490					0.0	0	15.0	2.21250759416651e-06	13.371684759767254	1	-13.371684759767254	generic_ifn_reversal_at_least_as_strong
BRD-K18163752	BRD-K18163752					0.0	0	20.0	2.17450539084096e-06	13.377516647024722	1	-13.377516647024722	generic_ifn_reversal_at_least_as_strong
BRD-K70511574	HMN-214	CSF1R	PLK inhibitor			0.0	0	10.0	2.15740486115298e-06	13.391703078874187	1	-13.391703078874187	generic_ifn_reversal_at_least_as_strong
BRD-K91701654	U-0126	MAP2K1	MEK inhibitor			0.0	0	35.0	2.15740486115298e-06	13.419394832271195	1	-13.419394832271195	generic_ifn_reversal_at_least_as_strong
BRD-A25088322	CVF-SUMO-7					0.0	0	22.0	2.15740486115298e-06	13.524063586517798	2	-13.524063586517798	generic_ifn_reversal_at_least_as_strong
BRD-K61717269	BRD-K61717269					0.0	0	17.0	2.15740486115298e-06	13.539661369186106	1	-13.539661369186106	generic_ifn_reversal_at_least_as_strong
BRD-K78513633	lonidamine					0.0	0	40.0	2.18967132329599e-06	13.584224564475997	1	-13.584224564475997	generic_ifn_reversal_at_least_as_strong
BRD-K39120595	bithionol					0.0	0	3.0	2.15740486115298e-06	13.61544533043315	1	-13.61544533043315	generic_ifn_reversal_at_least_as_strong
BRD-K20123385	BRD-K20123385					0.0	0	19.0	2.15740486115298e-06	13.627226841235911	1	-13.627226841235911	generic_ifn_reversal_at_least_as_strong
BRD-K71823332	epothilone-a					0.0	0	27.0	2.15740486115298e-06	13.630138139374518	1	-13.630138139374518	generic_ifn_reversal_at_least_as_strong
BRD-K33396764	BRD-K33396764					0.0	0	38.0	2.15740486115298e-06	13.638000616781722	1	-13.638000616781722	generic_ifn_reversal_at_least_as_strong
BRD-A26595446	BRD-A26595446					0.0	0	25.0	2.15740486115298e-06	13.648627617012401	1	-13.648627617012401	generic_ifn_reversal_at_least_as_strong
BRD-K13927029	retinol	RXRA	Retinoid receptor ligand			0.0	0	48.0	2.15740486115298e-06	13.726626697757979	1	-13.726626697757979	generic_ifn_reversal_at_least_as_strong
BRD-K71430621	clobenpropit	HRH3	Histamine receptor antagonist			0.0	0	14.0	2.15740486115298e-06	13.730241560332697	1	-13.730241560332697	generic_ifn_reversal_at_least_as_strong
BRD-K23027438	BRD-K23027438					0.0	0	23.0	2.15740486115298e-06	13.764588387965732	1	-13.764588387965732	generic_ifn_reversal_at_least_as_strong
BRD-K32944375	BRD-K32944375					0.0	0	37.0	2.15740486115298e-06	13.822802534568481	1	-13.822802534568481	generic_ifn_reversal_at_least_as_strong
BRD-A70155556	lovastatin	HMGCR	HMGCR inhibitor			0.0	0	21.0	2.17450539084096e-06	13.829809775477269	1	-13.829809775477269	generic_ifn_reversal_at_least_as_strong
BRD-K41410256	balsalazide	PTGS1	Cyclooxygenase inhibitor			0.0	0	31.0	2.15740486115298e-06	13.860930174171736	1	-13.860930174171736	generic_ifn_reversal_at_least_as_strong
BRD-K98004941	BRD-K98004941					0.0	0	41.0	2.15740486115298e-06	13.912795406252233	1	-13.912795406252233	generic_ifn_reversal_at_least_as_strong
BRD-K59632282	quinidine	SCN5A	Sodium channel blocker			0.0	0	6.0	2.15740486115298e-06	13.9347873424474	1	-13.9347873424474	generic_ifn_reversal_at_least_as_strong
BRD-A39093044	K784-3187					0.0	0	32.0	2.15740486115298e-06	13.95601184565766	1	-13.95601184565766	generic_ifn_reversal_at_least_as_strong
BRD-A77467113	EMF-sumo1-11					0.0	0	11.0	2.15740486115298e-06	13.963583461068508	1	-13.963583461068508	generic_ifn_reversal_at_least_as_strong
BRD-A92177080	betamethasone-acetate	NR3C1	Glucocorticoid receptor agonist			0.0	0	33.0	2.17450539084096e-06	14.042732716822416	1	-14.042732716822416	generic_ifn_reversal_at_least_as_strong
BRD-K63516691	T-0156	PDE5A	Phosphodiesterase inhibitor			0.0	0	13.0	2.15740486115298e-06	14.061380611940272	1	-14.061380611940272	generic_ifn_reversal_at_least_as_strong
BRD-K30296925	flavokavain-b	IKBKB	Anti-cancer agent			0.0	0	8.0	2.15740486115298e-06	14.079995561909797	1	-14.079995561909797	generic_ifn_reversal_at_least_as_strong
BRD-A45498368	WYE-125132	MTOR	MTOR inhibitor			0.0	0	30.0	2.15740486115298e-06	14.19213678392528	1	-14.19213678392528	generic_ifn_reversal_at_least_as_strong
BRD-K07259155	BRD-K07259155					0.0	0	50.0	2.15740486115298e-06	14.25651496976453	1	-14.25651496976453	generic_ifn_reversal_at_least_as_strong
BRD-K36772364	BRD-K36772364					0.0	0	47.0	2.15740486115298e-06	14.264472971713962	1	-14.264472971713962	generic_ifn_reversal_at_least_as_strong
BRD-K50168500	canertinib	EGFR	EGFR inhibitor			0.0	0	12.0	2.15740486115298e-06	14.26781719102689	1	-14.26781719102689	generic_ifn_reversal_at_least_as_strong
BRD-K32501161	vanoxerine	SLC6A3	Dopamine uptake inhibitor			0.0	0	24.0	2.15740486115298e-06	14.272960614396137	1	-14.272960614396137	generic_ifn_reversal_at_least_as_strong
BRD-K88707333	BRD-K88707333					0.0	0	45.0	2.15740486115298e-06	14.362854401091303	1	-14.362854401091303	generic_ifn_reversal_at_least_as_strong
BRD-K10057859	BRD-K10057859					0.0	0	26.0	2.15740486115298e-06	14.469248030451014	1	-14.469248030451014	generic_ifn_reversal_at_least_as_strong
BRD-K01614657	BRD-K01614657					0.0	0	46.0	2.15740486115298e-06	14.478213463965282	1	-14.478213463965282	generic_ifn_reversal_at_least_as_strong
BRD-K89692698	BRD-K89692698					0.0	0	34.0	2.15740486115298e-06	14.566868053509026	1	-14.566868053509026	generic_ifn_reversal_at_least_as_strong
BRD-K58214070	BRD-K58214070					0.0	0	28.0	2.15740486115298e-06	14.6158359661551	1	-14.6158359661551	generic_ifn_reversal_at_least_as_strong
BRD-A25775766	securinine	GABRA1	TP53 activator			0.0	0	18.0	2.15740486115298e-06	14.840361443800221	1	-14.840361443800221	generic_ifn_reversal_at_least_as_strong
BRD-K51290057	SA-792709	RARA	Retinoid receptor agonist			0.0	0	42.0	2.15740486115298e-06	14.90936557245526	1	-14.90936557245526	generic_ifn_reversal_at_least_as_strong
BRD-K28168037	fenretinide	RARA	Apoptosis stimulant			0.0	0	49.0	2.15740486115298e-06	14.921002060202365	1	-14.921002060202365	generic_ifn_reversal_at_least_as_strong
BRD-K70914287	BIBX-1382	EGFR	EGFR inhibitor			0.0	0	29.0	2.15740486115298e-06	15.072867762941424	1	-15.072867762941424	generic_ifn_reversal_at_least_as_strong
BRD-K18849474	dalcetrapib	CETP	Cholesterylester transfer protein inhibitor			0.0	0	36.0	2.15740486115298e-06	15.12854326247402	1	-15.12854326247402	generic_ifn_reversal_at_least_as_strong
BRD-K34092021	arvanil	CNR1	TRPV agonist			0.0	0	4.0	2.15740486115298e-06	16.286749608568396	2	-16.286749608568396	generic_ifn_reversal_at_least_as_strong
BRD-K03736784	BRD-K03736784					0.0	0	2.0	7.27254652994247e-08	18.41975323933283	1	-18.41975323933283	generic_ifn_reversal_at_least_as_strong
BRD-A75931230	F-1061-0166					0.0	0	1.0	7.27254652994247e-08	18.44878422588589	1	-18.44878422588589	generic_ifn_reversal_at_least_as_strong
