seed	donors	effect_scale	method	truth_class	candidate_selection_probability
57103	12	1.00	pooled_replicated_gate	subgroup_reversal	0.000000
57103	12	1.00	pooled_replicated_gate	toxic_pseudorescue	0.000000
57103	12	1.00	pooled_replicated_gate	tradeoff	0.000000
57103	12	1.00	pooled_replicated_gate	uniform_broad_rescue	0.551750
57103	12	1.00	context_safe_gate	null	0.000000
57103	12	1.00	context_safe_gate	subgroup_reversal	0.000000
57103	12	1.00	context_safe_gate	toxic_pseudorescue	0.000000
57103	12	1.00	context_safe_gate	tradeoff	0.000000
57103	12	1.00	context_safe_gate	uniform_broad_rescue	0.001250
57103	16	0.80	pooled_replicated_gate	null	0.000125
57103	16	0.80	pooled_replicated_gate	subgroup_reversal	0.000000
57103	16	0.80	pooled_replicated_gate	toxic_pseudorescue	0.000000
57103	16	0.80	pooled_replicated_gate	tradeoff	0.000000
57103	16	0.80	pooled_replicated_gate	uniform_broad_rescue	0.763750
57103	16	0.80	context_safe_gate	null	0.000000
57103	16	0.80	context_safe_gate	subgroup_reversal	0.000000
57103	16	0.80	context_safe_gate	toxic_pseudorescue	0.000000
57103	16	0.80	context_safe_gate	tradeoff	0.000000
57103	16	0.80	context_safe_gate	uniform_broad_rescue	0.013750
57103	16	1.00	pooled_replicated_gate	null	0.000000
57103	16	1.00	pooled_replicated_gate	subgroup_reversal	0.000000
57103	16	1.00	pooled_replicated_gate	toxic_pseudorescue	0.000000
57103	16	1.00	pooled_replicated_gate	tradeoff	0.000000
57103	16	1.00	pooled_replicated_gate	uniform_broad_rescue	0.772250
57103	16	1.00	context_safe_gate	null	0.000000
57103	16	1.00	context_safe_gate	subgroup_reversal	0.000000
57103	16	1.00	context_safe_gate	toxic_pseudorescue	0.000000
57103	16	1.00	context_safe_gate	tradeoff	0.000000
57103	16	1.00	context_safe_gate	uniform_broad_rescue	0.015750
57103	24	0.80	pooled_replicated_gate	null	0.000000
57103	24	0.80	pooled_replicated_gate	subgroup_reversal	0.002500
57103	24	0.80	pooled_replicated_gate	toxic_pseudorescue	0.000000
57103	24	0.80	pooled_replicated_gate	tradeoff	0.000000
57103	24	0.80	pooled_replicated_gate	uniform_broad_rescue	0.944250
57103	24	0.80	context_safe_gate	null	0.000000
57103	24	0.80	context_safe_gate	subgroup_reversal	0.000000
57103	24	0.80	context_safe_gate	toxic_pseudorescue	0.000000
57103	24	0.80	context_safe_gate	tradeoff	0.000000
57103	24	0.80	context_safe_gate	uniform_broad_rescue	0.124250
57103	24	1.00	pooled_replicated_gate	null	0.000125
57103	24	1.00	pooled_replicated_gate	subgroup_reversal	0.001000
57103	24	1.00	pooled_replicated_gate	toxic_pseudorescue	0.000000
57103	24	1.00	pooled_replicated_gate	tradeoff	0.000000
57103	24	1.00	pooled_replicated_gate	uniform_broad_rescue	0.943500
57103	24	1.00	context_safe_gate	null	0.000000
57103	24	1.00	context_safe_gate	subgroup_reversal	0.000000
57103	24	1.00	context_safe_gate	toxic_pseudorescue	0.000000
57103	24	1.00	context_safe_gate	tradeoff	0.000000
57103	24	1.00	context_safe_gate	uniform_broad_rescue	0.117750
