contrast	feature	feature_type	n_case_samples	n_control_samples	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
Hashimoto thyroiditis_vs_control	LAMP2	gene	3	2	0.26467868997167154	0.2104534862042764	0.05422520376739515	0.590904353527704	0.962185973477184	0.4107296845652485	0.44806874679845293
Hashimoto thyroiditis_vs_control	LAMP3	gene	3	2	0.0800490514554102	0.004254901295148583	0.07579415016026163	1.3269252794182274	2.57878694840065	0.12277307705001712	0.2523059403887865
Hashimoto thyroiditis_vs_control	RFX5	gene	3	2	0.1822236244136972	0.06434883334617347	0.11787479106752372	2.1179641297620875	3.8907729238114426	0.037576658085561834	0.21309125802682297
Hashimoto thyroiditis_vs_control	STAT1	gene	3	2	0.6737671346067485	0.11365214721842298	0.5601149873883255	5.392283927743702	9.858383144879468	0.003451046511106347	0.04141255813327617
Graves disease_vs_control	hla_ii_apc	module	3	2	0.09289946426942819	0.041130452221060064	0.051769012048368125	0.8973278691101257	1.7432271867432163	0.22270155809658726	0.3120486325805568
Graves disease_vs_control	ifn_apc	module	3	2	0.23090298689030864	0.08632315767313319	0.14457982921717544	0.7477783201600859	1.4366259780180382	0.27937254916489324	0.3468073024115916
Graves disease_vs_control	lysosomal_apc	module	3	2	0.9269240341462307	0.5578527487350465	0.36907128541118417	1.2487214457061793	2.4208586285917177	0.13430637779237306	0.2523059403887865
Graves disease_vs_control	mif_cd74_receptor_state	module	3	2	0.27543127171716203	0.14213565624347357	0.13329561547368846	1.3404025807985496	2.5763227520380307	0.11533073480289517	0.2523059403887865
Graves disease_vs_control	CD44	gene	3	2	0.3873656640468018	0.2291911635977048	0.15817450044909698	1.0746298020816965	2.0837800932936075	0.17043765180031478	0.2921788316576825
Graves disease_vs_control	CIITA	gene	3	2	0.08738378603099012	0.01791207109594665	0.06947171493504346	0.8302358064868669	1.5914492908915783	0.24270449200709976	0.3120486325805568
Graves disease_vs_control	CTSB	gene	3	2	3.1047859394620385	2.1405485139745934	0.9642374254874451	1.2202623718500256	2.3691095990733624	0.14016996688265917	0.2523059403887865
Graves disease_vs_control	CTSD	gene	3	2	1.1911025185507673	0.3781237938166425	0.8129787247341248	1.1724317897117793	2.1908472592468504	0.13523015195889693	0.2523059403887865
Graves disease_vs_control	CTSS	gene	3	2	0.2827829892294531	0.06671767951841139	0.2160653097110417	1.2276378039067661	2.3864112013172325	0.13946883298603677	0.2523059403887865
Graves disease_vs_control	CXCL10	gene	3	2	0.07817846083069993	0.0026464271424106118	0.07553203368828931	0.8599121247287087	1.6719037638765624	0.23640356234542917	0.3120486325805568
Graves disease_vs_control	CXCR4	gene	3	2	0.1634968793875223	0.05508014888924237	0.10841673049827993	1.817048563379501	2.898745429677083	0.07103041934227432	0.21309125802682297
Graves disease_vs_control	GBP1	gene	3	2	0.2444806704697333	0.178107324266496	0.06637334620323729	0.29478078805092234	0.4882617214447123	0.659679735581923	0.659679735581923
Graves disease_vs_control	IRF1	gene	3	2	0.20920864605784326	0.05088673206520314	0.15832191399264012	0.941158901309947	1.8189945307129922	0.2060415983397573	0.3120486325805568
Graves disease_vs_control	LAMP1	gene	3	2	0.6700982793586007	0.5470181176012063	0.12308016175739434	0.6699738680040505	1.2594452248394414	0.31637243081905453	0.36740024224148266
Graves disease_vs_control	LAMP2	gene	3	2	0.2849915351661056	0.2104534862042764	0.0745380489618292	0.6131849345034797	1.069553060642742	0.36374576774641393	0.4092139887147157
Graves disease_vs_control	LAMP3	gene	3	2	0.02778294311041825	0.004254901295148583	0.023528041815269664	0.9891571179321327	1.9171348491456335	0.19279006074340338	0.3120486325805568
Graves disease_vs_control	RFX5	gene	3	2	0.09841514250786626	0.06434883334617347	0.03406630916169279	0.6869492715020113	1.2447035215100835	0.30815300400153256	0.36740024224148266
Graves disease_vs_control	STAT1	gene	3	2	0.39174417020295804	0.11365214721842298	0.27809202298453506	0.8458922802614278	1.634200765851844	0.23917400483295453	0.3120486325805568
