followup_loss	score_missing	confirmation_loss	event_probability	gross_per_site	gross_total	inflation_over_450	expected_analyzable_total	expected_confirmed_events_total	minimum_seed_probability	minimum_seed_ci_low	reference_counts_reached	verdict
0.1	0.0	0.2	0.3	230	690	1.5333333333333334	621.0	149.04	0.91	0.9017496349937966	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.1	0.0	0.15	415	1245	2.7666666666666666	1008.45	151.2675	0.9238	0.9161161747785276	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.1	0.0	0.3	205	615	1.3666666666666667	498.15000000000003	149.445	0.91	0.9017496349937966	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.1	0.1	0.15	460	1380	3.066666666666667	1117.8000000000002	150.90300000000005	0.9122	0.9040358607404276	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.1	0.1	0.3	230	690	1.5333333333333334	558.9000000000001	150.90300000000005	0.928	0.920501853452584	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.1	0.2	0.15	515	1545	3.433333333333333	1251.45	150.174	0.9134	0.9052835112911011	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.1	0.2	0.3	260	780	1.7333333333333334	631.8000000000001	151.632	0.9344	0.9271985582404283	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.2	0.0	0.15	465	1395	3.1	1004.4000000000001	150.66	0.9184	0.9104869648157441	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.2	0.0	0.3	235	705	1.5666666666666667	507.6000000000001	152.28000000000003	0.941	0.93412411487236	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.2	0.1	0.15	520	1560	3.466666666666667	1123.2	151.632	0.9256	0.9179949233049428	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.2	0.1	0.3	260	780	1.7333333333333334	561.6	151.632	0.9388	0.9318132107889695	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.2	0.2	0.15	585	1755	3.9	1263.6000000000001	151.632	0.9296	0.9221744123815461	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.2	0.2	0.3	290	870	1.9333333333333333	626.4000000000001	150.336	0.917	0.9090291789701186	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.0	0.0	0.15	420	1260	2.8	1008.0	151.2	0.9302	0.9228018922084907	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.0	0.0	0.3	210	630	1.4	504.0	151.2	0.9422	0.9353856748476457	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.0	0.1	0.15	465	1395	3.1	1116.0	150.66	0.9158	0.9077801617205133	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.0	0.1	0.3	230	690	1.5333333333333334	552.0	149.04000000000002	0.9088	0.9005032068555603	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.0	0.2	0.15	525	1575	3.5	1260.0	151.2	0.9238	0.9161161747785276	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.0	0.2	0.3	260	780	1.7333333333333334	624.0	149.76	0.9164	0.9084046117431563	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.1	0.0	0.15	465	1395	3.1	1004.4000000000001	150.66	0.9182	0.9102786696738933	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.1	0.0	0.3	235	705	1.5666666666666667	507.6000000000001	152.28000000000003	0.934	0.9267794935377381	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.1	0.1	0.15	515	1545	3.433333333333333	1112.4	150.17400000000004	0.9104	0.9021652049427971	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.1	0.1	0.3	260	780	1.7333333333333334	561.6	151.632	0.9344	0.9271985582404283	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.1	0.2	0.15	580	1740	3.8666666666666667	1252.8000000000002	150.336	0.9102	0.9019574140583319	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.1	0.2	0.3	290	870	1.9333333333333333	626.4000000000001	150.336	0.9212	0.9134045309031973	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.2	0.0	0.15	525	1575	3.5	1008.0000000000002	151.20000000000002	0.9232	0.9154901932683602	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.2	0.0	0.3	265	795	1.7666666666666666	508.8000000000001	152.64000000000004	0.9284	0.9209198960630662	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.2	0.1	0.15	585	1755	3.9	1123.2000000000003	151.63200000000003	0.9262	0.9186214457482019	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.2	0.1	0.3	290	870	1.9333333333333333	556.8000000000001	150.33600000000004	0.9204	0.9125706640142387	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.2	0.2	0.15	655	1965	4.366666666666666	1257.6000000000001	150.912	0.918	0.910070387946223	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.2	0.2	0.2	0.3	330	990	2.2	633.6000000000001	152.06400000000002	0.9354	0.9282465394943835	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
