analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	route_class	nominal_positive	nominal_negative	max_activating_paralog_delta	beats_activating_paralog
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	FCGR2B	6	6	0.4952896034446212	1.2048661580266824	-0.7095765545820611	-0.8699172076783278	-1.6323025355837528	0.1494477796240144	0.0015705534975244	0.0043365756351631	0.75	0.8500778807356516	False	0.434718612260804	False	False	False	False	adjacent_inhibitory	False	False	-0.4279118031637837	False
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	FCGR2B	11	14	0.6472973813258577	0.3259454280079638	0.3213519533178938	0.5507475075603931	1.4164292755044088	0.1707913758714895	0.0009173942153791	0.0002600909269179	0.52	0.4673402874678372	False	0.8441184433525579	False	False	False	False	adjacent_inhibitory	False	False	-0.0370929030898445	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	FCGR2B	9	13	8.289411631072744	7.970620022437719	0.3187916086350251	0.4676446967523818	1.1814152267369415	0.2514428253108151	0.3367118011567511	0.3253657210665591	1.0	8.101034771424777	False	0.958344072074493	False	False	False	False	adjacent_inhibitory	False	False	2.381846980674716	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	FCGR2B	6	6	6.646212825077032	6.129008598695297	0.5172042263817351	0.3977127959123985	0.7462636667855915	0.482980980500481	0.2007260304127918	0.1368576950737145	1.0	6.387610711886165	False	0.7869264047968214	False	False	False	False	adjacent_inhibitory	False	False	3.823198311319704	False
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	FCGR2B	3	3	7.416961323373678	7.713628957691641	-0.2966676343179628	-0.4205925001951478	-0.6438981344497164	0.5691987483356593	0.4662158869395711	0.5831175337186898	1.0	7.565295140532659	False	0.8616617410773542	False	False	False	False	adjacent_inhibitory	False	False		False
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	FCGR2B	6	6	1.8106747345625929	2.235438021086297	-0.4247632865237043	-0.3090743438796118	-0.5799435058251278	0.5749886844970836	0.0141581414741386	0.015227426317635	0.8333333333333334	2.0230563778244446	False	0.8649786051569657	False	False	False	False	adjacent_inhibitory	False	False		False
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	FCGR2B	3	3	0.727857201205976	0.6400750345815864	0.0877821666243895	0.2776697227119424	0.42509321104022	0.7107003435718898	0.0063258182401027	0.0046055280513107	1.0	0.6839661178937811	False	0.9090048694060852	False	False	False	False	adjacent_inhibitory	False	False		False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	FCGR2B	6	6	0.8632604481100566	1.2048661580266824	-0.3416057099166257	-0.1910546373097028	-0.3584927004122205	0.7304190254021119	0.0069444444444444	0.0043365756351631	0.5	1.0340633030683697	False	0.8949779129344969	False	False	False	False	adjacent_inhibitory	False	False	-0.4904545590832134	False
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	FCGR2B	3	3	0.5044625607997731	0.5727894424668587	-0.0683268816670855	-0.2299537097594708	-0.3520432833567273	0.7515259789845887	0.0056651215921321	0.005799598911824	1.0	0.5386260016333159	False	0.8907719977284685	False	False	False	False	adjacent_inhibitory	False	False		False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	FCGR2B	6	6	6.2088793594136185	6.129008598695297	0.0798707607183217	0.0526265979869583	0.0987479366714899	0.923477892751392	0.1366619510745423	0.1368576950737145	1.0	6.168943979054458	False	0.9857578117385974	False	False	False	False	adjacent_inhibitory	False	False	2.715659124880514	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LAIR1	6	6	6.1143989025802155	6.997842911258882	-0.8834440086786666	-1.9506405534538347	-3.6601592580435094	0.0046514946993377	0.1667723961115448	0.2584576676769234	1.0	6.556120906919548	False	0.173821630796644	False	True	False	False	adjacent_inhibitory	False	True	2.715659124880514	False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	LAIR1	6	6	0.0652652898577995	0.868635095795787	-0.8033698059379875	-1.893940005558486	-3.553767009124128	0.0123538999491857	0.0004504504504504	0.0030140323025867	0.5	0.4669501928267932	False	0.2005203409064477	False	True	False	False	adjacent_inhibitory	False	True	-0.4904545590832134	False
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	LAIR1	5	19	1.7566345760004372	0.6294429595352727	1.1271916164651643	1.3423276625685578	2.870263606865083	0.0255629027046326	0.0137718796281483	0.0046912907477902	0.5833333333333334	0.8642745462988487	False	0.4268901124089078	True	False	False	False	adjacent_inhibitory	True	False	0.4987612590670312	False
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	LAIR1	5	17	1.9603966665885273	0.1345155651231344	1.8258811014653928	2.391222972374651	3.270857542103227	0.0258461220384748	0.0106505048260585	0.0004171881518564	0.2272727272727272	0.5494885427289056	False	0.3573145867906226	True	False	False	False	adjacent_inhibitory	True	False		False
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	LAIR1	4	17	1.1587825016529891	0.5509444534835526	0.6078380481694365	0.5184449363710311	1.7599748925189451	0.0960217381875409	0.00764400344483	0.0118723208543083	0.3809523809523809	0.6667231293253499	False	0.5441466347182178	False	False	False	False	adjacent_inhibitory	False	False		False
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	LAIR1	3	19	1.7835299996716405	0.5968661011044454	1.1866638985671951	1.4323901676603257	2.0225655329471888	0.157748311405417	0.0133353871329766	0.0048006033955438	0.5909090909090909	0.7586839054545176	False	0.7796068076599874	False	False	False	False	adjacent_inhibitory	False	False	-0.0803546345289081	False
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	LAIR1	10	14	1.2411756518144164	0.7103092294556684	0.5308664223587479	0.4978840240319581	1.2833632218519428	0.213141894426655	0.0033056069973041	0.0021268021653994	0.5	0.9315035721051468	False	0.8669837867647283	False	False	False	False	adjacent_inhibitory	False	False	-0.4051947742375956	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LAIR1	6	6	6.6124964920909335	6.997842911258882	-0.3853464191679485	-0.5698103375867247	-1.0691854933263627	0.3198963413783257	0.2545192240639954	0.2584576676769234	1.0	6.805169701674909	False	0.6937608979343768	False	False	False	False	adjacent_inhibitory	False	False	3.823198311319704	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LAIR1	9	13	7.783185268362532	7.956476953299829	-0.1732916849372969	-0.3571027862319909	-0.9219809121700008	0.3675338088476455	0.27325470898416	0.3981678671006272	1.0	7.885584900370935	False	0.9621803366179228	False	False	False	False	adjacent_inhibitory	False	False	2.381846980674716	False
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	LAIR1	11	14	0.8399089848969816	0.631681449449435	0.2082275354475465	0.2328362740259395	0.5912186756702708	0.5607881337499186	0.0010825755376038	0.0022690300197088	0.64	0.7233015650463556	False	0.8621515520990526	False	False	False	False	adjacent_inhibitory	False	False	-0.0370929030898445	False
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	LAIR1	6	6	1.4986636362546804	1.1349195093843951	0.3637441268702852	0.3000858277241841	0.5630775586037854	0.587279395966222	0.0159354737309229	0.0080244828024015	0.6666666666666666	1.3167915728195378	False	0.8693264800681313	False	False	False	False	adjacent_inhibitory	False	False		False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	LAIR1	6	6	0.6913229962895175	0.868635095795787	-0.1773120995062694	-0.2950035160189603	-0.5535411680026566	0.5921432215201095	0.002760727080071	0.0030140323025867	0.75	0.7799790460426522	False	0.7934306902404229	False	False	False	False	adjacent_inhibitory	False	False	-0.4279118031637837	False
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	LAIR1	6	6	1.401350443113324	1.1349195093843951	0.2664309337289288	0.2738934708280923	0.51393052461361	0.618465604036536	0.0100784511009953	0.0080244828024015	0.75	1.2681349762488596	False	0.8683625686859279	False	False	False	False	adjacent_inhibitory	False	False		False
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	LAIR1	5	18	0.4304499452640105	0.4517584484127133	-0.0213085031487028	-0.049004315049695	-0.1264121266319956	0.9019984923125232	0.0017862157499119	0.0014684832831448	0.6521739130434783	0.447126165119517	False	0.9642171601882328	False	False	False	False	adjacent_inhibitory	False	False	-0.0416981691775082	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LILRA1	6	6	5.320697453253398	2.439272204348764	2.8814252489046344	2.4416880503577847	4.581555072741268	0.0026135583331527	0.1218940224450167	0.0172116648259447	0.9166666666666666	3.879984828801081	False	0.1444546492477762	True	False	False	False	LILRA_activating_paralog	True	False	3.823198311319704	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LILRA1	6	6	5.154931329229278	2.439272204348764	2.715659124880514	2.2388902323736546	4.2010276046275985	0.0034584765679727	0.100646500970877	0.0172116648259447	0.9166666666666666	3.79710176678902	False	0.1564261116957518	True	False	False	False	LILRA_activating_paralog	True	False	2.715659124880514	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LILRA1	9	13	3.877073964208712	3.121212010286299	0.7558619539224134	0.3138699644337583	0.8073362340910715	0.4289704258166446	0.0307505988882998	0.0417722004105233	0.7272727272727273	3.43042826416365	False	0.9685337805664712	False	False	False	False	LILRA_activating_paralog	False	False	2.381846980674716	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LILRA2	6	6	4.875637078154944	2.2460135642948384	2.6296235138601056	1.889012120656775	3.5445203831818777	0.0063479330067912	0.1166413635233978	0.0149751556052122	0.9166666666666666	3.560825321224891	False	0.1957964163758104	True	False	False	False	LILRA_activating_paralog	True	False	3.823198311319704	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LILRA2	6	6	4.5019679070815295	2.2460135642948384	2.255954342786691	1.7439666582665545	3.2723587637257636	0.0121051958941665	0.077225972897151	0.0149751556052122	0.9166666666666666	3.373990735688184	False	0.2427291503828861	True	False	False	False	LILRA_activating_paralog	True	False	2.715659124880514	False
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	LILRA2	5	19	0.5256818722979621	0.0269206132309309	0.4987612590670312	1.8799054863321745	2.027525703446712	0.1108587442639948	0.0023670810233626	0.0001512401693889	0.2083333333333333	0.1308292088698958	False	0.5273206386434995	False	False	False	False	LILRA_activating_paralog	False	False	0.4987612590670312	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LILRA2	9	13	4.7895680949299075	5.9901300094098335	-1.200561914479926	-0.8372527207458196	-1.7032290632680027	0.1229750987753496	0.0766579571250484	0.1262331179410714	0.9545454545454546	5.498991044395318	False	0.941417255008202	False	False	False	False	LILRA_activating_paralog	False	False	2.381846980674716	False
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	LILRA2	10	14	0.1331017108088328	0.5382964850464285	-0.4051947742375956	-0.5322505120471807	-1.5275076231893132	0.1450342280292951	0.0001610260756602	0.0012746619556927	0.25	0.3694653291140968	False	0.8522956812246113	False	False	False	False	LILRA_activating_paralog	False	False	-0.4051947742375956	False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	LILRA2	6	6	0.0	0.4904545590832134	-0.4904545590832134	-0.726108790772064	-1.3624620938929155	0.2312120352681266	0.0	0.0016287573098294	0.25	0.2452272795416067	False	0.5831805067146921	False	False	False	False	LILRA_activating_paralog	False	False	-0.4904545590832134	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	LILRA2	6	6	0.0625427559194296	0.4904545590832134	-0.4279118031637837	-0.6241649342253442	-1.1711758265796146	0.2914614024704392	0.0001970055161544	0.0016287573098294	0.3333333333333333	0.2764986575013214	False	0.5795627317015777	False	False	False	False	LILRA_activating_paralog	False	False	-0.4279118031637837	False
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	LILRA2	5	18	0.0958138173656874	0.1375119865431957	-0.0416981691775082	-0.1859083634274585	-0.6064597119002406	0.5516937823680751	0.0004331489603462	0.0005201901799621	0.4347826086956521	0.1284471671567808	False	0.7993106736561238	False	False	False	False	LILRA_activating_paralog	False	False	-0.0416981691775082	False
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	LILRA2	11	14	0.1460201756102657	0.1831130787001102	-0.0370929030898445	-0.1231047113474217	-0.3275324430002872	0.746233445252641	0.0003497642117217	0.0006184412194087	0.36	0.1667922013405787	False	0.9206803285748896	False	False	False	False	LILRA_activating_paralog	False	False	-0.0370929030898445	False
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	LILRA2	3	19	0.3360205367913167	0.4163751713202249	-0.0803546345289081	-0.104973034084444	-0.2127583787607816	0.844478634214541	0.0008449514152936	0.0040980114620741	0.4545454545454545	0.405417721157192	False	0.9557229815918458	False	False	False	False	LILRA_activating_paralog	False	False	-0.0803546345289081	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LILRA4	9	13	3.9563174574107873	1.574470476736071	2.381846980674716	1.131998508966559	2.8146211288200655	0.0109611062682423	0.0377422850125306	0.0135781322690904	0.5909090909090909	2.5488624233757275	False	0.941417255008202	True	False	False	False	LILRA_activating_paralog	True	False	2.381846980674716	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LILRA4	6	6	1.6370052352478262	3.0585707240729305	-1.4215654888251044	-0.9124259785263956	-1.712065499032922	0.1176771192625271	0.0097338043819553	0.0372092462029759	0.8333333333333334	2.347787979660378	False	0.5031122841279835	False	False	False	False	LILRA_activating_paralog	False	False	2.715659124880514	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LILRA4	6	6	2.166721916455863	3.0585707240729305	-0.8918488076170674	-0.48919844380011	-0.9179262729492036	0.3819587294000193	0.018284401354478	0.0372092462029759	0.9166666666666666	2.612646320264397	False	0.727029182151192	False	False	False	False	LILRA_activating_paralog	False	False	3.823198311319704	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LILRA5	6	6	7.383264228281759	3.560065916962055	3.823198311319704	5.274018716792947	9.89610740901748	5.063652233345163e-06	0.3162595988101301	0.0308904385198883	1.0	5.4716650726219065	False	0.0138257960579256	True	False	True	False	LILRA_activating_paralog	True	False	3.823198311319704	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LILRA5	6	6	5.892151061156187	3.560065916962055	2.332085144194132	2.8490608705957357	5.345944696872252	0.000334319818992	0.1501404051413353	0.0308904385198883	1.0	4.726108489059121	False	0.075362157906982	True	False	True	False	LILRA_activating_paralog	True	False	2.715659124880514	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LILRA5	9	13	3.1803446500101655	2.505310615738782	0.6750340342713836	0.3131480529894911	0.7611203004500395	0.4563493310212555	0.0210636808680484	0.0215420095694802	0.6818181818181818	2.7814609024861663	False	0.9715241121707002	False	False	False	False	LILRA_activating_paralog	False	False	2.381846980674716	False
