section	artifact_role	path	required_or_optional	exists	size_bytes	sha256	observed_sha256	verify_status
schemas	redaction_checklist	docs/validation/input_schemas/V45_sensitive_data_redaction_checklist.tsv	required	yes	1410	cb665cb71299b7c7fbeee19cb05cd9b0336803a45a81a18dc31e67ea424f5b05	cb665cb71299b7c7fbeee19cb05cd9b0336803a45a81a18dc31e67ea424f5b05	PASS
schemas	handoff_bundle_tsv	docs/validation/input_schemas/V45_validation_handoff_bundle_template.tsv	required	yes	2514	e1855c319aa20ccb1622e4775b44dd2ed60260e9c0c2ce81c168af13e9277eb4	e1855c319aa20ccb1622e4775b44dd2ed60260e9c0c2ce81c168af13e9277eb4	PASS
scripts	frozen_primary_harness	scripts/v42_gafson_validation_harness.py	required	yes	33408	c5b3e566aeb0a2733ac67c892b9aca631e8ae9561d346cc502e4018799e480e3	c5b3e566aeb0a2733ac67c892b9aca631e8ae9561d346cc502e4018799e480e3	PASS
scripts	aggregate_only_code_to_data_runner	scripts/v57_code_to_data_validation.py	required	yes	15753	9b93ba427ade719371c0840c6cbcc3f0978f579b21a80774de5c8137e2f910e8	9b93ba427ade719371c0840c6cbcc3f0978f579b21a80774de5c8137e2f910e8	PASS
scripts	module_coverage_precheck	scripts/v45_module_coverage_precheck.py	required	yes	5369	642c7065d0da0d06bb3d10b5dc63df4d94ec3d0c8e207035540b55ccb0a0e0d0	642c7065d0da0d06bb3d10b5dc63df4d94ec3d0c8e207035540b55ccb0a0e0d0	PASS
scripts	locked_hash_audit	scripts/v45_locked_artifact_hash_audit.py	required	yes	7626	a78d9fbd795876590a1cead4419306be26a6d094cea0106922dc34113529a636	a78d9fbd795876590a1cead4419306be26a6d094cea0106922dc34113529a636	PASS
scripts	handoff_completeness_checker	scripts/v45_handoff_completeness_check.py	optional_if_python_env_available	yes	7375	300d56d5ae95f6c6dbb49a6ad0c04025b6059d63dbb2a74e2c0e107c779c418c	300d56d5ae95f6c6dbb49a6ad0c04025b6059d63dbb2a74e2c0e107c779c418c	PASS
integrity	locked_hash_baseline	docs/validation/LOCKED_ARTIFACT_HASH_BASELINE_V45.tsv	required	yes	1779	ec2698673a90646647a2f720d7fc5f4638b9350ee72510a6cde63d745fde0812	ec2698673a90646647a2f720d7fc5f4638b9350ee72510a6cde63d745fde0812	PASS
integrity	locked_hash_audit_doc	docs/validation/LOCKED_ARTIFACT_HASH_AUDIT_V45.md	required	yes	3042	8acbd4f24ed8bea8d721d819bf8d5b34e53bd7fd95662f406abc6a59e92263ff	8acbd4f24ed8bea8d721d819bf8d5b34e53bd7fd95662f406abc6a59e92263ff	PASS
integrity	precommit_readiness_doc	docs/validation/PRECOMMIT_READINESS_CHECKLIST_V45.md	optional_context	yes	2356	6337fd7e122b15dbd1216915235631a8c5adf59cf9cf41cef44f43726b459e8e	6337fd7e122b15dbd1216915235631a8c5adf59cf9cf41cef44f43726b459e8e	PASS
reporting	validation_result_report_template	docs/validation/VALIDATION_RESULT_REPORT_TEMPLATE_V45.md	required	yes	6563	14d8c1e1564e5f53858607b2180b4fc43f7d62a6ee2f48022e8fbc237bf81563	14d8c1e1564e5f53858607b2180b4fc43f7d62a6ee2f48022e8fbc237bf81563	PASS
reporting	minimum_author_outputs_tsv	docs/validation/input_schemas/V45_author_run_minimum_output_spec.tsv	required	yes	1722	12b27eea8e29ae32a426b68b226c9bd1d4ff897192de2ad1eae1c2781f58cd4e	12b27eea8e29ae32a426b68b226c9bd1d4ff897192de2ad1eae1c2781f58cd4e	PASS
reporting	author_run_packet_tsv	docs/validation/input_schemas/V45_author_run_frozen_harness_packet.tsv	required	yes	1688	62d4aa2df4329623b5bc253eb12717c81ffabba618c0d69b1a80fc0ed1d53066	62d4aa2df4329623b5bc253eb12717c81ffabba618c0d69b1a80fc0ed1d53066	PASS
reporting	code_to_data_operator_doc	docs/validation/CODE_TO_DATA_VALIDATION_V57.md	required	yes	3416	84024b1037a0ec0b58928e865bb7b829b0ec5e197cc343f6f6a4ba88a4daaecd	84024b1037a0ec0b58928e865bb7b829b0ec5e197cc343f6f6a4ba88a4daaecd	PASS
