source_group	n_test	n_nonresponders	auc	average_precision	brier	test_feature	model_name
Leuven_GSE16879_Crohn_ileitis	18	10	0.7125	0.7792957042957042	0.2768327294410451	LAMP3	proxy_plus_LAMP3
ACT1_GSE12251_UC	22	10	0.8999999999999999	0.8980006105006104	0.1699280367714344	TREM1	proxy_baseline
Leuven_GSE14580_UC	24	16	0.8125	0.9083147618098276	0.19880974994109227	TREM1	proxy_baseline
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.09116830285306919	TREM1	proxy_baseline
Leuven_GSE16879_Crohn_ileitis	18	10	0.7	0.7723809523809523	0.2630106937963076	TREM1	proxy_baseline
ACT1_GSE12251_UC	22	10	0.9333333333333333	0.9235317460317459	0.16106299111013644	TREM1	proxy_plus_TREM1
Leuven_GSE14580_UC	24	16	0.8046875	0.9000736089890502	0.20868549317244445	TREM1	proxy_plus_TREM1
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.09305616862616492	TREM1	proxy_plus_TREM1
Leuven_GSE16879_Crohn_ileitis	18	10	0.7125	0.7744580419580419	0.25311194250529145	TREM1	proxy_plus_TREM1
ACT1_GSE12251_UC	22	10	0.8999999999999999	0.8980006105006104	0.1699280367714344	CXCL8	proxy_baseline
Leuven_GSE14580_UC	24	16	0.8125	0.9083147618098276	0.19880974994109227	CXCL8	proxy_baseline
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.09116830285306919	CXCL8	proxy_baseline
Leuven_GSE16879_Crohn_ileitis	18	10	0.7	0.7723809523809523	0.2630106937963076	CXCL8	proxy_baseline
ACT1_GSE12251_UC	22	10	0.9083333333333334	0.9027625152625153	0.16801138459346585	CXCL8	proxy_plus_CXCL8
Leuven_GSE14580_UC	24	16	0.828125	0.9186446229209387	0.19610088791365468	CXCL8	proxy_plus_CXCL8
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.08508092853835854	CXCL8	proxy_plus_CXCL8
Leuven_GSE16879_Crohn_ileitis	18	10	0.7	0.769512987012987	0.2712489875426561	CXCL8	proxy_plus_CXCL8
ACT1_GSE12251_UC	22	10	0.8999999999999999	0.8980006105006104	0.1699280367714344	OSM	proxy_baseline
Leuven_GSE14580_UC	24	16	0.8125	0.9083147618098276	0.19880974994109227	OSM	proxy_baseline
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.09116830285306919	OSM	proxy_baseline
Leuven_GSE16879_Crohn_ileitis	18	10	0.7	0.7723809523809523	0.2630106937963076	OSM	proxy_baseline
ACT1_GSE12251_UC	22	10	0.8999999999999999	0.8980006105006104	0.17150061327558028	OSM	proxy_plus_OSM
Leuven_GSE14580_UC	24	16	0.796875	0.8975151294568864	0.21037872481545486	OSM	proxy_plus_OSM
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.09059274255190619	OSM	proxy_plus_OSM
Leuven_GSE16879_Crohn_ileitis	18	10	0.7	0.7723809523809523	0.26742453645589337	OSM	proxy_plus_OSM
