dataset	therapy_class	therapy	disease	tissue_or_compartment	design	analysis_scope	module	n_pairs	mean_post_minus_pre	median_post_minus_pre	one_sample_t	p	confounders	fdr	global_pd_fdr
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	ifn_apc	4	0.0072140563224448	-0.0271965771477248	0.1435207176667093	0.8949771363758837	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.981897488434182	0.9433542788826883
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	hla_ii_apc	4	-0.0383907971097286	-0.090696253949583	-0.5629071222036406	0.6128241430846401	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.981897488434182	0.8071001079479152
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	lysosomal_apc	4	-0.0237844220352059	-0.0193096077766393	-0.3870083565506302	0.7245708462789455	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.981897488434182	0.8494050151514976
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	mif_cd74_receptor_state	4	-0.0820041758437232	-0.0982846309774695	-0.8408592351952623	0.462162589499374	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.981897488434182	0.7407263420743392
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	mixscale_validated_ifng_readout	4	0.0098374977580771	0.0034553294768464	0.1628509109791472	0.8809874002977022	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.981897488434182	0.9370502348621014
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	lipid_loader_repair	4	0.00071245450769	0.0052638175636074	0.0246290623195634	0.981897488434182	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.981897488434182	0.981897488434182
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	complement_phagocytosis	4	0.0189033647463301	0.0156956583049182	1.5636227018412898	0.21585520563181	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.981897488434182	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	hif_nampt_metabolic	4	0.0032186156241838	0.0525408319445917	0.0416346712507787	0.9694059204800468	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.981897488434182	0.9799553331579165
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	inflammatory_nfkb	4	0.0187918461008071	-0.001839427399972	0.5871328104188427	0.5983762172528847	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.981897488434182	0.8071001079479152
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	ifn_apc	5	-0.162158720738378	-0.0621076921667632	-1.1851776403483392	0.3015475134900561	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927	0.6656803599686144
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	hla_ii_apc	5	-0.1972885442282493	-0.0914696525482354	-0.8772237824484792	0.4298932955785085	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927	0.7262249168711733
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	lysosomal_apc	5	-0.0178122749609714	0.0205874300115235	-0.510910997053096	0.6363202300196444	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927	0.8071001079479152
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	mif_cd74_receptor_state	5	-0.2266098164643597	-0.0951376450344436	-0.9237011402425208	0.4079192840175134	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927	0.7231296398492283
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	mixscale_validated_ifng_readout	5	-0.1028085803460816	-0.0144417677708051	-0.8550781283526635	0.4407005905799427	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927	0.7262249168711733
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	lipid_loader_repair	5	0.0062032959460902	0.0218438425772107	0.3445769445750976	0.7477668082102927	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927	0.8494050151514976
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	complement_phagocytosis	5	-0.0110748727340509	0.0095405987797181	-0.4285082770821989	0.6903481216893528	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927	0.836358339999487
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	hif_nampt_metabolic	5	-0.1003605671044732	-0.0598012799327424	-1.6854748811204228	0.1671777274656635	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	inflammatory_nfkb	5	-0.018590041393456	0.0122604791039725	-0.5090209665060094	0.6375312167394551	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927	0.8071001079479152
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	ifn_apc	5	-0.263559496591737	-0.1868099782125796	-2.3271308595486064	0.0805047766694172	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.1734042019284303	0.6156173047614794
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	hla_ii_apc	5	-0.2901567979133453	-0.1491563881052479	-2.1651136409049085	0.0963356677380168	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.1734042019284303	0.6261818402971092
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	lysosomal_apc	5	-0.04654976042034	-0.0496775244113853	-1.215455510216776	0.2910230328330999	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3274009119372373	0.6656803599686144
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	mif_cd74_receptor_state	5	-0.327501425113525	-0.1810319527717012	-2.231632050288744	0.0894486682132064	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.1734042019284303	0.6156173047614794
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	mixscale_validated_ifng_readout	5	-0.1974782290414899	-0.1838133539991115	-2.24878745245948	0.087762968795446	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.1734042019284303	0.6156173047614794
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	lipid_loader_repair	5	-0.0128680299173596	0.0224162906522469	-0.3557727103599736	0.7399805470057684	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7399805470057684	0.8494050151514976
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	complement_phagocytosis	5	-0.027234501756127	-0.0144090252711251	-1.478284333805948	0.2134068887255006	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.274380285504215	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	hif_nampt_metabolic	5	-0.245721690922353	-0.1478660997274262	-2.2822092431431633	0.0845802279880793	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.1734042019284303	0.6156173047614794
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	inflammatory_nfkb	5	-0.1787579170241973	-0.0721925005972858	-1.5093349925838586	0.2057186413548233	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.274380285504215	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	ifn_apc	5	-0.0508128642112943	-0.0544198866319698	-0.886641592553983	0.4253633780670138	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.5468957718004464	0.7262249168711733
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	hla_ii_apc	5	0.1490860518764474	0.0959961602331389	1.2837056893125414	0.2685626196131442	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.4834127153036596	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	lysosomal_apc	5	-0.1099229216470996	-0.1146739434933828	-3.1859454421851576	0.0333451238723953	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3001061148515584	0.4334866103411389
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	mif_cd74_receptor_state	5	0.0495486571037239	0.007466588537764	0.6323613996942798	0.5614936773290232	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.6316803869951512	0.8022087300049184
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	mixscale_validated_ifng_readout	5	-0.1083439475049492	-0.1047066413874503	-2.295407586840374	0.0833592293925914	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3325202530718079	0.6156173047614794
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	lipid_loader_repair	5	0.0436926009125301	0.0303391081484721	1.000812543724119	0.373552262634402	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.5468957718004464	0.6937399163210323
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	complement_phagocytosis	5	0.0445833680408657	-0.0939709609859492	0.4192502470447033	0.6965692993301597	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.6965692993301597	0.836358339999487
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	hif_nampt_metabolic	5	-0.3033385930671389	-0.1550971775608327	-1.9937585114011265	0.1169472722895842	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3325202530718079	0.6622820514701062
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	inflammatory_nfkb	5	-0.2807926812214915	-0.1908054437184851	-1.79095156594066	0.1477867791430257	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3325202530718079	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=stromal_endothelial_like	ifn_apc	4	-0.2495337426893838	-0.3054346286554793	-1.5253100427630275	0.2245956774070677	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3368935161106016	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=stromal_endothelial_like	hla_ii_apc	4	-0.067875787088815	-0.0397207060073691	-0.982832105391541	0.3981621946188485	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.4479324689462046	0.7166919503139273
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=stromal_endothelial_like	lysosomal_apc	4	-0.2279891084242356	-0.2092202530011623	-3.975091008870072	0.0284697845149345	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.2562280606344106	0.4334866103411389
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=stromal_endothelial_like	mif_cd74_receptor_state	4	-0.1200847099020713	-0.0993163978795489	-1.983739387942165	0.1415420003060184	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3184695006885414	0.662719536925798
