gene	disease_name	compartment	role	n_case_donors	n_control_donors	delta_log2_cpm	hedges_g	p	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10
GPR65	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	14	0.7401550716465566	0.9829845589199327	0.0211506530036474	0.8441184433525579	True	False	False	False
GPR65	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	19	-0.5756918944884828	-0.5972699514403214	0.0281676736297722	0.4348205101758167	False	True	False	False
GPR65	Crohn disease	colon stromal	tissue_resident	6	6	-1.274275159322919	-1.0665233551919622	0.0754721584324352	0.6385356982203558	False	False	False	False
GPR65	Sjogren syndrome	salivary gland APC	myeloid_apc	9	13	0.4958651927314079	0.7451701333715788	0.0788747440648668	0.941417255008202	False	False	False	False
GPR65	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	19	1.2241825261753785	2.205101624476136	0.2654674722782493	0.8369925041539079	False	False	False	False
GPR65	Crohn disease	colon epithelial	tissue_resident	6	6	0.3185329169214181	0.6153623170596049	0.2795124803344537	0.5703402159672973	False	False	False	False
GPR65	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	18	-0.0680819255211697	-0.2399677558347724	0.4148894129425762	0.7263158866217526	False	False	False	False
GPR65	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	14	0.3765962388404436	0.2751713456900566	0.4807285779083612	0.9116865339160524	False	False	False	False
GPR65	ulcerative colitis	colon myeloid	myeloid_apc	6	6	-0.2227084647639872	-0.3415570552778049	0.5404388116576087	0.8197841139340851	False	False	False	False
GPR65	psoriasis	skin APC	myeloid_apc	3	3	0.1440462226449766	0.3609013324569965	0.6106100820565572	0.8778617236607948	False	False	False	False
GPR65	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	17	0.325825903546864	0.2149582381311709	0.622305362227282	0.8769788702412102	False	False	False	False
GPR65	Crohn disease	colon myeloid	myeloid_apc	6	6	0.0673034421488303	0.1127364018243713	0.8397945861183662	0.9592945758553564	False	False	False	False
GPR65	ulcerative colitis	colon epithelial	tissue_resident	6	6	0.0880856628620454	0.0931020971832106	0.8671079039597954	0.9486495428366946	False	False	False	False
GPR65	psoriasis	skin stromal	tissue_resident	3	3	0.0004020631894824	0.0045290269966525	0.9948005433968472	0.9987885170202728	False	False	False	False
HCAR2	Crohn disease	colon myeloid	myeloid_apc	6	6	2.848153194462891	2.6165743704632565	0.0006613291107735	0.0871956193601095	True	False	True	False
HCAR2	ulcerative colitis	colon myeloid	myeloid_apc	6	6	2.267826377237732	2.3366826771046947	0.0013782688630589	0.1108452444695081	True	False	False	False
HCAR2	psoriasis	skin keratinocyte	tissue_resident	3	3	-1.4952503856218762	-1.803736503253603	0.0703432087613805	0.4243484901635842	False	False	False	False
HCAR2	ulcerative colitis	colon stromal	tissue_resident	6	6	1.543368450949257	1.0209777841162044	0.0874635406255149	0.4539632840947554	False	False	False	False
HCAR2	psoriasis	skin APC	myeloid_apc	3	3	-0.9020168970758836	-0.9294216746970636	0.2304267720917628	0.7297013371935511	False	False	False	False
HCAR2	Sjogren syndrome	salivary gland APC	myeloid_apc	9	13	1.1492772370212885	0.4811450940542893	0.2675919653272022	0.958344072074493	False	False	False	False
HCAR2	Crohn disease	colon stromal	tissue_resident	6	6	0.9717379534531996	0.6299033814444956	0.2678246249518202	0.7452409621650979	False	False	False	False
HCAR2	Crohn disease	colon epithelial	tissue_resident	6	6	0.8496222354956061	0.6147017715357683	0.300877286831569	0.5873335002269984	False	False	False	False
HCAR2	psoriasis	skin stromal	tissue_resident	3	3	-0.6368079704355313	-0.7262680727704938	0.3341852294672862	0.739512413041524	False	False	False	False
HCAR2	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	14	0.1094020044103056	0.250518813118172	0.5330737375392536	0.9255363674224372	False	False	False	False
HCAR2	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	14	-0.0943442472847615	-0.0693211310313777	0.864754453435566	0.9585007320149124	False	False	False	False
HCAR3	ulcerative colitis	colon myeloid	myeloid_apc	6	6	2.5855209462767452	2.3378499071833607	0.0013639270541703	0.1108452444695081	True	False	False	False
HCAR3	Crohn disease	colon myeloid	myeloid_apc	6	6	3.4985330477437686	2.2377543024693396	0.0029551647162737	0.150316199865158	True	False	False	False
HCAR3	Sjogren syndrome	salivary gland APC	myeloid_apc	9	13	2.5599608266659537	1.2383631994734166	0.0096855070454355	0.941417255008202	True	False	False	False
HCAR3	psoriasis	skin keratinocyte	tissue_resident	3	3	-1.8573981180029169	-1.509933340789141	0.083368513073704	0.4351531616670033	False	False	False	False
HCAR3	Crohn disease	colon stromal	tissue_resident	6	6	1.255264625207816	1.0979317195148537	0.0944156318455747	0.6487929701004915	False	False	False	False
HCAR3	Crohn disease	colon epithelial	tissue_resident	6	6	1.4266238777863836	1.0736882604093685	0.1000500557236691	0.3714527614070164	False	False	False	False
HCAR3	psoriasis	skin APC	myeloid_apc	3	3	-0.8161105653054328	-0.7085338077729807	0.3567978429448092	0.7746438425446623	False	False	False	False
HCAR3	psoriasis	skin stromal	tissue_resident	3	3	-0.3770345023746916	-0.6159075887139147	0.412687278578566	0.7790894091254713	False	False	False	False
HCAR3	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	14	-0.1344853716493494	-0.2957719321426415	0.4550553411259912	0.8464176144759306	False	False	False	False
PDE4B	ulcerative colitis	colon epithelial	tissue_resident	6	6	2.2623882223932177	3.066749550579529	0.0016980239676549	0.088795404769134	True	False	True	False
PDE4B	psoriasis	skin stromal	tissue_resident	3	3	1.4330520389874382	3.972800840179536	0.0044393980225362	0.5085244711753214	True	False	False	False
PDE4B	Crohn disease	colon epithelial	tissue_resident	6	6	1.65354003004582	1.628592739404319	0.0267146332452985	0.2300522124401119	True	False	False	False
PDE4B	Crohn disease	colon myeloid	myeloid_apc	6	6	2.0285809614821693	1.1295848015691183	0.0829952134729693	0.4613258783721363	False	False	False	False
PDE4B	ulcerative colitis	colon myeloid	myeloid_apc	6	6	1.9757966798857616	1.1220268688110302	0.0886275267647687	0.4748598883016572	False	False	False	False
PDE4B	ulcerative colitis	colon stromal	tissue_resident	6	6	0.925525349578237	1.0712956686784612	0.0913785743623568	0.4569802318255149	False	False	False	False
PDE4B	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	19	0.8781138173195723	0.9032036139907966	0.0992883141356223	0.5185121938814726	False	False	False	False
PDE4B	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	14	-0.7138619075420225	-0.6229899632568668	0.1639254445267403	0.8588581236165458	False	False	False	False
PDE4B	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	18	0.3160111864778305	0.703303602284248	0.1781731322733712	0.6251445718267613	False	False	False	False
PDE4B	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	19	1.146305464549234	0.9274621829223136	0.2773478900338304	0.8410047417066382	False	False	False	False
PDE4B	Sjogren syndrome	salivary gland APC	myeloid_apc	9	13	0.2675088290856005	0.4161048292028929	0.2822640207654326	0.958344072074493	False	False	False	False
PDE4B	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	14	-0.5277085758638655	-0.4180626953531167	0.3522462552021544	0.8441184433525579	False	False	False	False
PDE4B	psoriasis	skin keratinocyte	tissue_resident	3	3	1.335360981077617	0.537081764531776	0.4894253208599895	0.7425202936457038	False	False	False	False
PDE4B	psoriasis	skin APC	myeloid_apc	3	3	-0.3670588185048302	-0.4912953322587329	0.5121729519269839	0.8366056719957368	False	False	False	False
PDE4B	Crohn disease	colon stromal	tissue_resident	6	6	0.2893265614978881	0.274115223269518	0.6187172397580649	0.8787428031418326	False	False	False	False
PDE4B	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	17	-0.1977530666557561	-0.1005097505973608	0.783887355995708	0.9369613264376394	False	False	False	False
PDE4B	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	17	-0.0681875841791148	-0.0650875417318087	0.8910368331318801	0.9623348959795008	False	False	False	False
PDE4D	Crohn disease	colon epithelial	tissue_resident	6	6	0.6182132896607486	1.8527464123659017	0.0076746055043316	0.1539828546517769	True	False	False	False
PDE4D	ulcerative colitis	colon myeloid	myeloid_apc	6	6	1.2613600492839554	1.5128298616980729	0.0203777130619679	0.2919804546501612	True	False	False	False
PDE4D	psoriasis	skin keratinocyte	tissue_resident	3	3	0.7218277660265837	2.222538978539814	0.0281770160360765	0.4001980016287315	True	False	False	False
PDE4D	psoriasis	skin stromal	tissue_resident	3	3	0.6587946935342197	2.2793392896435347	0.0619434085026682	0.5862379616425567	False	False	False	False
PDE4D	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	19	0.3478274663224487	0.5368897947836364	0.0621976913205646	0.5643102242361854	False	False	False	False
PDE4D	ulcerative colitis	colon epithelial	tissue_resident	6	6	0.6009500495342728	1.1460999028378782	0.0729540078239526	0.3969014071866302	False	False	False	False
PDE4D	psoriasis	skin APC	myeloid_apc	3	3	-1.158424001069414	-1.4153138620489043	0.1056043829539029	0.7297013371935511	False	False	False	False
PDE4D	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	17	0.4898229269207954	0.4746476906242354	0.1100686959997483	0.5618645191894249	False	False	False	False
PDE4D	Crohn disease	colon myeloid	myeloid_apc	6	6	0.6909287514256377	0.9189065862002788	0.1176065689222963	0.5031122841279835	False	False	False	False
PDE4D	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	14	-0.9311896813199488	-0.5909196896722989	0.1882069098565053	0.8441184433525579	False	False	False	False
PDE4D	ulcerative colitis	colon stromal	tissue_resident	6	6	0.4451081125431111	0.6691534649544624	0.2470863476660419	0.6404899329242147	False	False	False	False
PDE4D	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	18	-0.6467487920901043	-0.6487230030661024	0.2718072643883263	0.6588874797199846	False	False	False	False
PDE4D	Crohn disease	colon stromal	tissue_resident	6	6	0.3611101867285891	0.5581873003926332	0.3302629142321051	0.7731238663342533	False	False	False	False
PDE4D	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	19	-0.2935983575408316	-0.2275386606361928	0.5437893983078377	0.78506722996442	False	False	False	False
PDE4D	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	14	0.0942043427254626	0.0942619634988617	0.807711017384228	0.9753501833959608	False	False	False	False
PDE4D	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	17	-0.0545272947934494	-0.0334465694586231	0.9233319741012124	0.9742137443748652	False	False	False	False
PDE4D	Sjogren syndrome	salivary gland APC	myeloid_apc	9	13	0.0294055407702056	0.0156395644647138	0.9700134882550122	0.9990053045348096	False	False	False	False
PTGER4	ulcerative colitis	colon stromal	tissue_resident	6	6	-1.8377462328602483	-2.8644452170402985	0.0013201707572765	0.0947343849407491	False	True	False	True
PTGER4	Crohn disease	colon epithelial	tissue_resident	6	6	0.911226899178888	2.0525748513874107	0.0033595553118857	0.1274913764561774	True	False	False	False
PTGER4	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	19	0.8587310837592146	0.7766561428571599	0.0166164806821069	0.3951983037932186	True	False	False	False
PTGER4	psoriasis	skin keratinocyte	tissue_resident	3	3	-1.9795014950353371	-2.278375632961411	0.0267927182424144	0.4001980016287315	False	True	False	False
PTGER4	Crohn disease	colon stromal	tissue_resident	6	6	-2.4135600726914426	-1.40379339090101	0.0446568782690291	0.5863729168767449	False	True	False	False
PTGER4	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	19	0.900903076104088	0.9038998160331024	0.2331050661253225	0.8274669049172086	False	False	False	False
PTGER4	ulcerative colitis	colon epithelial	tissue_resident	6	6	-1.0140277384556082	-0.63770812309357	0.2818971519500547	0.6329894385523506	False	False	False	False
PTGER4	psoriasis	skin APC	myeloid_apc	3	3	-0.3162920663004156	-0.6339255087091562	0.3868551166396988	0.785393428178418	False	False	False	False
PTGER4	ulcerative colitis	colon myeloid	myeloid_apc	6	6	0.3665657052547777	0.4603361776560385	0.4167330850362186	0.7497006481706104	False	False	False	False
PTGER4	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	18	-0.3790594800880678	-0.5303398257199079	0.4229587737922743	0.7298796817701572	False	False	False	False
PTGER4	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	14	-0.3762251022036045	-0.3415775034226183	0.4250047063889085	0.8443031767323348	False	False	False	False
PTGER4	psoriasis	skin stromal	tissue_resident	3	3	-0.2900258595308287	-0.5432026915668013	0.4717965952237811	0.8061752060618566	False	False	False	False
PTGER4	Crohn disease	colon myeloid	myeloid_apc	6	6	0.3925718209908249	0.3949804497381549	0.4757415700628529	0.7893691611126215	False	False	False	False
PTGER4	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	17	0.5437696342441738	0.2968055524020342	0.5935633797758367	0.8635211143556303	False	False	False	False
PTGER4	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	14	-0.0905798093896939	-0.1344370795933863	0.7395362877759866	0.9637938816325298	False	False	False	False
PTGER4	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	17	0.3189023994691438	0.1651406190094059	0.7481876608447687	0.9081314958728328	False	False	False	False
PTGER4	Sjogren syndrome	salivary gland APC	myeloid_apc	9	13	-0.0411590801957526	-0.0678923206276767	0.8710384653863573	0.9971430440168678	False	False	False	False
