analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	contrast_call
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	AXL	11	14	2.433453389354917	1.9792008435090704	0.4542525458458464	0.3288248108357836	0.8340878437850747	0.4138194227802236	0.0119543739850844	0.010494805751475	0.96	2.179071963681243	True	0.8441184433525579	False	False	False	False	null_or_weak
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	AXL	3	3	6.369267642438231	7.180012241359727	-0.8107445989214961	-0.6218090619592656	-0.9519468245242816	0.4281346513060931	0.242714424951267	0.333364161849711	1.0	6.77463994189898	True	0.7932648622411294	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	AXL	6	6	0.1673637640053905	0.263759393873773	-0.0963956298683824	-0.4041505563875701	-0.7583434057013769	0.4665706617361428	0.0005676552894343	0.0006541635175143	0.5833333333333334	0.2155615789395817	True	0.7124936446445779	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	AXL	3	19	0.5924008999596126	0.2716335788477597	0.3207673211118529	0.62574036648925	0.7453287787322063	0.525764244762707	0.0054476013357875	0.0025363439103762	0.4090909090909091	0.3153745771811942	True	0.8819304648756378	False	False	False	False	null_or_weak
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	AXL	5	17	6.123732233163717	5.983880685940726	0.1398515472229915	0.1017537080373358	0.2793549892914955	0.7847190197917464	0.1514322650499845	0.191143474689602	1.0	6.015665128491406	True	0.9233280000988686	False	False	False	False	null_or_weak
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	AXL	6	6	6.3978347101550845	6.4665941543694965	-0.0687594442144119	-0.1100217404780954	-0.2064435148156534	0.843351782520832	0.302601579598329	0.3346046123258892	1.0	6.432214432262292	True	0.9535618351824816	False	False	False	False	null_or_weak
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	AXL	6	6	6.485012605139694	6.4665941543694965	0.0184184507701976	0.0447318375991645	0.083934300057479	0.9353590068148928	0.3022838193233642	0.3346046123258892	1.0	6.475803379754596	True	0.9828808291679768	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	BTK	6	6	5.817934904427912	6.698559418229039	-0.880624513801127	-1.418797296598067	-2.6622147536283234	0.0240397468497855	0.1888822004601726	0.2856184183490009	1.0	6.258247161328476	False	0.3093219830285316	False	True	False	False	negative_nominal
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	BTK	3	3	1.9737546521199236	3.760436281325472	-1.786681629205548	-1.9672954797915672	-3.0117938117332224	0.039655347050281	0.0201140739331187	0.0564945726261129	1.0	2.8670954667226973	False	0.5757323842097409	False	True	False	False	negative_nominal
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	BTK	6	6	5.96073233188599	6.698559418229039	-0.7378270863430494	-1.1337833879220012	-2.127417968713353	0.0592811577719916	0.1937468282077263	0.2856184183490009	1.0	6.3296458750575155	False	0.4181407605796123	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	BTK	11	14	0.7148579159184038	0.276630349894885	0.4382275660235187	0.6754542544423079	1.5943163071375877	0.1345915554083186	0.0012833374259352	0.0007437777558623	0.68	0.4694504789452333	False	0.8441184433525579	False	False	False	False	null_or_weak
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	BTK	6	6	0.139672747682059	0.5487863653413952	-0.4091136176593362	-0.7240223488019473	-1.3585471184353557	0.2134879445300912	0.0015151515151515	0.0031436478172733	0.3333333333333333	0.3442295565117272	False	0.7201997502007079	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	BTK	10	14	0.7051948690589572	0.405895869464677	0.2992989995942802	0.3871516762698976	0.9684781305146132	0.3446371762517702	0.0021930634221431	0.0016346053950262	0.4166666666666667	0.5306037859622937	False	0.8899512965719504	False	False	False	False	null_or_weak
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	BTK	5	17	0.1058988934872945	0.3340736976979265	-0.2281748042106319	-0.2504741565286497	-0.882416608775398	0.388102134699225	0.0009009009009009	0.000908874187973	0.1363636363636363	0.2822157876500556	False	0.728920943527139	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	BTK	6	6	0.7378444892213475	0.424409230087053	0.3134352591342945	0.3899920938821744	0.7317766312502723	0.4874334221968965	0.0024750265849942	0.001470349716492	0.75	0.5811268596542003	False	0.7275169335240005	False	False	False	False	null_or_weak
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	BTK	3	3	5.597777052144515	5.782854242178903	-0.1850771900343879	-0.3892481372663317	-0.5959120747695863	0.5897133140327437	0.2650219298245614	0.3044778420038536	1.0	5.690315647161708	False	0.8695386981862211	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	BTK	9	13	6.994465547689722	7.112505428167203	-0.1180398804774807	-0.2376312500745806	-0.546257323475464	0.5930627651167503	0.1853145116490582	0.2697275423793445	1.0	7.064216386153686	False	0.9721463212818175	False	False	False	False	null_or_weak
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	BTK	6	6	0.7883349125541398	0.424409230087053	0.3639256824670868	0.2632644624194827	0.493986376799339	0.6398436053621593	0.0058267945364719	0.001470349716492	0.5	0.6063720713205963	False	0.8508039080525585	False	False	False	False	null_or_weak
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	BTK	6	6	0.4166024979357347	0.5487863653413952	-0.1321838674056605	-0.1831167391797017	-0.3435981206402136	0.7382734152784687	0.0018763472467176	0.0031436478172733	0.4166666666666667	0.482694431638565	False	0.9171000321352812	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	BTK	3	3	2.389088450855595	2.189090364004375	0.1999980868512203	0.1625391269169352	0.2488362026149787	0.8199527902842497	0.0423922451856671	0.0375628698033821	1.0	2.289089407429985	False	0.9226133296329272	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	BTK	3	19	0.8062196535064432	0.7136955556491431	0.0925240978573	0.1146405300464645	0.1880408429498344	0.8643592550762713	0.0037725594597406	0.00553403114525	0.5454545454545454	0.7263124780842296	False	0.9611157281799698	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	CD300A	3	3	0.576539662119665	0.856503652965458	-0.279963990845793	-1.956124768466428	-2.9946922224766466	0.0803941779377561	0.0073643885087904	0.0104481713795454	1.0	0.7165216575425615	False	0.4327782574887212	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	CD300A	6	6	7.005430971706498	6.590878699503555	0.4145522722029433	0.8838692920093396	1.6584820644276177	0.1314810411741527	0.275722787755806	0.2339228352254242	1.0	6.798154835605025	False	0.5287109373430809	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	CD300A	11	14	0.3925187220763401	0.1886494585831702	0.2038692634931699	0.5088020650379217	1.2498553545954438	0.2281651466828509	0.0008095099223761	0.0002988726719109	0.48	0.278351934520165	False	0.8441184433525579	False	False	False	False	null_or_weak
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	CD300A	5	17	1.2501885563962756	0.0755433188914681	1.1746452375048075	1.260419106487766	1.3730231079697406	0.2406483188889029	0.0089446589446589	0.0002085940759282	0.1363636363636363	0.3425081455971062	False	0.6318710255487103	False	False	False	False	null_or_weak
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	CD300A	5	19	0.3450501155510397	0.1287433347202094	0.2163067808308303	0.5250369159332603	1.0633073660534809	0.3275896650539009	0.0012810712964006	0.0008292021714769	0.25	0.173807247393299	False	0.6521726274113633	False	False	False	False	null_or_weak
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	CD300A	6	6	0.1587868584835784	0.339566179959453	-0.1807793214758745	-0.4970765496827918	-0.932708659243433	0.3754439695533652	0.0009009009009009	0.0009380806592123	0.4166666666666667	0.2491765192215157	False	0.7011803686928806	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD300A	6	6	6.351271151805887	6.590878699503555	-0.239607547697668	-0.3857689697679836	-0.7238524102567874	0.4867016772003428	0.2293240328567516	0.2339228352254242	1.0	6.47107492565472	False	0.7964105655721803	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	CD300A	3	19	0.6797157738823946	0.1548711790037235	0.524844594878671	1.1223069320297754	0.7690542047734593	0.5211519895627432	0.0050251256281407	0.0010193956283455	0.3181818181818182	0.2264408964871787	False	0.8819046809187733	False	False	False	False	null_or_weak
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	CD300A	3	3	4.8941383836852586	4.566626243526152	0.3275121401591061	0.396115682128257	0.6064258127054547	0.577737035113211	0.1326998050682261	0.1411946050096339	1.0	4.730382313605706	False	0.8665884716683055	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	CD300A	10	14	0.4492877618115136	0.589035514056116	-0.1397477522446024	-0.2015271444827492	-0.5369227447463792	0.5967137345807169	0.0007840642975603	0.0014752626760519	0.4583333333333333	0.5308072839541983	False	0.9414904492836016	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	CD300A	9	13	7.312206783847366	7.252135696641811	0.0600710872055554	0.1140950773409579	0.2789721647584935	0.7833616960606707	0.2153061289018219	0.2718717705201697	1.0	7.2767102323168125	False	0.9948639731126404	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	CD300A	6	6	0.3035828402580693	0.339566179959453	-0.0359833397013836	-0.0746049552075991	-0.1399878706589588	0.8925136983193905	0.0007024541455709	0.0009380806592123	0.5	0.3215745101087611	False	0.9530175383648238	False	False	False	False	null_or_weak
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	CD300A	3	3	0.5116165306875631	0.4750144552923907	0.0366020753951723	0.0802079684140934	0.1227928724498743	0.9105042469451065	0.0061596738971947	0.0035550173232592	1.0	0.4933154929899769	False	0.9732080631946886	False	False	False	False	null_or_weak
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	CD300LF	3	3	3.1424647950682627	0.8966658983806625	2.2457988966876004	2.102009132988344	3.2180311315571934	0.0329241262330017	0.0478679337231968	0.0073333333333333	0.8333333333333334	2.019565346724463	False	0.7297013371935511	True	False	False	False	positive_nominal
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	CD300LF	6	6	0.7230696226963403	2.3429120486051427	-1.6198424259088022	-0.8593785725121212	-1.6125279630709255	0.13796299304558	0.0026881720430107	0.0157777845053858	0.5833333333333334	1.5329908356507416	False	0.4714553114319784	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	CD300LF	3	3	0.0287393392634126	0.0	0.0287393392634126	1.2680125820581143	1.9412398834196023	0.1917400513785026	0.0003260024999155	0.0	0.3333333333333333	0.0143696696317063	False	0.5456756292179015	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	CD300LF	9	13	5.365843211029866	5.153476866610442	0.2123663444194248	0.2918155337961253	0.7839790715145531	0.4429111215810773	0.0579306953283295	0.0754172082034379	1.0	5.240354007509297	False	0.9693858770743689	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	CD300LF	6	6	1.8589692288611872	2.3429120486051427	-0.4839428197439555	-0.287428126970884	-0.539326796057757	0.6019621313678509	0.0084977925297943	0.0157777845053858	1.0	2.100940638733165	False	0.7993204385709738	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	CD300LF	6	6	5.411786994165291	5.11277557131162	0.2990114228536704	0.2739908848661951	0.5141133111822549	0.6214935927393879	0.1490330155706592	0.1007967810910772	1.0	5.2622812827384555	False	0.8584455259842255	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD300LF	6	6	5.261084633084199	5.11277557131162	0.1483090617725784	0.1850349264702208	0.34719738497296	0.7357837248931032	0.1027596445578584	0.1007967810910772	1.0	5.18693010219791	False	0.9250326337221634	False	False	False	False	null_or_weak
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	CD300LF	3	3	0.0158839158131419	0.0189024325581204	-0.0030185167449785	-0.0798574070697536	-0.1222561871891389	0.9087583967125284	0.0001798884691491	0.0001290489095367	0.3333333333333333	0.0173931741856312	False	0.9731028665771542	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	GAS6	6	6	6.046251155774221	4.776892417973256	1.2693587378009648	1.4851241679752885	2.786669724021793	0.0225486165186834	0.1685260630050739	0.0817558515158771	1.0	5.411571786873739	False	0.2159306539101695	True	False	False	False	positive_nominal
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	GAS6	6	6	3.047815758740064	5.194815695002594	-2.1469999362625303	-1.1480765546671172	-2.154237500633914	0.0567667715821292	0.042981427979844	0.1913441419509554	0.9166666666666666	4.12131572687133	False	0.3950711854994373	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	GAS6	11	14	6.0350987659846655	6.829365284350449	-0.7942665183657835	-0.5384493914463611	-1.2408327821122538	0.2399184107215027	0.1476283731429877	0.2187715006473235	0.96	6.479888016269504	False	0.8441184433525579	False	False	False	False	null_or_weak
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	GAS6	5	17	6.0235399849655735	6.876694108664112	-0.8531541236985385	-0.4302275537417632	-0.9597020747361116	0.3669404264149721	0.1848398335682995	0.2998609829597293	0.9545454545454546	6.682795444187173	False	0.7164702000060126	False	False	False	False	null_or_weak
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	GAS6	5	18	4.209977925915033	3.708603099991517	0.501374825923516	0.3949788004787459	0.942934941864543	0.3726674042041376	0.0745294657494632	0.0553484152332949	0.9565217391304348	3.8175976273661942	False	0.7057972473689699	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	GAS6	3	3	5.890024740789567	6.102899768145271	-0.2128750273557038	-0.478610930364026	-0.7327203529441222	0.5317731057858196	0.4077512610290263	0.4408890903424538	1.0	5.99646225446742	False	0.768547367747862	False	False	False	False	null_or_weak
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	GAS6	4	17	6.1825759542340055	6.946681693470313	-0.7641057392363075	-0.4989419278573239	-0.6837988213535782	0.5361914946831751	0.3420649966260305	0.4297695500951727	1.0	6.801137743139588	False	0.8427187076919465	False	False	False	False	null_or_weak
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	GAS6	3	3	6.6758275303013574	6.333811394870793	0.3420161354305646	0.4218873720182809	0.6458804939803313	0.5674591165491562	0.4048123781676414	0.3689325626204239	1.0	6.504819462586075	False	0.8607568410508125	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	GAS6	3	19	1.9205764789453224	2.560219033073178	-0.6396425541278556	-0.4026290955161513	-0.6260378569250603	0.5827721588349734	0.0184551825455965	0.0285918553994183	0.8636363636363636	2.4729950484193797	False	0.8914624896595402	False	False	False	False	null_or_weak
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	GAS6	6	6	5.685932344253072	5.194815695002594	0.4911166492504772	0.3018349762160389	0.5663596404998167	0.584319699485762	0.2014599484822377	0.1913441419509554	1.0	5.440374019627833	False	0.8682239832049469	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	GAS6	6	6	3.943654971942129	3.607446755927594	0.3362082160145347	0.1986799075339126	0.3728006688161418	0.7228956922848885	0.0528967874860687	0.052208143910207	0.9166666666666666	3.775550863934861	False	0.920480156284038	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	GAS6	6	6	3.2378829295144365	3.607446755927594	-0.3695638264131573	-0.1746638258766161	-0.3277371723845512	0.7501389065747321	0.0419184801969701	0.052208143910207	0.8333333333333334	3.422664842721016	False	0.9164270078435164	False	False	False	False	null_or_weak
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	GAS6	6	6	4.603410870747011	4.776892417973256	-0.1734815472262454	-0.1189678621383822	-0.2232299134991552	0.8289840112542108	0.0671163592905952	0.0817558515158771	1.0	4.6901516443601325	False	0.9357257220864124	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	GAS6	10	14	8.209279865188421	8.18434299867123	0.0249368665171907	0.0605786582805507	0.1732822176130421	0.8644361284247637	0.3478677632896927	0.3616067743041041	1.0	8.194733359720061	False	0.9859540902623736	False	False	False	False	null_or_weak
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	GAS6	3	3	6.4844638631972265	6.515360897100353	-0.0308970339031269	-0.0722743902492499	-0.1106471109884038	0.920255756396912	0.4174805399551469	0.3982915109569485	1.0	6.499912380148789	False	0.9763983837031516	False	False	False	False	null_or_weak
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	GAS6	5	19	6.9364275419540835	6.886556851347863	0.0498706906062205	0.0572274048656172	0.0919022210112382	0.9303805504551436	0.4601917885493988	0.4021148942462459	1.0	6.896946578557492	False	0.971909667872488	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	GAS6	9	13	7.709647217040912	7.691250113000167	0.0183971040407451	0.0284068440013629	0.0698773918360743	0.945029183376666	0.2627126041821219	0.3309519536913555	1.0	7.698776201016833	False	0.9990053045348096	False	False	False	False	null_or_weak
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	INPP5D	3	3	4.729222797547185	4.026604660465848	0.7026181370813367	1.8310352249587285	2.8031887513819336	0.0752318138372423	0.1559090741231834	0.0935851039287694	1.0	4.377913729006517	False	0.5993454891676563	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	INPP5D	6	6	5.139796457737211	6.1021280294369475	-0.9623315716997364	-1.0610167299360411	-1.9908794575906272	0.0930977586688924	0.1378759057069258	0.1756988001061625	1.0	5.62096224358708	False	0.4785410303564351	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	INPP5D	10	14	3.547733908352889	3.9129531229574335	-0.3652192146045445	-0.6057046239097198	-1.544006287683278	0.1377010588245724	0.0230255825038136	0.0301465321910414	1.0	3.76077845020554	False	0.8517974877716324	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	INPP5D	6	6	3.242086933746402	2.3956088442115653	0.8464780895348367	0.823537171622005	1.5452755751017897	0.1554466738550851	0.0329254148296305	0.0117392426677606	1.0	2.818847888978984	False	0.4413369618674639	False	False	False	False	null_or_weak
