feature	feature_type	n_datasets	present_genes_by_dataset	baseline_same_direction	delta_same_direction	baseline_mean_hedges_g_r_minus_nr	delta_mean_hedges_g_r_minus_nr	best_baseline_p	best_delta_p	min_baseline_fdr	min_delta_fdr	calls	all_dataset_calls_non_no	cross_ms_call	claim_grade
SPNS1	gene	2	GSE235357:SPNS1 | GSE250453:SPNS1	True	True	-0.5024513296671935	0.5354156851691874	0.30268805023885925	0.31692642285251604	0.9370927446573233	0.7361494959984586	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
gpr183_ligand_axis	module_score	2	GSE235357:CH25H;CYP7B1;HSD3B7;GPR183 | GSE250453:CH25H;CYP7B1;HSD3B7;GPR183	False	True	-0.2887348665095942	0.4780833624627462	0.32167065932331257	0.2898044968592384	0.9370927446573233	0.7361494959984586	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
ALOX5	gene	2	GSE235357:ALOX5 | GSE250453:ALOX5	True	True	-0.5030204267750793	0.868690951151938	0.3748241941080453	0.06346300722996544	0.9370927446573233	0.5330892607317097	NO_MS_RESPONSE_REPLICATION;MS_TRAJECTORY_SIGNAL_SMALL_N	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
NAAA	gene	2	GSE235357:NAAA | GSE250453:NAAA	False	True	0.1477868131338999	0.5760930248869919	0.5145380745082451	0.29753261252767044	0.9370927446573233	0.7361494959984586	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
PPARA	gene	2	GSE235357:PPARA | GSE250453:PPARA	False	False	0.11526565319617245	0.1608974849131386	0.6380812860949758	0.3578483606365174	0.9370927446573233	0.7361494959984586	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
fatty_acid_desaturation_axis	module_score	2	GSE235357:SCD;FADS1 | GSE250453:SCD;FADS1	True	True	-0.21574628289388648	0.8666964256320997	0.6419298978042258	0.12840110540680882	0.9370927446573233	0.7361494959984586	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
critic_flux_panel	module_score	2	GSE235357:NAAA;EPHX2;GPR183;P2RX7;SPNS1;SCD;FADS1;ALOX5;ALOX5AP;PPARA | GSE250453:NAAA;EPHX2;GPR183;P2RX7;SPNS1;SCD;FADS1;ALOX5;ALOX5AP;PPARA	True	True	-0.24330292599058803	1.0038810647109695	0.6629968291031989	0.031052004623475855	0.9370927446573233	0.37999497698082363	MS_TRAJECTORY_SIGNAL_SMALL_N;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
ppara_lipid_sensor_axis	module_score	2	GSE235357:PPARA;SCD;FADS1;EPHX2 | GSE250453:PPARA;SCD;FADS1;EPHX2	False	True	0.022986218325585103	0.8956447470679324	0.6832117533443999	0.026875953381315702	0.9370927446573233	0.37999497698082363	MS_TRAJECTORY_SIGNAL_SMALL_N;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
HSD3B7	gene	2	GSE235357:HSD3B7 | GSE250453:HSD3B7	True	True	-0.17366843922200548	0.39889471198595605	0.7086694614817327	0.2835069463294752	0.9370927446573233	0.7361494959984586	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
GPR183	gene	2	GSE235357:GPR183 | GSE250453:GPR183	True	False	-0.15273358661438896	0.59287222606966	0.7435320905920929	0.03566428104167979	0.9370927446573233	0.37999497698082363	MS_TRAJECTORY_SIGNAL_SMALL_N;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
CYP7B1	gene	2	GSE235357:CYP7B1 | GSE250453:CYP7B1	False	True	0.02632873390505712	-0.14833202358214137	0.7594067146579518	0.7003062275623968	0.9370927446573233	0.7949422042600179	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
