route	n_defined	n_present	genes_present	genes_missing	dataset
LXR_ABCA1_ABCG1_EFFLUX	4	4	NR1H3;NR1H2;ABCA1;ABCG1		GSE14580
PPAR_RXR_LIPID_REPAIR	7	7	PPARG;PPARA;PPARD;RXRA;RXRB;RARA;RARG		GSE14580
NPC1_NPC2_CHOLESTEROL_EGRESS	2	2	NPC1;NPC2		GSE14580
LIPA_LAL_LYSOSOMAL_LIPID_CLEARANCE	1	1	LIPA		GSE14580
FADS_DESATURATION_AXIS	2	2	FADS1;FADS2		GSE14580
SCD_MONOUNSATURATED_LIPID_AXIS	1	1	SCD		GSE14580
SQLE_STEROL_SYNTHESIS_AXIS	1	1	SQLE		GSE14580
AHR_BARRIER_IMMUNE_METABOLITE_AXIS	2	2	AHR;CYP1A1		GSE14580
PTGER4_PROSTAGLANDIN_E2_AXIS	2	2	PTGER4;PTGS2		GSE14580
NAMPT_HIF_METABOLIC_STRESS	2	2	NAMPT;HIF1A		GSE14580
FPR2_ANXA1_BIASED_RESOLUTION	2	2	FPR2;ANXA1		GSE16879
CD300_RECEPTOR_SPECIFIC_TUNING	5	4	CD300A;CD300C;CD300LF;CD300LG	CD300E	GSE16879
GPR65_ENDOLYSOSOMAL_PH_CAMP	1	1	GPR65		GSE16879
GPR183_EBI2_OXYSTEROL_NICHE	5	5	GPR183;CH25H;CYP7B1;HSD3B7;CYP27A1		GSE16879
MERTK_AXL_TAM_GAS6_PROS1_AGONISM	5	5	MERTK;AXL;TYRO3;GAS6;PROS1		GSE16879
LXR_ABCA1_ABCG1_EFFLUX	4	4	NR1H3;NR1H2;ABCA1;ABCG1		GSE16879
PPAR_RXR_LIPID_REPAIR	7	7	PPARG;PPARA;PPARD;RXRA;RXRB;RARA;RARG		GSE16879
NPC1_NPC2_CHOLESTEROL_EGRESS	2	2	NPC1;NPC2		GSE16879
LIPA_LAL_LYSOSOMAL_LIPID_CLEARANCE	1	1	LIPA		GSE16879
FADS_DESATURATION_AXIS	2	2	FADS1;FADS2		GSE16879
SCD_MONOUNSATURATED_LIPID_AXIS	1	1	SCD		GSE16879
SQLE_STEROL_SYNTHESIS_AXIS	1	1	SQLE		GSE16879
AHR_BARRIER_IMMUNE_METABOLITE_AXIS	2	2	AHR;CYP1A1		GSE16879
PTGER4_PROSTAGLANDIN_E2_AXIS	2	2	PTGER4;PTGS2		GSE16879
NAMPT_HIF_METABOLIC_STRESS	2	2	NAMPT;HIF1A		GSE16879
FPR2_ANXA1_BIASED_RESOLUTION	2	2	FPR2;ANXA1		GSE198520
CD300_RECEPTOR_SPECIFIC_TUNING	5	5	CD300A;CD300C;CD300E;CD300LF;CD300LG		GSE198520
GPR65_ENDOLYSOSOMAL_PH_CAMP	1	1	GPR65		GSE198520
GPR183_EBI2_OXYSTEROL_NICHE	5	5	GPR183;CH25H;CYP7B1;HSD3B7;CYP27A1		GSE198520
MERTK_AXL_TAM_GAS6_PROS1_AGONISM	5	5	MERTK;AXL;TYRO3;GAS6;PROS1		GSE198520
LXR_ABCA1_ABCG1_EFFLUX	4	4	NR1H3;NR1H2;ABCA1;ABCG1		GSE198520
PPAR_RXR_LIPID_REPAIR	7	7	PPARG;PPARA;PPARD;RXRA;RXRB;RARA;RARG		GSE198520
NPC1_NPC2_CHOLESTEROL_EGRESS	2	2	NPC1;NPC2		GSE198520
LIPA_LAL_LYSOSOMAL_LIPID_CLEARANCE	1	1	LIPA		GSE198520
FADS_DESATURATION_AXIS	2	2	FADS1;FADS2		GSE198520
SCD_MONOUNSATURATED_LIPID_AXIS	1	1	SCD		GSE198520
SQLE_STEROL_SYNTHESIS_AXIS	1	1	SQLE		GSE198520
AHR_BARRIER_IMMUNE_METABOLITE_AXIS	2	2	AHR;CYP1A1		GSE198520
PTGER4_PROSTAGLANDIN_E2_AXIS	2	2	PTGER4;PTGS2		GSE198520
NAMPT_HIF_METABOLIC_STRESS	2	2	NAMPT;HIF1A		GSE198520
FPR2_ANXA1_BIASED_RESOLUTION	2	2	FPR2;ANXA1		GSE85034
CD300_RECEPTOR_SPECIFIC_TUNING	5	5	CD300A;CD300C;CD300E;CD300LF;CD300LG		GSE85034
GPR65_ENDOLYSOSOMAL_PH_CAMP	1	1	GPR65		GSE85034
GPR183_EBI2_OXYSTEROL_NICHE	5	5	GPR183;CH25H;CYP7B1;HSD3B7;CYP27A1		GSE85034
MERTK_AXL_TAM_GAS6_PROS1_AGONISM	5	5	MERTK;AXL;TYRO3;GAS6;PROS1		GSE85034
LXR_ABCA1_ABCG1_EFFLUX	4	4	NR1H3;NR1H2;ABCA1;ABCG1		GSE85034
PPAR_RXR_LIPID_REPAIR	7	7	PPARG;PPARA;PPARD;RXRA;RXRB;RARA;RARG		GSE85034
NPC1_NPC2_CHOLESTEROL_EGRESS	2	2	NPC1;NPC2		GSE85034
LIPA_LAL_LYSOSOMAL_LIPID_CLEARANCE	1	1	LIPA		GSE85034
FADS_DESATURATION_AXIS	2	2	FADS1;FADS2		GSE85034
SCD_MONOUNSATURATED_LIPID_AXIS	1	1	SCD		GSE85034
SQLE_STEROL_SYNTHESIS_AXIS	1	1	SQLE		GSE85034
AHR_BARRIER_IMMUNE_METABOLITE_AXIS	2	2	AHR;CYP1A1		GSE85034
PTGER4_PROSTAGLANDIN_E2_AXIS	2	2	PTGER4;PTGS2		GSE85034
NAMPT_HIF_METABOLIC_STRESS	2	2	NAMPT;HIF1A		GSE85034
