analysis	disease_name	compartment	role	candidate_module	candidate_effect	max_generic_comparator_effect	specificity_margin	specificity_pass
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	ets2_macrophage_program	1.2972353034030606	1.4521602059074015	-0.15492490250434088	False
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	ap1_ets_immediate_early	-0.40310352817320994	1.4521602059074015	-1.8552637340806113	False
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	ets2_direct	0.0006740489797287	1.4521602059074015	-1.4514861569276727	False
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	ets2_macrophage_program	1.1156861317712201	1.8211795024733461	-0.705493370702126	False
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	ap1_ets_immediate_early	-0.4276018963958717	1.8211795024733461	-2.248781398869218	False
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	ets2_direct	0.2953726632972282	1.8211795024733461	-1.525806839176118	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	ets2_macrophage_program	1.2265087491264324	1.350941963184538	-0.1244332140581057	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	ap1_ets_immediate_early	-0.08590249190071936	1.350941963184538	-1.4368444550852575	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	ets2_direct	-0.351197328611704	1.350941963184538	-1.7021392917962421	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	ets2_macrophage_program	1.2442237904295437	1.5141346071056394	-0.26991081667609573	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	ap1_ets_immediate_early	0.31048683790466824	1.5141346071056394	-1.203647769200971	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	ets2_direct	-0.3646341689757451	1.5141346071056394	-1.8787687760813845	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	ets2_macrophage_program	1.3315424956099517	1.4706295036643893	-0.13908700805443752	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	ap1_ets_immediate_early	0.24296140675016004	1.4706295036643893	-1.2276680969142293	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	ets2_direct	0.2103799129676105	1.4706295036643893	-1.2602495906967788	False
