artifact_dir	class	n_files	total_bytes	total_mib	largest_file	largest_file_mib	allowed_interpretation
analysis/v45_validation_intake_preflight	infrastructure_or_documentation	24	17808	0.017	analysis/v45_validation_intake_preflight/primary_preflight/preflight_checks.tsv	0.003	method/storage governance only; no biological claim
analysis/v45_array_processing_readiness	internal_or_governance	4	1210	0.001	analysis/v45_array_processing_readiness/array_cohort_processing_requirements.tsv	0.001	method/storage governance only; no biological claim
analysis/v45_artifact_index	internal_or_governance	3	136296	0.13	analysis/v45_artifact_index/v45_artifact_index.tsv	0.127	method/storage governance only; no biological claim
analysis/v45_convergence_family_jackknife	internal_or_governance	2	4156	0.004	analysis/v45_convergence_family_jackknife/summary.json	0.003	method/storage governance only; no biological claim
analysis/v45_convergence_no_readiness	internal_or_governance	8	7837	0.007	analysis/v45_convergence_no_readiness/all_source_files_audited.tsv	0.002	method/storage governance only; no biological claim
analysis/v45_convergence_no_reports	internal_or_governance	7	5182	0.005	analysis/v45_convergence_no_reports/source_file_weighted_recurrence_no_reports.tsv	0.001	method/storage governance only; no biological claim
analysis/v45_convergence_sensitivity	internal_or_governance	6	5269	0.005	analysis/v45_convergence_sensitivity/source_file_weighted_recurrence.tsv	0.001	method/storage governance only; no biological claim
analysis/v45_no_raw_git_scanner	internal_or_governance	2	1966	0.002	analysis/v45_no_raw_git_scanner/no_raw_git_audit.tsv	0.002	method/storage governance only; no biological claim
analysis/v45_precommit_readiness	internal_or_governance	2	5877	0.006	analysis/v45_precommit_readiness/precommit_readiness_steps.tsv	0.005	method/storage governance only; no biological claim
analysis/v45_rpt_readiness	internal_or_governance	6	8639	0.008	analysis/v45_rpt_readiness/rpt_readiness_payload.json	0.004	method/storage governance only; no biological claim
analysis/v45_gse228330_outcome_scout	public_metadata_or_operations	9	176385	0.168	analysis/v45_gse228330_outcome_scout/raw_public_metadata/GSE228330_series_matrix_header.txt	0.075	method/storage governance only; no biological claim
analysis/v45_gse228330_pharmacodynamic_runbook	public_metadata_or_operations	5	37892	0.036	analysis/v45_gse228330_pharmacodynamic_runbook/gse228330_download_manifest.tsv	0.024	method/storage governance only; no biological claim
analysis/v45_karolinska_access	public_metadata_or_operations	7	20046	0.019	analysis/v45_karolinska_access/raw_public_metadata/GSE130491.soft.txt	0.005	method/storage governance only; no biological claim
analysis/v45_live_cohort_acquisition_index	public_metadata_or_operations	1	3779	0.004	analysis/v45_live_cohort_acquisition_index/live_cohort_acquisition_index.tsv	0.004	method/storage governance only; no biological claim
analysis/v45_outbound_data_requests	public_metadata_or_operations	2	2042	0.002	analysis/v45_outbound_data_requests/request_tracker.tsv	0.001	method/storage governance only; no biological claim
analysis/v45_received_data_triage	public_metadata_or_operations	1	1087	0.001	analysis/v45_received_data_triage/received_data_triage_status.tsv	0.001	method/storage governance only; no biological claim
analysis/v45_batch_guard_calibration	synthetic_or_method_behavior	4	1112724	1.061	analysis/v45_batch_guard_calibration/batch_guard_calibrated_feature_metrics.tsv	0.935	method/storage governance only; no biological claim
analysis/v45_batch_guard_calibration_full	synthetic_or_method_behavior	4	3462642	3.302	analysis/v45_batch_guard_calibration_full/batch_guard_calibrated_feature_metrics.tsv	2.916	method/storage governance only; no biological claim
analysis/v45_dropout_sensitivity_table	synthetic_or_method_behavior	3	47900	0.046	analysis/v45_dropout_sensitivity_table/nominal_attrition_power_impact.tsv	0.042	method/storage governance only; no biological claim
analysis/v45_harness_regression_tests	synthetic_or_method_behavior	37	94329	0.09	analysis/v45_harness_regression_tests/secondary_real_ingest/synthetic/tb_null_input.tsv	0.011	method/storage governance only; no biological claim
analysis/v45_multiconfounder_batch_guard	synthetic_or_method_behavior	5	22346472	21.311	analysis/v45_multiconfounder_batch_guard/synthetic/multiconfounder_subjects.tsv.gz	20.013	method/storage governance only; no biological claim
analysis/v45_postpartum_pathology	synthetic_or_method_behavior	4	21346444	20.358	analysis/v45_postpartum_pathology/synthetic/postpartum_pathology_subjects.tsv.gz	19.266	method/storage governance only; no biological claim
analysis/v45_power_decision_table	synthetic_or_method_behavior	3	8199	0.008	analysis/v45_power_decision_table/selected_scenarios_by_n.tsv	0.005	method/storage governance only; no biological claim
analysis/v45_preflight_regression_tests	synthetic_or_method_behavior	25	20619	0.02	analysis/v45_preflight_regression_tests/synthetic_check/primary_preflight/preflight_checks.tsv	0.003	method/storage governance only; no biological claim
analysis/v45_primary_harness_regression_tests	synthetic_or_method_behavior	23	762040	0.727	analysis/v45_primary_harness_regression_tests/v42_primary_synthetic/null_inputs/synthetic_expression.tsv	0.291	method/storage governance only; no biological claim
analysis/v45_regression_aggregator	synthetic_or_method_behavior	35	43989	0.042	analysis/v45_regression_aggregator/subject_map/negative_unverified_subject_map/subject_map_audit.tsv	0.016	method/storage governance only; no biological claim
analysis/v45_secondary_batch_calibration	synthetic_or_method_behavior	3	4297312	4.098	analysis/v45_secondary_batch_calibration/secondary_batch_calibration_metrics.tsv	4.082	method/storage governance only; no biological claim
analysis/v45_secondary_missing_timepoint_stress	synthetic_or_method_behavior	130	334775	0.319	analysis/v45_secondary_missing_timepoint_stress/synthetic/tb_null_base.tsv	0.011	method/storage governance only; no biological claim
analysis/v45_seed_variation_stability	synthetic_or_method_behavior	5	9188648	8.763	analysis/v45_seed_variation_stability/seed_variation_metrics.tsv	8.663	method/storage governance only; no biological claim
analysis/v45_synthetic_artifact_index	synthetic_or_method_behavior	3	11844	0.011	analysis/v45_synthetic_artifact_index/v43_v45_artifact_index.tsv	0.007	method/storage governance only; no biological claim
analysis/v45_tb_compartment_pathology	synthetic_or_method_behavior	4	25350652	24.176	analysis/v45_tb_compartment_pathology/synthetic/tb_compartment_pathology_subjects.tsv.gz	22.797	method/storage governance only; no biological claim
