gene	axis	priority_score	weighted_evidence_score	ms_anchor_score	positive_disease_count	negative_disease_count	positive_non_ms_disease_count	negative_non_ms_disease_count	ms_channels	ms_datasets	positive_diseases	negative_diseases	prior_flag
MYO1E	unassigned	5.443764911358216	1.9718824556791081	3.471882455679108	1	0	0	0	2	2	MS		
NPC2	unassigned	5.438442635158882	1.969221317579441	3.469221317579441	1	0	0	0	2	2	MS		
CAPG	unassigned	5.43373361402478	1.9668668070123898	3.46686680701239	1	0	0	0	2	2	MS		
TMED10	unassigned	5.419659814152958	1.9598299070764789	3.459829907076479	1	0	0	0	2	2	MS		
FTH1	unassigned	5.408827575407363	1.9544137877036818	3.4544137877036816	1	0	0	0	2	2	MS		
RIT1	unassigned	5.396479745117871	1.9482398725589352	3.4482398725589354	1	0	0	0	2	2	MS		
ACTN1	unassigned	5.31298021998957	1.906490109994785	3.406490109994785	1	0	0	0	2	2	MS		
SLC25A24	unassigned	5.272105454166906	1.8860527270834528	3.386052727083453	1	0	0	0	2	2	MS		
GM2A	unassigned	5.264265872506716	1.8821329362533576	3.382132936253358	1	0	0	0	2	2	MS		
CD68	complement_phagocytosis	5.263682862701164	3.076182862701164	0.0	2	1	2	1	0	0	UC,lupus_nephritis	Crohn	
TNFAIP2	unassigned	5.254307151487311	1.8771535757436557	3.3771535757436557	1	0	0	0	2	2	MS		
IQGAP1	unassigned	5.243452140806807	1.8717260704034033	3.3717260704034033	1	0	0	0	2	2	MS		
LGALS3	unassigned	5.235851044816448	1.8679255224082236	3.367925522408224	1	0	0	0	2	2	MS		
OTUD7B	unassigned	5.231673542721003	1.8658367713605015	3.3658367713605015	1	0	0	0	2	2	MS		
RPS28	unassigned	5.218356104277819	1.8591780521389096	3.3591780521389096	1	0	0	0	2	2	MS		
EIF4G2	unassigned	5.209309341812016	1.854654670906008	3.354654670906008	1	0	0	0	2	2	MS		
CARM1	unassigned	5.207624716863739	1.8538123584318695	3.3538123584318695	1	0	0	0	2	2	MS		
DNPEP	unassigned	5.195990798152884	1.8479953990764422	3.347995399076442	1	0	0	0	2	2	MS		
PRKCSH	unassigned	5.174872643566203	1.8374363217831013	3.3374363217831013	1	0	0	0	2	2	MS		
GOLGA7	unassigned	5.170172348861015	1.8350861744305074	3.3350861744305074	1	0	0	0	2	2	MS		
LMNA	unassigned	5.123826052424876	1.811913026212438	3.311913026212438	1	0	0	0	2	2	MS		
LSP1	unassigned	5.1158250927615825	1.8079125463807912	3.3079125463807912	1	0	0	0	2	2	MS		
CLCN6	unassigned	5.093350206281101	1.7966751031405503	3.2966751031405503	1	0	0	0	2	2	MS		
MICAL1	unassigned	5.059125605598952	1.779562802799476	3.279562802799476	1	0	0	0	2	2	MS		
MTMR6	unassigned	5.054685515728837	1.7773427578644183	3.2773427578644183	1	0	0	0	2	2	MS		
CORO1C	unassigned	5.044832471328946	1.772416235664473	3.272416235664473	1	0	0	0	2	2	MS		
ACAN	unassigned	5.0144771198708264	1.7572385599354132	3.2572385599354132	1	0	0	0	2	2	MS		
HIP1	unassigned	4.997143438239279	1.7485717191196397	3.2485717191196395	1	0	0	0	2	2	MS		
CPVL	unassigned	4.987347889817062	1.7436739449085308	3.243673944908531	1	0	0	0	2	2	MS		
SEC22B	unassigned	4.974673350291835	1.7373366751459174	3.2373366751459174	1	0	0	0	2	2	MS		
VIM	unassigned	4.966214560826038	1.733107280413019	3.233107280413019	1	0	0	0	2	2	MS		
SDSL	unassigned	4.964383130098321	1.7321915650491606	3.2321915650491606	1	0	0	0	2	2	MS		
GSDME	unassigned	4.95398134908964	1.7269906745448198	3.22699067454482	1	0	0	0	2	2	MS		
ANXA2	unassigned	4.9527422616497105	1.7263711308248555	3.2263711308248553	1	0	0	0	2	2	MS		
SNX3	unassigned	4.944374222760729	1.7221871113803644	3.2221871113803644	1	0	0	0	2	2	MS		
CHI3L1	unassigned	4.938511651385653	1.7192558256928265	3.2192558256928265	1	0	0	0	2	2	MS		
NCEH1	unassigned	4.882493293538364	1.691246646769182	3.191246646769182	1	0	0	0	2	2	MS		
CD59	unassigned	4.862926196604599	1.6814630983022993	3.1814630983022996	1	0	0	0	2	2	MS		
NAAA	unassigned	4.8584131946149585	1.6792065973074792	3.1792065973074792	1	0	0	0	2	2	MS		
HSPB1	unassigned	4.841393913754715	1.6706969568773575	3.1706969568773573	1	0	0	0	2	2	MS		
GNS	unassigned	4.834343172243615	1.6671715861218077	3.1671715861218077	1	0	0	0	2	2	MS		
CIB1	unassigned	4.832694929501087	1.6663474647505434	3.1663474647505434	1	0	0	0	2	2	MS		
TMEM205	unassigned	4.8195570207856	1.6597785103928	3.1597785103928	1	0	0	0	2	2	MS		
S100A13	unassigned	4.799817852372695	1.6499089261863475	3.1499089261863475	1	0	0	0	2	2	MS		
MYL6	unassigned	4.796295905939833	1.6481479529699166	3.1481479529699166	1	0	0	0	2	2	MS		
TYMP	unassigned	4.779346115232397	1.6396730576161986	3.1396730576161986	1	0	0	0	2	2	MS		
ISCU	unassigned	4.772282686913485	1.6361413434567422	3.1361413434567424	1	0	0	0	2	2	MS		
PLD3	unassigned	4.770876877549046	1.635438438774523	3.135438438774523	1	0	0	0	2	2	MS		
CD151	unassigned	4.770488320239362	1.6352441601196812	3.135244160119681	1	0	0	0	2	2	MS		
LSM4	unassigned	4.769921961253826	1.634960980626913	3.134960980626913	1	0	0	0	2	2	MS		
ALDH16A1	unassigned	4.767552007906644	1.6337760039533218	3.133776003953322	1	0	0	0	2	2	MS		
HEXA	unassigned	4.749366048198544	1.624683024099272	3.124683024099272	1	0	0	0	2	2	MS		
PLCL1	unassigned	4.744745337970695	1.6223726689853475	3.1223726689853475	1	0	0	0	2	2	MS		
RBM8A	unassigned	4.738289290112695	1.6191446450563471	3.1191446450563474	1	0	0	0	2	2	MS		
TMEM126B	unassigned	4.73819500311745	1.6190975015587248	3.119097501558725	1	0	0	0	2	2	MS		
VAC14	unassigned	4.729109285979687	1.6145546429898436	3.1145546429898436	1	0	0	0	2	2	MS		
CDS2	unassigned	4.7088976646342395	1.6044488323171198	3.1044488323171198	1	0	0	0	2	2	MS		
ATP6V0D1	unassigned	4.707305884533183	1.6036529422665917	3.1036529422665917	1	0	0	0	2	2	MS		
NAGK	unassigned	4.704605390452334	1.6023026952261672	3.102302695226167	1	0	0	0	2	2	MS		
PDCD5	unassigned	4.702265325210479	1.6011326626052393	3.1011326626052393	1	0	0	0	2	2	MS		
SOD2	unassigned	4.700101427587157	1.6000507137935784	3.1000507137935784	1	0	0	0	2	2	MS		
RPS7	unassigned	4.698302644269612	1.5991513221348062	3.099151322134806	1	0	0	0	2	2	MS		
ARL8B	unassigned	4.697889712518833	1.5989448562594166	3.0989448562594166	1	0	0	0	2	2	MS		
RPS15	unassigned	4.693510345910763	1.5967551729553813	3.0967551729553815	1	0	0	0	2	2	MS		
SQSTM1	unassigned	4.6872844807253795	1.5936422403626898	3.0936422403626898	1	0	0	0	2	2	MS		
DIP2C	unassigned	4.6848231360834145	1.5924115680417075	3.0924115680417072	1	0	0	0	2	2	MS		
SGTA	unassigned	4.679486494593	1.5897432472965	3.0897432472965	1	0	0	0	2	2	MS		
SF3B5	unassigned	4.6629443886464035	1.581472194323202	3.0814721943232017	1	0	0	0	2	2	MS		
GLUL	unassigned	4.661328221972575	1.5806641109862873	3.0806641109862873	1	0	0	0	2	2	MS		
RPS17	unassigned	4.650909150744324	1.575454575372162	3.075454575372162	1	0	0	0	2	2	MS		
SAR1A	unassigned	4.645017159254573	1.5725085796272864	3.0725085796272866	1	0	0	0	2	2	MS		
RPS9	unassigned	4.626508842752585	1.5632544213762927	3.0632544213762927	1	0	0	0	2	2	MS		
BCAT2	unassigned	4.624764225054154	1.562382112527077	3.062382112527077	1	0	0	0	2	2	MS		
HLA-A	unassigned	4.612048925811839	1.5560244629059197	3.0560244629059197	1	0	0	0	2	2	MS		
HSPA5	unassigned	4.602713355684165	1.5513566778420826	3.0513566778420826	0	0	0	0	2	2			
RPS21	unassigned	4.602307043966835	1.5511535219834176	3.0511535219834176	1	0	0	0	2	2	MS		
ANP32B	unassigned	4.595951131402653	1.5479755657013263	3.0479755657013263	1	0	0	0	2	2	MS		
LGALS1	unassigned	4.59286926723058	1.54643463361529	3.04643463361529	1	0	0	0	2	2	MS		
CLIC4	unassigned	4.591811040901924	1.5459055204509622	3.045905520450962	1	0	0	0	2	2	MS		
AP1S2	unassigned	4.58296508654024	1.54148254327012	3.04148254327012	1	0	0	0	2	2	MS		
LAMTOR3	unassigned	4.575793768787455	1.5378968843937275	3.0378968843937275	1	0	0	0	2	2	MS		
RPA1	unassigned	4.57212526507803	1.5360626325390152	3.036062632539015	1	0	0	0	2	2	MS		
NECAB2	unassigned	4.568089068641674	1.534044534320837	3.034044534320837	1	0	0	0	2	2	MS		
SNX30	unassigned	4.567369355184683	1.5336846775923414	3.0336846775923414	1	0	0	0	2	2	MS		
FLNA	unassigned	4.566901115213475	1.5334505576067374	3.0334505576067374	1	0	0	0	2	2	MS		
RAB27A	unassigned	4.556719227293699	1.5283596136468494	3.0283596136468494	1	0	0	0	2	2	MS		
TUBB6	unassigned	4.549338561498013	1.5246692807490063	3.0246692807490065	1	0	0	0	2	2	MS		
GOLIM4	unassigned	4.543791976953845	1.5218959884769225	3.0218959884769223	1	0	0	0	2	2	MS		
RPL3	unassigned	4.529340414557661	1.5146702072788305	3.0146702072788303	1	0	0	0	2	2	MS		
PDE1C	unassigned	4.526773549216317	1.5133867746081588	3.0133867746081586	1	0	0	0	2	2	MS		
ANXA1	unassigned	4.5260497532678	1.5130248766338998	3.0130248766339	1	0	0	0	2	2	MS		
RPL17	unassigned	4.521844751534808	1.5109223757674042	3.010922375767404	1	0	0	0	2	2	MS		
PTPRD	unassigned	4.516774482073613	1.5083872410368064	3.0083872410368064	0	0	0	0	2	2			
CALU	unassigned	4.516337649788849	1.5081688248944247	3.0081688248944247	1	0	0	0	2	2	MS		
AMER2	unassigned	4.516014602927259	1.5080073014636297	3.0080073014636297	0	0	0	0	2	2			
HSD17B4	unassigned	4.5116368545156655	1.5058184272578328	3.0058184272578328	1	0	0	0	2	2	MS		
VPS26A	unassigned	4.510826386460257	1.5054131932301287	3.0054131932301287	1	0	0	0	2	2	MS		
RPL27A	unassigned	4.50018268472879	1.500091342364395	3.000091342364395	1	0	0	0	2	2	MS		
ATP9A	unassigned	4.499891697525393	1.4999458487626964	2.9999458487626964	1	0	0	0	2	2	MS		
RPL35A	unassigned	4.498893757657043	1.4994468788285213	2.9994468788285213	1	0	0	0	2	2	MS		
PYCARD	unassigned	4.491798406323969	1.4958992031619849	2.9958992031619847	1	0	0	0	2	2	MS		
EXOC8	unassigned	4.487406014275724	1.4937030071378619	2.993703007137862	1	0	0	0	2	2	MS		
FBL	unassigned	4.479108290473064	1.4895541452365322	2.989554145236532	0	0	0	0	2	2			
TPD52L2	unassigned	4.4737113395180055	1.4868556697590027	2.9868556697590027	1	0	0	0	2	2	MS		
LGMN	unassigned	4.471170289124611	1.4855851445623058	2.9855851445623056	1	0	0	0	2	2	MS		
GPD2	unassigned	4.459911034402035	1.4799555172010175	2.9799555172010175	1	0	0	0	2	2	MS		
GSTK1	unassigned	4.446947205332715	1.4734736026663575	2.9734736026663575	1	0	0	0	2	2	MS		
RPS13	unassigned	4.445368734741245	1.4726843673706225	2.9726843673706225	1	0	0	0	2	2	MS		
ERP29	unassigned	4.443642996681001	1.4718214983405007	2.9718214983405007	1	0	0	0	2	2	MS		
SNTB2	unassigned	4.441653831742199	1.4708269158710994	2.9708269158710996	1	0	0	0	2	2	MS		
LRRFIP1	unassigned	4.440397147335968	1.4701985736679841	2.970198573667984	1	0	0	0	2	2	MS		
RPL9	unassigned	4.440376995927789	1.4701884979638946	2.9701884979638944	1	0	0	0	2	2	MS		
EEF1D	unassigned	4.4356481436643005	1.4678240718321505	2.9678240718321502	1	0	0	0	2	2	MS		
WDR91	unassigned	4.434031314395593	1.4670156571977964	2.9670156571977966	1	0	0	0	2	2	MS		
CMAS	unassigned	4.431199404264061	1.4655997021320304	2.9655997021320304	1	0	0	0	2	2	MS		
RPS18	unassigned	4.430474725694319	1.4652373628471593	2.9652373628471596	0	0	0	0	2	2			
RPL18	unassigned	4.418869190801653	1.4594345954008263	2.9594345954008263	1	0	0	0	2	2	MS		
RPS2	unassigned	4.4120768718375	1.45603843591875	2.95603843591875	1	0	0	0	2	2	MS		
SLC12A6	unassigned	4.404111895419969	1.4520559477099844	2.9520559477099844	0	0	0	0	2	2			
PCBP1	unassigned	4.3943621353375715	1.4471810676687857	2.9471810676687857	1	0	0	0	2	2	MS		
AK3	unassigned	4.394142258190605	1.4470711290953029	2.9470711290953027	0	0	0	0	2	2			
LAMA4	unassigned	4.393490737409655	1.4467453687048277	2.9467453687048275	0	0	0	0	2	2			
ELOB	unassigned	4.3873746576958625	1.4436873288479313	2.9436873288479313	1	0	0	0	2	2	MS		
CTSD	lysosome_antigen_processing	4.385898582227959	6.51423540056602	5.93416318166194	3	5	2	5	3	3	MS,SLE_myeloid,psoriasis	Crohn,RA,Sjogren,UC,lupus_nephritis	
LAMP5	unassigned	4.382463078526179	1.4412315392630892	2.9412315392630894	0	0	0	0	2	2			
GUCY1B1	unassigned	4.377536814634544	1.4387684073172717	2.938768407317272	1	0	0	0	2	2	MS		
RASAL1	unassigned	4.359004188641508	1.4295020943207541	2.929502094320754	1	0	0	0	2	2	MS		
AKR1B1	unassigned	4.3586559837535805	1.4293279918767903	2.9293279918767903	1	0	0	0	2	2	MS		
MAPRE2	unassigned	4.357988677558051	1.4289943387790258	2.9289943387790256	1	0	0	0	2	2	MS		
CLASP2	unassigned	4.3577956067188435	1.4288978033594217	2.9288978033594217	1	0	0	0	2	2	MS		
RPL10A	unassigned	4.350792080388875	1.4253960401944377	2.9253960401944377	0	0	0	0	2	2			
RPL13	unassigned	4.349509291210169	1.4247546456050846	2.9247546456050846	1	0	0	0	2	2	MS		
NUCB1	unassigned	4.343477606728374	1.4217388033641871	2.921738803364187	1	0	0	0	2	2	MS		
PCK2	unassigned	4.336112872119082	1.418056436059541	2.918056436059541	1	0	0	0	2	2	MS		
KCTD21	unassigned	4.322165264298459	1.4110826321492296	2.9110826321492294	1	0	0	0	2	2	MS		
TSC1	unassigned	4.3115782510556215	1.4057891255278108	2.9057891255278108	1	0	0	0	2	2	MS		
ARL2	unassigned	4.310719822863808	1.405359911431904	2.905359911431904	0	0	0	0	2	2			
ARAP1	unassigned	4.305843735837486	1.402921867918743	2.902921867918743	0	0	0	0	2	2			
SNRNP200	unassigned	4.301237673959877	1.4006188369799384	2.9006188369799384	0	0	0	0	2	2			
TRIM47	unassigned	4.299545230565135	1.3997726152825674	2.8997726152825676	1	0	0	0	2	2	MS		
HLA-B	unassigned	4.298583378667823	1.3992916893339116	2.8992916893339116	0	0	0	0	2	2			
TFG	unassigned	4.295614124954345	1.3978070624771726	2.8978070624771726	1	0	0	0	2	2	MS		
VPS16	unassigned	4.295105151468172	1.3975525757340859	2.897552575734086	1	0	0	0	2	2	MS		
ILVBL	unassigned	4.289045660512848	1.3945228302564239	2.894522830256424	1	0	0	0	2	2	MS		
CYTH1	unassigned	4.286916996952719	1.3934584984763596	2.8934584984763596	1	0	0	0	2	2	MS		
UAP1L1	unassigned	4.286835065714429	1.393417532857215	2.8934175328572147	1	0	0	0	2	2	MS		
EXOC1	unassigned	4.2861712841081285	1.393085642054064	2.8930856420540643	1	0	0	0	2	2	MS		
ARL8A	unassigned	4.269395299299025	1.3846976496495125	2.8846976496495125	1	0	0	0	2	2	MS		
ELAVL3	unassigned	4.267330061132871	1.3836650305664353	2.8836650305664353	1	0	0	0	2	2	MS		
PRDX3	unassigned	4.2638154512944615	1.3819077256472307	2.8819077256472307	0	0	0	0	2	2			
NOL3	unassigned	4.261768583999333	1.3808842919996667	2.8808842919996667	1	0	0	0	2	2	MS		
SERPINE2	unassigned	4.259001452312494	1.3795007261562469	2.879500726156247	1	0	0	0	2	2	MS		
GANAB	unassigned	4.258650168497477	1.3793250842487381	2.8793250842487383	1	0	0	0	2	2	MS		
RPS19	unassigned	4.2563873806672206	1.3781936903336103	2.8781936903336103	1	0	0	0	2	2	MS		
SNRPD3	unassigned	4.254472943809359	1.3772364719046797	2.8772364719046797	1	0	0	0	2	2	MS		
RPL6	unassigned	4.251928528016252	1.3759642640081262	2.875964264008126	1	0	0	0	2	2	MS		
PPP2R5A	unassigned	4.247934649468286	1.3739673247341428	2.873967324734143	0	0	0	0	2	2			
RPS6	unassigned	4.234548917366895	1.3672744586834473	2.8672744586834473	1	0	0	0	2	2	MS		
ERBIN	unassigned	4.232853186440233	1.3664265932201163	2.8664265932201163	0	0	0	0	2	2			
TTYH3	unassigned	4.232849587204522	1.366424793602261	2.866424793602261	0	0	0	0	2	2			
CLMN	unassigned	4.232660427791319	1.3663302138956595	2.8663302138956595	1	0	0	0	2	2	MS		
SNX6	unassigned	4.230576556243508	1.3652882781217541	2.865288278121754	1	0	0	0	2	2	MS		
HNRNPF	unassigned	4.229132064201443	1.3645660321007216	2.8645660321007216	1	0	0	0	2	2	MS		
GID8	unassigned	4.226327966472592	1.363163983236296	2.863163983236296	0	0	0	0	2	2			
SCP2	unassigned	4.222598152385871	1.3612990761929353	2.8612990761929353	1	0	0	0	2	2	MS		
MMGT1	unassigned	4.22191032873541	1.360955164367705	2.860955164367705	1	0	0	0	2	2	MS		
ATG9A	unassigned	4.217647519212456	1.3588237596062278	2.858823759606228	1	0	0	0	2	2	MS		
HOOK3	unassigned	4.217227808758982	1.358613904379491	2.858613904379491	1	0	0	0	2	2	MS		
UBQLN2	unassigned	4.2035389611965215	1.351769480598261	2.8517694805982607	1	0	0	0	2	2	MS		
MRAS	unassigned	4.200185527775382	1.3500927638876912	2.850092763887691	1	0	0	0	2	2	MS		
CD81	unassigned	4.197946791877158	1.3489733959385786	2.848973395938579	0	0	0	0	2	2			
COPA	unassigned	4.195969245575557	1.3479846227877785	2.8479846227877785	1	0	0	0	2	2	MS		
STXBP6	unassigned	4.195932232160379	1.3479661160801892	2.8479661160801895	0	0	0	0	2	2			
RPL11	unassigned	4.191331901070763	1.3456659505353812	2.8456659505353814	0	0	0	0	2	2			
LGALS3BP	unassigned	4.187043743522375	1.3435218717611876	2.8435218717611876	1	0	0	0	2	2	MS		
JUP	unassigned	4.1868380108342595	1.3434190054171298	2.8434190054171298	0	0	0	0	2	2			
RPS12	unassigned	4.186178159891331	1.3430890799456656	2.8430890799456656	0	0	0	0	2	2			
ITSN1	unassigned	4.1824322468586566	1.3412161234293283	2.8412161234293283	1	0	0	0	2	2	MS		
PLEKHA1	unassigned	4.180693408735136	1.3403467043675679	2.840346704367568	1	0	0	0	2	2	MS		
RPL19	unassigned	4.171395307095619	1.3356976535478091	2.8356976535478093	1	0	0	0	2	2	MS		
RPS16	unassigned	4.169857851600121	1.33492892580006	2.8349289258000603	0	0	0	0	2	2			
RPS20	unassigned	4.168376458371607	1.3341882291858034	2.8341882291858034	0	0	0	0	2	2			
ATP1B3	unassigned	4.1672970011510735	1.3336485005755367	2.8336485005755367	1	0	0	0	2	2	MS		
CDH20	unassigned	4.157789073662938	1.3288945368314693	2.828894536831469	0	0	0	0	2	2			
CORO7	unassigned	4.156790967805417	1.3283954839027088	2.8283954839027086	1	0	0	0	2	2	MS		
MGST1	unassigned	4.146909343436277	1.3234546717181384	2.8234546717181384	1	0	0	0	2	2	MS		
ESYT1	unassigned	4.141601907108006	1.320800953554003	2.820800953554003	1	0	0	0	2	2	MS		
SEPTIN9	unassigned	4.141562720990283	1.3207813604951415	2.8207813604951415	1	0	0	0	2	2	MS		
IL4I1	unassigned	4.1411824910000385	1.3205912455000193	2.8205912455000193	1	0	0	0	2	2	MS		
ATP6V1G1	unassigned	4.140405938881008	1.3202029694405042	2.820202969440504	0	0	0	0	2	2			
NUMA1	unassigned	4.138678199823107	1.3193390999115535	2.8193390999115535	1	0	0	0	2	2	MS		
