disease	dataset	modality	compartment	module	metric	n_case	n_control	delta	hedges_g	p	fdr	support_level	support_score
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	ifn_apc	sample_mean_log1p_cpm_module	3	2	0.5253332694232156	0.9274692387263214	0.2094590329129275	0.2811133221822033	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	lysosomal_apc	sample_mean_log1p_cpm_module	3	2	0.3661523426129482	1.307913340630431	0.1249005134132561	0.2683048065914392	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	mif_cd74_receptor_state	sample_mean_log1p_cpm_module	3	2	0.7164278365991426	0.983938181217485	0.1936957997339089	0.2811133221822033	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	mixscale_validated_ifng_readout	sample_mean_log1p_cpm_module	3	2	0.3895059136455612	0.855496514585781	0.2374303713124796	0.2815372107282357	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	hla_ii_apc	sample_mean_log1p_cpm_module	3	2	1.698558975446072	30.190407854697515	0.0053697946311235	0.0219690242425032	strong	3.0
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	ifn_apc	sample_mean_log1p_cpm_module	3	2	1.229437021144745	17.340272785529656	0.0056816442006473	0.0219690242425032	strong	3.0
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	lysosomal_apc	sample_mean_log1p_cpm_module	3	2	0.4907225133345561	2.9262537731508496	0.027561405676147	0.0888089738453627	supportive	2.0
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	mif_cd74_receptor_state	sample_mean_log1p_cpm_module	3	2	1.7902925785741668	19.59045900928689	0.0003272728230005	0.0027116891048613	strong	3.0
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	mixscale_validated_ifng_readout	sample_mean_log1p_cpm_module	3	2	0.9332656594996264	19.687200267908988	5.838733668620004e-05	0.0016932327638998	strong	3.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	complement_phagocytosis	log2_module_score	10	11	-0.0971878137835108	-0.1426692407166519	0.7463893671943636	0.7463893671943636	null_or_negative	0.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	hif_nampt_metabolic	log2_module_score	10	11	-0.2048376541808966	-0.3654967365055319	0.4011326666336653	0.4679881110726095	null_or_negative	0.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	ifn_apc	log2_module_score	10	11	0.218950561138294	0.4583133288952779	0.2860670692208646	0.4679881110726095	positive_null	0.25
MS	GSE111972	sorted_bulk_microglia	white matter microglia	lipid_loader_repair	log2_module_score	10	11	0.478405625850795	1.3791020820262916	0.0052818131834522	0.0191569670425492	strong	3.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	lysosomal_apc	log2_module_score	10	11	0.5130963627199836	0.9469772236498316	0.0413364743420609	0.0964517734648089	supportive	2.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	mif_cd74_receptor_state	log2_module_score	10	11	0.6141257454613055	1.3413367086123047	0.005473419155014	0.0191569670425492	strong	3.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	mif_ligand_axis	log2_module_score	10	11	0.2855714681357631	0.4203858526587714	0.3368490652013122	0.4679881110726095	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	complement_phagocytosis	donor_mean_z_score	11	14	0.0157503510587511	0.4056872937895854	0.3186673386542545	0.4714530489679382	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	complement_phagocytosis	donor_mean_z_score	9	13	-0.1122887896401115	-0.5249450987334171	0.1783903527694472	0.3278614301073529	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	hif_nampt_metabolic	donor_mean_z_score	9	13	-0.0625072348917547	-0.3127041149276089	0.4180810253500845	0.5513981645318531	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	hif_nampt_metabolic	donor_mean_z_score	11	14	-0.0423473167387864	-0.2072697557515924	0.5920796126741946	0.691292953176357	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	hla_ii_apc	donor_mean_z_score	11	14	0.2036768517163498	1.0342235100353516	0.0206432277489396	0.0913585065286465	supportive	2.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	hla_ii_apc	donor_mean_z_score	9	13	0.0528030148358123	0.4462884578469436	0.2580265447731579	0.4159233856044934	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	ifn_apc	donor_mean_z_score	11	14	0.1494697337635693	0.8437995937127607	0.0567709554202103	0.1572118765482748	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	ifn_apc	donor_mean_z_score	9	13	0.0831867802213486	0.6870929821551075	0.1013482360219814	0.2353894514058923	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	inflammatory_nfkb	donor_mean_z_score	9	13	-0.0021548604441803	-0.0127276834721348	0.9759950843346628	0.9823779975052848	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	inflammatory_nfkb	donor_mean_z_score	11	14	-0.0113719463690912	-0.1587297556917275	0.6791223253938731	0.7408607186114979	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	lipid_loader_repair	donor_mean_z_score	11	14	-0.0166041608861919	-0.2024075657389435	0.6036990968387334	0.6973208819099808	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	lipid_loader_repair	donor_mean_z_score	9	13	-0.1293502626108293	-0.7740382516087619	0.05541874113261	0.1556790868501292	negative_trend	-1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	lysosomal_apc	donor_mean_z_score	9	13	-0.0635183180674059	-0.307099414926388	0.434253326649086	0.5550220032911396	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	lysosomal_apc	donor_mean_z_score	11	14	-0.0515898618995964	-0.2672939613093729	0.4837012938665387	0.6004567785929447	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	mif_cd74_receptor_state	donor_mean_z_score	11	14	0.2069560003041781	1.0745844475632715	0.0206931093773066	0.0913585065286465	supportive	2.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	mif_cd74_receptor_state	donor_mean_z_score	9	13	0.0992238226129082	0.7465284709924661	0.083102664266325	0.1994463942391799	trend	1.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	mixscale_validated_ifng_readout	donor_mean_z_score	11	14	0.0968369995679686	0.7512496535236037	0.0711417859938535	0.18048693786574	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	mixscale_validated_ifng_readout	donor_mean_z_score	9	13	0.0532534721863691	0.4843575531892139	0.2618827576801054	0.4159314386684026	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	b_plasma_like marker-classified duodenum	complement_phagocytosis	donor_mean_z_score_marker_compartment	4	2	-0.0538764020291315	-1.0415088470166731	0.231336217877049	0.7809329152755746	null_or_negative	0.0
celiac disease	GSE315138	single_cell_marker_compartment	epithelial_like marker-classified duodenum	complement_phagocytosis	donor_mean_z_score_marker_compartment	4	2	-0.0171985479083426	-0.187185775057124	0.8422494531283408	0.9412308181532252	null_or_negative	0.0
celiac disease	GSE315138	single_cell_marker_compartment	stromal_endothelial_like marker-classified duodenum	complement_phagocytosis	donor_mean_z_score_marker_compartment	4	2	-0.0246575396875474	-0.63017318298656	0.3500599587845932	0.8433290540177987	null_or_negative	0.0
celiac disease	GSE315138	single_cell_marker_compartment	t_cell_like marker-classified duodenum	complement_phagocytosis	donor_mean_z_score_marker_compartment	4	2	-0.024372171117094	-0.4682406179895144	0.4893260031016769	0.890821094853667	null_or_negative	0.0
celiac disease	GSE315138	single_cell_marker_compartment	myeloid_apc_like marker-classified duodenum	complement_phagocytosis	donor_mean_z_score_marker_compartment	4	2	-0.1184113939674968	-1.1779286766357524	0.0814997982432891	0.7809329152755746	negative_trend	-1.0
celiac disease	GSE315138	single_cell_marker_compartment	b_plasma_like marker-classified duodenum	hif_nampt_metabolic	donor_mean_z_score_marker_compartment	4	2	0.12546365971282	0.7883801568915206	0.1970743582288787	0.7809329152755746	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	epithelial_like marker-classified duodenum	hif_nampt_metabolic	donor_mean_z_score_marker_compartment	4	2	0.1162974019877164	1.0362574054386042	0.4169550548488451	0.8726966264278154	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	myeloid_apc_like marker-classified duodenum	hif_nampt_metabolic	donor_mean_z_score_marker_compartment	4	2	0.2587383491093578	0.8991691081254379	0.1479140144366608	0.7809329152755746	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	stromal_endothelial_like marker-classified duodenum	hif_nampt_metabolic	donor_mean_z_score_marker_compartment	4	2	0.0685750496283778	0.4157324066181603	0.6738280437740194	0.890821094853667	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	t_cell_like marker-classified duodenum	hif_nampt_metabolic	donor_mean_z_score_marker_compartment	4	2	-0.046293291342438	-0.2878552927471652	0.7859090828499069	0.9225910381116206	null_or_negative	0.0
celiac disease	GSE315138	single_cell_marker_compartment	epithelial_like marker-classified duodenum	hla_ii_apc	donor_mean_z_score_marker_compartment	4	2	0.5196932069471483	1.7241676210578172	0.0279323634382444	0.7809329152755746	trend	1.0
celiac disease	GSE315138	single_cell_marker_compartment	b_plasma_like marker-classified duodenum	hla_ii_apc	donor_mean_z_score_marker_compartment	4	2	0.4676104408018866	0.8060241338085412	0.1786359380435993	0.7809329152755746	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	myeloid_apc_like marker-classified duodenum	hla_ii_apc	donor_mean_z_score_marker_compartment	4	2	0.0952933379540874	0.3981353337848394	0.7457991283764233	0.8962147833364953	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	stromal_endothelial_like marker-classified duodenum	hla_ii_apc	donor_mean_z_score_marker_compartment	4	2	0.1014945494060883	0.2933247535984675	0.5712778348409691	0.890821094853667	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	t_cell_like marker-classified duodenum	hla_ii_apc	donor_mean_z_score_marker_compartment	4	2	0.1189710281839624	0.9490712333864249	0.2509531202917918	0.7809329152755746	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	epithelial_like marker-classified duodenum	ifn_apc	donor_mean_z_score_marker_compartment	4	2	0.3883416309082801	1.2038093105831928	0.0956087964959915	0.7809329152755746	trend	1.0
celiac disease	GSE315138	single_cell_marker_compartment	b_plasma_like marker-classified duodenum	ifn_apc	donor_mean_z_score_marker_compartment	4	2	0.2239035652169962	0.6893037887831713	0.2320559740902329	0.7809329152755746	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	myeloid_apc_like marker-classified duodenum	ifn_apc	donor_mean_z_score_marker_compartment	4	2	0.0393544184569278	0.7891563363172982	0.1850710337956456	0.7809329152755746	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	stromal_endothelial_like marker-classified duodenum	ifn_apc	donor_mean_z_score_marker_compartment	4	2	0.0810541967988464	0.3622633118392326	0.630840293884066	0.890821094853667	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	t_cell_like marker-classified duodenum	ifn_apc	donor_mean_z_score_marker_compartment	4	2	-0.0838548651655207	-0.4844700884982293	0.7228158849132151	0.8911428718108132	null_or_negative	0.0
celiac disease	GSE315138	single_cell_marker_compartment	b_plasma_like marker-classified duodenum	inflammatory_nfkb	donor_mean_z_score_marker_compartment	4	2	0.1507131346314198	1.3620725480606564	0.1169783522394994	0.7809329152755746	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	epithelial_like marker-classified duodenum	inflammatory_nfkb	donor_mean_z_score_marker_compartment	4	2	0.0457496438612799	0.4654877546048812	0.7027588637178929	0.890821094853667	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	myeloid_apc_like marker-classified duodenum	inflammatory_nfkb	donor_mean_z_score_marker_compartment	4	2	0.2415293929153609	0.9231990638303392	0.1424122324072371	0.7809329152755746	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	stromal_endothelial_like marker-classified duodenum	inflammatory_nfkb	donor_mean_z_score_marker_compartment	4	2	0.0974592533680636	0.8710982556676385	0.3560722672519594	0.8433290540177987	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	t_cell_like marker-classified duodenum	inflammatory_nfkb	donor_mean_z_score_marker_compartment	4	2	-0.0409123975447575	-0.2360787728816804	0.8616065008815335	0.945665671699244	null_or_negative	0.0
celiac disease	GSE315138	single_cell_marker_compartment	myeloid_apc_like marker-classified duodenum	lipid_loader_repair	donor_mean_z_score_marker_compartment	4	2	0.1357967854652966	1.1717467531960215	0.0844665448845016	0.7809329152755746	trend	1.0
celiac disease	GSE315138	single_cell_marker_compartment	b_plasma_like marker-classified duodenum	lipid_loader_repair	donor_mean_z_score_marker_compartment	4	2	0.0309127564958839	0.8081127346593239	0.1795241100164508	0.7809329152755746	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	epithelial_like marker-classified duodenum	lipid_loader_repair	donor_mean_z_score_marker_compartment	4	2	0.0519347353314173	0.6550200270698731	0.2985276038771715	0.7902201279101598	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	stromal_endothelial_like marker-classified duodenum	lipid_loader_repair	donor_mean_z_score_marker_compartment	4	2	0.0063793107612125	0.0783975974175246	0.8956958461315659	0.9596741208552492	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	t_cell_like marker-classified duodenum	lipid_loader_repair	donor_mean_z_score_marker_compartment	4	2	0.0128971334342493	0.1611831809267236	0.7939035681897102	0.9225910381116206	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	epithelial_like marker-classified duodenum	lysosomal_apc	donor_mean_z_score_marker_compartment	4	2	0.0019675089146127	0.0148582647482991	0.9908061981157454	0.9908061981157454	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	myeloid_apc_like marker-classified duodenum	lysosomal_apc	donor_mean_z_score_marker_compartment	4	2	0.0466878677785165	0.2800784019500299	0.6562184165041097	0.890821094853667	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	stromal_endothelial_like marker-classified duodenum	lysosomal_apc	donor_mean_z_score_marker_compartment	4	2	0.0128050694606177	0.1040564056791093	0.933098340317852	0.9704720426171084	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	b_plasma_like marker-classified duodenum	lysosomal_apc	donor_mean_z_score_marker_compartment	4	2	-0.0008762322190708	-0.0136684397324034	0.9872732886196984	0.9908061981157454	null_or_negative	0.0
celiac disease	GSE315138	single_cell_marker_compartment	t_cell_like marker-classified duodenum	lysosomal_apc	donor_mean_z_score_marker_compartment	4	2	-0.1075823404118515	-0.857597252858978	0.5527897668571792	0.890821094853667	null_or_negative	0.0
celiac disease	GSE315138	single_cell_marker_compartment	epithelial_like marker-classified duodenum	mif_cd74_receptor_state	donor_mean_z_score_marker_compartment	4	2	0.4731839531570336	2.090946488221879	0.0164448410155086	0.7400178456978875	trend	1.0
celiac disease	GSE315138	single_cell_marker_compartment	b_plasma_like marker-classified duodenum	mif_cd74_receptor_state	donor_mean_z_score_marker_compartment	4	2	0.4588787263388331	0.7827649563781689	0.188870474825488	0.7809329152755746	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	myeloid_apc_like marker-classified duodenum	mif_cd74_receptor_state	donor_mean_z_score_marker_compartment	4	2	0.1633470977365826	0.645648169358948	0.5555078380051329	0.890821094853667	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	stromal_endothelial_like marker-classified duodenum	mif_cd74_receptor_state	donor_mean_z_score_marker_compartment	4	2	0.0811486473462826	0.2848609381933214	0.5814537087712643	0.890821094853667	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	t_cell_like marker-classified duodenum	mif_cd74_receptor_state	donor_mean_z_score_marker_compartment	4	2	0.0807603715395715	0.6840206474200126	0.6387638141726477	0.890821094853667	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	b_plasma_like marker-classified duodenum	mixscale_validated_ifng_readout	donor_mean_z_score_marker_compartment	4	2	0.1683764111704936	0.6468902738777504	0.2703511144972398	0.7809329152755746	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	epithelial_like marker-classified duodenum	mixscale_validated_ifng_readout	donor_mean_z_score_marker_compartment	4	2	0.3217888882570758	1.0171895012995118	0.2247319126723959	0.7809329152755746	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	myeloid_apc_like marker-classified duodenum	mixscale_validated_ifng_readout	donor_mean_z_score_marker_compartment	4	2	0.1356313564355385	0.8056872423589438	0.2240299985141207	0.7809329152755746	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	stromal_endothelial_like marker-classified duodenum	mixscale_validated_ifng_readout	donor_mean_z_score_marker_compartment	4	2	0.0865703422810072	0.4494038864154365	0.5924245898739688	0.890821094853667	positive_null	0.25
celiac disease	GSE315138	single_cell_marker_compartment	t_cell_like marker-classified duodenum	mixscale_validated_ifng_readout	donor_mean_z_score_marker_compartment	4	2	-0.0448283541042215	-0.3108200963759779	0.8269006713750414	0.9412308181532252	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	complement_phagocytosis	donor_mean_z_score	3	3	0.0964625874031953	1.5371558728873682	0.1347835685439818	0.2854240275049026	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	complement_phagocytosis	donor_mean_z_score	3	3	0.000232395049363	0.0006866962322388	0.99924705276944	0.99924705276944	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	hif_nampt_metabolic	donor_mean_z_score	3	3	0.093342986343727	0.6551892051342723	0.4143430587307385	0.5513981645318531	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	hif_nampt_metabolic	donor_mean_z_score	3	3	-0.0749159232156153	-0.349142990927604	0.6431158342772476	0.7212215289516322	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	hla_ii_apc	donor_mean_z_score	3	3	0.3658192373547676	1.718587230144049	0.1184419791909792	0.2637470876830052	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	hla_ii_apc	donor_mean_z_score	3	3	0.2687575984952437	1.0140460103650315	0.2149974076488834	0.3715155204172706	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	ifn_apc	donor_mean_z_score	3	3	0.4486075746271026	2.8166329722314063	0.0197458450007825	0.0913585065286465	supportive	2.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	ifn_apc	donor_mean_z_score	3	3	0.4594530720844392	1.4693730028012817	0.1414058653649846	0.2908920658936826	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	inflammatory_nfkb	donor_mean_z_score	3	3	-0.070098039884861	-0.4139168244857517	0.5623064774097116	0.6710397741463963	null_or_negative	0.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	inflammatory_nfkb	donor_mean_z_score	3	3	-0.2783996165566724	-1.121159747412691	0.1914247915355892	0.3445646247640605	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	lipid_loader_repair	donor_mean_z_score	3	3	0.1615659099636564	1.1540758309108896	0.1767490888072681	0.3278614301073529	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	lipid_loader_repair	donor_mean_z_score	3	3	-0.0367036892971023	-0.3189008011198192	0.6583481322619179	0.7288333204522691	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	lysosomal_apc	donor_mean_z_score	3	3	0.2034671491911926	2.5191850489751637	0.0554967115160182	0.1556790868501292	trend	1.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	lysosomal_apc	donor_mean_z_score	3	3	0.1063870284390423	0.6999346059402902	0.3817309800159223	0.5319605915060596	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	mif_cd74_receptor_state	donor_mean_z_score	3	3	0.385680484148362	1.28706265958997	0.1597256786171222	0.3133107139383278	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	mif_cd74_receptor_state	donor_mean_z_score	3	3	0.0879500765288029	0.3479005769781933	0.6231463124892689	0.7104915709803006	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	mixscale_validated_ifng_readout	donor_mean_z_score	3	3	0.2991575813226255	2.384171098288316	0.0313653823827931	0.1168090102531608	trend	1.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	mixscale_validated_ifng_readout	donor_mean_z_score	3	3	0.3830007003184595	1.5381579488673558	0.138164372528311	0.2869567737126461	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	complement_phagocytosis	donor_mean_z_score	18	18	0.016549704856915	0.2664296455191392	0.4213286370512969	0.5513981645318531	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	hif_nampt_metabolic	donor_mean_z_score	18	18	-0.0050627495290292	-0.0327112224240176	0.9206639385261643	0.9469686224840548	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	hla_ii_apc	donor_mean_z_score	18	18	-0.0677871166801269	-0.4501143195555912	0.1763763141520127	0.3278614301073529	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	ifn_apc	donor_mean_z_score	18	18	-0.0459781417814682	-0.2490100369450255	0.4503055021645724	0.5721528733385155	null_or_negative	0.0
