disease	dataset	modality	compartment	gene	metric	n_case	n_control	delta	hedges_g	p	fdr	support_level	support_score
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	C1QA	donor_mean_z_score	3	3	0.0138203526811071	0.0218186716079091	0.9761989429006092	1.0	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	C1QA	donor_mean_z_score	18	18	-0.0014834650164835	-0.0206862635593032	0.9498126324942828	0.9828295631307048	null_or_negative	0.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	C1QA	donor_mean_z_score	3	19	0.126926572518964	1.3136764798893523	0.4604628242107271	0.7144150484724008	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	C1QA	donor_mean_z_score	5	19	0.0317601118405784	0.5288903771459105	0.3263675380060589	0.6538120058436172	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	C1QA	donor_mean_z_score	5	18	-0.0085673332431625	-0.1423338229768788	0.6806089459805258	0.8384787784938142	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	C1QA	donor_mean_z_score	6	6	0.0			1.0	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	C1QA	donor_mean_z_score	6	6	-0.504280607266968	-1.6844854821438648	0.0128353098592782	0.2115464453984163	negative_trend	-1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	C1QB	donor_mean_z_score	6	6	0.0032392388495092	0.0626776575054556	0.9087531854339465	0.95943254514824	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	C1QB	donor_mean_z_score	6	6	-0.2013230387276405	-0.5006849343233203	0.3701066369875017	0.6710148659263487	null_or_negative	0.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	C1QB	log2_expression	10	11	-0.6194027951632819	-1.0162821663895538	0.0267818944347562	0.2084781797654941	negative_trend	-1.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	C1QB	donor_mean_z_score	11	14	0.0609830300820812	1.191191928487954	0.0173308688225442	0.2115464453984163	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	C1QB	donor_mean_z_score	9	13	0.01791686050704	0.0674074708841309	0.8669800563305327	0.9387848745970312	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	C1QB	donor_mean_z_score	3	3	0.1389738904277045	0.7355317343937606	0.3691166652412245	0.6710148659263487	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	C1QB	donor_mean_z_score	3	3	0.289413305705243	0.4077574402726678	0.5878202321174094	0.8021427474523284	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	C1QB	donor_mean_z_score	18	18	0.043325132391041	0.3660640477319591	0.2741723747260613	0.6074374956708933	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	C1QB	donor_mean_z_score	5	18	0.0005349920076674	0.010427832737504	0.98155984660829	1.0	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	C1QB	donor_mean_z_score	3	19	0.1048620830095552	0.9942505010039026	0.5085315810500096	0.7405238040318683	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	C1QB	donor_mean_z_score	5	19	0.0511670141476057	0.3556446490450373	0.5272600660176813	0.7559173349292888	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	C1QB	donor_mean_z_score	6	6	-0.0144579220368162	-0.2618654200535971	0.6344153920989712	0.8180336240334876	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	C1QB	donor_mean_z_score	6	6	-0.4453196867060037	-1.3832237595822208	0.0288566148600944	0.2512684831355159	negative_trend	-1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	C1QC	donor_mean_z_score	6	6	0.0455742512325136	0.70209111764145	0.2288481397634614	0.5706208888649865	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	C1QC	donor_mean_z_score	6	6	-0.2655105567947184	-0.7372638040768134	0.1966557461042276	0.5506749491637378	null_or_negative	0.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	C1QC	log2_expression	10	11	-0.5091140011096105	-0.7024433059007789	0.1227617549928257	0.3177363070402549	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	C1QC	donor_mean_z_score	11	14	0.0191914626339828	0.4227585771847725	0.3017957796526487	0.6318108940969792	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	C1QC	donor_mean_z_score	9	13	-0.0752716859637341	-0.2165730463448613	0.5923163158006152	0.8039924541090004	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	C1QC	donor_mean_z_score	3	3	0.1204925286564469	0.7113163198021901	0.3803871118881532	0.6734377637853889	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	C1QC	donor_mean_z_score	3	3	-0.0203289189562619	-0.0336231792980434	0.9623877137802428	0.9902381620889956	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	C1QC	donor_mean_z_score	18	18	0.0472617303325448	0.5120290890392508	0.1326023797502709	0.4662940826383155	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	C1QC	donor_mean_z_score	3	19	0.0428273035205017	0.5415317360887664	0.6151166453954426	0.808389386477243	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	C1QC	donor_mean_z_score	5	18	-0.0104827479259237	-0.2183211777202083	0.5042680457201465	0.7393620830719215	null_or_negative	0.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	C1QC	donor_mean_z_score	5	19	-0.1492719686331247	-0.2180268477750121	0.3912551388170932	0.6806166418957331	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	C1QC	donor_mean_z_score	6	6	-0.0153251422141003	-0.3781066734499476	0.4943687097428684	0.7349499982240089	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	C1QC	donor_mean_z_score	6	6	-0.4628302614482484	-1.4827156113435254	0.0215910708603541	0.2278630381639821	negative_trend	-1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CCL2	donor_mean_z_score	6	6	-0.0372582431789484	-0.6557320126272997	0.2467679006510924	0.5806303544731586	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CCL2	donor_mean_z_score	6	6	-0.1717140899540171	-0.5210897599317056	0.3633672756464348	0.6697088274008902	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CCL2	donor_mean_z_score	9	13	0.0354705408152248	0.1245898836172465	0.769981706112096	0.8909259431450516	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CCL2	donor_mean_z_score	11	14	0.0170106028045885	0.3781470587278056	0.364154174899234	0.6697088274008902	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	CCL2	donor_mean_z_score	3	3	-0.0123766046238328	-0.0505022382940733	0.9438670569180128	0.9790517284076632	null_or_negative	0.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	CCL2	donor_mean_z_score	3	3	-0.4568431755374612	-2.0045175121934107	0.0768457177844037	0.3611851485441884	negative_trend	-1.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CCL2	donor_mean_z_score	18	18	0.0246501788534881	0.2894325884352273	0.3826293914404512	0.6755387876465898	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CCL2	donor_mean_z_score	5	18	2.022364874040143	2.44099535006968	0.0567206748602587	0.3345735659959961	trend	1.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CCL2	donor_mean_z_score	5	19	0.8951274802889757	1.3335841815338818	0.0877378242998999	0.3903993046313901	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CCL2	donor_mean_z_score	3	19	2.1695276879856356	2.955022906144594	0.1990358311796547	0.5514412638743681	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CCL2	donor_mean_z_score	6	6	-0.1412279578236497	-0.4291739924370184	0.4493901211260839	0.7051297690354336	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CCL2	donor_mean_z_score	6	6	-0.062577515561422	-1.431408382110487	0.0300291310796516	0.2524236222046254	negative_trend	-1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CCL3	donor_mean_z_score	6	6	0.1227258559940045	0.7606899565139654	0.1949875753584684	0.5496916006937076	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CCL3	donor_mean_z_score	6	6	0.5382149643920842	0.926344336841618	0.1324642930585667	0.4662940826383155	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CCL3	donor_mean_z_score	11	14	0.0203593311502197	0.6798026920591145	0.1214311829298771	0.4440911832864077	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CCL3	donor_mean_z_score	9	13	-0.0238756975661839	-0.1027420990908558	0.8172274847561982	0.912784625207621	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CCL3	donor_mean_z_score	18	18	-0.0148798349943076	-0.0679357938440659	0.836134958905901	0.9252905163970164	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CCL3	donor_mean_z_score	5	18	0.1846572210624427	1.8172754953871475	0.1004126025829307	0.427003758492197	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CCL3	donor_mean_z_score	3	19	0.2981698305141703	1.9181129584813257	0.3281862526357365	0.6538120058436172	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CCL3	donor_mean_z_score	5	19	0.1199568998734683	1.0227798005244713	0.221516765834948	0.5637007162400269	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CCL3	donor_mean_z_score	6	6	0.7825135294637364	1.3794483565731908	0.0406761063109529	0.2784246849091968	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CCL3	donor_mean_z_score	6	6	0.1943669952667738	0.9651076288965322	0.1171065047503567	0.4378572877174881	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CCL4	donor_mean_z_score	6	6	0.0968025450593393	0.6203341380538838	0.2732317595585332	0.6074374956708933	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CCL4	donor_mean_z_score	6	6	0.4816615735738357	0.7353757932586925	0.2187594153050643	0.560181718962771	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CCL4	donor_mean_z_score	11	14	0.039673784674182	0.8364748978161678	0.0527865368970358	0.3136933333952825	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CCL4	donor_mean_z_score	9	13	0.0533631573031515	0.2009791734223191	0.6489731105409224	0.8275351338681973	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CCL4	donor_mean_z_score	18	18	-0.0143666153649539	-0.0869397283556807	0.791275745715387	0.8986982737495077	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CCL4	donor_mean_z_score	5	18	0.1217781489325703	1.4860755841043762	0.1828048859639968	0.5317960318952636	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CCL4	donor_mean_z_score	3	19	0.1213528051205665	1.2271110197674953	0.3009991169340868	0.6318108940969792	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CCL4	donor_mean_z_score	5	19	0.0937406755497587	0.9779454821504828	0.3160175623874366	0.6461700956164839	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CCL4	donor_mean_z_score	6	6	0.6800412992769417	1.7018377124501096	0.0145127983697509	0.2115464453984163	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CCL4	donor_mean_z_score	6	6	0.2449053660459425	0.4770466564763183	0.4074446440760843	0.6880331720546016	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CD36	donor_mean_z_score	6	6	-0.0115176476907367	-0.2437847420858537	0.6584349115066189	0.8292524459469693	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CD36	donor_mean_z_score	6	6	-0.2264000523350479	-1.23317928667022	0.0474064137289167	0.3003970770941262	negative_trend	-1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CD36	donor_mean_z_score	9	13	-0.1386798415834174	-0.556050667751184	0.1790821015384225	0.525745619195369	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CD36	donor_mean_z_score	11	14	-0.0056995953432581	-0.1262388021418455	0.7423665501896031	0.8835713155663963	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	CD36	donor_mean_z_score	3	3	1.2975146068974075	1.4661136189360429	0.1538140875399615	0.4947628113505897	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	CD36	donor_mean_z_score	3	3	0.0954730797213059	0.2591451852214209	0.7249654581796843	0.8746048882846333	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CD36	donor_mean_z_score	18	18	-0.0107275329147782	-0.0554193196211986	0.8660183282762056	0.9386142762011374	null_or_negative	0.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CD36	donor_mean_z_score	3	19	0.2643759555465332	0.9255780162341456	0.3358047201316497	0.6538120058436172	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CD36	donor_mean_z_score	5	18	-0.0683326744725134	-0.2063691841308192	0.4403314448480265	0.7032857374264625	null_or_negative	0.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CD36	donor_mean_z_score	5	19	-0.0208732594175684	-0.1320515935154085	0.6340112727208935	0.8180336240334876	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CD36	donor_mean_z_score	6	6	-0.039550927872104	-1.0121085932314475	0.1159958897747457	0.4378572877174881	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CD36	donor_mean_z_score	6	6	-0.0485342626237722	-0.309398977428593	0.5852075017420768	0.800283763066088	null_or_negative	0.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CD44	donor_mean_z_score	6	6	0.3112429386786666	1.988691861826204	0.0102007932584245	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CD44	donor_mean_z_score	6	6	0.2083093229972557	0.502004329749951	0.3801744133649334	0.6734377637853889	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	CD44	sample_mean_log1p_cpm_gene	3	2	0.1581745004490969	1.0746298020816965	0.1704376518003147	0.2811133221822033	positive_null	0.25
