gene	n_contexts_compared	c15_trend_contexts_tested	c15_trend_positive_context_count	c15_trend_positive_disease_count	c15_trend_negative_context_count	c15_strict_positive_context_count	c15_strict_positive_disease_count	c15_myeloid_positive_context_count	c15_state_pearson_r	c15_state_pearson_p	c15_state_spearman_r	c15_state_spearman_p	best_c15_context_delta	best_c15_context	positive_c15_contexts	negative_c15_contexts	contrast_state_score	mechanistic_seed	ms_delta_log2	ms_p	ms_fdr	residual_strict_disease_count	residual_retained_disease_count	wave39_call	wave39_score	uniprot_accessible	chembl_activity_count	wave55_score	wave55_n_genetic_diseases_ge_0_25	wave55_genetic_diseases_ge_0_25	wave62_score	wave62_call	wave62_ms_max_l2g_score	wave62_ms_max_relevant_qtl_h4	wave62_strong_l2g_disease_count	wave62_strong_qtl_coloc_disease_count	manual_blocker	prior_context_blocker	w68_cell_state	w68_remission_adjusted_delta	w68_remission_adjusted_p	w68_remission_adjusted_fdr	w68_call	w37_screen_call	w37_contrast_lfc	w37_contrast_fdr	w18_strong_support_contexts	w18_recommendation	wave79_call	wave79_gate_count	wave94_call	wave94_score	wave95_call	gate_ms_anchor	gate_c15_contrast_state	gate_cross_disease_residual	gate_cell_response_or_transition	gate_real_perturbation	gate_foundation_support	gate_genetics	gate_modality	gate_prior_not_blocked	intervention_evidence_count	pre_donor_controller_score	candidate_for_donor_validation
AL390719.2	6	1	0	0	0	0	0	0	-0.4352686388377832	0.3883297761179912	-0.4285714285714286	0.3965014577259473					-0.8705372776755664	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.8705372776755664	False
TNFRSF18	17	7	0	0	2	0	0	0	0.5813913476126417	0.014370490590472056	0.5294117647058825	0.028855722586286218				t1d_ductal_cell;t1d_acinar_cell	-1.8372173047747167	False	-0.8040727267743861	0.487554488405558	0.926038761164836	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.1352180367631087	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-3.8372173047747165	False
TNFRSF4	17	7	1	1	0	0	0	1	0.2945865662018474	0.2510537128261392	0.43137254901960786	0.08383073912478922	1.5574994473903936	sjogren_gland_apc	sjogren_gland_apc		2.589173132403695	False	1.3576975710509442	0.1998018064134559	0.8993702893651148	0.0	0.0				0.0	2.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro	-2.062288269908209	0.0049701033438373	0.0223250554234005	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.2699168239099527	0.9965506589785832	0.0			0.0				False	False	False	True	False	False	False	False	True	1	4.089173132403695	False
SDF4	17	7	0	0	0	0	0	0	-0.3366555948351952	0.18639996014567198	-0.43627450980392163	0.07998887245986519					-0.6733111896703904	False	0.1311048760151933	0.3951563972400179	0.9157809859344704	0.0	0.0				0.0	0.0	0.0		1.5992405116865815	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	0.0	0.0	1.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.1903393801736617	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.6733111896703904	False
B3GALT6	17	7	0	0	0	0	0	0	-0.08532352981736839	0.7447301200201611	-0.10294117647058824	0.6942047830993175					-0.17064705963473678	False	-0.1288685269285858	0.6873647257029074	0.9632853705790064	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.3079151332699215	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.17064705963473678	False
C1QTNF12	16	6	0	0	0	0	0	0	-0.31267952685789113	0.23835019169846303	-0.39999999999999997	0.12475042359840005					-0.6253590537157823	False				0.0	0.0				0.0	0.0	0.0		0.6691600829362869	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.6253590537157823	False
UBE2J2	17	7	1	1	0	0	0	1	-0.4232620600265387	0.0904781458724135	-0.5147058823529412	0.03450769883204253	0.3088280344308316	sjogren_gland_apc	sjogren_gland_apc		1.1534758799469227	False	-0.1862868542586717	0.1963742334304221	0.8993702893651148	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.8575733579791605	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	1.1534758799469227	False
ACAP3	17	7	0	0	0	0	0	0	-0.015262951996781876	0.9536369344700532	-0.08088235294117649	0.7576329086921563					-0.030525903993563752	False	-0.6483606996219553	0.0140889842496983	0.8372898579012464	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.2613896321349247	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.030525903993563752	False
PUSL1	17	7	0	0	1	0	0	0	-0.6311429702259916	0.006587977983044728	-0.4534313725490197	0.06754818013371677				ibd_uc_myeloid	-2.7622859404519833	False	-0.7073598757483435	0.3491639196909719	0.9141270983319502	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.4491841891110797	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-3.7622859404519833	False
INTS11	17	7	1	1	0	1	1	0	0.25064728787399576	0.3318783935540562	0.19117647058823534	0.46232612062451384	0.8027283405663876	t1d_endothelial_cell	t1d_endothelial_cell		3.0012945757479916	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	3.0012945757479916	False
CPTP	17	7	0	0	0	0	0	0	-0.21228640594889847	0.41335970442242875	-0.1936274509803922	0.4564969285487544					-0.42457281189779694	False	0.0529501834216086	0.9001244921077968	0.9847765493328272	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.0433738908309908	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.42457281189779694	False
DVL1	17	7	0	0	3	0	0	0	-0.5756495731914938	0.015605088062633598	-0.5514705882352942	0.0217465796864236				ibd_uc_myeloid;t1d_ductal_cell;t1d_stellate_cell	-5.651299146382987	False	-0.1890684581096398	0.3268840836710386	0.9134694525902012	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro	1.0760588611909847	0.0303507118383965	0.046648531667363	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.1791742723430285	0.920009505703422	0.0			0.0				False	False	False	True	False	False	False	False	True	1	-7.151299146382987	False
AURKAIP1	17	7	0	0	0	0	0	0	-0.3869361096902405	0.12494368485603793	-0.4436274509803922	0.07446849073261598					-0.773872219380481	False	-0.5364223148317873	0.0553979286268347	0.8970403311200527	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.2807980733281204	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.773872219380481	False
CCNL2	17	7	0	0	1	0	0	0	-0.08118840372540162	0.7567417648621907	-0.232843137254902	0.368459654854376				t1d_ductal_cell	-1.6623768074508032	False	-0.3476673298619239	0.0113826758630583	0.8349413280632139	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.0643749418222656	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-2.662376807450803	False
MRPL20	17	7	2	2	0	0	0	1	-0.6970709997081701	0.0018713503860532193	-0.7083333333333334	0.0014610497738465633	0.3785787932117639	t1d_acinar_cell	sjogren_gland_apc;t1d_acinar_cell		1.6058580005836598	False	-0.2328634201288508	0.408715885521716	0.9176134990426956	0.0	0.0				0.0	0.0	0.0		1.5585576109588146	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.7475027710567426	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	1.6058580005836598	False
AL391244.3	5	1	0	0	0	0	0	0	0.7428276405676562	0.15037081643581773	0.7999999999999999	0.10408803866182788					1.4856552811353123	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0										1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	1.4856552811353123	False
ANKRD65	15	7	0	0	1	0	0	0	0.06028638468737471	0.8309955519742105	0.06071428571428571	0.8298120954425187				sjogren_gland_apc	-1.3794272306252506	False	-0.6101658107720813	0.5473277524655723	0.9390010612097776	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-2.3794272306252506	False
VWA1	16	6	0	0	0	0	0	0	-0.42304923251030946	0.10254001323094526	-0.4647058823529412	0.06974367557375588					-0.8460984650206189	False	-0.6632806246945302	0.5787067062813939	0.9448060117996906	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.5250213142665482	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.8460984650206189	False
ATAD3C	17	7	2	1	0	1	1	0	0.37119598639817275	0.1423985519036925	0.46813725490196084	0.058071924895836145	0.989779036142379	t1d_ductal_cell	t1d_ductal_cell;t1d_stellate_cell		4.242391972796345	False	0.5399311739112274	0.6043259471404403	0.9467974668802988	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	4.242391972796345	False
ATAD3B	17	7	1	1	0	1	1	0	-0.19132986443181274	0.461960215065992	-0.286764705882353	0.2644463470710112	1.1275246881268677	t1d_endothelial_cell	t1d_endothelial_cell		2.1173402711363747	False	-0.0569538696347144	0.724885161785904	0.9677805697088556	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	2.1173402711363747	False
ATAD3A	17	7	0	0	1	0	0	0	-0.2660715222236807	0.30196044135646116	-0.34313725490196084	0.17753073968099276				t1d_ductal_cell	-2.0321430444473614	False	-0.0128541819932586	0.9669180747437408	0.9968305115940588	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.0424417420248081	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-3.0321430444473614	False
SSU72	17	7	1	1	1	0	0	1	-0.6233089777466443	0.007512015776122803	-0.6053921568627452	0.010017774633180295	0.5197459842331842	sjogren_gland_apc	sjogren_gland_apc	ibd_uc_myeloid	-0.7466179554932886	False	-0.1646916992551528	0.4874051905934797	0.926038761164836	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.0316628535093592	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-1.7466179554932886	False
AL645728.1	9	2	0	0	0	0	0	0	-0.032907119801783194	0.9330226314084515	-0.016666666666666666	0.9660548039946862					-0.06581423960356639	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0										1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.06581423960356639	False
FNDC10	17	7	0	0	0	0	0	0	-0.5223896222763162	0.03145794940139245	-0.6102941176470589	0.00927433765845062					-1.0447792445526325	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-1.0447792445526325	False
AL691432.2	9	2	0	0	2	0	0	0	-0.5837390818637415	0.09889387205370564	-0.4666666666666666	0.2053863511058121				ibd_crohn_myeloid;ibd_uc_myeloid	-4.167478163727483	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-6.167478163727483	False
MIB2	17	7	0	0	0	0	0	0	-0.20672912920881387	0.42597512668583387	-0.2377450980392157	0.35817139991630287					-0.41345825841762773	False	-0.297316841656384	0.1105474310067381	0.8989378106274888	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.1577761347601489	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.41345825841762773	False
MMP23B	17	7	2	1	0	1	1	0	0.11112945452876537	0.6711158493547906	0.12500000000000003	0.6326406085600336	1.7512523991909648	t1d_ductal_cell	t1d_ductal_cell;t1d_endothelial_cell		3.7222589090575307	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	3.7222589090575307	False
CDK11B	17	7	1	1	1	0	0	0	-0.34734339827278154	0.1719283815066112	-0.27450980392156865	0.286298378658792	0.5261283779171935	t1d_acinar_cell	t1d_acinar_cell	ibd_crohn_myeloid	-1.1946867965455632	False	-0.2158198965897391	0.2332636469302192	0.9004758652001262	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.429926939874881	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-2.194686796545563	False
FO704657.1	8	2	0	0	2	0	0	0	-0.9363613782147344	0.0006139596646662908	-0.880952380952381	0.0038503204637324023				ibd_crohn_myeloid;ibd_uc_myeloid	-4.872722756429469	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-6.872722756429469	False
SLC35E2B	17	7	2	1	0	1	1	0	0.3191174316135227	0.2118498812146572	0.28921568627450983	0.2602032490665048	1.8294908243509171	t1d_endothelial_cell	t1d_ductal_cell;t1d_endothelial_cell		4.138234863227045	False	0.0738074880717043	0.7727633814032377	0.9733233960040236	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	4.138234863227045	False
CDK11A	17	7	0	0	2	0	0	0	-0.15484352221424397	0.552910813248282	-0.13480392156862747	0.6059663630124607				ibd_crohn_myeloid;sjogren_gland_apc	-3.309687044428488	False	-0.6982361594418496	0.1909172850361825	0.8993702893651148	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-5.309687044428488	False
SLC35E2A	17	7	3	1	0	1	1	0	0.3511935293544104	0.16690516550179718	0.34068627450980393	0.18085079957050132	2.3154269725108403	t1d_endothelial_cell	t1d_ductal_cell;t1d_acinar_cell;t1d_endothelial_cell		5.202387058708821	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	5.202387058708821	False
NADK	17	7	0	0	0	0	0	0	0.09184358538247016	0.7259042104161423	0.012254901960784315	0.9627675753886974					0.18368717076494032	False	-0.0614192906105248	0.7039188493960347	0.9654368616656808	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.1861271021378781	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	0.18368717076494032	False
GNB1	17	7	0	0	1	0	0	0	0.5328816073165167	0.027632725857181042	0.465686274509804	0.05957824210811781				t1d_ductal_cell	-0.43423678536696664	False	0.2616171504580595	0.0375965502471118	0.8506970233122761	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.3040752966028853	0.9965506589785832	0.0			0.0				True	False	False	False	False	False	False	False	True	0	0.5657632146330334	False
GABRD	14	6	0	0	0	0	0	0	-0.1609823386819825	0.5824636311471981	-0.05054945054945055	0.8637420361792153					-0.321964677363965	False	-1.716712396330863	0.0609583311141356	0.8989378106274888	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.6814755213032421	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.321964677363965	False
PRKCZ	17	7	0	0	0	0	0	0	0.1927365777134999	0.45861140741686374	0.03186274509803922	0.9033768447188891					0.3854731554269998	False	0.0460386969055068	0.952347066787484	0.995164089398724	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.0514457511364289	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	0.3854731554269998	False
AL590822.2	9	2	0	0	0	0	0	0	0.2803277499019074	0.46500887008934966	0.3	0.43284532670948234					0.5606554998038148	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	0.5606554998038148	False
FAAP20	17	7	1	1	0	1	1	1	-0.17246360605134664	0.5080287439371945	-0.36274509803921573	0.15242989215413402	1.5574329673613088	ibd_crohn_myeloid	ibd_crohn_myeloid		3.1550727878973066	False	-0.4777283972491783	0.1529543268397991	0.8989378106274888	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	3.1550727878973066	False
SKI	17	7	0	0	1	0	0	0	-0.2288564851385229	0.3769468661111448	-0.03431372549019608	0.8959808104551742				t1d_endothelial_cell	-1.9577129702770457	False	-0.2038363556166107	0.2604753569333518	0.9049965616313804	0.0	0.0				0.0	5.0	1.0	RA	0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.2011977395967539	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-2.9577129702770457	False
MORN1	17	7	1	1	0	0	0	0	0.16856210925349674	0.5178166450094644	0.2034313725490196	0.4335552308263205	0.5532765497390855	t1d_ductal_cell	t1d_ductal_cell		1.3371242185069936	False	-0.8619448920574468	0.3426582742962222	0.9141270983319502	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.2378056377530303	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	1.3371242185069936	False
RER1	17	7	1	1	0	1	1	1	-0.12417886124255698	0.6348948830302951	-0.24264705882352944	0.3480470322955878	0.9134009680162514	ibd_crohn_myeloid	ibd_crohn_myeloid		3.251642277514886	False	-0.3371518397194855	0.0882206625961268	0.8989378106274888	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.1390216761419407	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	3.251642277514886	False
PEX10	17	7	0	0	1	0	0	0	-0.6924861152058442	0.0020633948324607944	-0.7034313725490197	0.0016294297517689058				ibd_uc_myeloid	-2.8849722304116883	False	-1.09207727664624	0.3000156304851232	0.9075477698307116	0.0	0.0				0.0	0.0	0.0		0.7942596077919006	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.0466691022182826	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-3.8849722304116883	False
PANK4	14	7	3	1	0	2	1	0	0.6063437651633247	0.02151865455202809	0.6439560439560439	0.01294215255932295	2.651172888796082	t1d_stellate_cell	t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell		5.712687530326649	False	-0.1483751902092986	0.3651930181638538	0.9141270983319502	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	5.712687530326649	False
