gene	routes	target_chembl_id	pref_name	target_type	organism	accessions	gene_symbols	chembl_search_hit_count	chembl_activity_records_nM	chembl_search_url	chembl_activity_url	api_status
HCAR2	scfa_ffar_hcar	CHEMBL3785	Hydroxycarboxylic acid receptor 2	SINGLE PROTEIN	Homo sapiens	Q8TDS4	HCAR2	3	1210	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=HCAR2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3785	target=ok;activity=ok
S1PR4	s1p_receptors	CHEMBL3230	Sphingosine 1-phosphate receptor 4	SINGLE PROTEIN	Homo sapiens	O95977	S1PR4	2	1187	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=S1PR4	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3230	target=ok;activity=ok
PTGDR	eicosanoid_receptors	CHEMBL4427	Prostaglandin D2 receptor	SINGLE PROTEIN	Homo sapiens	Q13258	PTGDR	2	1129	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PTGDR	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4427	target=ok;activity=ok
CYP1B1	ahr_tryptophan	CHEMBL4878	Cytochrome P450 1B1	SINGLE PROTEIN	Homo sapiens	Q16678	CYP1B1	4	884	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CYP1B1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4878	target=ok;activity=ok
RARA	retinoid_vdr_rxr	CHEMBL2055	Retinoic acid receptor alpha	SINGLE PROTEIN	Homo sapiens	P10276	RARA	8	883	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=RARA	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2055	target=ok;activity=ok
RARG	retinoid_vdr_rxr	CHEMBL2003	Retinoic acid receptor gamma	SINGLE PROTEIN	Homo sapiens	P13631	RARG	6	853	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=RARG	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2003	target=ok;activity=ok
AHR	ahr_tryptophan	CHEMBL3201	Aryl hydrocarbon receptor	SINGLE PROTEIN	Homo sapiens	P35869	AHR	6	845	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=AHR	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3201	target=ok;activity=ok
S1PR5	s1p_receptors	CHEMBL2274	Sphingosine 1-phosphate receptor 5	SINGLE PROTEIN	Homo sapiens	Q9H228	S1PR5	2	842	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=S1PR5	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2274	target=ok;activity=ok
RARB	retinoid_vdr_rxr	CHEMBL2008	Retinoic acid receptor beta	SINGLE PROTEIN	Homo sapiens	P10826	RARB	5	838	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=RARB	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2008	target=ok;activity=ok
PTGIR	eicosanoid_receptors	CHEMBL1995	Prostacyclin receptor	SINGLE PROTEIN	Homo sapiens	P43119	PTGIR	2	814	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PTGIR	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL1995	target=ok;activity=ok
CYP1A1	ahr_tryptophan	CHEMBL2231	Cytochrome P450 1A1	SINGLE PROTEIN	Homo sapiens	P04798	CYP1A1	7	797	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CYP1A1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2231	target=ok;activity=ok
SGPL1	s1p_receptors	CHEMBL3286061	Sphingosine-1-phosphate lyase 1	SINGLE PROTEIN	Homo sapiens	O95470	SGPL1	3	778	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SGPL1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3286061	target=ok;activity=ok
PTGFR	eicosanoid_receptors	CHEMBL1987	Prostaglandin F2-alpha receptor	SINGLE PROTEIN	Homo sapiens	P43088	PTGFR	5	728	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PTGFR	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL1987	target=ok;activity=ok
SPHK1	s1p_receptors	CHEMBL4394	Sphingosine kinase 1	SINGLE PROTEIN	Homo sapiens	Q9NYA1	SPHK1	6	710	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SPHK1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4394	target=ok;activity=ok
LTB4R	eicosanoid_receptors	CHEMBL3911	Leukotriene B4 receptor 1	SINGLE PROTEIN	Homo sapiens	Q15722	LTB4R	7	647	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LTB4R	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3911	target=ok;activity=ok
SPHK2	s1p_receptors	CHEMBL3023	Sphingosine kinase 2	SINGLE PROTEIN	Homo sapiens	Q9NRA0	SPHK2	5	494	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SPHK2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3023	target=ok;activity=ok
RXRB	ppar_lxr_lipid_nuclear;retinoid_vdr_rxr	CHEMBL1870	Retinoic acid receptor RXR-beta	SINGLE PROTEIN	Homo sapiens	P28702	RXRB	6	486	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=RXRB	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL1870	target=ok;activity=ok
RXRG	ppar_lxr_lipid_nuclear;retinoid_vdr_rxr	CHEMBL2004	Retinoic acid receptor RXR-gamma	SINGLE PROTEIN	Homo sapiens	P48443	RXRG	6	450	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=RXRG	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2004	target=ok;activity=ok
GPR183	eicosanoid_receptors	CHEMBL3259470	G-protein coupled receptor 183	SINGLE PROTEIN	Homo sapiens	P32249	GPR183	3	396	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=GPR183	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3259470	target=ok;activity=ok
KMO	ahr_tryptophan	CHEMBL2145	Kynurenine 3-monooxygenase	SINGLE PROTEIN	Homo sapiens	O15229	KMO	4	350	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=KMO	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2145	target=ok;activity=ok
CYSLTR1	eicosanoid_receptors	CHEMBL1798	Cysteinyl leukotriene receptor 1	SINGLE PROTEIN	Homo sapiens	Q9Y271	CYSLTR1	5	295	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CYSLTR1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL1798	target=ok;activity=ok
LTB4R2	eicosanoid_receptors	CHEMBL3191	Leukotriene B4 receptor 2	SINGLE PROTEIN	Homo sapiens	Q9NPC1	LTB4R2	3	158	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LTB4R2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3191	target=ok;activity=ok
HCAR3	scfa_ffar_hcar	CHEMBL4421	Hydroxycarboxylic acid receptor 3	SINGLE PROTEIN	Homo sapiens	P49019	HCAR3	1	144	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=HCAR3	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4421	target=ok;activity=ok
IDO2	ahr_tryptophan	CHEMBL3627587	Indoleamine 2,3-dioxygenase 2	SINGLE PROTEIN	Homo sapiens	Q6ZQW0	IDO2	2	144	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=IDO2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3627587	target=ok;activity=ok
ALDH1A3	retinoid_vdr_rxr	CHEMBL3579	Retinaldehyde dehydrogenase 3	SINGLE PROTEIN	Homo sapiens	P47895	ALDH1A3	2	139	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ALDH1A3	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3579	target=ok;activity=ok
CYP24A1	retinoid_vdr_rxr	CHEMBL4521	1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial	SINGLE PROTEIN	Homo sapiens	Q07973	CYP24A1	2	136	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CYP24A1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4521	target=ok;activity=ok
FFAR3	scfa_ffar_hcar	CHEMBL5201	Free fatty acid receptor 3	SINGLE PROTEIN	Homo sapiens	O14843	FFAR3	3	127	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=FFAR3	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5201	target=ok;activity=ok
CYSLTR2	eicosanoid_receptors	CHEMBL4330	Cysteinyl leukotriene receptor 2	SINGLE PROTEIN	Homo sapiens	Q9NS75	CYSLTR2	3	115	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CYSLTR2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4330	target=ok;activity=ok
OXER1	eicosanoid_receptors	CHEMBL1628461	Oxoeicosanoid receptor 1	SINGLE PROTEIN	Homo sapiens	Q8TDS5	OXER1	1	98	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=OXER1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL1628461	target=ok;activity=ok
ALDH1A2	retinoid_vdr_rxr	CHEMBL3112384	Retinal dehydrogenase 2	SINGLE PROTEIN	Homo sapiens	O94788	ALDH1A2	3	94	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ALDH1A2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3112384	target=ok;activity=ok
KYNU	ahr_tryptophan	CHEMBL5100	Kynureninase	SINGLE PROTEIN	Homo sapiens	Q16719	KYNU	2	20	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=KYNU	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5100	target=ok;activity=ok
CYP27B1	retinoid_vdr_rxr	CHEMBL5993	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial	SINGLE PROTEIN	Homo sapiens	O15528	CYP27B1	2	10	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CYP27B1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5993	target=ok;activity=ok
NR0B2	bile_acid_fxr_tgr5	CHEMBL5603	Nuclear receptor subfamily 0 group B member 2	SINGLE PROTEIN	Homo sapiens	Q15466	NR0B2	1	4	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NR0B2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5603	target=ok;activity=ok
ABCA1	ppar_lxr_lipid_nuclear	CHEMBL2362986	Phospholipid-transporting ATPase ABCA1	SINGLE PROTEIN	Homo sapiens	O95477	ABCA1	2	3	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ABCA1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2362986	target=ok;activity=ok
HAAO	ahr_tryptophan	CHEMBL3108657	3-hydroxyanthranilate 3,4-dioxygenase	SINGLE PROTEIN	Homo sapiens	P46952	HAAO	2	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=HAAO	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3108657	target=ok;activity=ok
ABCG1	ppar_lxr_lipid_nuclear							0	0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ABCG1		target=ok;activity=no_target
AHRR	ahr_tryptophan							0	0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=AHRR		target=ok;activity=no_target
ARNT	ahr_tryptophan	CHEMBL5618	Aryl hydrocarbon receptor nuclear translocator	SINGLE PROTEIN	Homo sapiens	P27540	ARNT	9	0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ARNT	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5618	target=ok;activity=ok
SLC5A8	scfa_ffar_hcar							0	0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SLC5A8		target=ok;activity=no_target
