gene	contrast	n_case	n_control	mean_case_log2	mean_control_log2	log2fc	welch_t	p	fdr
Cd74	Gsk3b_IFNg_vs_NTC_IFNg	3	3	14.528518334236551	15.448672872200161	-0.9201545379636098	-4.145982046495983	0.0434496794002058	0.11003490237714456
Ciita	Gsk3b_IFNg_vs_NTC_IFNg	3	3	9.803430814136261	11.594113977366165	-1.7906831632299038	-8.036145677079771	0.01224801777330137	0.04400045253575182
Ctsb	Gsk3b_IFNg_vs_NTC_IFNg	3	3	16.98838043080905	16.438325222184673	0.5500552086243751	2.2568103265954322	0.13376503889666536	0.2659149998732904
Ctsd	Gsk3b_IFNg_vs_NTC_IFNg	3	3	17.24678057745268	16.29782051208923	0.9489600653634476	3.9583637137374748	0.04659625103778569	0.11649062759446421
Ctsl	Gsk3b_IFNg_vs_NTC_IFNg	3	3	13.677777086827255	13.337155893711037	0.34062119311621863	1.3832171382865401	0.2807550584487162	0.43823365685326265
Ctss	Gsk3b_IFNg_vs_NTC_IFNg	3	3	14.393113956466479	14.96849038120338	-0.5753764247369002	-2.2681484000982266	0.1283615128579257	0.2607343229926616
Cxcl10	Gsk3b_IFNg_vs_NTC_IFNg	3	3	9.556028515444549	11.008073558350283	-1.452045042905734	-4.873408438346081	0.01024050986930126	0.039154890676740106
Cxcl9	Gsk3b_IFNg_vs_NTC_IFNg	3	3	10.086260500416744	11.790302228865622	-1.7040417284488782	-6.4331257713453	0.009255288446112678	0.03609562493983945
Gbp2	Gsk3b_IFNg_vs_NTC_IFNg	3	3	16.235936783667874	16.26597427112128	-0.03003748745340573	-0.12002057801467153	0.9131623107505825	0.9286572117977917
Gbp5	Gsk3b_IFNg_vs_NTC_IFNg	3	3	11.998748802452873	12.944516438804094	-0.9457676363512206	-3.9412092993519017	0.03435358676460514	0.09230187257823577
Gsk3b	Gsk3b_IFNg_vs_NTC_IFNg	3	3	10.68525125905571	11.448368541446884	-0.7631172823911747	-3.0384079772561563	0.05378588175269757	0.13276261951615223
H2-Aa	Gsk3b_IFNg_vs_NTC_IFNg	3	3	9.184585190342657	12.681130094112158	-3.4965449037695002	-16.459642233650776	0.0021045338173603595	0.014172470143594155
H2-Ab1	Gsk3b_IFNg_vs_NTC_IFNg	3	3	11.059226007526023	13.202407557944674	-2.1431815504186513	-9.76102045366361	0.006319150873450646	0.027382987118286132
H2-DMa	Gsk3b_IFNg_vs_NTC_IFNg	3	3	9.649009784109333	11.169573269531144	-1.5205634854218104	-7.429359415347008	0.008068547458785144	0.03210952560128782
H2-DMb1	Gsk3b_IFNg_vs_NTC_IFNg	3	3	10.14226403003613	11.34392337032446	-1.2016593402883284	-5.409209530230613	0.03142001984174764	0.0875271981305827
H2-DMb2	Gsk3b_IFNg_vs_NTC_IFNg	3	3	4.216268983241923	6.355482207889096	-2.1392132246471727	-5.114428527910332	0.0069496339574570964	0.028833587695832635
H2-Eb1	Gsk3b_IFNg_vs_NTC_IFNg	3	3	10.158782321835192	12.629978958551789	-2.4711966367165967	-10.809913242339881	0.0036535281638467834	0.01978994422083674
Ifi30	Gsk3b_IFNg_vs_NTC_IFNg	3	3	11.78179480607527	12.346640612266071	-0.5648458061908013	-2.3759411271928497	0.12512152848046054	0.2568284005651559
Ifit1	Gsk3b_IFNg_vs_NTC_IFNg	3	3	8.192014418045524	9.314306470109697	-1.1222920520641733	-4.747632354751177	0.026585549532403923	0.07975664859721178
Ifit2	Gsk3b_IFNg_vs_NTC_IFNg	3	3	11.25412628166598	11.347911743798853	-0.09378546213287287	-0.3517978589070132	0.7493291617099477	0.8255321273075695
Ifit3	Gsk3b_IFNg_vs_NTC_IFNg	3	3	8.038318610191016	8.154114376021958	-0.11579576583094209	-0.45032947699828324	0.6926706790511176	0.7782185129264773
Igtp	Gsk3b_IFNg_vs_NTC_IFNg	3	3	12.8879115174306	12.585886373027321	0.3020251444032791	1.1574291841364672	0.35026054564562	0.5088596568735269
Il6	Gsk3b_IFNg_vs_NTC_IFNg	3	3	2.571415172555374	4.082246866164382	-1.5108316936090076	-9.132279132504117	0.0017482432104706366	0.013111824078529774
Irf1	Gsk3b_IFNg_vs_NTC_IFNg	3	3	13.17012055820116	13.549513863974733	-0.3793933057735721	-1.5489196717991043	0.24237573622808892	0.4109849440389334
Irf7	Gsk3b_IFNg_vs_NTC_IFNg	3	3	7.05425828257026	8.237788162626108	-1.1835298800558478	-4.99962830250918	0.022619541573866118	0.06903196852642604
Irgm1	Gsk3b_IFNg_vs_NTC_IFNg	3	3	14.414924373279524	13.530491803870298	0.8844325694092259	3.2172674053442565	0.057913987229054456	0.13942256184772367
Isg15	Gsk3b_IFNg_vs_NTC_IFNg	3	3	7.751301389334462	9.299819317419875	-1.5485179280854124	-6.06605660601077	0.022556587317280236	0.06903196852642604
Lamp1	Gsk3b_IFNg_vs_NTC_IFNg	3	3	14.747965261210014	14.719620966355047	0.0283442948549677	0.12264159197635686	0.9119359218895359	0.9286572117977917
Lamp2	Gsk3b_IFNg_vs_NTC_IFNg	3	3	13.206450572654417	13.173590882111801	0.03285969054261528	0.14434434087715295	0.8945189308346839	0.9278254867700179
Lamp3	Gsk3b_IFNg_vs_NTC_IFNg	3	3	0.3333333333333333	0.0	0.3333333333333333	0.9999999999999999	0.4226497308103743	0.5606578061770272
Med16	Gsk3b_IFNg_vs_NTC_IFNg	3	3	9.283115942729994	9.973022742010192	-0.6899067992801982	-3.3326089890919643	0.055865114351810324	0.13617121623253767
Nlrc5	Gsk3b_IFNg_vs_NTC_IFNg	3	3	11.932455369918339	12.40587320852061	-0.4734178386022716	-1.8402973410095211	0.17125898302494091	0.31505190273456113
Oasl2	Gsk3b_IFNg_vs_NTC_IFNg	3	3	9.574799776694777	10.304858271529618	-0.7300584948348412	-2.8889893173884373	0.08011436713607145	0.18379178342981098
Rfx5	Gsk3b_IFNg_vs_NTC_IFNg	3	3	8.939543774561978	9.962062826583253	-1.0225190520212752	-3.9810074249251097	0.04021576047579767	0.10456097723707393
Stat1	Gsk3b_IFNg_vs_NTC_IFNg	3	3	14.48924949269371	14.728168109092389	-0.23891861639867784	-0.9976375737561016	0.40509614495820073	0.5602393494102776
Tap1	Gsk3b_IFNg_vs_NTC_IFNg	3	3	13.147144587391223	13.347813695681452	-0.20066910829022966	-0.8559909988819676	0.4688643797016433	0.605487112859738
Tap2	Gsk3b_IFNg_vs_NTC_IFNg	3	3	12.51812757458344	12.387262421357738	0.13086515322570236	0.5858569190726219	0.6101241555828485	0.7299031309119967
Tnf	Gsk3b_IFNg_vs_NTC_IFNg	3	3	12.231218202907153	11.368651119504918	0.8625670834022348	3.3641539830328813	0.06054358655335285	0.14397560216955863
B2m	Gsk3b_US_vs_NTC_US	3	3	14.355112801209655	13.987561630786468	0.3675511704231873	3.5919819876702688	0.030468192220613442	0.08610576062347276
Cd74	Gsk3b_US_vs_NTC_US	3	3	12.171295059698496	10.220430944667466	1.9508641150310293	15.398571942935176	0.0003032397095324969	0.004548595642987454
Ciita	Gsk3b_US_vs_NTC_US	3	3	2.163951032109891	3.3974309381569223	-1.2334799060470312	-3.646038996008401	0.03498035344429862	0.09230187257823577
Ctsb	Gsk3b_US_vs_NTC_US	3	3	16.634853833010443	15.878788296914175	0.7560655360962674	8.15414677055781	0.004022950744481026	0.020556803058507867
Ctsd	Gsk3b_US_vs_NTC_US	3	3	16.806709966659387	16.238129347816017	0.5685806188433702	6.546207674598455	0.004288214490446322	0.02090504564092582
Ctsl	Gsk3b_US_vs_NTC_US	3	3	13.491158007569885	13.375390696574861	0.11576731099502346	1.316754897208993	0.2618869234879609	0.42975901350402274
Ctss	Gsk3b_US_vs_NTC_US	3	3	12.807562591579696	13.536115054249754	-0.7285524626700575	-7.26620213703442	0.0027002942235229187	0.015956284048089974
Cxcl10	Gsk3b_US_vs_NTC_US	3	3	4.00722468095279	4.5380832425631334	-0.5308585616103434	-1.0831884459440821	0.3515487191968093	0.5088596568735269
Cxcl9	Gsk3b_US_vs_NTC_US	3	3	2.46410580759292	1.7739760316291207	0.6901297759637994	1.1587580247561886	0.31170285580300167	0.4675542837045025
Gbp2	Gsk3b_US_vs_NTC_US	3	3	8.021028101259335	7.384510334489054	0.6365177667702806	6.727859877392235	0.006613243972961358	0.028034403798423146
Gbp5	Gsk3b_US_vs_NTC_US	3	3	3.4406426982957874	3.8737120377582137	-0.4330693394624263	-1.4602296040949512	0.2787507422705447	0.43823365685326265
Gsk3b	Gsk3b_US_vs_NTC_US	3	3	10.905382016479464	11.510847693170192	-0.6054656766907272	-8.982867381993147	0.0017458681444898583	0.013111824078529774
H2-Aa	Gsk3b_US_vs_NTC_US	3	3	2.7799500009615414	3.7097610056483217	-0.9298110046867802	-3.3140731201934592	0.02959281260807655	0.08610576062347276
H2-Ab1	Gsk3b_US_vs_NTC_US	3	3	6.672764187184028	5.805511220066528	0.8672529671175004	3.784105834321652	0.02939988418851515	0.08610576062347276
H2-DMa	Gsk3b_US_vs_NTC_US	3	3	5.820719582699215	6.194870079083176	-0.3741504963839617	-2.6757427447866773	0.09170129162907306	0.20320172576896872
H2-DMb1	Gsk3b_US_vs_NTC_US	3	3	6.780723394084201	6.87801331550176	-0.0972899214175591	-0.6922215692632867	0.5547676519065323	0.6761230757610863
H2-DMb2	Gsk3b_US_vs_NTC_US	3	3	2.4406426982957874	3.3589385323502774	-0.91829583405449	-2.265321631698838	0.08638972440157233	0.19588367742216983
H2-Eb1	Gsk3b_US_vs_NTC_US	3	3	2.6356301985361728	3.2604532378415527	-0.62482303930538	-0.9032640284267853	0.417487482855752	0.5606578061770272
Ifi30	Gsk3b_US_vs_NTC_US	3	3	11.91947739881409	12.062189256690589	-0.14271185787649898	-1.2549971881318802	0.2969338809343096	0.4523602092358623
Ifit1	Gsk3b_US_vs_NTC_US	3	3	1.861654166907052	3.2134149787407815	-1.3517608118337294	-1.711023178578751	0.16344425466166332	0.3064579774906187
Ifit2	Gsk3b_US_vs_NTC_US	3	3	8.242819274323718	8.818344850535276	-0.5755255762115574	-4.84744736459918	0.012102278015169774	0.04400045253575182
Ifit3	Gsk3b_US_vs_NTC_US	3	3	2.861654166907052	2.6356301985361728	0.22602396837087912	0.4492852399752508	0.6867568776263436	0.7782185129264773
Igtp	Gsk3b_US_vs_NTC_US	3	3	7.325669814381118	7.485867605336337	-0.1601977909552197	-1.4012244294845035	0.2809190108033735	0.43823365685326265
Il6	Gsk3b_US_vs_NTC_US	3	3	0.6666666666666666	1.1949875002403854	-0.5283208335737187	-0.7606152416719119	0.5161079544936175	0.6440198159943382
Irf1	Gsk3b_US_vs_NTC_US	3	3	9.153686934895196	9.413378378647463	-0.25969144375226705	-1.8155239145346505	0.1591667461827573	0.3042893677023301
Irf7	Gsk3b_US_vs_NTC_US	3	3	3.5924184383973077	3.9517526090643993	-0.3593341706670916	-1.3239951790792355	0.26226319285630106	0.42975901350402274
Irgm1	Gsk3b_US_vs_NTC_US	3	3	8.99979593512405	8.886365510076777	0.11343042504727308	1.9232814348705904	0.16188308633410783	0.3064579774906187
Isg15	Gsk3b_US_vs_NTC_US	3	3	2.8629048785274214	4.431683808519203	-1.5687789299917818	-4.585598382859635	0.033617438929672096	0.09230187257823577
Lamp1	Gsk3b_US_vs_NTC_US	3	3	14.605526140210815	14.611224866104541	-0.00569872589372622	-0.060549210320699334	0.9548664716035209	0.9597884637251886
Lamp2	Gsk3b_US_vs_NTC_US	3	3	12.566273621661155	12.594803017629033	-0.028529395967877846	-0.40748730489655877	0.7045154639024008	0.785031516919818
Lamp3	Gsk3b_US_vs_NTC_US	3	3	0.3333333333333333	0.3333333333333333	0.0	0.0	1.0	1.0
Med16	Gsk3b_US_vs_NTC_US	3	3	9.90413262891101	10.160547056694174	-0.2564144277831648	-2.4843916415795255	0.0679449157632995	0.15962962137160727
Nlrc5	Gsk3b_US_vs_NTC_US	3	3	8.334496648979718	9.12920754205365	-0.7947108930739315	-7.865381325255461	0.014838142251216236	0.04988685756874424
Oasl2	Gsk3b_US_vs_NTC_US	3	3	5.614116781137935	6.098691255887715	-0.4845744747497802	-3.0020621726919328	0.08809966868571525	0.19746477464039625
Rfx5	Gsk3b_US_vs_NTC_US	3	3	9.044394825033805	9.74777202840932	-0.7033772033755152	-6.3845918317388834	0.007531525401685714	0.03059682194434821
Stat1	Gsk3b_US_vs_NTC_US	3	3	10.398148557321845	10.151947233550155	0.24620132377168957	3.1635764996052482	0.07067928405918965	0.1640769094231188
Tap1	Gsk3b_US_vs_NTC_US	3	3	9.381163667190735	9.299155080441023	0.08200858674971201	0.4856949774463046	0.655865670620825	0.7658311722818018
Tap2	Gsk3b_US_vs_NTC_US	3	3	9.71369199867083	9.75293446492851	-0.039242466257679354	-0.42374105720099126	0.6941189501479248	0.7782185129264773
Tnf	Gsk3b_US_vs_NTC_US	3	3	10.540109390024034	9.636181369770904	0.9039280202531295	9.50994852959614	0.0033509211653773314	0.018669417921387987
B2m	Med16_IFNg_induction_interaction	3	3			-0.2714451690953936			
Cd74	Med16_IFNg_induction_interaction	3	3			-4.2410173739890045			
Ciita	Med16_IFNg_induction_interaction	3	3			-3.040420708486705			
Ctsb	Med16_IFNg_induction_interaction	3	3			-0.47632343605568117			
Ctsd	Med16_IFNg_induction_interaction	3	3			-0.4121467927457694			
Ctsl	Med16_IFNg_induction_interaction	3	3			0.014842113546521318			
Ctss	Med16_IFNg_induction_interaction	3	3			-0.30444782077687194			
Cxcl10	Med16_IFNg_induction_interaction	3	3			0.47350895488060907			
Cxcl9	Med16_IFNg_induction_interaction	3	3			-1.3925086675431402			
Gbp2	Med16_IFNg_induction_interaction	3	3			-0.9287893910871725			
Gbp5	Med16_IFNg_induction_interaction	3	3			0.01572651825194704			
Gsk3b	Med16_IFNg_induction_interaction	3	3			-0.13339329647458342			
H2-Aa	Med16_IFNg_induction_interaction	3	3			-6.493031399782476			
H2-Ab1	Med16_IFNg_induction_interaction	3	3			-4.644291739092158			
H2-DMa	Med16_IFNg_induction_interaction	3	3			-3.830655317658909			
H2-DMb1	Med16_IFNg_induction_interaction	3	3			-3.382166624163511			
H2-DMb2	Med16_IFNg_induction_interaction	3	3			-2.224709733629508			
H2-Eb1	Med16_IFNg_induction_interaction	3	3			-5.551556158321659			
Ifi30	Med16_IFNg_induction_interaction	3	3			-0.7732375861377214			
Ifit1	Med16_IFNg_induction_interaction	3	3			-0.9607748152175155			
Ifit2	Med16_IFNg_induction_interaction	3	3			-1.3122368174213896			
Ifit3	Med16_IFNg_induction_interaction	3	3			-1.3199593274214703			
Igtp	Med16_IFNg_induction_interaction	3	3			-0.34668388666976924			
Il6	Med16_IFNg_induction_interaction	3	3			-0.7700342198301913			
Irf1	Med16_IFNg_induction_interaction	3	3			-0.7058089490749637			
Irf7	Med16_IFNg_induction_interaction	3	3			1.0037695350231388			
Irgm1	Med16_IFNg_induction_interaction	3	3			-0.32655496534282413			
Isg15	Med16_IFNg_induction_interaction	3	3			-0.39634372375782156			
Lamp1	Med16_IFNg_induction_interaction	3	3			-0.41191069741124764			
Lamp2	Med16_IFNg_induction_interaction	3	3			-0.26581573614599563			
Lamp3	Med16_IFNg_induction_interaction	3	3			0.3333333333333333			
Med16	Med16_IFNg_induction_interaction	3	3			-0.3607361555793398			
Nlrc5	Med16_IFNg_induction_interaction	3	3			0.2983948379413679			
Oasl2	Med16_IFNg_induction_interaction	3	3			0.19636580864569897			
Rfx5	Med16_IFNg_induction_interaction	3	3			-0.9241226886533074			
Stat1	Med16_IFNg_induction_interaction	3	3			-1.2217131517125281			
Tap1	Med16_IFNg_induction_interaction	3	3			-0.431442772285779			
Tap2	Med16_IFNg_induction_interaction	3	3			0.21609384682532706			
Tnf	Med16_IFNg_induction_interaction	3	3			-0.3513219035902164			
B2m	Med16_IFNg_vs_NTC_IFNg	3	3	15.951261578889003	15.722454696567901	0.22880688232110202	1.013761356424295	0.4140213428721552	0.5606578061770272
Cd74	Med16_IFNg_vs_NTC_IFNg	3	3	12.989462393809873	15.448672872200161	-2.459210478390288	-11.015659908882492	0.004839919225945197	0.023019128025836912
Ciita	Med16_IFNg_vs_NTC_IFNg	3	3	8.25139640367662	11.594113977366165	-3.3427175736895443	-14.037613963145755	0.0013038730403771054	0.011557056494251617
Ctsb	Med16_IFNg_vs_NTC_IFNg	3	3	16.331545484159918	16.438325222184673	-0.10677973802475549	-0.4531667277957085	0.6936439005297224	0.7782185129264773
Ctsd	Med16_IFNg_vs_NTC_IFNg	3	3	15.706862684985715	16.29782051208923	-0.5909578271035159	-2.5085006919346684	0.12072845946167478	0.2531403182260923
Ctsl	Med16_IFNg_vs_NTC_IFNg	3	3	13.99946581213682	13.337155893711037	0.6623099184257839	2.8135673719539303	0.10449634032632815	0.22392072927070317
Ctss	Med16_IFNg_vs_NTC_IFNg	3	3	14.380429834919576	14.96849038120338	-0.5880605462838027	-2.4167089756218183	0.13163922294675168	0.26463555128470695
Cxcl10	Med16_IFNg_vs_NTC_IFNg	3	3	11.334724982768899	11.008073558350283	0.32665142441861583	1.355654892891463	0.3073977258222703	0.46467098089412956
Cxcl9	Med16_IFNg_vs_NTC_IFNg	3	3	10.623817529693362	11.790302228865622	-1.1664846991722602	-4.738171476840168	0.035027377286099726	0.09230187257823577
Gbp2	Med16_IFNg_vs_NTC_IFNg	3	3	15.78392777781493	16.26597427112128	-0.48204649330635085	-2.052328371932134	0.17328441383993506	0.3154715197437603
Gbp5	Med16_IFNg_vs_NTC_IFNg	3	3	12.477756631398966	12.944516438804094	-0.46675980740512735	-2.0126365566440123	0.1581147715053855	0.3042893677023301
Gsk3b	Med16_IFNg_vs_NTC_IFNg	3	3	11.346248513906552	11.448368541446884	-0.102120027540332	-0.44471950907459457	0.694410365380549	0.7782185129264773
H2-Aa	Med16_IFNg_vs_NTC_IFNg	3	3	5.347447793264564	12.681130094112158	-7.3336823008475935	-30.8377684907636	4.4532219091457765e-05	0.0020067059126897334
H2-Ab1	Med16_IFNg_vs_NTC_IFNg	3	3	8.495155780266714	13.202407557944674	-4.7072517776779605	-20.765054941010494	0.0006071097168573496	0.007892426319145544
H2-DMa	Med16_IFNg_vs_NTC_IFNg	3	3	7.71190591312363	11.169573269531144	-3.457667356407514	-17.36500282202283	0.0014990151864096542	0.012430697770813336
H2-DMb1	Med16_IFNg_vs_NTC_IFNg	3	3	7.8677119111515035	11.34392337032446	-3.476211459172956	-15.136092406386954	0.002328270381794046	0.014645571756446419
H2-DMb2	Med16_IFNg_vs_NTC_IFNg	3	3	3.904748505888708	6.355482207889096	-2.4507337020003876	-6.573442992022344	0.003835204720218745	0.02021256541736906
H2-Eb1	Med16_IFNg_vs_NTC_IFNg	3	3	6.384782801768941	12.629978958551789	-6.245196156782847	-26.114528559759968	0.00016072830406585974	0.003562298083734504
Ifi30	Med16_IFNg_vs_NTC_IFNg	3	3	12.070627504984344	12.346640612266071	-0.27601310728172734	-1.180660252729532	0.3522874547585955	0.5088596568735269
Ifit1	Med16_IFNg_vs_NTC_IFNg	3	3	7.742568316837268	9.314306470109697	-1.5717381532724293	-6.729806999932285	0.013217824828274792	0.04602635431274258
Ifit2	Med16_IFNg_vs_NTC_IFNg	3	3	9.957680416233801	11.347911743798853	-1.3902313275650524	-5.578022123493946	0.022656646080468034	0.06903196852642604
Ifit3	Med16_IFNg_vs_NTC_IFNg	3	3	6.9959639909905675	8.154114376021958	-1.1581503850313908	-4.6122714325446585	0.04290158299831999	0.11003490237714456
Igtp	Med16_IFNg_vs_NTC_IFNg	3	3	12.188528498823722	12.585886373027321	-0.3973578742035997	-1.5841284588712228	0.25139765585520474	0.41928039136297124
Il6	Med16_IFNg_vs_NTC_IFNg	3	3	2.978879313000857	4.082246866164382	-1.1033675531635248	-2.4739119720889367	0.12256532851271719	0.2542578623402112
Irf1	Med16_IFNg_vs_NTC_IFNg	3	3	13.275544891034476	13.549513863974733	-0.27396897294025635	-1.1639246458002	0.36274793483969	0.5201165242186732
Irf7	Med16_IFNg_vs_NTC_IFNg	3	3	8.74887526538103	8.237788162626108	0.5110871027549226	2.288331764992413	0.14617820586208793	0.2850475014310715
Irgm1	Med16_IFNg_vs_NTC_IFNg	3	3	13.447489650310652	13.530491803870298	-0.08300215355964546	-0.32462693043750024	0.7757787087457869	0.8498699337383621
Isg15	Med16_IFNg_vs_NTC_IFNg	3	3	7.9025656627435295	9.299819317419875	-1.3972536546763452	-5.538714289583421	0.03012482890822633	0.08610576062347276
Lamp1	Med16_IFNg_vs_NTC_IFNg	3	3	14.693236849845169	14.719620966355047	-0.026384116509877487	-0.11843845126708413	0.9161498536977205	0.9286572117977917
Lamp2	Med16_IFNg_vs_NTC_IFNg	3	3	13.145422084997932	13.173590882111801	-0.028168797113869104	-0.13681599545336748	0.9031732637519544	0.9286572117977917
Lamp3	Med16_IFNg_vs_NTC_IFNg	3	3	0.6666666666666666	0.0	0.6666666666666666	1.9999999999999998	0.183503419072274	0.3253015156281221
Med16	Med16_IFNg_vs_NTC_IFNg	3	3	7.517961412900349	9.973022742010192	-2.455061329109843	-12.606539610702201	0.005607321921610738	0.025428552900327767
Nlrc5	Med16_IFNg_vs_NTC_IFNg	3	3	12.305222312404986	12.40587320852061	-0.10065089611562428	-0.4115381501465173	0.7156673745573946	0.7929269206743861
Oasl2	Med16_IFNg_vs_NTC_IFNg	3	3	10.668960031461575	10.304858271529618	0.36410175993195715	1.479345790624809	0.2646921209854404	0.4301246966013407
Rfx5	Med16_IFNg_vs_NTC_IFNg	3	3	9.764291295330285	9.962062826583253	-0.1977715312529682	-0.79831600958969	0.5027910337737405	0.6325435586185767
Stat1	Med16_IFNg_vs_NTC_IFNg	3	3	13.33939436816672	14.728168109092389	-1.388773740925668	-6.024688493194736	0.02163249775619648	0.06903196852642604
Tap1	Med16_IFNg_vs_NTC_IFNg	3	3	13.030320302294106	13.347813695681452	-0.3174933933873465	-1.4177262822497725	0.29085848296746725	0.4465937336902056
Tap2	Med16_IFNg_vs_NTC_IFNg	3	3	12.787233181253407	12.387262421357738	0.39997075989566966	1.8405535808865356	0.20196997308538714	0.351644149568308
Tnf	Med16_IFNg_vs_NTC_IFNg	3	3	11.316826487300125	11.368651119504918	-0.051824632204793275	-0.21055234000951908	0.852264530201141	0.8983328831849865
B2m	Med16_US_vs_NTC_US	3	3	14.487813682202964	13.987561630786468	0.5002520514164956	1.873708220412645	0.19155478134378237	0.3365151564147528
Cd74	Med16_US_vs_NTC_US	3	3	12.002237840266183	10.220430944667466	1.7818068955987165	6.807371727718471	0.01461806706315164	0.04988685756874424
Ciita	Med16_US_vs_NTC_US	3	3	3.095134072954083	3.3974309381569223	-0.30229686520283927	-0.8357492381936575	0.466744765575748	0.605487112859738
Ctsb	Med16_US_vs_NTC_US	3	3	16.2483319949451	15.878788296914175	0.3695436980309257	1.4133908158390767	0.2872539344855945	0.44455966051342005
Ctsd	Med16_US_vs_NTC_US	3	3	16.05931831345827	16.238129347816017	-0.17881103435774648	-0.6697756806956572	0.5680158616974994	0.6837227964877307
Ctsl	Med16_US_vs_NTC_US	3	3	14.022858501454124	13.375390696574861	0.6474678048792626	2.5272755699770078	0.11666598299727454	0.24728115961378844
Ctss	Med16_US_vs_NTC_US	3	3	13.252502328742823	13.536115054249754	-0.28361272550693073	-1.0438510586161884	0.3976589667358263	0.5563150243109289
Cxcl10	Med16_US_vs_NTC_US	3	3	4.39122571210114	4.5380832425631334	-0.14685753046199324	-0.5711235575274352	0.6231706336777757	0.7409650827266235
Cxcl9	Med16_US_vs_NTC_US	3	3	2.0	1.7739760316291207	0.22602396837087935	0.5679134019140493	0.6273493701012823	0.7414128919378792
Gbp2	Med16_US_vs_NTC_US	3	3	7.831253232269876	7.384510334489054	0.44674289778082166	1.2640055234599148	0.32189784606274635	0.4791609158949278
Gbp5	Med16_US_vs_NTC_US	3	3	3.3912257121011398	3.8737120377582137	-0.48248632565707394	-1.5032838376262305	0.2691194744037458	0.4337049380886812
Gsk3b	Med16_US_vs_NTC_US	3	3	11.542120962104443	11.510847693170192	0.03127326893425142	0.11428137918907721	0.9191325224460195	0.9286572117977917
H2-Aa	Med16_US_vs_NTC_US	3	3	2.8691101045832035	3.7097610056483217	-0.8406509010651182	-1.7953812505448643	0.17472268785808265	0.3154715197437603
H2-Ab1	Med16_US_vs_NTC_US	3	3	5.742551181480725	5.805511220066528	-0.06296003858580246	-0.18745466481347953	0.8611850087825584	0.9028552511430048
