script	doc_status	n_doc_refs	doc_refs	n_output_dirs	output_dirs	n_summary_json	summary_json	observed_statuses
scripts/v45_cold_start_operator_sequence.py	DOCUMENTED	3	docs/validation/COLD_START_OPERATOR_SEQUENCE_V45.md;meta/V45_QUEUE.md;meta/V46_QUEUE.md	1	analysis/v45_cold_start_operator_sequence	1	analysis/v45_cold_start_operator_sequence/cold_start_operator_sequence_summary.json	PASS
scripts/v45_collaborator_package_path_resolver.py	DOCUMENTED	3	docs/validation/COLLABORATOR_PACKAGE_PATH_RESOLVER_V45.md;docs/validation/COLLABORATOR_VALIDATION_PACKAGE_README_V45.md;meta/V45_QUEUE.md	2	analysis/v45_collaborator_package;analysis/v45_collaborator_path_resolver	3	analysis/v45_collaborator_path_resolver/live_sources/collaborator_package_path_resolution_summary.json;analysis/v45_collaborator_path_resolver/synthetic_broken_source/collaborator_package_path_resolution_summary.json;analysis/v45_collaborator_path_resolver/synthetic_check_summary.json	FAIL;PASS
scripts/v45_command_plan_consistency_check.py	DOCUMENTED	2	docs/validation/COMMAND_PLAN_CONSISTENCY_CHECK_V45.md;meta/V45_QUEUE.md	1	analysis/v45_command_plan_consistency	1	analysis/v45_command_plan_consistency/command_plan_consistency_summary.json	PASS
scripts/v45_compute_storage_summary.py	DOCUMENTED	2	docs/validation/V45_COMPUTE_STORAGE_SUMMARY.md;meta/V45_QUEUE.md	1	analysis/v45_compute_storage_summary	1	analysis/v45_compute_storage_summary/summary.json	none
scripts/v45_convergence_no_readiness.py	DOCUMENTED	1	docs/validation/APC_HLA_NO_READINESS_CONVERGENCE_V45.md	1	analysis/v45_convergence_no_readiness	1	analysis/v45_convergence_no_readiness/summary.json	none
scripts/v45_convergence_no_reports.py	DOCUMENTED	1	docs/validation/APC_HLA_NO_REPORTS_CONVERGENCE_V45.md	1	analysis/v45_convergence_no_reports	1	analysis/v45_convergence_no_reports/summary.json	none
scripts/v45_convergence_sensitivity.py	DOCUMENTED	1	docs/validation/APC_HLA_CONVERGENCE_SENSITIVITY_V45.md	1	analysis/v45_convergence_sensitivity	1	analysis/v45_convergence_sensitivity/summary.json	none
scripts/v45_cross_route_readiness_linter.py	DOCUMENTED	2	docs/validation/CROSS_ROUTE_READINESS_LINTER_V45.md;meta/V45_QUEUE.md	1	analysis/v45_cross_route_readiness_linter	2	analysis/v45_cross_route_readiness_linter/live/cross_route_readiness_lint_summary.json;analysis/v45_cross_route_readiness_linter/synthetic_missing_request/cross_route_readiness_lint_summary.json	none
scripts/v45_current_action_card.py	DOCUMENTED	3	docs/validation/CURRENT_ACTION_CARD_V45.md;meta/V45_QUEUE.md;meta/V46_QUEUE.md	1	analysis/v45_current_action_card	1	analysis/v45_current_action_card/current_action_card_summary.json	READY_AWAITING_EXTERNAL_DATA
scripts/v45_dropout_sensitivity_table.py	DOCUMENTED	2	docs/validation/DROPOUT_MISSING_TIMEPOINT_SENSITIVITY_V45.md;meta/V45_QUEUE.md	1	analysis/v45_dropout_sensitivity_table	1	analysis/v45_dropout_sensitivity_table/summary.json	synthetic_method_planning_only
scripts/v45_external_blocker_board.py	DOCUMENTED	2	docs/validation/EXTERNAL_BLOCKER_BOARD_V45.md;meta/V45_QUEUE.md	1	analysis/v45_external_blocker_board	1	analysis/v45_external_blocker_board/external_blocker_board_summary.json	none
scripts/v45_external_blocker_escalation_matrix.py	DOCUMENTED	2	docs/validation/EXTERNAL_BLOCKER_ESCALATION_MATRIX_V45.md;meta/V45_QUEUE.md	1	analysis/v45_external_blocker_escalation_matrix	1	analysis/v45_external_blocker_escalation_matrix/external_blocker_escalation_summary.json	none
scripts/v45_external_report_evidence_manifest.py	DOCUMENTED	2	docs/reports/EXTERNAL_REPORT_EVIDENCE_MANIFEST_V45.md;meta/V45_QUEUE.md	1	analysis/v45_external_report_evidence_manifest	1	analysis/v45_external_report_evidence_manifest/external_report_evidence_manifest_summary.json	PASS
scripts/v45_followup_due_board.py	DOCUMENTED	2	docs/validation/FOLLOWUP_DUE_BOARD_V45.md;meta/V45_QUEUE.md	1	analysis/v45_followup_due_board	2	analysis/v45_followup_due_board/live_template/followup_due_board_summary.json;analysis/v45_followup_due_board/synthetic_overdue/followup_due_board_summary.json	none
scripts/v45_followup_escalation_packet_generator.py	DOCUMENTED	2	docs/validation/FOLLOWUP_ESCALATION_PACKETS_V45.md;meta/V45_QUEUE.md	1	analysis/v45_followup_escalation_packets	1	analysis/v45_followup_escalation_packets/live/followup_escalation_packet_summary.json	PASS
scripts/v45_followup_message_template_generator.py	DOCUMENTED	2	docs/validation/FOLLOWUP_MESSAGE_TEMPLATES_V45.md;meta/V45_QUEUE.md	1	analysis/v45_followup_message_templates	2	analysis/v45_followup_message_templates/live_template/followup_message_template_summary.json;analysis/v45_followup_message_templates/synthetic_overdue/followup_message_template_summary.json	none
scripts/v45_gate_output_bundle_manifest.py	DOCUMENTED	2	docs/validation/GATE_OUTPUT_BUNDLE_MANIFEST_V45.md;meta/V45_QUEUE.md	1	analysis/v45_gate_output_bundle_manifest	2	analysis/v45_gate_output_bundle_manifest/gafson_primary/gate_output_bundle_manifest_summary.json;analysis/v45_gate_output_bundle_manifest/gse228330_pharmacodynamic/gate_output_bundle_manifest_summary.json	MANIFEST_ONLY
scripts/v45_generated_checker_registry.py	DOCUMENTED	2	docs/validation/GENERATED_CHECKER_REGISTRY_V45.md;meta/V45_QUEUE.md	1	analysis/v45_generated_checker_registry	1	analysis/v45_generated_checker_registry/generated_checker_registry_summary.json	PASS
scripts/v45_generated_doc_freshness_linter.py	DOCUMENTED	2	docs/validation/GENERATED_DOC_FRESHNESS_LINTER_V45.md;meta/V45_QUEUE.md	1	analysis/v45_generated_doc_freshness_linter	1	analysis/v45_generated_doc_freshness_linter/generated_doc_freshness_summary.json	PASS
scripts/v45_gse228330_outcome_scout.py	DOCUMENTED	1	docs/validation/GSE228330_OUTCOME_SCOUT_V45.md	1	analysis/v45_gse228330_outcome_scout	1	analysis/v45_gse228330_outcome_scout/summary.json	complete
scripts/v45_handoff_completeness_check.py	DOCUMENTED	4	docs/validation/AUTHOR_RUN_PACKET_BUNDLE_INDEX_V45.md;docs/validation/HANDOFF_COMPLETENESS_CHECK_V45.md;docs/validation/VALIDATION_HANDOFF_BUNDLE_TEMPLATE_V45.md;meta/V45_QUEUE.md	1	analysis/v45_handoff_completeness	1	analysis/v45_handoff_completeness/handoff_completeness_summary.json	PASS
scripts/v45_harness_regression_tests.py	DOCUMENTED	3	docs/validation/HARNESS_REGRESSION_TESTS_V45.md;docs/validation/V45_READINESS_CHANGELOG.md;meta/V45_QUEUE.md	2	analysis/v45_harness_regression_tests;analysis/v45_primary_harness_regression_tests	11	analysis/v45_harness_regression_tests/pharmacodynamic_only/synthetic_check/validation_summary.json;analysis/v45_harness_regression_tests/regression_summary.json;analysis/v45_harness_regression_tests/secondary_real_ingest/postpartum_null/validation_summary.json;analysis/v45_harness_regression_tests/secondary_real_ingest/postpartum_planted/validation_summary.json;analysis/v45_harness_regression_tests/secondary_real_ingest/synthetic_check_summary.json;analysis/v45_harness_regression_tests/secondary_real_ingest/tb_null/validation_summary.json;analysis/v45_harness_regression_tests/secondary_real_ingest/tb_planted/validation_summary.json;analysis/v45_primary_harness_regression_tests/regression_summary.json;analysis/v45_primary_harness_regression_tests/v42_primary_synthetic/null_result/validation_summary.json;analysis/v45_primary_harness_regression_tests/v42_primary_synthetic/planted_result/validation_summary.json;analysis/v45_primary_harness_regression_tests/v42_primary_synthetic/synthetic_check_summary.json	PASS
scripts/v45_intake_template_dryrun.py	DOCUMENTED	2	docs/validation/INTAKE_TEMPLATE_DRYRUN_V45.md;meta/V45_QUEUE.md	1	analysis/v45_intake_template_dryrun	3	analysis/v45_intake_template_dryrun/pharmacodynamic_preflight/preflight_summary.json;analysis/v45_intake_template_dryrun/primary_preflight/preflight_summary.json;analysis/v45_intake_template_dryrun/template_dryrun_summary.json	PASS
scripts/v45_karolinska_access_package.py	DOCUMENTED	1	docs/validation/KAROLINSKA_DMF_LABEL_REQUEST_V45.md	1	analysis/v45_karolinska_access	2	analysis/v45_karolinska_access/karolinska_pubmed_summary.json;analysis/v45_karolinska_access/summary.json	complete
scripts/v45_leave_one_family_convergence.py	DOCUMENTED	1	docs/validation/APC_HLA_FAMILY_JACKKNIFE_V45.md	1	analysis/v45_convergence_family_jackknife	1	analysis/v45_convergence_family_jackknife/summary.json	none
scripts/v45_locked_artifact_hash_audit.py	DOCUMENTED	5	docs/validation/AUTHOR_RUN_PACKET_BUNDLE_INDEX_V45.md;docs/validation/COLLABORATOR_VALIDATION_PACKAGE_README_V45.md;docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md;docs/validation/LOCKED_ARTIFACT_HASH_AUDIT_V45.md;meta/V45_QUEUE.md	1	analysis/v45_locked_artifact_hash_audit	4	analysis/v45_locked_artifact_hash_audit/live/locked_artifact_hash_audit_summary.json;analysis/v45_locked_artifact_hash_audit/locked_artifact_hash_audit_summary.json;analysis/v45_locked_artifact_hash_audit/synthetic_fail/locked_artifact_hash_audit_summary.json;analysis/v45_locked_artifact_hash_audit/synthetic_pass/locked_artifact_hash_audit_summary.json	FAIL;PASS
scripts/v45_metadata_contradiction_stress.py	DOCUMENTED	4	docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md;docs/validation/METADATA_CONTRADICTION_STRESS_V45.md;docs/validation/VALIDATION_INTAKE_PREFLIGHT_V45.md;meta/V45_QUEUE.md	1	analysis/v45_metadata_contradiction_stress	5	analysis/v45_metadata_contradiction_stress/batch_conflict_fail/metadata_contradiction_summary.json;analysis/v45_metadata_contradiction_stress/clean_pass/metadata_contradiction_summary.json;analysis/v45_metadata_contradiction_stress/metadata_contradiction_stress_summary.json;analysis/v45_metadata_contradiction_stress/response_conflict_fail/metadata_contradiction_summary.json;analysis/v45_metadata_contradiction_stress/timepoint_conflict_fail/metadata_contradiction_summary.json	none
scripts/v45_metadata_missingness_scorer.py	DOCUMENTED	3	docs/validation/METADATA_MISSINGNESS_SCORER_V45.md;docs/validation/VALIDATION_RESULT_REPORT_TEMPLATE_V45.md;meta/V45_QUEUE.md	1	analysis/v45_metadata_missingness_scorer	3	analysis/v45_metadata_missingness_scorer/complete_fixture/metadata_missingness_summary.json;analysis/v45_metadata_missingness_scorer/synthetic_check_summary.json;analysis/v45_metadata_missingness_scorer/weak_fixture/metadata_missingness_summary.json	PASS;PASS_WITH_LIMITATIONS
scripts/v45_module_coverage_precheck.py	DOCUMENTED	8	docs/validation/AUTHOR_RUN_FROZEN_HARNESS_PACKET_V45.md;docs/validation/AUTHOR_RUN_PACKET_BUNDLE_INDEX_V45.md;docs/validation/COLLABORATOR_VALIDATION_PACKAGE_README_V45.md;docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md;docs/validation/GAFSON_ARRIVAL_RUNBOOK_V45.md;docs/validation/MODULE_COVERAGE_PRECHECK_V45.md;docs/validation/V45_READINESS_CHANGELOG.md;meta/V45_QUEUE.md	1	analysis/v45_module_coverage_precheck	2	analysis/v45_module_coverage_precheck/full_module_expression/module_coverage_precheck_summary.json;analysis/v45_module_coverage_precheck/missing_hlaii_expression/module_coverage_precheck_summary.json	FAIL_PRIMARY_MODULE_COVERAGE;PASS
scripts/v45_multiconfounder_batch_guard_simulation.py	DOCUMENTED	1	docs/validation/MULTICONFOUNDER_BATCH_GUARD_V45.md	1	analysis/v45_multiconfounder_batch_guard	1	analysis/v45_multiconfounder_batch_guard/summary.json	none
scripts/v45_no_raw_git_scanner.py	DOCUMENTED	4	docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md;docs/validation/NO_RAW_DATA_GIT_SCANNER_V45.md;docs/validation/SENSITIVE_DATA_REDACTION_CHECKLIST_V45.md;meta/V45_QUEUE.md	1	analysis/v45_no_raw_git_scanner	1	analysis/v45_no_raw_git_scanner/summary.json	PASS
scripts/v45_no_score_before_gates_linter.py	DOCUMENTED	2	docs/validation/NO_SCORE_BEFORE_GATES_LINTER_V45.md;meta/V45_QUEUE.md	1	analysis/v45_no_score_before_gates_linter	2	analysis/v45_no_score_before_gates_linter/live/no_score_before_gates_summary.json;analysis/v45_no_score_before_gates_linter/synthetic_bad/no_score_before_gates_summary.json	none
scripts/v45_opengwas_token_expiry_sentinel.py	DOCUMENTED	2	docs/validation/OPENGWAS_TOKEN_EXPIRY_SENTINEL_V45.md;meta/V45_QUEUE.md	1	analysis/v45_opengwas_token_expiry_sentinel	1	analysis/v45_opengwas_token_expiry_sentinel/opengwas_token_expiry_sentinel_summary.json	none
scripts/v45_outbound_request_packet_integrity.py	DOCUMENTED	2	docs/validation/OUTBOUND_REQUEST_PACKET_INTEGRITY_V45.md;meta/V45_QUEUE.md	1	analysis/v45_outbound_request_packet_integrity	2	analysis/v45_outbound_request_packet_integrity/live/outbound_request_packet_integrity_summary.json;analysis/v45_outbound_request_packet_integrity/synthetic_missing_packet/outbound_request_packet_integrity_summary.json	none
scripts/v45_outcome_label_dictionary_validator.py	DOCUMENTED	3	docs/validation/GAFSON_ARRIVAL_RUNBOOK_V45.md;docs/validation/OUTCOME_LABEL_DICTIONARY_VALIDATOR_V45.md;meta/V45_QUEUE.md	1	analysis/v45_outcome_label_dictionary_validator	3	analysis/v45_outcome_label_dictionary_validator/invalid_fixture/outcome_label_dictionary_validation_summary.json;analysis/v45_outcome_label_dictionary_validator/synthetic_check_summary.json;analysis/v45_outcome_label_dictionary_validator/valid_fixture/outcome_label_dictionary_validation_summary.json	FAIL;PASS
scripts/v45_pharmacodynamic_only_harness.py	DOCUMENTED	7	docs/validation/GSE228330_PHARMACODYNAMIC_RUNBOOK_V45.md;docs/validation/HARNESS_REGRESSION_TESTS_V45.md;docs/validation/KAROLINSKA_PREREGISTRATION_TEMPLATE_V45.md;docs/validation/OUTBOUND_DATA_REQUEST_TRACKER_V45.md;docs/validation/PHARMACODYNAMIC_ONLY_HARNESS_V45.md;docs/validation/VALIDATION_HARNESS_README_V45.md;meta/V45_QUEUE.md	1	analysis/v45_pharmacodynamic_only_harness	1	analysis/v45_pharmacodynamic_only_harness/synthetic_check/validation_summary.json	none
scripts/v45_postpartum_harness_pathology_simulation.py	DOCUMENTED	1	docs/validation/POSTPARTUM_PATHOLOGY_STRESS_V45.md	1	analysis/v45_postpartum_pathology	1	analysis/v45_postpartum_pathology/summary.json	none
scripts/v45_power_decision_table.py	DOCUMENTED	2	docs/validation/VALIDATION_POWER_DECISION_TABLE_V45.md;meta/V45_QUEUE.md	1	analysis/v45_power_decision_table	1	analysis/v45_power_decision_table/summary.json	none
scripts/v45_precommit_readiness_check.py	DOCUMENTED	7	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;docs/validation/COLLABORATOR_VALIDATION_PACKAGE_README_V45.md;docs/validation/GENERATED_DOC_FRESHNESS_LINTER_V45.md;docs/validation/PRECOMMIT_READINESS_CHECKLIST_V45.md;docs/validation/SENSITIVE_DATA_REDACTION_CHECKLIST_V45.md;docs/validation/V45_READINESS_CHANGELOG.md;meta/V45_QUEUE.md	1	analysis/v45_precommit_readiness	1	analysis/v45_precommit_readiness/precommit_readiness_summary.json	PASS
scripts/v45_preflight_regression_tests.py	DOCUMENTED	2	docs/validation/PREFLIGHT_REGRESSION_TESTS_V45.md;meta/V45_QUEUE.md	1	analysis/v45_preflight_regression_tests	4	analysis/v45_preflight_regression_tests/regression_summary.json;analysis/v45_preflight_regression_tests/synthetic_check/pharmacodynamic_preflight/preflight_summary.json;analysis/v45_preflight_regression_tests/synthetic_check/pharmacodynamic_response_guard_preflight/preflight_summary.json;analysis/v45_preflight_regression_tests/synthetic_check/primary_preflight/preflight_summary.json	FAIL;PASS
scripts/v45_prepare_gse228330_pharmacodynamic_runbook.py	DOCUMENTED	2	docs/validation/GSE228330_PHARMACODYNAMIC_RUNBOOK_V45.md;meta/V45_QUEUE.md	1	analysis/v45_gse228330_pharmacodynamic_runbook	1	analysis/v45_gse228330_pharmacodynamic_runbook/summary.json	none
scripts/v45_primary_harness_regression_tests.py	DOCUMENTED	3	docs/validation/PRIMARY_HARNESS_REGRESSION_TESTS_V45.md;docs/validation/V45_READINESS_CHANGELOG.md;meta/V45_QUEUE.md	2	analysis/v45_harness_regression_tests;analysis/v45_primary_harness_regression_tests	11	analysis/v45_harness_regression_tests/pharmacodynamic_only/synthetic_check/validation_summary.json;analysis/v45_harness_regression_tests/regression_summary.json;analysis/v45_harness_regression_tests/secondary_real_ingest/postpartum_null/validation_summary.json;analysis/v45_harness_regression_tests/secondary_real_ingest/postpartum_planted/validation_summary.json;analysis/v45_harness_regression_tests/secondary_real_ingest/synthetic_check_summary.json;analysis/v45_harness_regression_tests/secondary_real_ingest/tb_null/validation_summary.json;analysis/v45_harness_regression_tests/secondary_real_ingest/tb_planted/validation_summary.json;analysis/v45_primary_harness_regression_tests/regression_summary.json;analysis/v45_primary_harness_regression_tests/v42_primary_synthetic/null_result/validation_summary.json;analysis/v45_primary_harness_regression_tests/v42_primary_synthetic/planted_result/validation_summary.json;analysis/v45_primary_harness_regression_tests/v42_primary_synthetic/synthetic_check_summary.json	PASS
scripts/v45_readiness_stale_output_detector.py	DOCUMENTED	3	docs/validation/GENERATED_DOC_FRESHNESS_LINTER_V45.md;docs/validation/READINESS_STALE_OUTPUT_DETECTOR_V45.md;meta/V45_QUEUE.md	1	analysis/v45_readiness_stale_output_detector	1	analysis/v45_readiness_stale_output_detector/readiness_stale_output_detector_summary.json	PASS
scripts/v45_readiness_status_dashboard.py	DOCUMENTED	3	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;docs/validation/READINESS_STATUS_DASHBOARD_V45.md;meta/V45_QUEUE.md	1	analysis/v45_readiness_status_dashboard	1	analysis/v45_readiness_status_dashboard/readiness_status_dashboard_summary.json	READY_AWAITING_EXTERNAL_DATA
scripts/v45_received_package_decision_tree.py	DOCUMENTED	2	docs/validation/RECEIVED_PACKAGE_DECISION_TREE_V45.md;meta/V45_QUEUE.md	1	analysis/v45_received_package_decision_tree	2	analysis/v45_received_package_decision_tree/live/received_package_decision_tree_summary.json;analysis/v45_received_package_decision_tree/synthetic_premature_harness_ready/received_package_decision_tree_summary.json	none
scripts/v45_received_status_updater.py	DOCUMENTED	3	docs/validation/RECEIVED_DATA_TRIAGE_STATUS_BOARD_V45.md;docs/validation/RECEIVED_STATUS_UPDATER_V45.md;meta/V45_QUEUE.md	1	analysis/v45_received_status_updater	1	analysis/v45_received_status_updater/received_status_update_summary.json	none
scripts/v45_refresh_governance_summaries.py	DOCUMENTED	3	docs/validation/GENERATED_DOC_FRESHNESS_LINTER_V45.md;docs/validation/V45_GOVERNANCE_REFRESH.md;meta/V45_QUEUE.md	1	analysis/v45_governance_refresh	1	analysis/v45_governance_refresh/governance_refresh_summary.json	PASS
scripts/v45_regression_aggregator.py	DOCUMENTED	5	docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md;docs/validation/SYNTHETIC_OUTPUT_RETENTION_POLICY_V45.md;docs/validation/V45_READINESS_CHANGELOG.md;docs/validation/V45_REGRESSION_AGGREGATOR.md;meta/V45_QUEUE.md	1	analysis/v45_regression_aggregator	10	analysis/v45_regression_aggregator/checksum_manifest/fail_verify/manifest_audit_summary.json;analysis/v45_regression_aggregator/checksum_manifest/pass_verify/manifest_audit_summary.json;analysis/v45_regression_aggregator/regression_aggregator_summary.json;analysis/v45_regression_aggregator/response_column/gse228330_public_draft/response_column_audit_summary.json;analysis/v45_regression_aggregator/response_column/safe_pharmacodynamic_metadata/response_column_audit_summary.json;analysis/v45_regression_aggregator/response_column/unsafe_response_metadata/response_column_audit_summary.json;analysis/v45_regression_aggregator/subject_map/missing_baseline_subject_map/subject_map_summary.json;analysis/v45_regression_aggregator/subject_map/missing_followup_subject_map/subject_map_summary.json;analysis/v45_regression_aggregator/subject_map/negative_unverified_subject_map/subject_map_summary.json;analysis/v45_regression_aggregator/subject_map/valid_verified_subject_map/subject_map_summary.json	FAIL;FAIL_RESPONSE_LIKE_COLUMNS_PRESENT;PASS
scripts/v45_request_sent_updater.py	DOCUMENTED	3	docs/validation/REQUEST_SENT_UPDATER_V45.md;docs/validation/SEND_LOG_INTAKE_TEMPLATE_V45.md;meta/V45_QUEUE.md	1	analysis/v45_request_sent_updater	2	analysis/v45_request_sent_updater/synthetic_sent_fixture/request_sent_update_summary.json;analysis/v45_request_sent_updater/template_no_sends/request_sent_update_summary.json	none
scripts/v45_response_column_audit.py	DOCUMENTED	4	docs/validation/COLLABORATOR_VALIDATION_PACKAGE_README_V45.md;docs/validation/RESPONSE_COLUMN_AUDIT_V45.md;docs/validation/V45_READINESS_CHANGELOG.md;meta/V45_QUEUE.md	1	analysis/v45_response_column_audit	3	analysis/v45_response_column_audit/gse228330_public_draft/response_column_audit_summary.json;analysis/v45_response_column_audit/safe_pharmacodynamic_metadata/response_column_audit_summary.json;analysis/v45_response_column_audit/unsafe_response_metadata/response_column_audit_summary.json	FAIL_RESPONSE_LIKE_COLUMNS_PRESENT;PASS
