dataset	compartment	gene_symbol	n_ensembl_ids_present	ensembl_ids_present
GSE138746	CD4_T_cell	HLA-DPB1	1	ENSG00000223865
GSE138746	CD4_T_cell	HLA-DRA	1	ENSG00000204287
GSE138746	CD4_T_cell	HLA-DRB1	1	ENSG00000196126
GSE138746	CD4_T_cell	IFI30	1	ENSG00000216490
GSE138746	CD4_T_cell	IL1B	1	ENSG00000125538
GSE138746	CD4_T_cell	IRF1	1	ENSG00000125347
GSE138746	CD4_T_cell	LAMP1	1	ENSG00000185896
GSE138746	CD4_T_cell	LAMP2	1	ENSG00000005893
GSE138746	CD4_T_cell	LAMP3	1	ENSG00000078081
GSE138746	CD4_T_cell	LDHA	1	ENSG00000134333
GSE138746	CD4_T_cell	LIPA	1	ENSG00000107798
GSE138746	CD4_T_cell	LPL	1	ENSG00000175445
GSE138746	CD4_T_cell	MERTK	1	ENSG00000153208
GSE138746	CD4_T_cell	MSR1	1	ENSG00000038945
GSE138746	CD4_T_cell	NAMPT	1	ENSG00000105835
GSE138746	CD4_T_cell	NFKBIA	1	ENSG00000100906
GSE138746	CD4_T_cell	NLRC5	1	ENSG00000140853
GSE138746	CD4_T_cell	OSM	2	ENSG00000099985,ENSG00000136280
GSE138746	CD4_T_cell	PFKFB3	1	ENSG00000170525
GSE138746	CD4_T_cell	PLIN2	1	ENSG00000147872
GSE138746	CD4_T_cell	RFX5	1	ENSG00000143390
GSE138746	CD4_T_cell	SLC2A1	1	ENSG00000117394
GSE138746	CD4_T_cell	SPP1	1	ENSG00000154832
GSE138746	CD4_T_cell	STAT1	1	ENSG00000115415
GSE138746	CD4_T_cell	TAP1	2	ENSG00000100003,ENSG00000168394
GSE138746	CD4_T_cell	TAP2	1	ENSG00000204267
GSE138746	CD4_T_cell	TNF	1	ENSG00000232810
GSE138746	CD4_T_cell	TREM1	1	ENSG00000124731
GSE138746	CD4_T_cell	TREM2	0	
