route	gene	broad_positive_disease_count	broad_negative_disease_count	broad_ms_wm_delta_log2	broad_ms_wm_p	cross_trend_or_better_diseases	surface_resid_state_diseases	genetics_disease_count	target_first_call
PPAR_RXR_RESOLUTION	RXRA	0.0	2.0	0.3225900728107334	0.1378550861108835	0.0	0.0	0.0	
PPAR_RXR_RESOLUTION	RXRB	0.0	1.0	-0.2056771775416539	0.3068789917420298	0.0	0.0	0.0	
PPAR_RXR_RESOLUTION	RXRG	0.0	1.0	0.0		0.0	0.0	0.0	
LIPA_LAL_ENHANCEMENT	LIPA	3.0	1.0	0.4580110941773352	0.2725305004844303	3.0	5.0	0.0	
NPC1_NPC2_CHOLESTEROL_EGRESS	NPC1	2.0	0.0	-0.2072235220169123	0.2084882644038883	0.0	7.0	0.0	
NPC1_NPC2_CHOLESTEROL_EGRESS	NPC2	1.0	0.0	0.2195673330536856	0.3105004991993616	0.0	4.0	0.0	
GPNMB_REPAIR_STATE_HANDLE	GPNMB	1.0	2.0	1.4339584334150557	0.0049097425501504	1.0	3.0	0.0	
CD200_CD200R_MYeloid_RESOLUTION	CD200	3.0	0.0	1.8384397244159705	0.0908591902171466	0.0	0.0	0.0	
CD200_CD200R_MYeloid_RESOLUTION	CD200R1	0.0	3.0	0.8754679036799504	0.4636324457626696	0.0	0.0	0.0	
CD300_RESOLUTION_CHECKPOINT	CD300A	0.0	0.0	-0.3453443248914674	0.0766109345414007	0.0	0.0	0.0	
CD300_RESOLUTION_CHECKPOINT	CD300C	1.0	0.0	0.3851961285821783	0.1578067310462459	0.0	0.0	0.0	
CD300_RESOLUTION_CHECKPOINT	CD300E	3.0	0.0	-1.516556121882542	0.131192827685522	0.0	0.0	0.0	
CD300_RESOLUTION_CHECKPOINT	CD300LF	1.0	0.0	-0.0991212524448474	0.7089814372180329	0.0	0.0	0.0	
SIRPA_CD47_EATME_BALANCE	SIRPA	2.0	0.0	0.1677681996050939	0.2355404004395136	0.0	0.0	0.0	
SIRPA_CD47_EATME_BALANCE	CD47	3.0	0.0	0.2176408940367711	0.2416861608396672	0.0	0.0	0.0	
SIRPA_CD47_EATME_BALANCE	CALR	3.0	0.0	-0.3627605322732279	0.0595887198784885	0.0	0.0	0.0	
SIRPA_CD47_EATME_BALANCE	LRP1	0.0	1.0	0.064012639422339	0.7910670881988554	0.0	6.0	0.0	
IL10_RESOLUTION_AXIS	IL10	0.0	0.0	0.5386340709389863	0.0920894843746553	0.0	0.0	0.0	
IL10_RESOLUTION_AXIS	IL10RA	1.0	1.0	-0.3174369158890311	0.0985691833215868	0.0	0.0	0.0	
IL10_RESOLUTION_AXIS	IL10RB	1.0	0.0	-0.1026085231641591	0.5115088891402128	0.0	0.0	0.0	
NFE2L2_NRF2_RESOLUTION	NFE2L2	2.0	0.0	0.085481241155831	0.6808220420808544	0.0	0.0	0.0	
NFE2L2_NRF2_RESOLUTION	KEAP1	1.0	0.0	-0.0784005602263473	0.7929044701113638	0.0	0.0	0.0	
NFE2L2_NRF2_RESOLUTION	HMOX1	0.0	3.0	0.5554514869883356	0.0307342516795863	0.0	0.0	0.0	
NFE2L2_NRF2_RESOLUTION	NQO1	0.0	0.0	-0.120745954973656	0.891188377852198	0.0	0.0	0.0	
MAF_KLF4_RESOLUTION_MACROPHAGE_SWITCH	MAF	0.0	2.0	-0.1853968291999237	0.2802397575923724	0.0	0.0	0.0	
MAF_KLF4_RESOLUTION_MACROPHAGE_SWITCH	MAFB	0.0	2.0	0.6176798736915998	0.1189294357530188	0.0	0.0	0.0	
MAF_KLF4_RESOLUTION_MACROPHAGE_SWITCH	KLF4	0.0	2.0	0.0064919282525277	0.9845161376406896	0.0	0.0	0.0	
