contrast	module	source_url	present_gene_count	median_log2fc	sig_down_count	sig_up_count	sig_down_genes	sig_up_genes	fisher_down_p	fisher_up_p
SP140_siRNA_M1_4h_LPS_vs_scrambled	inflammatory_nfkb	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM3_ESM.xlsx	8	-0.014590638	0	0			1.0	1.0
SP140_siRNA_M1_4h_LPS_vs_scrambled	topoisomerase_axis	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM3_ESM.xlsx	7	0.164782064	0	0			1.0	1.0
GSK761_M1_vs_DMSO	ifn_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM5_ESM.xlsx	8	-0.0912126825	2	0	CXCL10,IRF1		0.021907966627426723	1.0
GSK761_M1_vs_DMSO	hla_ii_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM5_ESM.xlsx	7	-0.069382922	0	0			1.0	1.0
GSK761_M1_vs_DMSO	lysosomal_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM5_ESM.xlsx	7	0.020387497	0	0			1.0	1.0
GSK761_M1_vs_DMSO	lipid_loader_repair	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM5_ESM.xlsx	11	-0.079351287	0	0			1.0	1.0
GSK761_M1_vs_DMSO	inflammatory_nfkb	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM5_ESM.xlsx	9	-0.2701002539999999	3	0	CCL2,IL1B,IL6		0.0019142383328138457	1.0
GSK761_M1_vs_DMSO	topoisomerase_axis	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM5_ESM.xlsx	7	0.08785226	0	1		HMGB2	1.0	0.19183911747740737
GSK761_M1_4h_LPS_vs_DMSO	ifn_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM6_ESM.xlsx	8	-0.20503774399999997	2	0	GBP1,IRF1		0.008914052044692998	1.0
GSK761_M1_4h_LPS_vs_DMSO	hla_ii_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM6_ESM.xlsx	7	-0.1253581249999999	0	0			1.0	1.0
GSK761_M1_4h_LPS_vs_DMSO	lysosomal_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM6_ESM.xlsx	7	-0.036526701	0	0			1.0	1.0
GSK761_M1_4h_LPS_vs_DMSO	lipid_loader_repair	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM6_ESM.xlsx	12	-0.033329688999999996	1	0	ACSL1		0.201136359611548	1.0
GSK761_M1_4h_LPS_vs_DMSO	inflammatory_nfkb	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM6_ESM.xlsx	9	-0.7155916559999999	3	0	IL1B,IL6,TNFAIP3		0.0004889442904822813	1.0
GSK761_M1_4h_LPS_vs_DMSO	topoisomerase_axis	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM6_ESM.xlsx	7	0.050081068	0	0			1.0	1.0
GSK761_M1_8h_LPS_vs_DMSO	ifn_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM7_ESM.xlsx	8	-0.16473551487839	2	1	CXCL10,GBP1	STAT1	0.4879167352339271	0.8510261589319396
GSK761_M1_8h_LPS_vs_DMSO	hla_ii_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM7_ESM.xlsx	7	-0.1365334909491449	0	1		HLA-DMB	1.0	0.8109835253985609
GSK761_M1_8h_LPS_vs_DMSO	lysosomal_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM7_ESM.xlsx	7	-0.168567729000488	1	1	CTSB	LAMP1	0.7848167115481353	0.8109835253985609
GSK761_M1_8h_LPS_vs_DMSO	lipid_loader_repair	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM7_ESM.xlsx	12	0.20834822263567496	2	2	ACSL1,LIPA	MERTK,PLIN2	0.7166740237541793	0.7570801849691362
GSK761_M1_8h_LPS_vs_DMSO	inflammatory_nfkb	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM7_ESM.xlsx	9	0.599401242209421	1	4	IL6	CCL2,CXCL8,NFKBIA,NFKBIZ	0.8612874625446926	0.10188644529372294
GSK761_M1_8h_LPS_vs_DMSO	topoisomerase_axis	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM7_ESM.xlsx	7	0.1114387660150729	1	2	TOP1	HMGB2,XRCC5	0.7848167115481353	0.4553751292819433
