gene	chembl_target_chembl_id	chembl_pref_name	chembl_target_type	chembl_organism	chembl_nM_activity_count	chembl_search_url	uniprot_accession	uniprot_protein	uniprot_function_excerpt	uniprot_location	uniprot_url
SEC61A1	CHEMBL5725113	Protein transport protein Sec61 subunit alpha isoform 1	SINGLE PROTEIN	Homo sapiens	3	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SEC61A1&limit=10	P61619	Protein transport protein Sec61 subunit alpha isoform 1	Component of SEC61 channel-forming translocon complex that mediates transport of signal peptide-containing precursor polypeptides across the endoplasmic reticulum (ER) (PubMed:12475939, PubMed:22375059, PubMed:28782633, PubMed:29719251, PubMed:32814900). Forms a ribosome receptor and a gated pore in the ER membrane, both functions required for cotranslational translocation of nascent polypeptides (PubMed:22375059, PubMed:28782633, PubMed:29719251). May cooperate with auxiliary protein SEC62, SEC63 and HSPA5/BiP to enable post-translational transport of small presecretory proteins (PubMed:22375059, PubMed:29719251). The SEC61 channel is also involved in ER membrane insertion of transmembrane proteins: it mediates membrane insertion of the first few transmembrane segments of proteins, while 	Endoplasmic reticulum membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ASEC61A1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
SEC61B	CHEMBL6067175	Protein transport protein Sec61 subunit beta	SINGLE PROTEIN	Homo sapiens	4	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SEC61B&limit=10	P60468	Protein transport protein Sec61 subunit beta	Component of SEC61 channel-forming translocon complex that mediates transport of signal peptide-containing precursor polypeptides across the endoplasmic reticulum (ER) (PubMed:12475939). Forms a ribosome receptor and a gated pore in the ER membrane, both functions required for cotranslational translocation of nascent polypeptides (PubMed:12475939). The SEC61 channel is also involved in ER membrane insertion of transmembrane proteins: it mediates membrane insertion of the first few transmembrane segments of proteins, while insertion of subsequent transmembrane regions of multi-pass membrane proteins is mediated by the multi-pass translocon (MPT) complex (PubMed:32820719, PubMed:36261522). The SEC61 channel cooperates with the translocating protein TRAM1 to import nascent proteins into the E	Endoplasmic reticulum membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ASEC61B%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
ACSL1	CHEMBL4295746	Long-chain-fatty-acid--CoA ligase 1	SINGLE PROTEIN	Homo sapiens	41	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=ACSL1&limit=10	P33121	Long-chain-fatty-acid--CoA ligase 1	Catalyzes the conversion of long-chain fatty acids to their active form acyl-CoAs for both synthesis of cellular lipids, and degradation via beta-oxidation (PubMed:21242590, PubMed:22633490, PubMed:24269233). Preferentially uses palmitoleate, oleate and linoleate (PubMed:24269233). Preferentially activates arachidonate than epoxyeicosatrienoic acids (EETs) or hydroxyeicosatrienoic acids (HETEs) (By similarity)	Mitochondrion outer membrane;Peroxisome membrane;Microsome membrane;Endoplasmic reticulum membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AACSL1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
IL7R					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL7R&limit=10	P16871	Interleukin-7 receptor subunit alpha	Receptor for interleukin-7. Also acts as a receptor for thymic stromal lymphopoietin (TSLP)	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AIL7R%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
PTPRE	CHEMBL4850	Receptor-type tyrosine-protein phosphatase epsilon	SINGLE PROTEIN	Homo sapiens	61	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTPRE&limit=10	P23469	Receptor-type tyrosine-protein phosphatase epsilon	Isoform 1 and isoform 2 act as a negative regulator of FceRI-mediated signal transduction leading to cytokine production and degranulation, most likely by acting at the level of SYK to affect downstream events such as phosphorylation of SLP76 and LAT and mobilization of Ca(2+)	Cytoplasm	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APTPRE%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
PDPN					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PDPN&limit=10	Q86YL7	Podoplanin	Mediates effects on cell migration and adhesion through its different partners. During development plays a role in blood and lymphatic vessels separation by binding CLEC1B, triggering CLEC1B activation in platelets and leading to platelet activation and/or aggregation (PubMed:14522983, PubMed:15231832, PubMed:17222411, PubMed:17616532, PubMed:18215137). Interaction with CD9, on the contrary, attenuates platelet aggregation induced by PDPN (PubMed:18541721). Through MSN or EZR interaction promotes epithelial-mesenchymal transition (EMT) leading to ERZ phosphorylation and triggering RHOA activation leading to cell migration increase and invasiveness (PubMed:17046996, PubMed:21376833). Interaction with CD44 promotes directional cell migration in epithelial and tumor cells (PubMed:20962267). I	Cytoplasm, cytosol	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APDPN%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
ACSL3	CHEMBL4680023	Fatty acid CoA ligase Acsl3	SINGLE PROTEIN	Homo sapiens	8	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=ACSL3&limit=10	O95573	Fatty acid CoA ligase Acsl3	Acyl-CoA synthetases (ACSL) activates long-chain fatty acids for both synthesis of cellular lipids, and degradation via beta-oxidation (PubMed:22633490). Required for the incorporation of fatty acids into phosphatidylcholine, the major phospholipid located on the surface of VLDL (very low density lipoproteins) (PubMed:18003621). Has mainly an anabolic role in energy metabolism. Mediates hepatic lipogenesis. Preferentially uses myristate, laurate, arachidonate and eicosapentaenoate as substrates. Both isoforms exhibit the same level of activity (By similarity)	Mitochondrion outer membrane;Peroxisome membrane;Microsome membrane;Endoplasmic reticulum membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AACSL3%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CXCL8	CHEMBL2157	Interleukin-8	SINGLE PROTEIN	Homo sapiens	656	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CXCL8&limit=10	P10145	Interleukin-8	Chemotactic factor that mediates inflammatory response by attracting neutrophils, basophils, and T-cells to clear pathogens and protect the host from infection (PubMed:18692776, PubMed:7636208). Also plays an important role in neutrophil activation (PubMed:2145175, PubMed:9623510). Released in response to an inflammatory stimulus, exerts its effect by binding to the G-protein-coupled receptors CXCR1 and CXCR2, primarily found in neutrophils, monocytes and endothelial cells (PubMed:1840701, PubMed:1891716). G-protein heterotrimer (alpha, beta, gamma subunits) constitutively binds to CXCR1/CXCR2 receptor and activation by IL8 leads to beta and gamma subunits release from Galpha (GNAI2 in neutrophils) and activation of several downstream signaling pathways including PI3K and MAPK pathways (Pu	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACXCL8%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
MPHOSPH6	CHEMBL6066427	M-phase phosphoprotein 6	SINGLE PROTEIN	Homo sapiens	2	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=MPHOSPH6&limit=10	Q99547	M-phase phosphoprotein 6	RNA-binding protein that associates with the RNA exosome complex. Involved in the 3'-processing of the 7S pre-RNA to the mature 5.8S rRNA and play a role in recruiting the RNA exosome complex to pre-rRNA; this function may include C1D	Nucleus, nucleolus;Cytoplasm	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AMPHOSPH6%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
TGM2	CHEMBL2730	Protein-glutamine gamma-glutamyltransferase	SINGLE PROTEIN	Homo sapiens	807	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TGM2&limit=10	P21980	Protein-glutamine gamma-glutamyltransferase 2	Has cytotoxic activity: is able to induce apoptosis independently of its acyltransferase activity	Cytoplasm, perinuclear region	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ATGM2%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
REG1A					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=REG1A&limit=10	P05451	Lithostathine-1-alpha	Might act as an inhibitor of spontaneous calcium carbonate precipitation. May be associated with neuronal sprouting in brain, and with brain and pancreas regeneration	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AREG1A%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
PPIB	CHEMBL2075	Peptidyl-prolyl cis-trans isomerase B	SINGLE PROTEIN	Homo sapiens	156	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PPIB&limit=10	P23284	Peptidyl-prolyl cis-trans isomerase B	PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding	Endoplasmic reticulum lumen;Melanosome	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APPIB%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
NME1	CHEMBL2159	Nucleoside diphosphate kinase A	SINGLE PROTEIN	Homo sapiens	4	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=NME1&limit=10	P15531	Nucleoside diphosphate kinase A	Catalyzes the transfer of a gamma-phosphoryl group from a nucleoside triphosphate, mainly ATP, to a nucleoside diphosphate via a ping-pong mechanism involving a phosphohistidine intermediate, therefore contributing to the nucleoside triphosphate homeostasis (PubMed:10952986, PubMed:14960567, PubMed:16313181, PubMed:1851158, PubMed:23519676, PubMed:33903070, PubMed:8810265, PubMed:9038158). Also phosphorylates geranyl pyrophosphate (GPP) and farnesyl pyrophosphate (FPP), linking it to isoprenoid metabolism (PubMed:10952986). Additionally, functions as a non-specific serine/threonine kinase and histidine protein kinase, transferring phosphoryl groups from its active site to target proteins (PubMed:8529641, PubMed:9038158). May function as a Mg(2+)-dependent single-stranded DNA endonuclease a	Cytoplasm;Nucleus;Cell membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ANME1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
TNFAIP8					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TNFAIP8&limit=10	O95379	Tumor necrosis factor alpha-induced protein 8	Acts as a negative mediator of apoptosis and may play a role in tumor progression. Suppresses the TNF-mediated apoptosis by inhibiting caspase-8 activity but not the processing of procaspase-8, subsequently resulting in inhibition of BID cleavage and caspase-3 activation	Cytoplasm	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ATNFAIP8%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
FKBP1A	CHEMBL1902	Peptidyl-prolyl cis-trans isomerase FKBP1A	SINGLE PROTEIN	Homo sapiens	1023	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=FKBP1A&limit=10	P62942	Peptidyl-prolyl cis-trans isomerase FKBP1A	Keeps in an inactive conformation TGFBR1, the TGF-beta type I serine/threonine kinase receptor, preventing TGF-beta receptor activation in absence of ligand. Recruits SMAD7 to ACVR1B which prevents the association of SMAD2 and SMAD3 with the activin receptor complex, thereby blocking the activin signal. May modulate the RYR1 calcium channel activity. PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	Cytoplasm, cytosol;Sarcoplasmic reticulum membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AFKBP1A%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
HAPLN3					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=HAPLN3&limit=10	Q96S86	Hyaluronan and proteoglycan link protein 3	May function in hyaluronic acid binding	Secreted, extracellular space, extracellular matrix	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AHAPLN3%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CD74	CHEMBL4692	HLA class II histocompatibility antigen gamma chain	SINGLE PROTEIN	Homo sapiens	25	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CD74&limit=10	P04233	HLA class II histocompatibility antigen gamma chain	Stabilizes the conformation of mature CTSL by binding to its active site and serving as a chaperone to help maintain a pool of mature enzyme in endocytic compartments and extracellular space of antigen-presenting cells (APCs). Has antiviral activity by stymieing the endosomal entry of Ebola virus and coronaviruses, including SARS-CoV-2 (PubMed:32855215). Disrupts cathepsin-mediated Ebola virus glycoprotein processing, which prevents viral fusion and entry. This antiviral activity is specific to p41 isoform (PubMed:32855215)	Late endosome;Lysosome	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACD74%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
MTHFD2	CHEMBL3621036	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	SINGLE PROTEIN	Homo sapiens	65	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=MTHFD2&limit=10	P13995	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	Although its dehydrogenase activity is NAD-specific, it can also utilize NADP at a reduced efficiency	Mitochondrion	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AMTHFD2%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CASP4	CHEMBL2226	Caspase-4	SINGLE PROTEIN	Homo sapiens	61	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CASP4&limit=10	P49662	Caspase-4	(Microbial infection) In response to the Td92 surface protein of the periodontal pathogen T.denticola, activated by cathepsin CTSG which leads to production and secretion of IL1A and pyroptosis of gingival fibroblasts	Cytoplasm, cytosol;Endoplasmic reticulum membrane;Mitochondrion;Inflammasome;Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACASP4%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
ASL	CHEMBL6066328	Adenylosuccinate lyase	SINGLE PROTEIN	Homo sapiens	2	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=ASL&limit=10	P04424	Argininosuccinate lyase	Catalyzes the reversible cleavage of L-argininosuccinate to fumarate and L-arginine, an intermediate step reaction in the urea cycle mostly providing for hepatic nitrogen detoxification into excretable urea as well as de novo L-arginine synthesis in nonhepatic tissues (PubMed:11747432, PubMed:11747433, PubMed:22081021, PubMed:2263616, PubMed:9045711). Essential regulator of intracellular and extracellular L-arginine pools. As part of citrulline-nitric oxide cycle, forms tissue-specific multiprotein complexes with argininosuccinate synthase ASS1, transport protein SLC7A1 and nitric oxide synthase NOS1, NOS2 or NOS3, allowing for cell-autonomous L-arginine synthesis while channeling extracellular L-arginine to nitric oxide synthesis pathway (PubMed:22081021)		https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AASL%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
LCN2					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=LCN2&limit=10	P80188	Neutrophil gelatinase-associated lipocalin	Iron-trafficking protein involved in multiple processes such as apoptosis, innate immunity and renal development (PubMed:12453413, PubMed:20581821, PubMed:27780864). Binds iron through association with 2,3-dihydroxybenzoic acid (2,3-DHBA), a siderophore that shares structural similarities with bacterial enterobactin, and delivers or removes iron from the cell, depending on the context. Iron-bound form (holo-24p3) is internalized following binding to the SLC22A17 (24p3R) receptor, leading to release of iron and subsequent increase of intracellular iron concentration. In contrast, association of the iron-free form (apo-24p3) with the SLC22A17 (24p3R) receptor is followed by association with an intracellular siderophore, iron chelation and iron transfer to the extracellular medium, thereby re	Secreted;Cytoplasmic granule lumen;Cytoplasmic vesicle lumen	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ALCN2%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
APOL1	CHEMBL4680021	Apolipoprotein L1	SINGLE PROTEIN	Homo sapiens	593	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=APOL1&limit=10	O14791	Apolipoprotein L1	May play a role in lipid exchange and transport throughout the body. May participate in reverse cholesterol transport from peripheral cells to the liver. A component of trypanosome lytic factor of human serum; plays a crucial role in killing Trypanosoma brucei by forming pores in parasite lysosomal membranes and sensitizing T.brucei to oxidation-stimulated osmotic lysis (PubMed:12621437, PubMed:16020735, PubMed:19997494, PubMed:26645690, PubMed:7723792)	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AAPOL1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
