entity	train_support_modalities	train_joint_z	train_joint_p_analytic	train_closure_modalities	train_closure_z_max	train_empirical_entity_p	train_empirical_fwer_p	train_joint_q_bh	holdout_support_z	holdout_supported_p_lt_0_05
metabolic_sterol	2	3.5979862551011634	0.00016034528098109638	6	3.0903807621810726	0.31096890310968905	1.0	0.0005654280960912346	3.4808903002570455	True
mif_cd74_receptor_state__mixscale_validated_ifng_readout	2	3.5566038887094904	0.00018783997768348227	1	0.9434470755247945	0.32386761323867613	1.0	0.0006292639252396656	0.0	False
lysosomal_apc__mixscale_validated_ifng_readout	2	2.758337837344583	0.0029048060955732583	1	2.0499999758503282	0.5573442655734426	1.0	0.009267714685876586	0.0	False
tb_readable_compartment	1	2.6547590333403277	0.003968253968253946	1	2.575829303548901	0.5889411058894111	1.0	0.01208513708513702	2.483947308581782	True
hla_ii_apc__lysosomal_apc	2	2.6243216997143093	0.00434108686667361	2	0.26163455795553464	0.5956404359564044	1.0	0.01228552958904701	0.0	False
lipid_loader_repair__lysosomal_apc	2	2.6196667350218403	0.0044007867184646015	2	2.0499999758503282	0.5877412258774123	1.0	0.01228552958904701	0.0	False
complement_phagocytosis	1	2.576002149423304	0.004997501249375294	3	3.0903807621810726	0.6595340465953404	1.0	0.012878176296467104	0.0	False
hif_nampt_metabolic	1	2.576002149423304	0.004997501249375294	4	3.0903807621810726	0.662033796620338	1.0	0.012878176296467104	0.0	False
chr1_kif21b_gpr25	1	1.126331304077035	0.13001265610448098	2	2.575829303548901	0.7914208579142086	1.0	0.31110171282143667	0.0	False
zfp36l1	1	1.126331304077035	0.13001265610448098	1	1.6448536269514729	0.7875212478752125	1.0	0.31110171282143667	0.0	False
rel_pus10_usp34	1	0.6495497196310024	0.25799156019842606	1	2.575829303548901	0.8011198880111989	1.0	0.5960494666653291	0.0	False
cell_composition	0	0.0	1.0	1	1.6448536269514729	1.0	1.0	1.0	3.0903807621810726	True
glucocorticoid_steroid	0	0.0	1.0	1	1.6448536269514729	1.0	1.0	1.0	3.0903807621810726	True
broad_simulator	0	0.0	1.0	1	2.575829303548901	1.0	1.0	1.0	0.0	False
complement_phagocytosis__hif_nampt_metabolic	0	0.0	1.0	2	1.0051127139587983	1.0	1.0	1.0	0.0	False
complement_phagocytosis__hla_ii_apc	0	0.0	1.0	2	1.0051127139587983	1.0	1.0	1.0	0.0	False
complement_phagocytosis__ifn_apc	0	0.0	1.0	2	1.0051127139587983	1.0	1.0	1.0	0.0	False
complement_phagocytosis__lipid_loader_repair	0	0.0	1.0	2	3.0903807621810726	1.0	1.0	1.0	0.0	False
complement_phagocytosis__lysosomal_apc	0	0.0	1.0	2	2.956694906058436	1.0	1.0	1.0	0.0	False
complement_phagocytosis__mif_cd74_receptor_state	0	0.0	1.0	2	0.3425437551665319	1.0	1.0	1.0	0.0	False
complement_phagocytosis__mixscale_validated_ifng_readout	0	0.0	1.0	2	0.9637610264050842	1.0	1.0	1.0	0.0	False
ebv_ifn_imprint	0	0.0	1.0	1	2.575829303548901	1.0	1.0	1.0	0.0	False
gilt_lysosomal_apc	0	0.0	1.0	2	3.1748285874492073	1.0	1.0	1.0	0.0	False
gilt_lysosomal_apc__hla_ii_apc	0	0.0	1.0	1	2.432560086020742	1.0	1.0	1.0	0.0	False
gilt_lysosomal_apc__ifn_apc	0	0.0	1.0	1	3.1748285874492073	1.0	1.0	1.0	0.0	False
gilt_lysosomal_apc__mif_cd74_receptor_state	0	0.0	1.0	1	2.3265354233769213	1.0	1.0	1.0	0.0	False
gpr25	0	0.0	1.0	1	2.575829303548901	1.0	1.0	1.0	0.0	False
hif_nampt_metabolic__hla_ii_apc	0	0.0	1.0	3	2.8013857874475137	1.0	1.0	1.0	0.0	False
hif_nampt_metabolic__ifn_apc	0	0.0	1.0	3	3.0903807621810726	1.0	1.0	1.0	0.0	False
hif_nampt_metabolic__lipid_loader_repair	0	0.0	1.0	3	1.9790584251508037	1.0	1.0	1.0	0.0	False
hif_nampt_metabolic__lysosomal_apc	0	0.0	1.0	3	2.8013857874475137	1.0	1.0	1.0	0.0	False
hif_nampt_metabolic__mif_cd74_receptor_state	0	0.0	1.0	3	1.2761597589906284	1.0	1.0	1.0	0.0	False
hif_nampt_metabolic__mixscale_validated_ifng_readout	0	0.0	1.0	3	3.0903807621810726	1.0	1.0	1.0	0.0	False
hla_ii_apc__lipid_loader_repair	0	0.0	1.0	4	2.3912393044596754	1.0	1.0	1.0	0.0	False
ifn_apc__lipid_loader_repair	0	0.0	1.0	4	2.3912393044596754	1.0	1.0	1.0	0.0	False
kif21b	0	0.0	1.0	1	2.575829303548901	1.0	1.0	1.0	0.0	False
layer_transfer_map	0	0.0	1.0	1	2.575829303548901	1.0	1.0	1.0	0.0	False
lipid_loader_repair__mif_cd74_receptor_state	0	0.0	1.0	4	2.1345705893362235	1.0	1.0	1.0	0.0	False
lipid_loader_repair__mixscale_validated_ifng_readout	0	0.0	1.0	3	2.3912393044596754	1.0	1.0	1.0	0.0	False
locked_v7_general_cross_disease_baseline_fallback_killed	0	0.0	1.0	1	2.575829303548901	1.0	1.0	1.0	0.0	False
lysosomal_apc__mif_cd74_receptor_state	0	0.0	1.0	4	1.5833429068567682	1.0	1.0	1.0	0.0	False
mhc_hla_overlap_is_not_simple_shared_causal_biology	0	0.0	1.0	1	2.575829303548901	1.0	1.0	1.0	0.0	False
mhc_overlap_is_distinct_signal_not_simple_shared_biology	0	0.0	1.0	1	2.575829303548901	1.0	1.0	1.0	0.0	False
no_load_bearing_invariant_found_in_v26	0	0.0	1.0	1	2.575829303548901	1.0	1.0	1.0	0.0	False
no_load_bearing_invariant_was_established	0	0.0	1.0	1	2.575829303548901	1.0	1.0	1.0	0.0	False
postpartum_apc_split	0	0.0	1.0	1	2.575829303548901	1.0	1.0	1.0	0.0	False
protective_resilience_genetics	0	0.0	1.0	2	2.575829303548901	1.0	1.0	1.0	0.0	False
ptger4	0	0.0	1.0	1	2.575829303548901	1.0	1.0	1.0	0.0	False
zmiz1	0	0.0	1.0	1	2.575829303548901	1.0	1.0	1.0	0.0	False
