document	reference	status	detail
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/RECEIVED_PACKAGE_FILE_NAMING_POLICY_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/RECEIVED_PACKAGE_INTAKE_SAFETY_AUDIT_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/TARGET_PACKAGE_ACCEPTANCE_CRITERIA_V52.tsv	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/VALIDATION_PACKAGE_FIELD_DICTIONARY_V52.tsv	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/VALIDATION_PACKAGE_ROUTE_CLASSIFIER_EXAMPLES_V52.tsv	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/VALIDATION_PACKAGE_ROUTE_CLASSIFIER_V52.tsv	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/workups/genetics/CHR1_DIRECTION_MATCHED_EXPERIMENT_BLUEPRINT_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/workups/genetics/CHR1_GENOTYPE_LINKED_DATA_SPEC_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/workups/genetics/CHR1_NO_GO_COMMUNICATION_APPENDIX_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/workups/genetics/CHR1_OPERATOR_ONE_PAGE_CARD_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/workups/genetics/CHR1_PACKAGE_RESULT_REPORT_TEMPLATE_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/workups/genetics/CHR1_TARGET_RESOLUTION_DECISION_COMPACT_V52.tsv	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/workups/genetics/CHR1_WRONG_DIRECTION_CONTROL_CHECKLIST_V52.md	PASS	exists
docs/validation/PACKAGE_INTAKE_OPERATOR_QUICKSTART_V52.md	analysis/received_package_intake/<package_id>/	SKIP_PLACEHOLDER	placeholder path
docs/validation/PACKAGE_INTAKE_OPERATOR_QUICKSTART_V52.md	analysis/received_package_intake/<package_id>/manifest.tsv	SKIP_PLACEHOLDER	placeholder path
docs/validation/PACKAGE_INTAKE_OPERATOR_QUICKSTART_V52.md	analysis/received_package_intake/<package_id>/route_classification.tsv	SKIP_PLACEHOLDER	placeholder path
docs/validation/PACKAGE_INTAKE_OPERATOR_QUICKSTART_V52.md	docs/validation/INCOMING_PACKAGE_MANIFEST_TEMPLATE_V52.tsv	PASS	exists
docs/validation/PACKAGE_INTAKE_OPERATOR_QUICKSTART_V52.md	docs/validation/PACKAGE_CHECKSUM_INTAKE_CHECKLIST_V52.md	PASS	exists
docs/validation/PACKAGE_INTAKE_OPERATOR_QUICKSTART_V52.md	docs/validation/RECEIVED_PACKAGE_FILE_NAMING_POLICY_V52.md	PASS	exists
docs/validation/PACKAGE_INTAKE_OPERATOR_QUICKSTART_V52.md	scripts/v52_package_route_classifier.py	PASS	exists
docs/validation/PACKAGE_INTAKE_OPERATOR_QUICKSTART_V52.md	scripts/v52_received_intake_safety_audit.py	PASS	exists
docs/validation/PACKAGE_INTAKE_OPERATOR_QUICKSTART_V52.md	scripts/v52_validate_package_id.py	PASS	exists
analysis/received_package_intake/README.md	docs/validation/INCOMING_PACKAGE_MANIFEST_TEMPLATE_V52.tsv	PASS	exists
analysis/received_package_intake/README.md	docs/validation/PACKAGE_CHECKSUM_INTAKE_CHECKLIST_V52.md	PASS	exists
analysis/received_package_intake/README.md	docs/validation/PACKAGE_ROUTE_CLASSIFIER_STATUS_DECISION_TABLE_V52.tsv	PASS	exists
analysis/received_package_intake/README.md	docs/validation/RECEIPT_BLOCKER_TEMPLATE_V52.md	PASS	exists
analysis/received_package_intake/README.md	docs/validation/RECEIVED_PACKAGE_FILE_NAMING_POLICY_V52.md	PASS	exists
analysis/received_package_intake/README.md	scripts/v52_package_route_classifier.py	PASS	exists
analysis/received_package_intake/README.md	scripts/v52_received_intake_safety_audit.py	PASS	exists
analysis/received_package_intake/README.md	scripts/v52_validate_package_id.py	PASS	exists
docs/validation/RECEIVED_PACKAGE_INTAKE_SAFETY_AUDIT_V52.md	analysis/received_package_intake/	PASS	exists
docs/validation/RECEIVED_PACKAGE_INTAKE_SAFETY_AUDIT_V52.md	scripts/v52_received_intake_safety_audit.py	PASS	exists
docs/validation/PACKAGE_ID_VALIDATION_NOTE_V52.md	scripts/v52_validate_package_id.py	PASS	exists
docs/validation/PACKAGE_ID_VALIDATOR_REGRESSION_FIXTURE_V52.md	scripts/v52_validate_package_id.py	PASS	exists
docs/validation/RECEIVED_PACKAGE_INTAKE_SAFETY_AUDIT_REGRESSION_FIXTURE_V52.md	scripts/v52_received_intake_safety_audit.py	PASS	exists
docs/validation/DATA_OWNER_PACKAGE_README_V52.md	docs/validation/INCOMING_PACKAGE_MANIFEST_TEMPLATE_V52.tsv	PASS	exists
docs/validation/DATA_OWNER_PACKAGE_README_V52.md	docs/validation/INCOMING_PACKAGE_PREFLIGHT_CHECKLIST_V52.md	PASS	exists
docs/validation/DATA_OWNER_PACKAGE_README_V52.md	docs/validation/MANIFEST_METADATA_VS_RAW_DATA_GIT_POLICY_V52.md	PASS	exists
docs/validation/DATA_OWNER_PACKAGE_README_V52.md	docs/validation/MONITORING_MINIMUM_VIABLE_PACKAGE_CHECKLIST_V52.md	PASS	exists
docs/validation/DATA_OWNER_PACKAGE_README_V52.md	docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	PASS	exists
docs/validation/DATA_OWNER_PACKAGE_README_V52.md	docs/validation/VALIDATION_PACKAGE_ROUTE_CLASSIFIER_EXAMPLES_V52.tsv	PASS	exists
docs/validation/DATA_OWNER_PACKAGE_README_V52.md	docs/validation/VALIDATION_PACKAGE_ROUTE_CLASSIFIER_V52.tsv	PASS	exists
docs/validation/DATA_OWNER_PACKAGE_README_V52.md	docs/workups/genetics/CHR1_GENOTYPE_LINKED_DATA_SPEC_V52.md	PASS	exists
docs/validation/INCOMING_PACKAGE_MANIFEST_TEMPLATE_V52.tsv		PASS	no repository-path references
