seed	effect_scale	donors_per_context	technical_wells	donor_guide_wells_per_candidate	method	prob_any_uniform_rescue	prob_any_context_harm	prob_any_other_false	uniform_rescue_recall	selection_precision	mean_n_selected
57302	0.80	12	2	144	discovery_nomination	0.934000	0.821000	0.000000	0.515000	0.625759	3.292000
57302	0.80	12	2	144	orthogonal_safety_confirmation	0.874000	0.000000	0.000000	0.420250	1.000000	1.681000
57302	0.80	12	4	288	discovery_nomination	0.934000	0.821000	0.000000	0.515000	0.625759	3.292000
57302	0.80	12	4	288	orthogonal_safety_confirmation	0.908000	0.000000	0.000000	0.463750	1.000000	1.855000
57302	1.00	8	1	48	discovery_nomination	0.929000	0.850000	0.000000	0.537500	0.615165	3.495000
57302	1.00	8	1	48	orthogonal_safety_confirmation	0.246000	0.000000	0.000000	0.070000	1.000000	0.280000
57302	1.00	8	2	96	discovery_nomination	0.929000	0.850000	0.000000	0.537500	0.615165	3.495000
57302	1.00	8	2	96	orthogonal_safety_confirmation	0.428000	0.000000	0.000000	0.134000	1.000000	0.536000
57302	1.00	8	4	192	discovery_nomination	0.929000	0.850000	0.000000	0.537500	0.615165	3.495000
57302	1.00	8	4	192	orthogonal_safety_confirmation	0.545000	0.000000	0.000000	0.182250	1.000000	0.729000
57302	1.00	12	1	72	discovery_nomination	0.929000	0.850000	0.000000	0.537500	0.615165	3.495000
57302	1.00	12	1	72	orthogonal_safety_confirmation	0.759000	0.000000	0.000000	0.318500	1.000000	1.274000
57302	1.00	12	2	144	discovery_nomination	0.929000	0.850000	0.000000	0.537500	0.615165	3.495000
57302	1.00	12	2	144	orthogonal_safety_confirmation	0.883000	0.000000	0.000000	0.446000	1.000000	1.784000
57302	1.00	12	4	288	discovery_nomination	0.929000	0.850000	0.000000	0.537500	0.615165	3.495000
57302	1.00	12	4	288	orthogonal_safety_confirmation	0.915000	0.000000	0.000000	0.496750	1.000000	1.987000
57303	0.80	8	1	48	discovery_nomination	0.925000	0.781000	0.000000	0.504500	0.631019	3.198000
57303	0.80	8	1	48	orthogonal_safety_confirmation	0.128000	0.000000	0.000000	0.033500	1.000000	0.134000
57303	0.80	8	2	96	discovery_nomination	0.925000	0.781000	0.000000	0.504500	0.631019	3.198000
57303	0.80	8	2	96	orthogonal_safety_confirmation	0.237000	0.000000	0.000000	0.064250	1.000000	0.257000
57303	0.80	8	4	192	discovery_nomination	0.925000	0.781000	0.000000	0.504500	0.631019	3.198000
57303	0.80	8	4	192	orthogonal_safety_confirmation	0.294000	0.000000	0.000000	0.085750	1.000000	0.343000
57303	0.80	12	1	72	discovery_nomination	0.925000	0.781000	0.000000	0.504500	0.631019	3.198000
57303	0.80	12	1	72	orthogonal_safety_confirmation	0.747000	0.000000	0.000000	0.301000	1.000000	1.204000
57303	0.80	12	2	144	discovery_nomination	0.925000	0.781000	0.000000	0.504500	0.631019	3.198000
57303	0.80	12	2	144	orthogonal_safety_confirmation	0.859000	0.000000	0.000000	0.410250	1.000000	1.641000
57303	0.80	12	4	288	discovery_nomination	0.925000	0.781000	0.000000	0.504500	0.631019	3.198000
57303	0.80	12	4	288	orthogonal_safety_confirmation	0.896000	0.000000	0.000000	0.456750	1.000000	1.827000
57303	1.00	8	1	48	discovery_nomination	0.948000	0.837000	0.000000	0.555250	0.623001	3.565000
57303	1.00	8	1	48	orthogonal_safety_confirmation	0.229000	0.000000	0.000000	0.063250	1.000000	0.253000
57303	1.00	8	2	96	discovery_nomination	0.948000	0.837000	0.000000	0.555250	0.623001	3.565000
57303	1.00	8	2	96	orthogonal_safety_confirmation	0.414000	0.000000	0.000000	0.126750	1.000000	0.507000
57303	1.00	8	4	192	discovery_nomination	0.948000	0.837000	0.000000	0.555250	0.623001	3.565000
57303	1.00	8	4	192	orthogonal_safety_confirmation	0.551000	0.000000	0.000000	0.194750	1.000000	0.779000
57303	1.00	12	1	72	discovery_nomination	0.948000	0.837000	0.000000	0.555250	0.623001	3.565000
57303	1.00	12	1	72	orthogonal_safety_confirmation	0.805000	0.000000	0.000000	0.342250	1.000000	1.369000
57303	1.00	12	2	144	discovery_nomination	0.948000	0.837000	0.000000	0.555250	0.623001	3.565000
57303	1.00	12	2	144	orthogonal_safety_confirmation	0.910000	0.000000	0.000000	0.463000	1.000000	1.852000
57303	1.00	12	4	288	discovery_nomination	0.948000	0.837000	0.000000	0.555250	0.623001	3.565000
57303	1.00	12	4	288	orthogonal_safety_confirmation	0.929000	0.000000	0.000000	0.511750	1.000000	2.047000
