seed	donors	effect_scale	method	prob_any_broad_rescue	prob_any_false_promotion	broad_rescue_recall	selection_precision	mean_n_selected
57062	6	1.00	averaged_endpoint	1.000000	0.488000	0.940000	0.844564	4.452000
57062	6	1.00	replicated_broad_rescue	0.110000	0.000000	0.029500	1.000000	0.118000
57062	8	0.60	averaged_endpoint	1.000000	0.328000	0.813000	0.886104	3.670000
57062	8	0.60	replicated_broad_rescue	0.120000	0.000000	0.031000	1.000000	0.124000
57062	8	0.80	averaged_endpoint	1.000000	0.536000	0.972000	0.828998	4.690000
57062	8	0.80	replicated_broad_rescue	0.334000	0.000000	0.104000	1.000000	0.416000
57062	8	1.00	averaged_endpoint	1.000000	0.700000	0.997500	0.769379	5.186000
57062	8	1.00	replicated_broad_rescue	0.590000	0.000000	0.203000	1.000000	0.812000
57062	12	0.60	averaged_endpoint	1.000000	0.568000	0.985500	0.818862	4.814000
57062	12	0.60	replicated_broad_rescue	0.770000	0.000000	0.309500	1.000000	1.238000
57062	12	0.80	averaged_endpoint	1.000000	0.856000	0.999500	0.679701	5.882000
57062	12	0.80	replicated_broad_rescue	0.918000	0.000000	0.487500	1.000000	1.950000
57062	12	1.00	averaged_endpoint	1.000000	0.952000	0.999000	0.568421	7.030000
57062	12	1.00	replicated_broad_rescue	0.952000	0.000000	0.580000	1.000000	2.320000
57063	4	0.60	averaged_endpoint	0.456000	0.094000	0.148000	0.855491	0.692000
57063	4	0.60	replicated_broad_rescue	0.000000	0.000000	0.000000	1.000000	0.000000
57063	4	0.80	averaged_endpoint	0.718000	0.182000	0.267000	0.836991	1.276000
57063	4	0.80	replicated_broad_rescue	0.000000	0.000000	0.000000	1.000000	0.000000
57063	4	1.00	averaged_endpoint	0.876000	0.246000	0.417000	0.859794	1.940000
57063	4	1.00	replicated_broad_rescue	0.000000	0.000000	0.000000	1.000000	0.000000
57063	6	0.60	averaged_endpoint	0.918000	0.190000	0.465500	0.898649	2.072000
57063	6	0.60	replicated_broad_rescue	0.006000	0.000000	0.001500	1.000000	0.006000
57063	6	0.80	averaged_endpoint	0.998000	0.320000	0.791000	0.887269	3.566000
57063	6	0.80	replicated_broad_rescue	0.046000	0.000000	0.011500	1.000000	0.046000
57063	6	1.00	averaged_endpoint	1.000000	0.522000	0.939500	0.842601	4.460000
57063	6	1.00	replicated_broad_rescue	0.128000	0.000000	0.034000	1.000000	0.136000
57063	8	0.60	averaged_endpoint	0.998000	0.336000	0.795000	0.884316	3.596000
57063	8	0.60	replicated_broad_rescue	0.094000	0.000000	0.024500	1.000000	0.098000
57063	8	0.80	averaged_endpoint	1.000000	0.560000	0.975000	0.824524	4.730000
57063	8	0.80	replicated_broad_rescue	0.400000	0.000000	0.117500	1.000000	0.470000
57063	8	1.00	averaged_endpoint	1.000000	0.700000	0.996000	0.749436	5.316000
57063	8	1.00	replicated_broad_rescue	0.560000	0.000000	0.197000	1.000000	0.788000
57063	12	0.60	averaged_endpoint	1.000000	0.592000	0.988500	0.814250	4.856000
57063	12	0.60	replicated_broad_rescue	0.760000	0.000000	0.308500	1.000000	1.234000
57063	12	0.80	averaged_endpoint	1.000000	0.838000	0.999500	0.687414	5.816000
57063	12	0.80	replicated_broad_rescue	0.928000	0.000000	0.515000	1.000000	2.060000
57063	12	1.00	averaged_endpoint	1.000000	0.978000	1.000000	0.564334	7.088000
57063	12	1.00	replicated_broad_rescue	0.936000	0.000000	0.534000	1.000000	2.136000
