route	route_label	pert_id	cmap_name	target	moa	compound_aliases
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K45401373	betulinic-acid	GPBAR1	HIV integrase inhibitor	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K38744518	betulinic-acid	GPBAR1	HIV integrase inhibitor	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K45401373	betulinic-acid	GPBAR1	Topoisomerase inhibitor	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K38744518	betulinic-acid	GPBAR1	Topoisomerase inhibitor	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K26674531	GR-235	NR1H4	Estrogen receptor agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-A59808129	guggulsterone	NR1H4	Estrogen receptor agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-A86109770	guggulsterone	NR1H4	Estrogen receptor agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-A59808129	guggulsterone	NR1H4	Pregnane X receptor agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-A86109770	guggulsterone	NR1H4	Pregnane X receptor agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K26674531	GR-235	NR1H4	Progesterone receptor agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-A59808129	guggulsterone	NR1H4	Progesterone receptor agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-A86109770	guggulsterone	NR1H4	Progesterone receptor agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K57139258	z-guggulsterone	NR1H4	Progesterone receptor agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K45168550	SB-756050	GPBAR1	G protein-coupled receptor agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K45401373	betulinic-acid	GPBAR1	Diacylglycerol O acyltransferase inhibitor	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K38744518	betulinic-acid	GPBAR1	Diacylglycerol O acyltransferase inhibitor	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K45401373	betulinic-acid	GPBAR1	SARS coronavirus 3C-like protease inhibitor	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K38744518	betulinic-acid	GPBAR1	SARS coronavirus 3C-like protease inhibitor	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K54708045	nTZDpa	PPARG	PPAR receptor agonist	ntzdpa
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-A16694057	BADGE	PPARG	PPAR receptor antagonist	badge
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K61480498	epoxycholesterol	NR1H3	LXR agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K61480498	epoxycholesterol	NR1H2	LXR agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K33818169	GW-3965	NR1H3	LXR agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K33818169	GW-3965	NR1H2	LXR agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K23383398	T-0901317	NR1H3	LXR agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K23383398	T-0901317	NR1H2	LXR agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-A00147595	balaglitazone	PPARG	Insulin sensitizer	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K82983861	GW-0742	PPARD	Insulin sensitizer	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-A15415227	GW-1929	PPARG	Insulin sensitizer	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K14880289	GW-501516	PPARD	Insulin sensitizer	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-A48430263	pioglitazone	PPARG	Insulin sensitizer	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-A97437073	rosiglitazone	PPARG	Insulin sensitizer	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K15507868	tesaglitazar	PPARA	Insulin sensitizer	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K15507868	tesaglitazar	PPARG	Insulin sensitizer	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-A13084692	troglitazone	PPARG	Insulin sensitizer	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K23383398	T-0901317	NR1H3	ROR inverse agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K23383398	T-0901317	NR1H2	ROR inverse agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K27499107	carbacyclin	PPARD	IP receptor activator	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K98372770	L-2167	PPARD	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K46018455	bezafibrate	PPARA	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K46018455	bezafibrate	PPARD	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K46018455	bezafibrate	PPARG	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K14609189	BRD-K14609189	PPARG	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K27499107	carbacyclin	PPARD	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-A93000692	ciglitazone	PPARG	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-A49358627	ciprofibrate	PPARA	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K45252063	clofibrate	PPARA	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K19111024	clofibric-acid	PPARA	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-A24560335	efatutazone	PPARG	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K50388907	fenofibrate	PPARA	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K82983861	GW-0742	PPARD	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-A15415227	GW-1929	PPARG	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K14880289	GW-501516	PPARD	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K96263742	GW-7647	PPARA	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K86465814	HO-013	PPARG	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K40656405	L-165041	PPARD	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K66956375	oleoylethanolamide	PPARA	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-A48430263	pioglitazone	PPARG	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K01902415	pirinixic-acid	PPARA	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-A97437073	rosiglitazone	PPARG	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K15507868	tesaglitazar	PPARA	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K15507868	tesaglitazar	PPARG	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-A13084692	troglitazone	PPARG	PPAR receptor agonist	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K06080977	eicosatetraynoic-acid	PPARA	Lipoxygenase inhibitor	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K06080977	eicosatetraynoic-acid	PPARG	Lipoxygenase inhibitor	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K28849549	mesalazine	PPARG	Lipoxygenase inhibitor	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K72029282	probucol	ABCA1	Atherogenesis inhibitor	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	BRD-K57222227	indometacin	PPARG	Cyclooxygenase inhibitor	
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors		40 additional matching LINCS metadata rows omitted			
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-A38706605	BRD-A38706605			dromostanolone-propionate
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K67102207	phenylbutyrate			
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K58148589	betamethasone-dipropionate			
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-M26236717	sodium-propionate			
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K60237333	niacin	HCAR2	Vitamin B	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K60237333	niacin	HCAR3	Vitamin B	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K61993165	niacin	HCAR2	Vitamin B	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K61993165	niacin	HCAR3	Vitamin B	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K05878375	sodium-butyrate	HDAC1	HDAC inhibitor	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K97810537	beclomethasone-dipropionate	NR3C1	Immunosuppressant	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-A11319535	beclomethasone-dipropionate	NR3C1	Immunosuppressant	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-A48720949	testosterone-propionate	AR	Androgen receptor agonist	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K97810537	beclomethasone-dipropionate	NR3C1	Glucocorticoid receptor agonist	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-A11319535	beclomethasone-dipropionate	NR3C1	Glucocorticoid receptor agonist	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K62310379	fluticasone-propionate	NR3C1	Glucocorticoid receptor agonist	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K62310379	fluticasone-propionate	PGR	Glucocorticoid receptor agonist	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K15196155	IBC-293	HCAR3	Hydroxycarboxylic acid receptor agonist	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K60237333	niacin	HCAR2	NAD precursor with lipid lowering effects	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K60237333	niacin	HCAR3	NAD precursor with lipid lowering effects	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K61993165	niacin	HCAR2	NAD precursor with lipid lowering effects	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K61993165	niacin	HCAR3	NAD precursor with lipid lowering effects	
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	BRD-K58550667	FK-866	NAMPT	Niacinamide phosphoribosyltransferase inhibitor	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K89085489	fenretinide	RARA	Apoptosis stimulant	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K28168037	fenretinide	RARA	Apoptosis stimulant	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K22429181	retinol	RXRA	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K22429181	retinol	RXRB	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K22429181	retinol	RXRG	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K13927029	retinol	RXRA	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K13927029	retinol	RXRB	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K13927029	retinol	RXRG	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K71879491	tretinoin	RARA	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K71879491	tretinoin	RARB	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K71879491	tretinoin	RARG	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K71879491	tretinoin	RORB	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K06926592	tretinoin	RARA	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K06926592	tretinoin	RARB	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K06926592	tretinoin	RARG	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K06926592	tretinoin	RORB	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K64634304	tretinoin	RARA	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K64634304	tretinoin	RARB	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K64634304	tretinoin	RARG	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K64634304	tretinoin	RORB	Retinoid receptor ligand	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K93176058	AC-55649	RARA	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K93176058	AC-55649	RARB	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K62012036	acitretin	RARA	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K62012036	acitretin	RXRG	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K90699611	acitretin	RARA	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K90699611	acitretin	RXRG	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K33127281	adapalene	RARA	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K33127281	adapalene	RARB	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K33127281	adapalene	RARG	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K00152668	adarotene	RARB	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K00152668	adarotene	RARG	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K35483542	alitretinoin	RARA	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K35483542	alitretinoin	RARB	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K35483542	alitretinoin	RARG	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K35483542	alitretinoin	RXRA	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K35483542	alitretinoin	RXRB	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K35483542	alitretinoin	RXRG	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K06854232	AM-580	RARA	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K92441787	bexarotene	RXRA	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K92441787	bexarotene	RXRB	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K92441787	bexarotene	RXRG	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K09619322	CD-1530	RARG	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K25737009	CD-1530	RARG	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K28907958	CD-437	RARG	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K89085489	fenretinide	RARA	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K28168037	fenretinide	RARA	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K76723084	isotretinoin	RARA	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K76723084	isotretinoin	RARB	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K76723084	isotretinoin	RARG	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	BRD-K06593056	LE-135	RARB	Retinoid receptor agonist	
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis		47 additional matching LINCS metadata rows omitted			
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K20755323	SKI-II	SPHK1	Sphingosine kinase inhibitor	SA-792728
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K88025533	fingolimod	S1PR1	Immunosuppressant	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K88025533	fingolimod	S1PR3	Immunosuppressant	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K88025533	fingolimod	S1PR5	Immunosuppressant	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K88025533	fingolimod	S1PR4	Immunosuppressant	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-A70814879	ABC-294640	SPHK2	Sphingosine kinase inhibitor	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K79877282	PF-543	SPHK1	Sphingosine kinase inhibitor	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K12401458	BRD-K12401458	S1PR4	Lysophospholipid receptor agonist	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K14048378	BRD-K14048378	S1PR3	Lysophospholipid receptor agonist	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K14236372	BRD-K14236372	S1PR3	Lysophospholipid receptor agonist	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K16618170	BRD-K16618170	S1PR3	Lysophospholipid receptor agonist	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K15601958	SEW-2871	S1PR1	Lysophospholipid receptor agonist	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K43330982	JTE-013	S1PR2	Lysophospholipid receptor antagonist	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K88025533	fingolimod	S1PR1	Sphingosine 1 phosphate receptor agonist	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K88025533	fingolimod	S1PR3	Sphingosine 1 phosphate receptor agonist	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K88025533	fingolimod	S1PR5	Sphingosine 1 phosphate receptor agonist	
s1p_receptors	S1P receptor trafficking / barrier axis	BRD-K88025533	fingolimod	S1PR4	Sphingosine 1 phosphate receptor agonist	
eicosanoid_receptors	Eicosanoid / leukotriene / prostaglandin sensors	BRD-K08807999	NO-ASA	PTGS2	Cyclooxygenase inhibitor	no-asa
eicosanoid_receptors	Eicosanoid / leukotriene / prostaglandin sensors	BRD-K93632104	salicylic-acid	PTGS1	Cyclooxygenase inhibitor	sodium-salicylate
eicosanoid_receptors	Eicosanoid / leukotriene / prostaglandin sensors	BRD-K93632104	salicylic-acid	PTGS1	Prostanoid receptor inhibitor	sodium-salicylate
eicosanoid_receptors	Eicosanoid / leukotriene / prostaglandin sensors	BRD-K93632104	salicylic-acid	PTGS1	Prostanoid receptor antagonist	sodium-salicylate
