gene	routes	broad_tested_compartment_count	broad_positive_compartment_count	broad_negative_compartment_count	broad_positive_fdr10_compartment_count	broad_negative_fdr10_compartment_count	broad_positive_disease_count	broad_negative_disease_count	broad_positive_diseases	broad_negative_diseases	top_positive_compartments	ms_wm_delta_log2	ms_wm_p	discovery_priority_score	residual_summary_present	raw_positive_disease_count	retained_positive_disease_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	top_retained_tests	residual_gate_priority_score	residual_test_rows	residual_raw_positive_diseases_from_tests	residual_retained_positive_diseases_from_tests	residual_direction_retained_diseases_from_tests	best_residual_p	best_raw_p	wave19_controller_call	wave19_controller_classes	wave19_controller_local_score	wave19_residual_state_support_diseases	wave19_lysosomal_route	wave19_lysosomal_local_call	local_genetics_rows	local_genetics_max_score	local_genetics_disease_count_any	local_genetics_diseases_any	local_genetics_disease_count_ge_0_5	local_genetics_diseases_ge_0_5	expression_only_flag
RARG	retinoid_vdr_rxr	17	4	0	0	0	2	0	Crohn disease;type 1 diabetes mellitus		t1d_ductal_cell:2.08,p=0.00071;t1d_stellate_cell:1.58,p=0.0018;t1d_acinar_cell:0.93,p=0.023;ibd_crohn_myeloid:1.25,p=0.039	-0.3463666011204802	0.402722295225937	10.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
SPHK1	s1p_receptors	17	3	0	0	0	2	0	Crohn disease;ulcerative colitis		ibd_uc_myeloid:1.77,p=0.0039;ibd_crohn_myeloid:1.76,p=0.0051;ibd_uc_stromal:2.54,p=0.0059	-0.2330839352489686	0.5703384651785814	9.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
AHR	ahr_tryptophan	17	2	0	0	0	2	0	Crohn disease;ulcerative colitis		ibd_uc_epithelial:1.11,p=0.015;ibd_crohn_epithelial:1.07,p=0.018	0.4506701497294898	0.2713383380918425	8.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
TDO2	ahr_tryptophan	7	2	0	0	0	2	0	Crohn disease;Sjogren syndrome		sjogren_gland_stromal:1.09,p=0.016;ibd_crohn_stromal:2.01,p=0.02			8.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
VDR	retinoid_vdr_rxr	17	3	1	0	0	2	1	Crohn disease;ulcerative colitis	ulcerative colitis	ibd_uc_myeloid:2.96,p=0.028;ibd_crohn_stromal:1.5,p=0.042;ibd_uc_stromal:1.36,p=0.049	0.4839545599171346	0.21765266584024	5.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
GPR183	eicosanoid_receptors	17	2	1	0	0	2	1	Crohn disease;Sjogren syndrome	psoriasis	ibd_crohn_epithelial:1.13,p=0.032;sjogren_gland_epithelial:0.594,p=0.043	-0.1364089401905186	0.6637151735644201	4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
KMO	ahr_tryptophan	12	2	1	0	0	2	1	Sjogren syndrome;psoriasis	psoriasis	sjogren_gland_epithelial:0.332,p=0.012;psoriasis_keratinocyte:0.443,p=0.034	-1.2943947928349324	0.2922794392354674	4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
HAAO	ahr_tryptophan	17	2	3	0	1	2	2	Sjogren syndrome;type 1 diabetes mellitus	Crohn disease;ulcerative colitis	t1d_ductal_cell:1.29,p=0.0014;sjogren_gland_stromal:0.492,p=0.018	-0.831444660303756	0.3544311358994664	-0.9794579312601962	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
PTGER4	eicosanoid_receptors	17	2	3	0	1	2	3	Crohn disease;type 1 diabetes mellitus	Crohn disease;psoriasis;ulcerative colitis	ibd_crohn_epithelial:0.911,p=0.0034;t1d_ductal_cell:0.859,p=0.017	0.272141637998347	0.3034072589589571	-4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
ALDH1A2	retinoid_vdr_rxr	17	1	0	0	0	1	0	Crohn disease		ibd_crohn_epithelial:1.02,p=0.042	3.0531486828780094	0.0216530121921289	11.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
SPHK2	s1p_receptors	17	1	0	0	0	1	0	type 1 diabetes mellitus		t1d_ductal_cell:0.997,p=0.028	-0.2001290407786111	0.2136525568159845	4.171477290666585	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
S1PR5	s1p_receptors	8	1	0	0	0	1	0	psoriasis		psoriasis_skin_stromal:0.684,p=0.014	-2.016735674222939	0.0866606248082532	4.091469930752287	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
CYP24A1	retinoid_vdr_rxr	3	1	0	0	0	1	0	psoriasis		psoriasis_keratinocyte:3.02,p=0.014			4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
CYP27B1	retinoid_vdr_rxr	17	1	0	0	0	1	0	ulcerative colitis		ibd_uc_myeloid:1.79,p=0.041	-1.7409435583044155	0.1086839275705688	4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
GPBAR1	bile_acid_fxr_tgr5	17	1	0	0	0	1	0	type 1 diabetes mellitus		t1d_endothelial_cell:1.31,p=0.031	-0.4473677560319666	0.7006084739471476	4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
IDO2	ahr_tryptophan	8	1	0	0	0	1	0	Crohn disease		ibd_crohn_myeloid:2.23,p=0.007			4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
NR1H2	ppar_lxr_lipid_nuclear	17	1	0	0	0	1	0	type 1 diabetes mellitus		t1d_ductal_cell:0.35,p=0.014	0.0646192467591699	0.8274524136837126	4.0	False	0	0	0	0			0.0	0						DEMOTE_LOCAL_TRIAGE	lysosomal_lipid_controller	2.0	0.0	PPAR_LXR_cholesterol_efflux_activation		0	0.0	0		0		True
PPARG	ppar_lxr_lipid_nuclear	16	1	2	0	0	1	2	ulcerative colitis	psoriasis;ulcerative colitis	ibd_uc_myeloid:1.37,p=0.036	1.33861418076643	0.0023372069061631	4.0	True	0	0	0	0			0.0	238				0.0016838100663703	0.0034322232158895	DEMOTE_LOCAL_TRIAGE	lysosomal_lipid_controller	-3.0	0.0	PPAR_LXR_cholesterol_efflux_activation		0	0.0	0		0		True
RARB	retinoid_vdr_rxr	14	1	0	0	0	1	0	ulcerative colitis		ibd_uc_stromal:1.83,p=0.0058	-0.995835842981616	0.3956912011359629	4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
S1PR4	s1p_receptors	13	1	0	0	0	1	0	Crohn disease		ibd_crohn_myeloid:2.43,p=0.018	-0.2316346056971374	0.8535914831463017	4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
RARA	retinoid_vdr_rxr	17	2	1	0	0	1	1	type 1 diabetes mellitus	psoriasis	t1d_endothelial_cell:1.31,p=0.03;t1d_ductal_cell:1.04,p=0.034	0.0065111941798141	0.9898131154979394	1.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
ARNT	ahr_tryptophan	17	1	1	0	0	1	1	Crohn disease	Sjogren syndrome	ibd_crohn_epithelial:0.573,p=0.034	0.0468569442685495	0.7851511593718614	0.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
CYP1A1	ahr_tryptophan	11	1	1	0	0	1	1	psoriasis	type 1 diabetes mellitus	psoriasis_skin_stromal:2.19,p=0.049			0.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
PTGER2	eicosanoid_receptors	17	1	1	0	0	1	1	type 1 diabetes mellitus	psoriasis	t1d_stellate_cell:1.7,p=0.0027	-1.0355282490505529	0.3191013577898975	0.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
AHRR	ahr_tryptophan	17	1	2	0	0	1	1	psoriasis	ulcerative colitis	psoriasis_keratinocyte:0.626,p=0.04	-0.626224169257791	0.6158081031259017	-1.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
NR1H3	ppar_lxr_lipid_nuclear	17	2	2	0	0	1	2	type 1 diabetes mellitus	psoriasis;ulcerative colitis	t1d_acinar_cell:0.471,p=0.034;t1d_ductal_cell:1.09,p=0.047	0.9212173629129756	0.2094063049703438	-3.0	True	0	0	0	0			0.0	238				0.0085154244271217	0.0290336030777432	DEMOTE_LOCAL_TRIAGE	lysosomal_lipid_controller	-3.0	0.0	PPAR_LXR_cholesterol_efflux_activation		24	0.0986519381403923	1	MS	0		True
NR1H4	bile_acid_fxr_tgr5	11	1	2	0	0	1	2	type 1 diabetes mellitus	Crohn disease;ulcerative colitis	t1d_ductal_cell:1.99,p=0.034			-4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
OXER1	eicosanoid_receptors	17	1	3	0	0	1	2	type 1 diabetes mellitus	Crohn disease;ulcerative colitis	t1d_stellate_cell:1.12,p=0.042	-0.0614067321554765	0.8669954983534306	-5.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
PTGS1	eicosanoid_receptors	17	1	3	0	0	1	3	type 1 diabetes mellitus	Crohn disease;psoriasis;ulcerative colitis	t1d_endothelial_cell:1.59,p=0.029	0.2090993043490616	0.3581659034140797	-8.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
ABCA1	ppar_lxr_lipid_nuclear	17	0	1	0	0	0	1		type 1 diabetes mellitus		0.6056046515502906	0.0344909063382469	3.0	False	0	0	0	0			0.0	0						DEMOTE_LOCAL_TRIAGE	lysosomal_lipid_controller	-2.5	0.0	PPAR_LXR_cholesterol_efflux_activation		24	0.0	0		0		False
PTGER3	eicosanoid_receptors	17	0	0	0	0	0	0				1.5674297191974744	0.1088029848577542	2.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
ALOX5	eicosanoid_receptors	13	0	0	0	0	0	0				-0.4872919102940258	0.3442255520732666	1.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
ALDH1A3	retinoid_vdr_rxr	15	0	0	0	0	0	0				-0.8000871870658726	0.4973019110857111	0.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
ALOX5AP	eicosanoid_receptors	17	0	0	0	0	0	0				-0.1801656221914065	0.2363661763908398	0.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
FFAR3	scfa_ffar_hcar	7	0	0	0	0	0	0				-0.2786921069092285	0.3986416528551088	0.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
LTB4R	eicosanoid_receptors	17	0	0	0	0	0	0				-0.7124329942174041	0.012556210475751	0.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
NR0B2	bile_acid_fxr_tgr5	7	0	0	0	0	0	0						0.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
PPARA	ppar_lxr_lipid_nuclear	17	0	0	0	0	0	0				-0.1159367355437837	0.6938446521810258	0.0	False	0	0	0	0			0.0	0						DEMOTE_LOCAL_TRIAGE	alternate_inhibitory_or_lipid_sensor_controller	0.0	0.0			0	0.0	0		0		False
PTGDR	eicosanoid_receptors	11	0	0	0	0	0	0				0.9773606471622228	0.3819014445792242	0.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
PTGFR	eicosanoid_receptors	11	0	0	0	0	0	0						0.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
S1PR3	s1p_receptors	16	0	0	0	0	0	0				-0.3070594008594431	0.8302312978749058	0.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
SLC5A8	scfa_ffar_hcar	4	0	0	0	0	0	0						0.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
TBXA2R	eicosanoid_receptors	11	0	0	0	0	0	0				-1.8685392943588035	0.0763835199230651	0.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
CYP1B1	ahr_tryptophan	17	0	1	0	0	0	1		type 1 diabetes mellitus		-0.6023845774338508	0.2965901394261897	-4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
CYSLTR2	eicosanoid_receptors	11	0	1	0	0	0	1		psoriasis		-0.7511465228104699	0.4708884319619031	-4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
LTB4R2	eicosanoid_receptors	15	0	1	0	0	0	1		type 1 diabetes mellitus		-1.4195138003016972	0.2202313858894921	-4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
PPARD	ppar_lxr_lipid_nuclear	17	0	1	0	0	0	1		Sjogren syndrome		-0.3397741564339185	0.4029211146308484	-4.0	False	0	0	0	0			0.0	0						DEMOTE_LOCAL_TRIAGE	alternate_inhibitory_or_lipid_sensor_controller	-2.5	0.0			0	0.0	0		0		False
RXRB	ppar_lxr_lipid_nuclear;retinoid_vdr_rxr	14	0	1	0	0	0	1		Crohn disease		-0.2056771775416539	0.3068789917420298	-4.0	False	0	0	0	0			0.0	0						DEMOTE_LOCAL_TRIAGE	alternate_inhibitory_or_lipid_sensor_controller	-2.5	0.0			0	0.0	0		0		False
RXRG	ppar_lxr_lipid_nuclear;retinoid_vdr_rxr	11	0	1	0	0	0	1		type 1 diabetes mellitus				-4.0	False	0	0	0	0			0.0	0						DEMOTE_LOCAL_TRIAGE	alternate_inhibitory_or_lipid_sensor_controller	-2.5	0.0			0	0.0	0		0		False
S1PR1	s1p_receptors	14	0	1	0	0	0	1		Sjogren syndrome		-0.1773341765823053	0.8205649362071199	-4.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
ABCG1	ppar_lxr_lipid_nuclear	17	0	4	0	0	0	3		Crohn disease;psoriasis;type 1 diabetes mellitus		0.8150581476256988	0.014073891674355	-6.0	False	0	0	0	0			0.0	0						DEMOTE_LOCAL_TRIAGE	lysosomal_lipid_controller	-7.5	0.0	PPAR_LXR_cholesterol_efflux_activation		0	0.0	0		0		False
RXRA	ppar_lxr_lipid_nuclear;retinoid_vdr_rxr	17	0	2	0	0	0	2		type 1 diabetes mellitus;ulcerative colitis		0.3225900728107334	0.1378550861108835	-6.0	False	0	0	0	0			0.0	0						DEMOTE_LOCAL_TRIAGE	alternate_inhibitory_or_lipid_sensor_controller	-5.0	0.0			0	0.0	0		0		False
ALDH1A1	retinoid_vdr_rxr	17	0	2	0	0	0	2		Crohn disease;ulcerative colitis		-1.0247804941563583	0.3896546113553746	-7.687445511283904	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
CYSLTR1	eicosanoid_receptors	17	0	2	0	0	0	2		psoriasis;type 1 diabetes mellitus		-0.7688337156466645	0.3867871599405776	-8.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
PTGER1	eicosanoid_receptors	12	0	2	0	0	0	2		Sjogren syndrome;type 1 diabetes mellitus		-1.5825211111072712	0.0975191267958601	-8.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
S1PR2	s1p_receptors	17	0	2	0	0	0	2		Crohn disease;ulcerative colitis		-0.1786743411631821	0.833677950213635	-8.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
PTGDR2	eicosanoid_receptors	12	0	3	0	0	0	2		psoriasis;ulcerative colitis		-0.6331372418747439	0.5462363967769682	-9.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		False
