dataset	celltype_column	celltype	gene	n_cells	pct_detected	mean_expression
sjogren_salivary	cell_type	effector CD8-positive, alpha-beta T cell	KIF21B	2422	0.03550784475639967	0.07841798380128025
sjogren_salivary	cell_type	endothelial cell	KIF21B	5750	0.004	0.006350343165190324
sjogren_salivary	cell_type	fibroblast	KIF21B	11625	0.001118279569892473	0.0016127560830885364
sjogren_salivary	cell_type	inflammatory macrophage	KIF21B	787	0.015247776365946633	0.019615233626117244
sjogren_salivary	cell_type	ionocyte	KIF21B	405	0.0	0.0
sjogren_salivary	cell_type	mature NK T cell	KIF21B	402	0.017412935323383085	0.034608225917341695
sjogren_salivary	cell_type	myoepithelial cell	KIF21B	3862	0.0028482651475919213	0.002036096837809517
sjogren_salivary	cell_type	pro-T cell	KIF21B	111	0.036036036036036036	0.06700185182932261
sjogren_salivary	cell_type	smooth muscle cell	KIF21B	474	0.0	0.0
sjogren_salivary	cell_type	B cell	CXCL17	1117	0.005371530886302597	0.011218259989841772
sjogren_salivary	cell_type	CD4-positive, alpha-beta T cell	CXCL17	3270	0.004281345565749235	0.010675221298812727
sjogren_salivary	cell_type	CD8-positive, alpha-beta cytotoxic T cell	CXCL17	2032	0.0034448818897637795	0.00818185514117789
sjogren_salivary	cell_type	CD8-positive, alpha-beta regulatory T cell	CXCL17	74	0.0	0.0
sjogren_salivary	cell_type	IgA plasma cell	CXCL17	8916	0.01155226558995065	0.012265612364998577
sjogren_salivary	cell_type	IgG plasma cell	CXCL17	1975	0.011139240506329114	0.021823928009105636
sjogren_salivary	cell_type	acinar cell of salivary gland	CXCL17	47033	0.21136223502647078	0.36149198378133324
sjogren_salivary	cell_type	alternatively activated macrophage	CXCL17	504	0.017857142857142856	0.029085232211010798
sjogren_salivary	cell_type	dendritic cell	CXCL17	404	0.022277227722772276	0.039230547033914244
sjogren_salivary	cell_type	duct epithelial cell	CXCL17	3064	0.49281984334203655	1.079374262017463
sjogren_salivary	cell_type	effector CD8-positive, alpha-beta T cell	CXCL17	2422	0.004128819157720892	0.01013225907633661
sjogren_salivary	cell_type	endothelial cell	CXCL17	5750	0.016869565217391306	0.033211148407148276
sjogren_salivary	cell_type	fibroblast	CXCL17	11625	0.008258064516129033	0.016468067953663488
sjogren_salivary	cell_type	inflammatory macrophage	CXCL17	787	0.015247776365946633	0.028643038403124488
sjogren_salivary	cell_type	ionocyte	CXCL17	405	0.05925925925925926	0.098042991279084
sjogren_salivary	cell_type	mature NK T cell	CXCL17	402	0.0	0.0
sjogren_salivary	cell_type	myoepithelial cell	CXCL17	3862	0.19445882962195754	0.26830045739598746
sjogren_salivary	cell_type	pro-T cell	CXCL17	111	0.12612612612612611	0.24092626786446786
sjogren_salivary	cell_type	smooth muscle cell	CXCL17	474	0.012658227848101266	0.03139046199211088
psoriasis_skin	cell_type	Langerhans cell	GPR25	43	0.0	0.0
psoriasis_skin	cell_type	basal cell of epidermis	GPR25	257	0.0	0.0
psoriasis_skin	cell_type	cytotoxic T cell	GPR25	1341	0.0	0.0
psoriasis_skin	cell_type	dendritic cell, human	GPR25	475	0.0	0.0
psoriasis_skin	cell_type	endothelial cell	GPR25	3238	0.0	0.0
psoriasis_skin	cell_type	endothelial cell of lymphatic vessel	GPR25	360	0.0	0.0
psoriasis_skin	cell_type	erythrocyte	GPR25	26	0.0	0.0
psoriasis_skin	cell_type	fibroblast	GPR25	842	0.0	0.0
psoriasis_skin	cell_type	fibroblast of papillary layer of dermis	GPR25	1804	0.0	0.0
psoriasis_skin	cell_type	granular cell of epidermis	GPR25	1168	0.0	0.0
psoriasis_skin	cell_type	hair follicular keratinocyte	GPR25	526	0.0	0.0
psoriasis_skin	cell_type	helper T cell	GPR25	344	0.0	0.0
psoriasis_skin	cell_type	macrophage	GPR25	355	0.0	0.0
psoriasis_skin	cell_type	melanocyte of skin	GPR25	204	0.0	0.0
psoriasis_skin	cell_type	monocyte	GPR25	213	0.0	0.0
psoriasis_skin	cell_type	natural killer cell	GPR25	63	0.0	0.0
psoriasis_skin	cell_type	pericyte	GPR25	3700	0.0002702702702702703	0.0002702702702702703
psoriasis_skin	cell_type	regulatory T cell	GPR25	182	0.0	0.0
psoriasis_skin	cell_type	skin fibroblast	GPR25	1353	0.0	0.0
psoriasis_skin	cell_type	spinous cell of epidermis	GPR25	3684	0.0002714440825190011	0.0002714440825190011
psoriasis_skin	cell_type	suprabasal keratinocyte	GPR25	3948	0.0	0.0
psoriasis_skin	cell_type	Langerhans cell	KIF21B	43	0.023255813953488372	0.023255813953488372
psoriasis_skin	cell_type	basal cell of epidermis	KIF21B	257	0.07003891050583658	0.07003891050583658
psoriasis_skin	cell_type	cytotoxic T cell	KIF21B	1341	0.0738255033557047	0.0924683072334079
psoriasis_skin	cell_type	dendritic cell, human	KIF21B	475	0.02526315789473684	0.031578947368421054
psoriasis_skin	cell_type	endothelial cell	KIF21B	3238	0.04663372452130945	0.05713403335392218
psoriasis_skin	cell_type	endothelial cell of lymphatic vessel	KIF21B	360	0.027777777777777776	0.027777777777777776
psoriasis_skin	cell_type	erythrocyte	KIF21B	26	0.0	0.0
psoriasis_skin	cell_type	fibroblast	KIF21B	842	0.009501187648456057	0.009501187648456057
psoriasis_skin	cell_type	fibroblast of papillary layer of dermis	KIF21B	1804	0.004988913525498891	0.004988913525498891
psoriasis_skin	cell_type	granular cell of epidermis	KIF21B	1168	0.011986301369863013	0.0136986301369863
psoriasis_skin	cell_type	hair follicular keratinocyte	KIF21B	526	0.0038022813688212928	0.0038022813688212928
psoriasis_skin	cell_type	helper T cell	KIF21B	344	0.10174418604651163	0.125
psoriasis_skin	cell_type	macrophage	KIF21B	355	0.04507042253521127	0.056338028169014086
psoriasis_skin	cell_type	melanocyte of skin	KIF21B	204	0.00980392156862745	0.00980392156862745
psoriasis_skin	cell_type	monocyte	KIF21B	213	0.018779342723004695	0.023474178403755867
psoriasis_skin	cell_type	natural killer cell	KIF21B	63	0.06349206349206349	0.07936507936507936
psoriasis_skin	cell_type	pericyte	KIF21B	3700	0.008648648648648649	0.01054054054054054
psoriasis_skin	cell_type	regulatory T cell	KIF21B	182	0.08791208791208792	0.0989010989010989
psoriasis_skin	cell_type	skin fibroblast	KIF21B	1353	0.008130081300813009	0.008869179600886918
psoriasis_skin	cell_type	spinous cell of epidermis	KIF21B	3684	0.00515743756786102	0.005700325732899023
psoriasis_skin	cell_type	suprabasal keratinocyte	KIF21B	3948	0.015450861195542046	0.016210739614994935
