analysis	module	n_genes_present	genes_present	status	path
ibd_uc_myeloid	c1q_core	3	C1QA,C1QB,C1QC	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_myeloid	c1q_phagolysosomal	12	C1QA,C1QB,C1QC,C3,C3AR1,C5AR1,TYROBP,TREM2,APOE,CD68,CSF1R,CX3CR1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_myeloid	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_myeloid	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_myeloid	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_myeloid	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_myeloid	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_epithelial	osm_ligand_inflammatory	7	OSM,IL1B,TNF,CSF2,CCL2,CXCL8,NFKBIA	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_epithelial	osmr_receptor_response	11	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CXCL1,CXCL2,CXCL8,CCL2,SERPINE1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_epithelial	osm_osmr_core	6	OSM,OSMR,IL6ST,LIFR,STAT3,SOCS3	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_epithelial	c1q_core	3	C1QA,C1QB,C1QC	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_epithelial	c1q_phagolysosomal	12	C1QA,C1QB,C1QC,C3,C3AR1,C5AR1,TYROBP,TREM2,APOE,CD68,CSF1R,CX3CR1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_epithelial	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_epithelial	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_epithelial	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_epithelial	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_epithelial	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_epithelial	osm_ligand_inflammatory	7	OSM,IL1B,TNF,CSF2,CCL2,CXCL8,NFKBIA	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_epithelial	osmr_receptor_response	11	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CXCL1,CXCL2,CXCL8,CCL2,SERPINE1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_epithelial	osm_osmr_core	6	OSM,OSMR,IL6ST,LIFR,STAT3,SOCS3	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_epithelial	c1q_core	3	C1QA,C1QB,C1QC	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_epithelial	c1q_phagolysosomal	12	C1QA,C1QB,C1QC,C3,C3AR1,C5AR1,TYROBP,TREM2,APOE,CD68,CSF1R,CX3CR1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_epithelial	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_epithelial	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_epithelial	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_epithelial	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_epithelial	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
psoriasis_skin_apc	osm_ligand_inflammatory	6	OSM,IL1B,CSF2,CCL2,CXCL8,NFKBIA	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_skin_apc	osmr_receptor_response	12	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CXCL1,CXCL2,CXCL8,CCL2,SERPINE1,SOD2	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_skin_apc	osm_osmr_core	6	OSM,OSMR,IL6ST,LIFR,STAT3,SOCS3	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_skin_apc	c1q_core	3	C1QA,C1QB,C1QC	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_skin_apc	c1q_phagolysosomal	12	C1QA,C1QB,C1QC,C3,C3AR1,C5AR1,TYROBP,TREM2,APOE,CD68,CSF1R,CX3CR1	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_skin_apc	ifn_apc	6	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_skin_apc	inflammatory_nfkb	6	IL1B,CXCL8,CCL2,NFKBIA,TREM1,OSM	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_skin_apc	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_skin_apc	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_skin_apc	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_keratinocyte	osm_ligand_inflammatory	6	OSM,IL1B,CSF2,CCL2,CXCL8,NFKBIA	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_keratinocyte	osmr_receptor_response	12	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CXCL1,CXCL2,CXCL8,CCL2,SERPINE1,SOD2	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_keratinocyte	osm_osmr_core	6	OSM,OSMR,IL6ST,LIFR,STAT3,SOCS3	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_keratinocyte	c1q_core	3	C1QA,C1QB,C1QC	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_keratinocyte	c1q_phagolysosomal	12	C1QA,C1QB,C1QC,C3,C3AR1,C5AR1,TYROBP,TREM2,APOE,CD68,CSF1R,CX3CR1	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_keratinocyte	ifn_apc	6	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_keratinocyte	inflammatory_nfkb	6	IL1B,CXCL8,CCL2,NFKBIA,TREM1,OSM	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_keratinocyte	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_keratinocyte	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
psoriasis_keratinocyte	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	completed	data/raw_v3/cell_state/psoriasis_skin.h5ad
sjogren_gland_apc	osm_ligand_inflammatory	7	OSM,IL1B,TNF,CSF2,CCL2,CXCL8,NFKBIA	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_apc	osmr_receptor_response	12	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CXCL1,CXCL2,CXCL8,CCL2,SERPINE1,SOD2	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_apc	osm_osmr_core	6	OSM,OSMR,IL6ST,LIFR,STAT3,SOCS3	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_apc	c1q_core	3	C1QA,C1QB,C1QC	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_apc	c1q_phagolysosomal	12	C1QA,C1QB,C1QC,C3,C3AR1,C5AR1,TYROBP,TREM2,APOE,CD68,CSF1R,CX3CR1	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_apc	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_apc	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_apc	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_apc	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_apc	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_epithelial	osm_ligand_inflammatory	7	OSM,IL1B,TNF,CSF2,CCL2,CXCL8,NFKBIA	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_epithelial	osmr_receptor_response	12	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CXCL1,CXCL2,CXCL8,CCL2,SERPINE1,SOD2	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_epithelial	osm_osmr_core	6	OSM,OSMR,IL6ST,LIFR,STAT3,SOCS3	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_epithelial	c1q_core	3	C1QA,C1QB,C1QC	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_epithelial	c1q_phagolysosomal	12	C1QA,C1QB,C1QC,C3,C3AR1,C5AR1,TYROBP,TREM2,APOE,CD68,CSF1R,CX3CR1	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_epithelial	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_epithelial	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_epithelial	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_epithelial	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
sjogren_gland_epithelial	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	completed	data/raw_v3/cell_state/sjogren_salivary.h5ad
t1d_beta_cell	osm_ligand_inflammatory	7	OSM,IL1B,TNF,CSF2,CCL2,CXCL8,NFKBIA	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_beta_cell	osmr_receptor_response	11	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CXCL1,CXCL2,CXCL8,CCL2,SERPINE1	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_beta_cell	osm_osmr_core	6	OSM,OSMR,IL6ST,LIFR,STAT3,SOCS3	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_beta_cell	c1q_core	3	C1QA,C1QB,C1QC	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_beta_cell	c1q_phagolysosomal	12	C1QA,C1QB,C1QC,C3,C3AR1,C5AR1,TYROBP,TREM2,APOE,CD68,CSF1R,CX3CR1	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_beta_cell	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_beta_cell	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_beta_cell	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_beta_cell	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_beta_cell	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_ductal_cell	osm_ligand_inflammatory	7	OSM,IL1B,TNF,CSF2,CCL2,CXCL8,NFKBIA	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_ductal_cell	osmr_receptor_response	11	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CXCL1,CXCL2,CXCL8,CCL2,SERPINE1	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_ductal_cell	osm_osmr_core	6	OSM,OSMR,IL6ST,LIFR,STAT3,SOCS3	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_ductal_cell	c1q_core	3	C1QA,C1QB,C1QC	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_ductal_cell	c1q_phagolysosomal	12	C1QA,C1QB,C1QC,C3,C3AR1,C5AR1,TYROBP,TREM2,APOE,CD68,CSF1R,CX3CR1	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_ductal_cell	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_ductal_cell	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_ductal_cell	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_ductal_cell	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_ductal_cell	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_acinar_cell	osm_ligand_inflammatory	7	OSM,IL1B,TNF,CSF2,CCL2,CXCL8,NFKBIA	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_acinar_cell	osmr_receptor_response	11	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CXCL1,CXCL2,CXCL8,CCL2,SERPINE1	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_acinar_cell	osm_osmr_core	6	OSM,OSMR,IL6ST,LIFR,STAT3,SOCS3	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_acinar_cell	c1q_core	3	C1QA,C1QB,C1QC	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_acinar_cell	c1q_phagolysosomal	12	C1QA,C1QB,C1QC,C3,C3AR1,C5AR1,TYROBP,TREM2,APOE,CD68,CSF1R,CX3CR1	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_acinar_cell	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_acinar_cell	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_acinar_cell	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_acinar_cell	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
t1d_acinar_cell	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	completed	data/raw_v3/cell_state/t1d_hpap_islet.h5ad
GSE111972	osm_ligand_inflammatory	7	OSM,IL1B,TNF,CSF2,CCL2,CXCL8,NFKBIA	completed	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz
GSE111972	osmr_receptor_response	12	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CXCL1,CXCL2,CXCL8,CCL2,SERPINE1,SOD2	completed	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz
GSE111972	osm_osmr_core	6	OSM,OSMR,IL6ST,LIFR,STAT3,SOCS3	completed	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz
GSE111972	c1q_core	3	C1QA,C1QB,C1QC	completed	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz
GSE111972	c1q_phagolysosomal	12	C1QA,C1QB,C1QC,C3,C3AR1,C5AR1,TYROBP,TREM2,APOE,CD68,CSF1R,CX3CR1	completed	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz
GSE111972	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	completed	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz
GSE111972	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM	completed	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz
GSE111972	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	completed	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz
GSE111972	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1	completed	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz
GSE111972	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	completed	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz
