Sample_ID	SegmentDisplayName	geo_accession	series	title	location	Type_main	Patient_ID	Slide.Name	Run	is_ms	in_author_figure4	dcc_gz_name	dcc_deposited	slide name	available_qc_pass	gene_detection_rate	retained_after_reconstructible_qc
DSP-1001660021306-A-B02	DSP-1001660021306-A-B02	GSM8210360	GSE264094	MS2_RIM_rep3	lesion rim	BRL_RIM	MS2	DSP-1001660021306-A	GSE264094	True	True	GSM8210360_DSP-1001660021306-A-B02.dcc.gz	True	DSP-1001660021306-A	TRUE	0.11372276061466	TRUE
DSP-1001660021306-A-B04	DSP-1001660021306-A-B04	GSM8210361	GSE264094	MS2_RIM_rep4	lesion rim	BRL_RIM	MS2	DSP-1001660021306-A	GSE264094	True	True	GSM8210361_DSP-1001660021306-A-B04.dcc.gz	True	DSP-1001660021306-A	TRUE	0.193607110349628	TRUE
DSP-1001660021306-A-B06	DSP-1001660021306-A-B06	GSM8210362	GSE264094	MS16b_NAWM_rep1	nawm/ppwm	NAWM_PPWM	MS16	DSP-1001660021306-A	GSE264094	True	False	GSM8210362_DSP-1001660021306-A-B06.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0261819350002677	FALSE
DSP-1001660021306-A-B08	DSP-1001660021306-A-B08	GSM8210363	GSE264094	MS16b_NAWM_rep2	nawm/ppwm	NAWM_PPWM	MS16	DSP-1001660021306-A	GSE264094	True	False	GSM8210363_DSP-1001660021306-A-B08.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0175081651228784	FALSE
DSP-1001660021306-A-B10	DSP-1001660021306-A-B10	GSM8210364	GSE264094	MS16b_NAWM_rep3	nawm/ppwm	NAWM_PPWM	MS16	DSP-1001660021306-A	GSE264094	True	False	GSM8210364_DSP-1001660021306-A-B10.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0271456872088665	FALSE
DSP-1001660021306-A-B12	DSP-1001660021306-A-B12	GSM8210365	GSE264094	MS16b_NAWM_rep4	nawm/ppwm	NAWM_PPWM	MS16	DSP-1001660021306-A	GSE264094	True	False	GSM8210365_DSP-1001660021306-A-B12.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0328746586710928	FALSE
DSP-1001660021306-A-C02	DSP-1001660021306-A-C02	GSM8210366	GSE264094	MS16b_RIM_rep1	lesion rim	BRL_RIM	MS16	DSP-1001660021306-A	GSE264094	True	False	GSM8210366_DSP-1001660021306-A-C02.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0124216951330513	FALSE
DSP-1001660021306-A-C04	DSP-1001660021306-A-C04	GSM8210367	GSE264094	MS16b_RIM_rep2	lesion rim	BRL_RIM	MS16	DSP-1001660021306-A	GSE264094	True	False	GSM8210367_DSP-1001660021306-A-C04.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0282165229961985	FALSE
DSP-1001660021306-A-C06	DSP-1001660021306-A-C06	GSM8210368	GSE264094	MS16b_RIM_rep3	lesion rim	BRL_RIM	MS16	DSP-1001660021306-A	GSE264094	True	False	GSM8210368_DSP-1001660021306-A-C06.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0159019114418804	FALSE
DSP-1001660021306-A-C08	DSP-1001660021306-A-C08	GSM8210369	GSE264094	MS16b_RIM_rep4	lesion rim	BRL_RIM	MS16	DSP-1001660021306-A	GSE264094	True	False	GSM8210369_DSP-1001660021306-A-C08.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0137602398672164	FALSE
DSP-1001660021306-A-E02	DSP-1001660021306-A-E02	GSM8210370	GSE264094	MS20_NAWM_rep1	nawm/ppwm	NAWM_PPWM	MS20	DSP-1001660021306-A	GSE264094	True	False	GSM8210370_DSP-1001660021306-A-E02.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0308936124645286	FALSE
DSP-1001660021306-A-E04	DSP-1001660021306-A-E04	GSM8210371	GSE264094	MS20_NAWM_rep2	nawm/ppwm	NAWM_PPWM	MS20	DSP-1001660021306-A	GSE264094	True	False	GSM8210371_DSP-1001660021306-A-E04.dcc.gz	True	DSP-1001660021306-A	TRUE	0.00760293409005729	FALSE
DSP-1001660021306-A-E06	DSP-1001660021306-A-E06	GSM8210372	GSE264094	MS20_NAWM_rep3	nawm/ppwm	NAWM_PPWM	MS20	DSP-1001660021306-A	GSE264094	True	False	GSM8210372_DSP-1001660021306-A-E06.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0255929753172351	FALSE
DSP-1001660021306-A-E08	DSP-1001660021306-A-E08	GSM8210373	GSE264094	MS20_NAWM_rep4	nawm/ppwm	NAWM_PPWM	MS20	DSP-1001660021306-A	GSE264094	True	False	GSM8210373_DSP-1001660021306-A-E08.dcc.gz	True	DSP-1001660021306-A	TRUE	0.00642501472399208	FALSE
DSP-1001660021306-A-E10	DSP-1001660021306-A-E10	GSM8210374	GSE264094	MS20_RIM_rep1	lesion rim	BRL_RIM	MS20	DSP-1001660021306-A	GSE264094	True	False	GSM8210374_DSP-1001660021306-A-E10.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0211490067998072	FALSE
DSP-1001660021306-A-E12	DSP-1001660021306-A-E12	GSM8210375	GSE264094	MS20_RIM_rep2	lesion rim	BRL_RIM	MS20	DSP-1001660021306-A	GSE264094	True	False	GSM8210375_DSP-1001660021306-A-E12.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0298763184665632	FALSE
DSP-1001660021306-A-F02	DSP-1001660021306-A-F02	GSM8210376	GSE264094	MS20_RIM_rep3	lesion rim	BRL_RIM	MS20	DSP-1001660021306-A	GSE264094	True	False	GSM8210376_DSP-1001660021306-A-F02.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0241473470043369	FALSE
DSP-1001660021306-A-F04	DSP-1001660021306-A-F04	GSM8210377	GSE264094	MS20_RIM_rep4	lesion rim	BRL_RIM	MS20	DSP-1001660021306-A	GSE264094	True	False	GSM8210377_DSP-1001660021306-A-F04.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0203458799593082	FALSE
DSP-1001660021306-A-G02	DSP-1001660021306-A-G02	GSM8210378	GSE264094	MS17_RIM_rep1	lesion rim	BRL_RIM	MS17	DSP-1001660021306-A	GSE264094	True	True	GSM8210378_DSP-1001660021306-A-G02.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0420838464421481	FALSE
DSP-1001660021306-A-G04	DSP-1001660021306-A-G04	GSM8210379	GSE264094	MS17_RIM_rep2	lesion rim	BRL_RIM	MS17	DSP-1001660021306-A	GSE264094	True	True	GSM8210379_DSP-1001660021306-A-G04.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0366761257161214	FALSE
DSP-1001660021306-A-G12	DSP-1001660021306-A-G12	GSM8210380	GSE264094	MS17_NAWM_rep1	nawm/ppwm	NAWM_PPWM	MS17	DSP-1001660021306-A	GSE264094	True	False	GSM8210380_DSP-1001660021306-A-G12.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0288590244685977	FALSE
DSP-1001660021306-A-H04	DSP-1001660021306-A-H04	GSM8210381	GSE264094	MS17_NAWM_rep2	nawm/ppwm	NAWM_PPWM	MS17	DSP-1001660021306-A	GSE264094	True	False	GSM8210381_DSP-1001660021306-A-H04.dcc.gz	True	DSP-1001660021306-A	TRUE	0.0363013331905552	FALSE
DSP-1001660023887-B-A02	DSP-1001660023887-B-A02	GSM8630198	GSE281805	MS19_mixed1	mixed rim	mixed_RIM	MS19	DSP-1001660023887-B	GSE281805	True	False	GSM8630198_DSP-1001660023887-B-A02.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0266638111045671	FALSE
DSP-1001660023887-B-A04	DSP-1001660023887-B-A04	GSM8630199	GSE281805	MS19_mixed2	mixed rim	mixed_RIM	MS19	DSP-1001660023887-B	GSE281805	True	False	GSM8630199_DSP-1001660023887-B-A04.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0281094394174653	FALSE
DSP-1001660023887-B-A06	DSP-1001660023887-B-A06	GSM8630200	GSE281805	MS19_mixed3	mixed rim	mixed_RIM	MS19	DSP-1001660023887-B	GSE281805	True	True	GSM8630200_DSP-1001660023887-B-A06.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0381217540290196	FALSE
DSP-1001660023887-B-A08	DSP-1001660023887-B-A08	GSM8630201	GSE281805	MS19_mixed4	mixed rim	mixed_RIM	MS19	DSP-1001660023887-B	GSE281805	True	True	GSM8630201_DSP-1001660023887-B-A08.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0313219467794614	FALSE
DSP-1001660023887-B-A10	DSP-1001660023887-B-A10	GSM8630202	GSE281805	MS19_NAWM1	nawm	NAWM	MS19	DSP-1001660023887-B	GSE281805	True	False	GSM8630202_DSP-1001660023887-B-A10.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0271456872088665	FALSE
DSP-1001660023887-B-A12	DSP-1001660023887-B-A12	GSM8630203	GSE281805	MS19_NAWM2	nawm	NAWM	MS19	DSP-1001660023887-B	GSE281805	True	False	GSM8630203_DSP-1001660023887-B-A12.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0424586389677143	FALSE
DSP-1001660023887-B-B02	DSP-1001660023887-B-B02	GSM8630204	GSE281805	MS19_NAWM3	nawm	NAWM	MS19	DSP-1001660023887-B	GSE281805	True	False	GSM8630204_DSP-1001660023887-B-B02.dcc.gz	True	DSP-1001660023887-B	TRUE	0.036729667505488	FALSE
DSP-1001660023887-B-B04	DSP-1001660023887-B-B04	GSM8630205	GSE281805	MS19_NAWM4	nawm	NAWM	MS19	DSP-1001660023887-B	GSE281805	True	False	GSM8630205_DSP-1001660023887-B-B04.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0466348985383091	FALSE
DSP-1001660023887-B-B06	DSP-1001660023887-B-B06	GSM8630206	GSE281805	MS2b_active1	active center	active_center	MS2	DSP-1001660023887-B	GSE281805	True	True	GSM8630206_DSP-1001660023887-B-B06.dcc.gz	True	DSP-1001660023887-B	TRUE	0.07024682764898	TRUE
DSP-1001660023887-B-B08	DSP-1001660023887-B-B08	GSM8630207	GSE281805	MS2b_active2	active center	active_center	MS2	DSP-1001660023887-B	GSE281805	True	True	GSM8630207_DSP-1001660023887-B-B08.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0896824971890561	TRUE
DSP-1001660023887-B-B10	DSP-1001660023887-B-B10	GSM8630208	GSE281805	MS2b_active3	active center	active_center	MS2	DSP-1001660023887-B	GSE281805	True	True	GSM8630208_DSP-1001660023887-B-B10.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0968035551748139	TRUE
DSP-1001660023887-B-B12	DSP-1001660023887-B-B12	GSM8630209	GSE281805	MS2b_active4	active center	active_center	MS2	DSP-1001660023887-B	GSE281805	True	True	GSM8630209_DSP-1001660023887-B-B12.dcc.gz	True	DSP-1001660023887-B	TRUE	0.148471381913584	TRUE
DSP-1001660023887-B-C02	DSP-1001660023887-B-C02	GSM8630210	GSE281805	MS2b_NAWM5	nawm	NAWM	MS2	DSP-1001660023887-B	GSE281805	True	False	GSM8630210_DSP-1001660023887-B-C02.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0928414627616855	TRUE
DSP-1001660023887-B-C04	DSP-1001660023887-B-C04	GSM8630211	GSE281805	MS2b_NAWM6	nawm	NAWM	MS2	DSP-1001660023887-B	GSE281805	True	False	GSM8630211_DSP-1001660023887-B-C04.dcc.gz	True	DSP-1001660023887-B	TRUE	0.11324088451036	TRUE
DSP-1001660023887-B-C06	DSP-1001660023887-B-C06	GSM8630212	GSE281805	MS2b_NAWM7	nawm	NAWM	MS2	DSP-1001660023887-B	GSE281805	True	False	GSM8630212_DSP-1001660023887-B-C06.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0771001766879049	TRUE
DSP-1001660023887-B-C08	DSP-1001660023887-B-C08	GSM8630213	GSE281805	MS2b_NAWM8	nawm	NAWM	MS2	DSP-1001660023887-B	GSE281805	True	False	GSM8630213_DSP-1001660023887-B-C08.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0690153664935482	TRUE
DSP-1001660023887-B-C10	DSP-1001660023887-B-C10	GSM8630214	GSE281805	MS2b_NAWM9	nawm	NAWM	MS2	DSP-1001660023887-B	GSE281805	True	False	GSM8630214_DSP-1001660023887-B-C10.dcc.gz	True	DSP-1001660023887-B	TRUE	0.108903999571666	TRUE
DSP-1001660023887-B-C12	DSP-1001660023887-B-C12	GSM8630215	GSE281805	MS5a_active1	active center	active_center	MS5	DSP-1001660023887-B	GSE281805	True	True	GSM8630215_DSP-1001660023887-B-C12.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0772608020560047	TRUE
DSP-1001660023887-B-D02	DSP-1001660023887-B-D02	GSM8630216	GSE281805	MS5a_active2	active center	active_center	MS5	DSP-1001660023887-B	GSE281805	True	True	GSM8630216_DSP-1001660023887-B-D02.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0590565936713605	TRUE
DSP-1001660023887-B-D04	DSP-1001660023887-B-D04	GSM8630217	GSE281805	MS5a_active3	active center	active_center	MS5	DSP-1001660023887-B	GSE281805	True	True	GSM8630217_DSP-1001660023887-B-D04.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0693366172297478	TRUE
DSP-1001660023887-B-D06	DSP-1001660023887-B-D06	GSM8630218	GSE281805	MS5a_active4	active center	active_center	MS5	DSP-1001660023887-B	GSE281805	True	True	GSM8630218_DSP-1001660023887-B-D06.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0796166407881351	TRUE
DSP-1001660023887-B-D08	DSP-1001660023887-B-D08	GSM8630219	GSE281805	MS5a_NAWM1	nawm	NAWM	MS5	DSP-1001660023887-B	GSE281805	True	False	GSM8630219_DSP-1001660023887-B-D08.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0309471542538952	FALSE
DSP-1001660023887-B-D10	DSP-1001660023887-B-D10	GSM8630220	GSE281805	MS5a_NAWM2	nawm	NAWM	MS5	DSP-1001660023887-B	GSE281805	True	False	GSM8630220_DSP-1001660023887-B-D10.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0206671306955078	FALSE
DSP-1001660023887-B-D12	DSP-1001660023887-B-D12	GSM8630221	GSE281805	MS5a_NAWM3	nawm	NAWM	MS5	DSP-1001660023887-B	GSE281805	True	False	GSM8630221_DSP-1001660023887-B-D12.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0283771483642983	FALSE
DSP-1001660023887-B-E02	DSP-1001660023887-B-E02	GSM8630222	GSE281805	MS5a_NAWM4	nawm	NAWM	MS5	DSP-1001660023887-B	GSE281805	True	False	GSM8630222_DSP-1001660023887-B-E02.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0134925309203834	FALSE
DSP-1001660023887-B-E04	DSP-1001660023887-B-E04	GSM8630223	GSE281805	MS5a_brl1	brl rim	BRL_RIM	MS5	DSP-1001660023887-B	GSE281805	True	True	GSM8630223_DSP-1001660023887-B-E04.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0482946940086738	FALSE
DSP-1001660023887-B-E06	DSP-1001660023887-B-E06	GSM8630224	GSE281805	MS5a_brl2	brl rim	BRL_RIM	MS5	DSP-1001660023887-B	GSE281805	True	True	GSM8630224_DSP-1001660023887-B-E06.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0388177972907855	FALSE
DSP-1001660023887-B-E08	DSP-1001660023887-B-E08	GSM8630225	GSE281805	MS5a_brl3	brl rim	BRL_RIM	MS5	DSP-1001660023887-B	GSE281805	True	True	GSM8630225_DSP-1001660023887-B-E08.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0564865877817637	TRUE
DSP-1001660023887-B-E10	DSP-1001660023887-B-E10	GSM8630226	GSE281805	MS5a_brl4	brl rim	BRL_RIM	MS5	DSP-1001660023887-B	GSE281805	True	True	GSM8630226_DSP-1001660023887-B-E10.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0583605504095947	TRUE
DSP-1001660023887-B-E12	DSP-1001660023887-B-E12	GSM8630227	GSE281805	MS5b_brl5	brl rim	BRL_RIM	MS5	DSP-1001660023887-B	GSE281805	True	True	GSM8630227_DSP-1001660023887-B-E12.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0562724206242973	TRUE
DSP-1001660023887-B-F02	DSP-1001660023887-B-F02	GSM8630228	GSE281805	MS5b_brl6	brl rim	BRL_RIM	MS5	DSP-1001660023887-B	GSE281805	True	True	GSM8630228_DSP-1001660023887-B-F02.dcc.gz	True	DSP-1001660023887-B	TRUE	0.047330941800075	FALSE
DSP-1001660023887-B-F04	DSP-1001660023887-B-F04	GSM8630229	GSE281805	MS5b_brl7	brl rim	BRL_RIM	MS5	DSP-1001660023887-B	GSE281805	True	True	GSM8630229_DSP-1001660023887-B-F04.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0744766290089415	TRUE
DSP-1001660023887-B-F06	DSP-1001660023887-B-F06	GSM8630230	GSE281805	MS5b_brl8	brl rim	BRL_RIM	MS5	DSP-1001660023887-B	GSE281805	True	True	GSM8630230_DSP-1001660023887-B-F06.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0844354018311292	TRUE
DSP-1001660023887-B-F08	DSP-1001660023887-B-F08	GSM8630231	GSE281805	MS5b_NAWM1	nawm	NAWM	MS5	DSP-1001660023887-B	GSE281805	True	False	GSM8630231_DSP-1001660023887-B-F08.dcc.gz	True	DSP-1001660023887-B	TRUE	0.0661776516571184	TRUE
