Sample_ID	spearman	Type_main	Patient_ID
DSP-1001660023889-D-B01	0.837332859248905	active_center	MS2
DSP-1001660023889-D-B03	0.837014084876125	active_center	MS2
DSP-1001660023889-D-B05	0.848104229290067	active_center	MS2
DSP-1001660023889-D-B07	0.828394005154996	active_center	MS2
DSP-1001660023889-D-C05	0.890236365815834	mixed_RIM	MS25
DSP-1001660023889-D-C07	0.89147164234737	mixed_RIM	MS25
DSP-1001660023889-D-C09	0.891415586700873	mixed_RIM	MS25
DSP-1001660023889-D-C11	0.875109439042157	mixed_RIM	MS25
DSP-1001660023889-D-D09	0.89546741189339	mixed_RIM	MS27
DSP-1001660023889-D-D11	0.868317097096067	mixed_RIM	MS27
DSP-1001660023889-D-E01	0.8834201191354	mixed_RIM	MS27
DSP-1001660023889-D-E03	0.876201907879522	mixed_RIM	MS27
DSP-1001660023889-D-F01	0.838833755111185	active_center	MS27
DSP-1001660023889-D-F03	0.845043388878045	active_center	MS27
DSP-1001660023889-D-F05	0.836116387388472	active_center	MS27
DSP-1001660023889-D-F07	0.842526607898996	active_center	MS27
DSP-1001660023889-D-F09	0.852359677289937	active_center	MS27
DSP-1001660023889-D-F11	0.857069542670445	active_center	MS27
DSP-1001660023889-D-G09	0.870084891591586	active_center	MS8
DSP-1001660023889-D-G10	0.841848589579541	active_center	MS8
DSP-1001660023889-D-G11	0.861532503760639	active_center	MS8
DSP-1001660023889-D-G12	0.863201150831967	active_center	MS8
DSP-1001660023889-D-H01	0.84668318126368	active_center	MS27
DSP-1001660023889-D-H03	0.846502708578344	active_center	MS27
DSP-1001660023889-D-H05	0.854224546792604	active_center	MS27
DSP-1001660023889-D-H07	0.849841414521012	active_center	MS27
DSP-1001660023890-E-B02	0.809315583737878	active_center	MS13
DSP-1001660023890-E-B04	0.808901510759952	active_center	MS13
DSP-1001660023890-E-B06	0.819034306057137	active_center	MS13
DSP-1001660023890-E-B08	0.810811676798993	active_center	MS13
DSP-1001660023890-E-B10	0.871684963871631	BRL_RIM	MS2
DSP-1001660023890-E-B12	0.884969441904797	BRL_RIM	MS2
DSP-1001660023890-E-C02	0.882479147335238	BRL_RIM	MS2
DSP-1001660023890-E-C04	0.886407773063157	BRL_RIM	MS2
DSP-1001660023890-E-D02	0.888710833521158	mixed_RIM	MS26
DSP-1001660023890-E-D04	0.892686263763071	mixed_RIM	MS26
DSP-1001660023890-E-E06	0.890570870605568	mixed_RIM	MS27
DSP-1001660023890-E-E08	0.872519933761358	mixed_RIM	MS27
DSP-1001660023890-E-E10	0.869982831092578	mixed_RIM	MS27
DSP-1001660023890-E-E12	0.886550864769653	mixed_RIM	MS27
DSP-1001660023890-E-F12	0.86619265326701	BRL_RIM	MS4
DSP-1001660023890-E-G02	0.890129641715994	BRL_RIM	MS4
DSP-1001660023890-E-G04	0.858805492245135	BRL_RIM	MS4
DSP-1001660023890-E-G06	0.810919787602256	active_center	MS28
DSP-1001660024095-F-B03	0.881117668010097	mixed_RIM	MS24
DSP-1001660024095-F-B05	0.875346146947095	mixed_RIM	MS24
DSP-1001660024095-F-B07	0.873232214691625	mixed_RIM	MS24
DSP-1001660024095-F-B09	0.875940076263084	mixed_RIM	MS24
DSP-1001660024095-F-C09	0.881514442891625	mixed_RIM	MS24
DSP-1001660024095-F-C11	0.887048335114007	mixed_RIM	MS24
DSP-1001660024095-F-D01	0.873891599027954	mixed_RIM	MS24
