analysis	disease_name	compartment	gene	n_feature_columns
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CXCL9	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	DAP	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	FABP5	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IFI30	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IL2RG	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IRF1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	JAK1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	JAK2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	LAMP3	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	LGALS3	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	LIPA	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	MERTK	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	MSR1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	NR1H3	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	PIKFYVE	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	PPARG	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	SCARB2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	SDC4	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	SNX10	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	STAT1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	TFE3	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	TFEB	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	TREM2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	TYK2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	TYROBP	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	APOC1	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	BIRC3	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	C15ORF48	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD300A	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD300E	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD300LF	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	CHI3L1	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSB	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSL	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	CTSS	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	CXCL9	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	DAP	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	FABP5	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	IFI30	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	IL2RG	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	IRF1	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	JAK1	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	JAK2	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	LAMP3	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	LGALS3	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	LIPA	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	MERTK	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	MSR1	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	NR1H3	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	PIKFYVE	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	PPARG	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	SCARB2	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	SDC4	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	SNX10	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	STAT1	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	TFE3	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	TFEB	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	TREM2	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	TYK2	1
ibd_crohn_epithelial	Crohn disease	colon epithelial	TYROBP	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	APOC1	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	BIRC3	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	C15ORF48	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	CD300A	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	CD300E	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	CD300LF	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	CHI3L1	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	CTSB	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	CTSL	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	CTSS	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	CXCL9	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	DAP	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	FABP5	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	IFI30	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	IL2RG	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	IRF1	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	JAK1	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	JAK2	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	LAMP3	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	LGALS3	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	LIPA	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	MERTK	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	MSR1	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	NR1H3	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	PIKFYVE	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	PPARG	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	SCARB2	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	SDC4	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	SNX10	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	STAT1	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	TFE3	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	TFEB	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	TREM2	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	TYK2	1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	TYROBP	1
ibd_crohn_stromal	Crohn disease	colon stromal	APOC1	1
ibd_crohn_stromal	Crohn disease	colon stromal	BIRC3	1
ibd_crohn_stromal	Crohn disease	colon stromal	C15ORF48	1
ibd_crohn_stromal	Crohn disease	colon stromal	CD300A	1
ibd_crohn_stromal	Crohn disease	colon stromal	CD300E	1
ibd_crohn_stromal	Crohn disease	colon stromal	CD300LF	1
ibd_crohn_stromal	Crohn disease	colon stromal	CHI3L1	1
ibd_crohn_stromal	Crohn disease	colon stromal	CTSB	1
ibd_crohn_stromal	Crohn disease	colon stromal	CTSL	1
ibd_crohn_stromal	Crohn disease	colon stromal	CTSS	1
ibd_crohn_stromal	Crohn disease	colon stromal	CXCL9	1
ibd_crohn_stromal	Crohn disease	colon stromal	DAP	1
ibd_crohn_stromal	Crohn disease	colon stromal	FABP5	1
ibd_crohn_stromal	Crohn disease	colon stromal	IFI30	1
ibd_crohn_stromal	Crohn disease	colon stromal	IL2RG	1
ibd_crohn_stromal	Crohn disease	colon stromal	IRF1	1
ibd_crohn_stromal	Crohn disease	colon stromal	JAK1	1
ibd_crohn_stromal	Crohn disease	colon stromal	JAK2	1
ibd_crohn_stromal	Crohn disease	colon stromal	LAMP3	1
ibd_crohn_stromal	Crohn disease	colon stromal	LGALS3	1
ibd_crohn_stromal	Crohn disease	colon stromal	LIPA	1
ibd_crohn_stromal	Crohn disease	colon stromal	MERTK	1
ibd_crohn_stromal	Crohn disease	colon stromal	MSR1	1
ibd_crohn_stromal	Crohn disease	colon stromal	NR1H3	1
ibd_crohn_stromal	Crohn disease	colon stromal	PIKFYVE	1
ibd_crohn_stromal	Crohn disease	colon stromal	PPARG	1
ibd_crohn_stromal	Crohn disease	colon stromal	SCARB2	1
ibd_crohn_stromal	Crohn disease	colon stromal	SDC4	1
ibd_crohn_stromal	Crohn disease	colon stromal	SNX10	1
ibd_crohn_stromal	Crohn disease	colon stromal	STAT1	1
ibd_crohn_stromal	Crohn disease	colon stromal	TFE3	1
ibd_crohn_stromal	Crohn disease	colon stromal	TFEB	1
ibd_crohn_stromal	Crohn disease	colon stromal	TREM2	1
ibd_crohn_stromal	Crohn disease	colon stromal	TYK2	1
ibd_crohn_stromal	Crohn disease	colon stromal	TYROBP	1
ibd_uc_stromal	ulcerative colitis	colon stromal	APOC1	1
ibd_uc_stromal	ulcerative colitis	colon stromal	BIRC3	1
ibd_uc_stromal	ulcerative colitis	colon stromal	C15ORF48	1
ibd_uc_stromal	ulcerative colitis	colon stromal	CD300A	1
ibd_uc_stromal	ulcerative colitis	colon stromal	CD300E	1
ibd_uc_stromal	ulcerative colitis	colon stromal	CD300LF	1
ibd_uc_stromal	ulcerative colitis	colon stromal	CHI3L1	1
ibd_uc_stromal	ulcerative colitis	colon stromal	CTSB	1
ibd_uc_stromal	ulcerative colitis	colon stromal	CTSL	1
ibd_uc_stromal	ulcerative colitis	colon stromal	CTSS	1
ibd_uc_stromal	ulcerative colitis	colon stromal	CXCL9	1
ibd_uc_stromal	ulcerative colitis	colon stromal	DAP	1
ibd_uc_stromal	ulcerative colitis	colon stromal	FABP5	1
ibd_uc_stromal	ulcerative colitis	colon stromal	IFI30	1
ibd_uc_stromal	ulcerative colitis	colon stromal	IL2RG	1
ibd_uc_stromal	ulcerative colitis	colon stromal	IRF1	1
ibd_uc_stromal	ulcerative colitis	colon stromal	JAK1	1
ibd_uc_stromal	ulcerative colitis	colon stromal	JAK2	1
ibd_uc_stromal	ulcerative colitis	colon stromal	LAMP3	1
ibd_uc_stromal	ulcerative colitis	colon stromal	LGALS3	1
ibd_uc_stromal	ulcerative colitis	colon stromal	LIPA	1
ibd_uc_stromal	ulcerative colitis	colon stromal	MERTK	1
ibd_uc_stromal	ulcerative colitis	colon stromal	MSR1	1
ibd_uc_stromal	ulcerative colitis	colon stromal	NR1H3	1
ibd_uc_stromal	ulcerative colitis	colon stromal	PIKFYVE	1
ibd_uc_stromal	ulcerative colitis	colon stromal	PPARG	1
ibd_uc_stromal	ulcerative colitis	colon stromal	SCARB2	1
ibd_uc_stromal	ulcerative colitis	colon stromal	SDC4	1
ibd_uc_stromal	ulcerative colitis	colon stromal	SNX10	1
ibd_uc_stromal	ulcerative colitis	colon stromal	STAT1	1
ibd_uc_stromal	ulcerative colitis	colon stromal	TFE3	1
ibd_uc_stromal	ulcerative colitis	colon stromal	TFEB	1
ibd_uc_stromal	ulcerative colitis	colon stromal	TREM2	1
ibd_uc_stromal	ulcerative colitis	colon stromal	TYK2	1
ibd_uc_stromal	ulcerative colitis	colon stromal	TYROBP	1
psoriasis_skin_apc	psoriasis	skin APC	APOC1	1
psoriasis_skin_apc	psoriasis	skin APC	BIRC3	1
psoriasis_skin_apc	psoriasis	skin APC	C15ORF48	1
psoriasis_skin_apc	psoriasis	skin APC	CD300A	1
psoriasis_skin_apc	psoriasis	skin APC	CD300E	1
psoriasis_skin_apc	psoriasis	skin APC	CD300LF	1
psoriasis_skin_apc	psoriasis	skin APC	CHI3L1	1
psoriasis_skin_apc	psoriasis	skin APC	CTSB	1
psoriasis_skin_apc	psoriasis	skin APC	CTSL	1
psoriasis_skin_apc	psoriasis	skin APC	CTSS	1
psoriasis_skin_apc	psoriasis	skin APC	CXCL9	1
psoriasis_skin_apc	psoriasis	skin APC	DAP	1
psoriasis_skin_apc	psoriasis	skin APC	FABP5	1
psoriasis_skin_apc	psoriasis	skin APC	IFI30	1
psoriasis_skin_apc	psoriasis	skin APC	IL2RG	1
psoriasis_skin_apc	psoriasis	skin APC	IRF1	1
psoriasis_skin_apc	psoriasis	skin APC	JAK1	1
psoriasis_skin_apc	psoriasis	skin APC	JAK2	1
psoriasis_skin_apc	psoriasis	skin APC	LAMP3	1
psoriasis_skin_apc	psoriasis	skin APC	LGALS3	1
psoriasis_skin_apc	psoriasis	skin APC	LIPA	1
psoriasis_skin_apc	psoriasis	skin APC	MERTK	1
psoriasis_skin_apc	psoriasis	skin APC	MSR1	1
psoriasis_skin_apc	psoriasis	skin APC	NR1H3	1
psoriasis_skin_apc	psoriasis	skin APC	PIKFYVE	1
psoriasis_skin_apc	psoriasis	skin APC	PPARG	1
psoriasis_skin_apc	psoriasis	skin APC	SCARB2	1
psoriasis_skin_apc	psoriasis	skin APC	SDC4	1
psoriasis_skin_apc	psoriasis	skin APC	SNX10	1
psoriasis_skin_apc	psoriasis	skin APC	STAT1	1
psoriasis_skin_apc	psoriasis	skin APC	TFE3	1
psoriasis_skin_apc	psoriasis	skin APC	TFEB	1
psoriasis_skin_apc	psoriasis	skin APC	TREM2	1
psoriasis_skin_apc	psoriasis	skin APC	TYK2	1
psoriasis_skin_apc	psoriasis	skin APC	TYROBP	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	APOC1	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	BIRC3	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	C15ORF48	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	CD300A	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	CD300E	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	CD300LF	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	CHI3L1	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	CTSB	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	CTSL	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	CTSS	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	CXCL9	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	DAP	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	FABP5	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	IFI30	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	IL2RG	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	IRF1	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	JAK1	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	JAK2	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	LAMP3	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	LGALS3	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	LIPA	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	MERTK	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	MSR1	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	NR1H3	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	PIKFYVE	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	PPARG	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	SCARB2	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	SDC4	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	SNX10	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	STAT1	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	TFE3	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	TFEB	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	TREM2	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	TYK2	1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	TYROBP	1
psoriasis_skin_stromal	psoriasis	skin stromal	APOC1	1
psoriasis_skin_stromal	psoriasis	skin stromal	BIRC3	1
psoriasis_skin_stromal	psoriasis	skin stromal	C15ORF48	1
psoriasis_skin_stromal	psoriasis	skin stromal	CD300A	1
psoriasis_skin_stromal	psoriasis	skin stromal	CD300E	1
psoriasis_skin_stromal	psoriasis	skin stromal	CD300LF	1
psoriasis_skin_stromal	psoriasis	skin stromal	CHI3L1	1
psoriasis_skin_stromal	psoriasis	skin stromal	CTSB	1
psoriasis_skin_stromal	psoriasis	skin stromal	CTSL	1
psoriasis_skin_stromal	psoriasis	skin stromal	CTSS	1
psoriasis_skin_stromal	psoriasis	skin stromal	CXCL9	1
psoriasis_skin_stromal	psoriasis	skin stromal	DAP	1
psoriasis_skin_stromal	psoriasis	skin stromal	FABP5	1
psoriasis_skin_stromal	psoriasis	skin stromal	IFI30	1
psoriasis_skin_stromal	psoriasis	skin stromal	IL2RG	1
psoriasis_skin_stromal	psoriasis	skin stromal	IRF1	1
psoriasis_skin_stromal	psoriasis	skin stromal	JAK1	1
psoriasis_skin_stromal	psoriasis	skin stromal	JAK2	1
psoriasis_skin_stromal	psoriasis	skin stromal	LAMP3	1
psoriasis_skin_stromal	psoriasis	skin stromal	LGALS3	1
psoriasis_skin_stromal	psoriasis	skin stromal	LIPA	1
psoriasis_skin_stromal	psoriasis	skin stromal	MERTK	1
psoriasis_skin_stromal	psoriasis	skin stromal	MSR1	1
psoriasis_skin_stromal	psoriasis	skin stromal	NR1H3	1
psoriasis_skin_stromal	psoriasis	skin stromal	PIKFYVE	1
psoriasis_skin_stromal	psoriasis	skin stromal	PPARG	1
psoriasis_skin_stromal	psoriasis	skin stromal	SCARB2	1
psoriasis_skin_stromal	psoriasis	skin stromal	SDC4	1
psoriasis_skin_stromal	psoriasis	skin stromal	SNX10	1
psoriasis_skin_stromal	psoriasis	skin stromal	STAT1	1
psoriasis_skin_stromal	psoriasis	skin stromal	TFE3	1
psoriasis_skin_stromal	psoriasis	skin stromal	TFEB	1
psoriasis_skin_stromal	psoriasis	skin stromal	TREM2	1
psoriasis_skin_stromal	psoriasis	skin stromal	TYK2	1
psoriasis_skin_stromal	psoriasis	skin stromal	TYROBP	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	APOC1	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	BIRC3	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	C15ORF48	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	CD300A	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	CD300E	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	CD300LF	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	CHI3L1	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	CTSB	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	CTSL	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	CTSS	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	CXCL9	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	DAP	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	FABP5	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	IFI30	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	IL2RG	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	IRF1	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	JAK1	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	JAK2	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	LAMP3	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	LGALS3	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	LIPA	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	MERTK	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	MSR1	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	NR1H3	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	PIKFYVE	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	PPARG	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	SCARB2	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	SDC4	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	SNX10	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	STAT1	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	TFE3	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	TFEB	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	TREM2	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	TYK2	1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	TYROBP	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	APOC1	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	BIRC3	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	C15ORF48	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	CD300A	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	CD300E	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	CD300LF	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	CHI3L1	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	CTSB	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	CTSL	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	CTSS	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	CXCL9	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	DAP	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	FABP5	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	IFI30	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	IL2RG	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	IRF1	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	JAK1	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	JAK2	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	LAMP3	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	LGALS3	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	LIPA	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	MERTK	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	MSR1	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	NR1H3	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	PIKFYVE	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	PPARG	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	SCARB2	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	SDC4	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	SNX10	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	STAT1	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	TFE3	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	TFEB	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	TREM2	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	TYK2	1
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	TYROBP	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	APOC1	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	BIRC3	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	C15ORF48	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	CD300A	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	CD300E	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	CD300LF	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	CHI3L1	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	CTSB	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	CTSL	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	CTSS	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	CXCL9	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	DAP	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	FABP5	1
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	IFI30	1
