issue_id	field	check	status	detail	score_values_read
missing_or_wrong_locked_rule_sha256	locked_rule_sha256	forbidden_pattern:\bp\s*[=:]	PASS	absent	false
missing_or_wrong_locked_rule_sha256	locked_rule_sha256	forbidden_pattern:\beffect[- ]size\s*[=:]	PASS	absent	false
missing_or_wrong_locked_rule_sha256	locked_rule_sha256	forbidden_pattern:\bvalidation (?:passed|failed|succeeded)\b	PASS	absent	false
missing_or_wrong_locked_rule_sha256	locked_rule_sha256	forbidden_pattern:\bthe rule (?:passed|failed)\b	PASS	absent	false
missing_or_wrong_locked_rule_sha256	locked_rule_sha256	forbidden_pattern:\bconfirmed\b	PASS	absent	false
missing_or_wrong_locked_rule_sha256	locked_rule_sha256	names_field	PASS	`locked_rule_sha256`	false
missing_or_wrong_locked_rule_sha256	locked_rule_sha256	contains_no_score_boundary	PASS	No score-bearing text may appear before the corrected header passes	false
missing_or_wrong_locked_rule_sha256	locked_rule_sha256	contains_no_rule_change_boundary	PASS	changing the locked rule	false
metadata_after_result_text	all_required_fields	forbidden_pattern:\bAUC\s*[=:]	PASS	absent	false
metadata_after_result_text	all_required_fields	forbidden_pattern:\bp\s*[=:]	PASS	absent	false
metadata_after_result_text	all_required_fields	forbidden_pattern:\beffect[- ]size\s*[=:]	PASS	absent	false
metadata_after_result_text	all_required_fields	forbidden_pattern:\bvalidation (?:passed|failed|succeeded)\b	PASS	absent	false
metadata_after_result_text	all_required_fields	forbidden_pattern:\bthe rule (?:passed|failed)\b	PASS	absent	false
metadata_after_result_text	all_required_fields	forbidden_pattern:\bconfirmed\b	PASS	absent	false
metadata_after_result_text	all_required_fields	names_field	PASS	all required provenance fields	false
metadata_after_result_text	all_required_fields	contains_no_score_boundary	PASS	No score-bearing text may appear before the corrected header passes	false
metadata_after_result_text	all_required_fields	contains_no_rule_change_boundary	PASS	changing the locked rule	false
