seed	n_requested	event_probability_before_competing_death	molecular_progression_hr_per_latent_sd	competing_death_probability	competing_event_mechanism	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_score_z	median_one_step_log_hr	median_usable_n	median_progression_events	median_competing_deaths
54931	320	0.15	1.0	0.1	joint_score_progression_risk	400	400	1.0	27	0.0675	0.04680146916375965	0.09642666543540682	0.005	0.0625	-0.4078962269883665	-0.07322477262634089	288.0	37.5	26.0
54931	320	0.15	1.0	0.25	joint_score_progression_risk	400	400	1.0	37	0.0925	0.06785393449857381	0.12489858538387784	0.0	0.0925	-0.6276949138263064	-0.12532791253173184	288.0	33.0	67.0
54931	320	0.15	1.7	0.0	none	400	400	1.0	230	0.575	0.5260675370904098	0.6225056187594458	0.575	0.0	2.167072003537543	0.3669797381961803	288.0	43.0	0.0
54931	320	0.15	1.7	0.1	independent	400	400	1.0	239	0.5975	0.5487342037489487	0.6444108988558637	0.5975	0.0	2.2282497697856236	0.37681609205886935	288.0	41.0	26.0
54931	320	0.15	1.7	0.25	independent	400	400	1.0	224	0.56	0.5110127871951399	0.6078457374847447	0.56	0.0	2.1411834999289003	0.38512809358832156	288.0	37.0	66.0
54931	320	0.15	1.7	0.1	score_dependent	400	400	1.0	239	0.5975	0.5487342037489487	0.6444108988558637	0.5975	0.0	2.1514820970297164	0.38707021283770043	288.0	39.5	25.0
54931	320	0.15	1.7	0.25	score_dependent	400	400	1.0	193	0.4825	0.43393056304490063	0.5314023672567997	0.4825	0.0	1.9417888158921222	0.3923268750601726	288.0	34.0	64.0
54931	320	0.15	1.7	0.1	progression_risk_dependent	400	400	1.0	220	0.55	0.5010009985806122	0.5980477719859582	0.55	0.0	2.05935500781764	0.35510776556909807	288.0	39.0	25.0
54931	320	0.15	1.7	0.25	progression_risk_dependent	400	400	1.0	222	0.555	0.506004433664882	0.6029492139583456	0.555	0.0	2.1018058996582116	0.3980558555515925	289.0	33.0	65.0
54931	320	0.15	1.7	0.1	joint_score_progression_risk	400	400	1.0	148	0.37	0.3241319808189903	0.4183412157079268	0.37	0.0	1.6510938614985875	0.3086225376783734	288.0	36.0	26.0
54931	320	0.15	1.7	0.25	joint_score_progression_risk	400	400	1.0	105	0.2625	0.22178679994488373	0.30773153986390706	0.2625	0.0	1.186418359272873	0.23877240029242544	288.0	30.0	67.0
54931	320	0.3	1.0	0.0	none	400	400	1.0	24	0.06	0.040647970113724695	0.0877228489004562	0.0375	0.0225	-0.02428022005405226	-0.0028400674810747486	288.0	87.0	0.0
54931	320	0.3	1.0	0.1	independent	400	400	1.0	20	0.05	0.03259742983714726	0.07596363506371961	0.025	0.025	-0.01920516877298277	-0.00217762807848108	288.0	81.0	24.0
54931	320	0.3	1.0	0.25	independent	400	400	1.0	31	0.0775	0.05513293467684451	0.10790495403563602	0.045	0.0325	0.08341570700864642	0.010362085630426121	288.0	77.0	60.0
54931	320	0.3	1.0	0.1	score_dependent	400	400	1.0	20	0.05	0.03259742983714726	0.07596363506371961	0.025	0.025	-0.0684162314908599	-0.008565959025190908	288.0	82.0	24.0
54931	320	0.3	1.0	0.25	score_dependent	400	400	1.0	27	0.0675	0.04680146916375965	0.09642666543540682	0.0325	0.035	-0.013231688294666182	-0.0017898341412670125	289.0	74.0	61.0
54931	320	0.3	1.0	0.1	progression_risk_dependent	400	400	1.0	25	0.0625	0.04268914141220244	0.09063411613030699	0.045	0.0175	0.10368140799758013	0.012772479569537424	288.0	80.0	21.0
54931	320	0.3	1.0	0.25	progression_risk_dependent	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.0325	0.02	0.019519889849741387	0.0024785122020446484	288.0	69.0	56.0
54931	320	0.3	1.0	0.1	joint_score_progression_risk	400	400	1.0	29	0.0725	0.05095051840227673	0.10218249325354675	0.0025	0.07	-0.47947434826475765	-0.0609316397846201	287.0	78.0	24.0
54931	320	0.3	1.0	0.25	joint_score_progression_risk	400	400	1.0	55	0.1375	0.10718448673484568	0.1747119266575193	0.0	0.1375	-0.8118506979547718	-0.11150481564522419	288.0	67.0	62.0
54931	320	0.3	1.7	0.0	none	400	400	1.0	362	0.905	0.8722916530824945	0.9300033885067254	0.905	0.0	3.0746105928574465	0.36751600001162943	288.0	86.0	0.0
54931	320	0.3	1.7	0.1	independent	400	400	1.0	334	0.835	0.7954717951637494	0.8681549676322718	0.835	0.0	2.8731370478055105	0.34799965215708284	288.0	82.0	24.0
54931	320	0.3	1.7	0.25	independent	400	400	1.0	331	0.8275	0.7874046544953168	0.8613647927157191	0.8275	0.0	2.940131367299419	0.37529495885488284	288.0	76.0	60.0
54931	320	0.3	1.7	0.1	score_dependent	400	400	1.0	326	0.815	0.7740142283989209	0.8499930261704722	0.815	0.0	2.865711960832943	0.3527616399564772	288.0	81.0	21.0
54931	320	0.3	1.7	0.25	score_dependent	400	400	1.0	285	0.7125	0.6662901779980862	0.7546670969098378	0.7125	0.0	2.4546663797002033	0.3388673409915252	288.0	71.0	57.0
54931	320	0.3	1.7	0.1	progression_risk_dependent	400	400	1.0	346	0.865	0.8280190157519688	0.8950370093839947	0.865	0.0	2.9234967312026994	0.3625092361061236	288.0	80.0	21.0
54931	320	0.3	1.7	0.25	progression_risk_dependent	400	400	1.0	327	0.8175	0.7766870404912806	0.8522726526064411	0.8175	0.0	2.9469571442180538	0.3852027729137333	288.0	72.0	56.0
54931	320	0.3	1.7	0.1	joint_score_progression_risk	400	400	1.0	250	0.625	0.5765790058795889	0.671042920536837	0.625	0.0	2.35709965758257	0.3017311146501145	288.0	76.0	22.0
54931	320	0.3	1.7	0.25	joint_score_progression_risk	400	400	1.0	169	0.4225	0.3750554237475196	0.47141898187429637	0.4225	0.0	1.7955384052875911	0.2516280942688258	288.0	65.0	60.0
54932	120	0.15	1.0	0.0	none	400	390	0.975	26	0.065	0.04474048189620036	0.09353521417463759	0.035	0.03	-0.06492105590430919	-0.018116421818102444	108.0	16.0	0.0
54932	120	0.15	1.0	0.1	independent	400	390	0.975	20	0.05	0.03259742983714726	0.07596363506371961	0.0225	0.0275	-0.021542462427149883	-0.005370819146530832	108.0	16.0	10.0
54932	120	0.15	1.0	0.25	independent	400	378	0.945	18	0.045	0.028651458653886006	0.07000472919032381	0.025	0.02	0.05361659214631946	0.017712257454574297	108.0	14.0	25.0
54932	120	0.15	1.0	0.1	score_dependent	400	379	0.9475	23	0.0575	0.038617542757733075	0.08480083772811935	0.035	0.0225	0.07709038589884375	0.024617178541309983	108.0	15.0	10.0
54932	120	0.15	1.0	0.25	score_dependent	400	369	0.9225	18	0.045	0.028651458653886006	0.07000472919032381	0.015	0.03	-0.0023148156078973644	-0.000756943263315852	108.0	13.0	25.0
54932	120	0.15	1.0	0.1	progression_risk_dependent	400	375	0.9375	10	0.025	0.013635091745936023	0.045401587871645666	0.01	0.015	0.006492494377151755	0.0020018907020193507	108.0	14.5	9.0
54932	120	0.15	1.0	0.25	progression_risk_dependent	400	329	0.8225	13	0.0325	0.01908984237880045	0.0548041528237668	0.0175	0.015	-0.16781877001816628	-0.049930123908360914	108.0	12.0	24.0
54932	120	0.15	1.0	0.1	joint_score_progression_risk	400	374	0.935	19	0.0475	0.030617076962711882	0.07299154940982647	0.0125	0.035	-0.1469623569544763	-0.0459383923919956	108.0	14.0	10.0
54932	120	0.15	1.0	0.25	joint_score_progression_risk	400	322	0.805	22	0.055	0.03659849414955068	0.08186744780797323	0.0075	0.0475	-0.3094564516715313	-0.10006059168593992	108.0	13.0	25.0
54932	120	0.15	1.7	0.0	none	400	392	0.98	107	0.2675	0.22648238411831478	0.31294083274713314	0.265	0.0025	1.3239877645861151	0.3759745105578591	108.0	16.0	0.0
54932	120	0.15	1.7	0.1	independent	400	386	0.965	112	0.28	0.23825142339704647	0.32593398611004404	0.28	0.0	1.4210751375334647	0.4049776644948645	108.0	15.0	10.0
54932	120	0.15	1.7	0.25	independent	400	372	0.93	83	0.2075	0.17063415822479097	0.2499305339607725	0.2075	0.0	1.2845071300695272	0.3807622157477273	108.0	14.0	25.0
54932	120	0.15	1.7	0.1	score_dependent	400	379	0.9475	98	0.245	0.20540872953011524	0.289442540580376	0.245	0.0	1.2006237837575322	0.3465098540884081	108.0	15.0	9.0
54932	120	0.15	1.7	0.25	score_dependent	400	337	0.8425	64	0.16	0.12733275559943816	0.1991356045478835	0.1575	0.0025	1.0913255984341335	0.34363424966808	108.0	13.0	24.0
54932	120	0.15	1.7	0.1	progression_risk_dependent	400	382	0.955	98	0.245	0.20540872953011524	0.289442540580376	0.245	0.0	1.303704927258313	0.3762670705905353	108.0	14.0	9.0
54932	120	0.15	1.7	0.25	progression_risk_dependent	400	341	0.8525	86	0.215	0.17755148423753886	0.25787052353301015	0.215	0.0	1.2698269610571993	0.39378254631481413	108.0	13.0	25.0
54932	120	0.15	1.7	0.1	joint_score_progression_risk	400	349	0.8725	55	0.1375	0.10718448673484568	0.1747119266575193	0.135	0.0025	0.9589791884623905	0.2845058442756312	108.0	13.0	9.0
54932	120	0.15	1.7	0.25	joint_score_progression_risk	400	284	0.71	31	0.0775	0.05513293467684451	0.10790495403563602	0.0775	0.0	0.7496504954510689	0.243719277962973	108.0	11.0	25.0
54932	120	0.3	1.0	0.0	none	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.0325	0.02	0.078084316148672	0.014697695787191692	109.0	32.0	0.0
54932	120	0.3	1.0	0.1	independent	400	400	1.0	17	0.0425	0.026701694991131116	0.06700205432475019	0.0225	0.02	0.08536839271198125	0.016783763822470946	108.0	31.0	9.0
54932	120	0.3	1.0	0.25	independent	400	400	1.0	12	0.03	0.017243020965143054	0.05169853570909567	0.0125	0.0175	-0.026034514306143328	-0.005493668977956272	108.0	28.0	22.5
54932	120	0.3	1.0	0.1	score_dependent	400	400	1.0	26	0.065	0.04474048189620036	0.09353521417463759	0.025	0.04	-0.048017399706654945	-0.010039810860355127	108.0	31.0	9.0
54932	120	0.3	1.0	0.25	score_dependent	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.0325	0.02	-0.020438930691782833	-0.004098422564880102	108.0	28.0	22.0
54932	120	0.3	1.0	0.1	progression_risk_dependent	400	400	1.0	20	0.05	0.03259742983714726	0.07596363506371961	0.025	0.025	0.046737201057450196	0.009704782354340129	108.0	30.0	8.0
54932	120	0.3	1.0	0.25	progression_risk_dependent	400	400	1.0	20	0.05	0.03259742983714726	0.07596363506371961	0.025	0.025	-0.0580602697054389	-0.011944184243317897	108.0	26.0	21.0
54932	120	0.3	1.0	0.1	joint_score_progression_risk	400	400	1.0	30	0.075	0.05303774392284765	0.10504770626130436	0.0225	0.0525	-0.3407049987399333	-0.06786647981506573	108.0	30.0	9.0
54932	120	0.3	1.0	0.25	joint_score_progression_risk	400	400	1.0	29	0.0725	0.05095051840227673	0.10218249325354675	0.005	0.0675	-0.5344643894867984	-0.12708635900960846	108.0	25.0	23.0
54932	120	0.3	1.7	0.0	none	400	400	1.0	175	0.4375	0.3897078504391739	0.48648118635261317	0.4375	0.0	1.7766193033867541	0.3503601485114287	108.0	32.0	0.0
54932	120	0.3	1.7	0.1	independent	400	400	1.0	161	0.4025	0.3555891011441365	0.4512657962510514	0.4025	0.0	1.7151270083823835	0.34326488310119013	108.0	31.0	9.0
54932	120	0.3	1.7	0.25	independent	400	400	1.0	164	0.41	0.362879477619472	0.4588327353607013	0.4075	0.0025	1.742193346919133	0.36151418171938077	108.0	28.0	23.0
54932	120	0.3	1.7	0.1	score_dependent	400	400	1.0	175	0.4375	0.3897078504391739	0.48648118635261317	0.4375	0.0	1.7990761516440728	0.38034476334846823	108.0	30.5	8.0
54932	120	0.3	1.7	0.25	score_dependent	400	400	1.0	129	0.3225	0.27856795807266865	0.3698089064160066	0.3225	0.0	1.6284688203533388	0.3705072300855072	108.0	26.0	21.0
54932	120	0.3	1.7	0.1	progression_risk_dependent	400	400	1.0	169	0.4225	0.3750554237475196	0.47141898187429637	0.4225	0.0	1.8021725866259375	0.3654516452823434	108.0	30.0	8.0
54932	120	0.3	1.7	0.25	progression_risk_dependent	400	400	1.0	162	0.405	0.3580179525239347	0.4537893833995817	0.405	0.0	1.7108370807038247	0.37677063356585777	108.0	26.0	21.0
