dataset	score	contrast	n_sle	n_hc	mean_sle	mean_hc	delta_sle_minus_hc	welch_p	fdr_within_dataset	subset	ebv_up_ifn_spearman	ebv_up_ifn_p	fdr_across_all_ebv_tests
GSE108497	ebv_up_minus_down	SLE_vs_HC_at_8-20 weeks postpartum	40	40	-1691.5147856970443	-1620.1165583634124	-71.39822733363212	0.0402034070432993	0.058477682972071704				0.08308704122281856
GSE108497	ebv_up_minus_down	SLE_vs_HC_at_<16 weeks	83	38	-1790.6026400432183	-1759.2548653415276	-31.347774701690696	0.2824074339944874	0.3475783803009076				0.3979377479013232
GSE108497	ebv_up_resid_ifn	SLE_vs_HC_all_timepoints_after_linear_IFN_residualization	323	187	3.33725903998066	-5.764356523602904	9.101615563583564	4.633868755235326e-17	7.414190008376522e-16				1.436499314122951e-15
GSE10325	ebv_up		14	9	157.97953181272513	93.165639589169	64.81389222355614	0.0474135978987115	0.11853399474677877	CD19_B			0.08646009028588568
GSE10325	ebv_down		14	9	310.15417036379773	171.283988957902	138.87018140589572	0.0296646538865017	0.11124245207438138	CD19_B			0.06568601932011091
GSE10325	ebv_up_minus_down		14	9	-152.1746385510726	-78.118349368733	-74.0562891823396	0.3515028536315666	0.43937856703945827	CD19_B			0.4358635385031425
GSE10325	ifn_apc		14	9	3171.1724702380957	3540.499305555555	-369.3268353174594	0.3469846926945511	0.43937856703945827	CD19_B			0.4358635385031425
GSE10325	ebv_up		14	9	71.66674669867948	53.28309990662932	18.38364679205016	0.0468970887137512	0.11853399474677877	CD4_T			0.08646009028588568
GSE10325	ebv_down		14	9	390.6472049689441	296.39420289855076	94.25300207039334	0.2147164734888439	0.3578607891480732	CD4_T			0.3169624132454362
GSE10325	ebv_up_minus_down		14	9	-318.9804582702646	-243.1111029919214	-75.86935527834319	0.3319994745571603	0.43937856703945827	CD4_T			0.4358635385031425
GSE10325	ifn_apc		14	9	878.377380952381	474.5935185185186	403.78386243386245	0.000609051244335	0.009135768665025001	CD4_T			0.0094402942871925
GSE10325	ebv_up		11	10	64.76669213139802	64.4553781512605	0.3113139801375126	0.9813316846236152	0.9813316846236152	myeloid			0.9813316846236152
GSE10325	ebv_down		11	10	1604.814229249012	1062.494906832298	542.3193224167139	0.0121912307524931	0.0609561537624655	myeloid			0.03779281533272861
GSE10325	ebv_up_minus_down		11	10	-1540.0475371176142	-998.0395286810376	-542.0080084365767	0.0116010564480398	0.0609561537624655	myeloid			0.03779281533272861
GSE10325	ifn_apc		11	10	3612.552272727272	3025.2602083333336	587.2920643939387	0.2084870352670883	0.3578607891480732	myeloid			0.3169624132454362
GSE10325	ebv_up_resid_ifn		14	9	19.56790300331529	-30.438960227379237	50.00686323069453	0.1258955882176539	0.2697762604664012	CD19_B	-0.2509881422924901	0.2480168733201259	0.2168201797081817
GSE10325	ebv_up_resid_ifn		14	9	0.9432634735183762	-1.4672987365841237	2.4105622101024995	0.7617918808979607	0.8162055866763864	CD4_T	0.5405138339920948	0.0077496325250239	0.7871849435945594
GSE10325	ebv_up_resid_ifn		11	10	-3.2067321001671796	3.5274053101838954	-6.7341374103510745	0.5697237236985515	0.6573735273444825	myeloid	0.5597402597402598	0.0083258156170613	0.6307655512376821
