seed	cell_state	neighborhood	studentized_effect_raw	studentized_effect_residualized	max_t_fwer_p_raw	max_t_fwer_p_residualized	direction_consistent_cd_uc_raw	direction_consistent_cd_uc_residualized	passes_seed
57132	Mono_macro	N01	-2.098751327483085	-1.232058043872205	0.5684221578892106	0.930640346798266	True	True	False
57132	Mono_macro	N02	-0.5795114963806117	0.050255779660203524	1.0	1.0	False	False	False
57132	Mono_macro	N03	-0.9137253699390169	-0.24042252622570112	0.9978750106249469	1.0	True	True	False
57132	Mono_macro	N04	0.3090930876615873	0.7442563163047576	1.0	0.9993650031749841	True	True	False
57132	Mono_macro	N05	1.4328805832413238	1.8317680862909844	0.9360503197484012	0.5624121879390603	True	True	False
57132	Mono_macro	N06	0.4679334705885006	0.9785656365038085	1.0	0.9873500632496838	False	False	False
57132	Mono_macro	N07	-0.09837434123618508	0.8424293909553657	1.0	0.9967900160499198	False	True	False
57132	Mono_macro	N08	-2.281302480882763	-1.1993010732186624	0.4605076974615127	0.9425002874985625	True	True	False
57132	Mono_macro	N09	-0.18825494009499447	-0.08144501828262464	1.0	1.0	True	False	False
57132	Mono_macro	N10	-0.23252755948235415	0.6296457561875439	1.0	0.9997000014999925	False	True	False
57132	Mono_macro	N11	-0.1813793719946372	-0.2506799299036993	1.0	1.0	True	True	False
57132	Mono_macro	N12	0.675636498863112	0.5232843139790765	1.0	1.0	False	False	False
57132	Mono_macro	N13	3.130685535271891	1.7247904720416891	0.10582947085264574	0.6405067974660127	True	True	False
57132	Mono_macro	N14	-1.2736731376659662	-0.9780318281571229	0.9721401392993035	0.987440062799686	True	True	False
57132	Mono_macro	N15	1.2485279218469116	0.2765174420013672	0.9753901230493848	1.0	True	True	False
57132	Mono_macro	N16	1.0342698461460869	1.7037758363756088	0.9941250293748531	0.6568517157414213	True	True	False
57132	Mono_macro	N17	-1.9884179398468682	-2.6508219822795276	0.6437567812160939	0.12399938000309998	True	True	False
57132	Mono_macro	N18	0.9140183247400568	0.5939334357660854	0.9978750106249469	1.0	True	True	False
57132	Mono_macro	N19	0.7086522294903195	1.2381067531745804	0.9998600006999965	0.92880035599822	True	True	False
57132	Mono_macro	N20	-0.6526943083595663	0.48585184590241276	1.0	1.0	False	False	False
57133	Mono_macro	N01	-2.17486272251605	-1.8962124086195016	0.5162224188879055	0.5378023109884451	True	True	False
57133	Mono_macro	N02	0.40396113313979454	0.08293906315382489	1.0	1.0	False	False	False
57133	Mono_macro	N03	-0.6471454472576202	-0.4359138027389579	1.0	1.0	True	True	False
57133	Mono_macro	N04	0.21832463299960542	0.7689696394323399	1.0	0.9995950020249899	False	True	False
57133	Mono_macro	N05	0.6195110325050497	1.214800725203323	1.0	0.9596702016489917	True	True	False
57133	Mono_macro	N06	0.5600134956164685	0.8109522193348738	1.0	0.9990450047749762	False	False	False
57133	Mono_macro	N07	-0.1793079809317975	0.5754579878986217	1.0	0.9998450007749962	False	False	False
57133	Mono_macro	N08	-0.22813942118943611	-0.7447792578545269	1.0	0.9995950020249899	False	False	False
57133	Mono_macro	N09	-0.05161728051178429	-0.09431297579427234	1.0	1.0	True	False	False
57133	Mono_macro	N10	-0.2627218424789415	0.5902458416285031	1.0	0.9998450007749962	False	True	False
57133	Mono_macro	N11	-0.8161973575604262	-1.0356550398517108	0.9996300018499907	0.9880200598997005	True	True	False
57133	Mono_macro	N12	0.6185000758066084	0.9869201401036787	1.0	0.993240033799831	True	False	False
57133	Mono_macro	N13	2.3452413447935556	1.740510992449504	0.4115479422602887	0.6572317138414308	True	True	False
57133	Mono_macro	N14	-0.6336667797081057	-0.48826942711160787	1.0	1.0	True	True	False
57133	Mono_macro	N15	1.2373690621975166	0.21039108117938754	0.982200088999555	1.0	True	True	False
57133	Mono_macro	N16	0.05974453774409915	0.6163152399321276	1.0	0.9998450007749962	False	True	False
57133	Mono_macro	N17	-2.9063173864063936	-2.9809831311402313	0.15604921975390124	0.04833975830120849	True	True	False
57133	Mono_macro	N18	0.6621068424990311	1.2129112224497718	1.0	0.9599002004989975	True	True	False
57133	Mono_macro	N19	0.5421308177999404	0.7007380564288502	1.0	0.9998450007749962	False	False	False
57133	Mono_macro	N20	-1.433362067929102	-0.13007796087833817	0.9386153069234654	1.0	True	False	False
