subset	cohort	feature	n	n_responders	n_nonresponders	auc	auc_ci_low	auc_ci_high	hedges_g	welch_p	parameter_count
all_primary_plus_exact	GSE85034_ADA	locked_signed_score	14	9	5	0.5111111111111111	0.15555555555555556	0.8666666666666667	0.04420897273132324	0.9438741677855862	0
all_primary_plus_exact	GSE85034_ADA	coupled_projection	14	9	5	0.37777777777777777	0.08888888888888889	0.7111111111111111	-0.5517673746566418	0.35666968459721077	0
all_primary_plus_exact	GSE85034_ADA	coupled_v22_augmented	14	9	5	0.5777777777777777	0.26666666666666666	0.8888888888888888	-0.016818487847917417	0.9735361954092185	0
all_primary_plus_exact	GSE85034_ADA	coupling_coordination	14	9	5	0.7555555555555555	0.4666666666666667	1.0	0.5220029321499705	0.25187012915296403	0
out_of_scope	pooled	locked_signed_score	24	14	10	0.5571428571428572	0.30714285714285716	0.8	0.2046076037771381	0.6340141596658639	0
out_of_scope	pooled	coupled_projection	24	14	10	0.45714285714285713	0.21428571428571427	0.7	-0.059389127829560164	0.8867307210649674	0
out_of_scope	pooled	coupled_v22_augmented	24	14	10	0.5428571428571428	0.3	0.7714285714285715	-0.06167795938810785	0.8647841416997559	0
out_of_scope	pooled	coupling_coordination	24	14	10	0.5714285714285714	0.34285714285714286	0.8	-0.021271866320034662	0.9549747697090141	0
out_of_scope	GSE250453	locked_signed_score	10	5	5	0.6	0.2	1.0	0.15023033010758816	0.7993087893522117	0
out_of_scope	GSE250453	coupled_projection	10	5	5	0.56	0.16	0.88	0.09471178134167813	0.872437016798739	0
out_of_scope	GSE250453	coupled_v22_augmented	10	5	5	0.32	0.0	0.72	-0.2825788220419852	0.6450108186808247	0
out_of_scope	GSE250453	coupling_coordination	10	5	5	0.4	0.08	0.8	-0.4522059242276877	0.4574816462713267	0
out_of_scope	GSE85034_ADA	locked_signed_score	14	9	5	0.5111111111111111	0.15555555555555556	0.8888888888888888	0.04420897273132324	0.9438741677855862	0
out_of_scope	GSE85034_ADA	coupled_projection	14	9	5	0.37777777777777777	0.08888888888888889	0.7555555555555555	-0.5517673746566418	0.35666968459721077	0
out_of_scope	GSE85034_ADA	coupled_v22_augmented	14	9	5	0.5777777777777777	0.26666666666666666	0.8888888888888888	-0.016818487847917417	0.9735361954092185	0
out_of_scope	GSE85034_ADA	coupling_coordination	14	9	5	0.7555555555555555	0.4666666666666667	1.0	0.5220029321499705	0.25187012915296403	0
