artifact	artifact_group	exists	n_claims	claim_ids	n_reader_documents	reader_documents
docs/history/V54_RUN_SUMMARY.md	docs/history	yes	8	A02;E03;M05;P01;P02;P04;P05;P06	35	CASE_STUDY_CONTEXT_TO_TEST.md;CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_MONITOR_VS_TARGET.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;COLLABORATOR_WORKSHOP_GUIDE.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_A_METHOD.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PATIENT_AND_PUBLIC_SAFETY.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;README.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md
docs/knowledge/EPISTEMIC_CLASSES.md	docs/knowledge	yes	2	E01;E02	25	CASE_STUDY_CONTEXT_TO_TEST.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_WORKSHOP_GUIDE.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_A_METHOD.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;PATIENT_AND_PUBLIC_SAFETY.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md
docs/locked_rules/LOCKED_RULE_V22.md	docs/locked_rules	yes	1	M02	18	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_MONITOR_VS_TARGET.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;PATIENT_AND_PUBLIC_SAFETY.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md
docs/reports/FINDINGS_REPORT_V37.md	docs/reports	yes	8	D01;D03;E01;E03;G01;G02;G04;G05	33	CASE_STUDY_CONTEXT_TO_TEST.md;CASE_STUDY_GENETICS_REVERSALS.md;CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_MONITOR_VS_TARGET.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;COLLABORATOR_WORKSHOP_GUIDE.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_A_METHOD.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PATIENT_AND_PUBLIC_SAFETY.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md
docs/reports/THERAPEUTIC_PATH_V52.md	docs/reports	yes	6	A01;D05;G03;G04;M01;M05	36	CASE_STUDY_CONTEXT_TO_TEST.md;CASE_STUDY_GENETICS_REVERSALS.md;CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_MONITOR_VS_TARGET.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;COLLABORATOR_WORKSHOP_GUIDE.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_A_METHOD.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PATIENT_AND_PUBLIC_SAFETY.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;README.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md
docs/validation/ALT_COHORT_SCOUT_V44.md	docs/validation	yes	1	A04	18	COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_A_METHOD.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md
docs/validation/KAROLINSKA_DMF_LABEL_REQUEST_V45.md	docs/validation	yes	1	A04	18	COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_A_METHOD.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md
docs/validation/MS_MICROGLIA_SOURCE_BALANCE_ADDENDUM_V53.md	docs/validation	yes	2	C01;C02	23	CASE_STUDY_BRAIN_BANK_CONFOUND.md;CASE_STUDY_LEARNING_PATH.md;COLLABORATOR_BRIEF_V55.md;CONFOUND_CHECK_QUICK_REFERENCE.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_A_METHOD.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;VISUAL_INDEX.md;WORKED_SUBMISSION_LIFECYCLE.md
docs/validation/POWER_MAP_V43.md	docs/validation	yes	1	A03	18	CASE_STUDY_MONITOR_VS_TARGET.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_METHOD.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md
docs/validation/PREREGISTRATION_V42.md	docs/validation	yes	1	A01	28	CASE_STUDY_MONITOR_VS_TARGET.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_A_METHOD.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md
docs/validation/PROGRESSION_COHORT_ACQUISITION_SPEC_V54.md	docs/validation	yes	1	B02	12	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;KNOWN_NON_SOLUTIONS.md;MS_RESEARCH_EXPLAINED.md;QUESTION_STARTERS_BY_DISCIPLINE.md;VISUAL_INDEX.md
docs/validation/PROGRESSION_COHORT_ROLE_MATRIX_V54.md	docs/validation	yes	1	P05	22	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md
docs/validation/PROGRESSION_P1_CANDIDATE_STATE_HANDOFF_V54.md	docs/validation	yes	2	A02;P06	20	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_A_METHOD.md;CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md
docs/validation/outbound_requests/progression_p1_core_ready_to_send_V54.md	docs/validation	yes	1	A02	17	CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;CONTRIBUTE_A_METHOD.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md
docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	docs/workups	yes	2	G03;G05	26	CASE_STUDY_GENETICS_REVERSALS.md;CASE_STUDY_LEARNING_PATH.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;CONTRIBUTE_A_DATA_SOURCE.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md
