gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score
TBXAS1	17	2	0	0	0	2	0	psoriasis;ulcerative colitis		0.0013000240295330655	0.19318954395317975	1.8276055444981574	3.480797647573938			psoriasis_keratinocyte:1.1,p=0.0013;ibd_uc_epithelial:1.83,p=0.01	True	-0.178349416841506	-0.2657014736698201	0.5543349188590714	0.9394407560829112							1.8888337203376968	0.1944168601688483	1.6944168601688483	1.0	1.0	MS	MS		False	False	0.0	9.094441686016886
PTGS2	17	2	0	0	0	2	0	Crohn disease;Sjogren syndrome		0.017554923971370658	0.27526082460064416	1.345266749247437	1.1331829475122985			ibd_crohn_myeloid:1.35,p=0.018;sjogren_gland_stromal:1.01,p=0.049	True	-0.3302668666926305	-0.4537479812283415	0.2953446140272054	0.9075477698307116															False	False	0.0	9.0
MSR1	11	0	0	0	0	0	0										True	0.5659305923555848	1.0246413650870072	0.0313140694878595	0.8506970233122761							17.079998844787482	8.329998844787482	0.0	5.0	0.0	Crohn,Sjogren,UC,lupus_nephritis,psoriasis			True	True	0.0	8.853999942239374
LGALS1	17	0	0	0	0	0	0										True	1.013381224940634	1.540425888122349	0.0020231848864174	0.8344760564031432							4.59286926723058	1.54643463361529	3.04643463361529	1.0	0.0	MS			True	True	0.0	8.22964346336153
ACSL1	17	4	1	0	0	2	1	Crohn disease;ulcerative colitis	type 1 diabetes mellitus	0.0016044783630210432	0.21221848940272833	3.1117281218474986	1.625502542696235	0.03216547117721186	-0.5208466574346824	ibd_crohn_stromal:2.48,p=0.0016;ibd_crohn_myeloid:3.08,p=0.014;ibd_uc_myeloid:3.11,p=0.016;ibd_crohn_epithelial:0.868,p=0.021	True	0.0335463402392637	0.0225704767524932	0.9588038259244676	0.995447887770418							15.69050020355585	7.662899307586627	5.59010089596922	4.0	1.0	Crohn,MS,SLE_myeloid,UC	psoriasis	demoted_v2_marker_after_module_adjustment_and_simulation	False	False	0.0	7.784525010177792
C1QB	16	1	0	0	0	1	0	Sjogren syndrome		0.020529307310634987	0.8441184433525579	0.9539161034107263	1.092608487717838			sjogren_gland_epithelial:0.954,p=0.021	True	-0.6194027951632819	-1.0162821663895538	0.0267818944347562	0.8482081970889975	1.0	SLE	0.4643977683549126			datatype_genetic_literature;datatype_literature;datatype_rna_expression	26.203702217168427	14.953189289387982	2.5005129277804468	5.0	0.0	Crohn,SLE_myeloid,UC,lupus_nephritis,psoriasis			False	False	1.0	6.810185110858422
CTSS	17	2	0	0	0	1	0	type 1 diabetes mellitus		0.0046287964575520354	0.18859568286650014	2.096403831157949	1.307742404420619			t1d_endothelial_cell:2.1,p=0.0046;t1d_acinar_cell:1.76,p=0.014	True	0.189873422640673	0.6388917205212462	0.1407159118865243	0.8989378106274888	1.0	celiac	0.0507248350554753		0.0759913497014526	datatype_clinical;datatype_literature									False	False	1.0	6.5
GPNMB	17	2	2	0	0	1	2	type 1 diabetes mellitus	psoriasis;ulcerative colitis	0.013332346371422709	0.37991444330592	1.4140065498771315	1.007961571408631	0.0026760588310739027	-4.010061641375242	t1d_ductal_cell:0.949,p=0.013;t1d_acinar_cell:1.41,p=0.042	True	1.4339584334150557	1.3559119980959509	0.0049097425501504	0.8344760564031432							14.242844638705543	3.796783116428887	9.071061522276658	4.0	2.0	Crohn,MS,UC,lupus_nephritis	RA,psoriasis		True	True	0.0	5.712142231935277
SCARB2	17	0	1	0	0	0	1		type 1 diabetes mellitus					0.023566144190654156	-0.2735435542452791		True	0.5255705587006485	1.4372708855046847	0.0048410941426789	0.8344760564031432							2.680275767937725	0.9651378839688624	1.7151378839688625	1.0	0.0	MS			True	True	0.0	4.134013788396886
PPARG	16	1	2	0	0	1	2	ulcerative colitis	psoriasis;ulcerative colitis	0.0361319888169673	0.35604581809780667	1.366242240839558	1.5149821513669786	0.0157505918461113	-1.7437677006893946	ibd_uc_myeloid:1.37,p=0.036	True	1.33861418076643	1.4721350014716328	0.0023372069061631	0.8344760564031432															True	True	0.0	4.0
LPL	15	1	2	0	0	1	2	Crohn disease	Sjogren syndrome;type 1 diabetes mellitus	0.005412458177697626	0.14180448006645247	1.9696304187497948	2.4758244278732384	0.017004486787043957	-1.222419750368474	ibd_crohn_epithelial:1.97,p=0.0054	True	1.7595984466157422	1.873091309632819	0.0006219963760009	0.7144250374746858							-0.3934936348277063	-0.0184936348277062	0.0	2.0	2.0	Crohn,UC	lupus_nephritis,psoriasis		True	True	0.0	3.9803253182586147
PLIN2	17	0	0	0	0	0	0										True	0.6476104028056859	0.7408816807123307	0.1083756467628863	0.8989378106274888							-5.923630514537834	-2.827150395403322	3.2160198808654883	4.0	5.0	MS,SLE_myeloid,UC,lupus_nephritis	Crohn,RA,UC,lupus_nephritis,psoriasis		False	True	0.0	2.7038184742731084
C1QA	13	1	1	0	0	1	1	Sjogren syndrome	ulcerative colitis	0.04377234317587799	0.8414957034907469	1.252738881020215	0.8091226284475445	0.02423719702749262	-1.6158619235587235	sjogren_gland_stromal:1.25,p=0.044	True	-0.6196742601671481	-1.1811559166432954	0.0106910547297546	0.8349413280632139	1.0	SLE	0.3868715109075108			datatype_animal_model;datatype_genetic_literature;datatype_literature	20.50508362375608	11.75508362375608	0.0	5.0	0.0	Crohn,Sjogren,UC,lupus_nephritis,psoriasis			False	False	1.0	2.5252541811878038
LYVE1	14	1	2	1	0	1	1	ulcerative colitis	type 1 diabetes mellitus	0.000348063350386817	0.053550570172748224	3.610175268826051	3.243326911229862	0.01789450581352322	-1.3780839177513173	ibd_uc_stromal:3.61,p=0.00035	True	-1.0326650463307183	-1.442630724550548	0.0025773161182327	0.8344760564031432															False	False	0.0	2.0
TPP1	17	0	0	0	0	0	0										True	0.0395764602508048	0.0845940711952298	0.8467904199312795	0.976211196296546							10.43956557764994	4.77754334099097	4.287022236658969	4.0	2.0	MS,SLE_myeloid,UC,psoriasis	Crohn,RA		False	False	0.0	1.521978278882497
TREM2	8	0	0	0	0	0	0										True	0.1899583473475061	0.2222195061215165	0.612719290366184	0.9476308467322015							6.946961815037877	4.759461815037877	0.0	2.0	1.0	lupus_nephritis,psoriasis	RA		False	False	0.0	1.3473480907518938
CST3	17	0	0	0	0	0	0										True	-0.2643178744970402	-0.5191317477594901	0.2536577060463362	0.9005265226936453							1.4774253256479062	-0.0225746743520937	1.5	0.0	0.0				False	False	0.0	1.0738712662823953
TYROBP	17	1	1	0	0	1	1	type 1 diabetes mellitus	ulcerative colitis	0.04921316038918697	0.47473280350340674	1.2536167836296532	0.9945823739221905	0.02453115633448366	-1.8932328792827713	t1d_ductal_cell:1.25,p=0.049	True	0.1685367778685798	0.5248086762818813	0.2296542729530867	0.9004758652001262															False	False	0.0	1.0
ACSL5	17	0	0	0	0	0	0										True	-0.2462890055547788	-0.4747536904515186	0.2770157214388172	0.9049965616313804															False	False	0.0	1.0
ALOX5	13	0	0	0	0	0	0										True	-0.4872919102940258	-0.4327910318484961	0.3442255520732666	0.9141270983319502															False	False	0.0	1.0
C3AR1	12	0	0	0	0	0	0										True	-0.2872912686765065	-0.6394826479593599	0.1557203496395686	0.8989378106274888															False	False	0.0	1.0
C5AR1	16	0	0	0	0	0	0										True	0.0658860796853026	0.0916534897116745	0.8310598392375835	0.9761732664217524															False	False	0.0	1.0
LAMP2	17	0	0	0	0	0	0										True	0.1348382785283046	0.4676148239106621	0.2874373653306042	0.9055783835864206															False	False	0.0	1.0
MRC1	17	0	0	0	0	0	0										True	-1.6897573204300596	-1.7696842520694158	0.0004313855553958	0.7061565610737713															False	False	0.0	1.0
STAB1	16	2	3	0	0	2	2	psoriasis;ulcerative colitis	Crohn disease;ulcerative colitis	0.00258666040683345	0.3140274027475989	2.1095317459956546	3.018122525124727	0.0020928955258224676	-2.318152987317413	psoriasis_skin_stromal:2.11,p=0.0026;ibd_uc_stromal:2.06,p=0.029	True	-0.7705380424797568	-1.8406490907930224	0.0003673247084598	0.7061565610737713															False	False	0.0	0.0
NUPR1	17	1	3	0	0	1	3	Sjogren syndrome	Crohn disease;psoriasis;ulcerative colitis	0.030712038787851722	0.8414957034907469	0.6299225191505062	0.8449004129866279	0.009998167012288752	-4.103844383843661	sjogren_gland_stromal:0.63,p=0.031	True	1.3766310113599154	1.469025209917123	0.0030306017439894	0.8344760564031432															True	True	0.0	0.0
CTSD	17	0	3	0	0	0	2		Crohn disease;ulcerative colitis					0.003181901292124324	-1.882045130896472		True	0.4931363740249406	0.9402214690667554	0.0483200176388117	0.8766654477139005							4.385898582227959	6.51423540056602	5.93416318166194	3.0	5.0	MS,SLE_myeloid,psoriasis	Crohn,RA,Sjogren,UC,lupus_nephritis		True	True	0.0	-0.7807050708886021
APOE	17	0	1	0	0	0	1		psoriasis					0.0016828228238945852	-3.2436171992331646		True	0.3729255468001433	0.6955020632543474	0.120208663256457	0.8989378106274888							0.4426059926524255	-0.9181673667934848	4.29827335944591	3.0	3.0	Crohn,MS,UC	RA,lupus_nephritis,psoriasis		False	True	0.0	-0.9778697003673787
LRP1	17	0	1	0	0	0	1		ulcerative colitis					0.009538696454504919	-1.3592495652906083		True	0.064012639422339	0.1159698276457452	0.7910670881988554	0.9747766810218778	3.0	MS;celiac;psoriasis	0.4372283758265513			datatype_affected_pathway;datatype_literature;datatype_rna_expression	3.844228498510093	1.1721142492550465	2.6721142492550465	1.0	0.0	MS			False	False	3.0	-1.3077885750744953
LAMP1	17	0	1	0	0	0	1		ulcerative colitis					0.04325500580066477	-0.6180871895505646		True	0.1622595591982687	0.499356848431654	0.2569490798415539	0.9037679420388188							3.1911986072140213	1.2752760711930735	5.665922536020948	4.0	4.0	MS,SLE_myeloid,lupus_nephritis,psoriasis	Crohn,RA,SLE_CD4_T,Sjogren		False	False	0.0	-2.840440069639299
TYRO3	17	0	1	0	0	0	1		psoriasis					0.003566240899689993	-0.6656636750353067		True	-0.5221106413811212	-0.2398800363507528	0.5805546499427854	0.9460300826505484							3.0745529025593132	0.7872764512796568	2.2872764512796566	0.0	0.0				False	False	0.0	-2.8462723548720343
FOLR2	9	0	1	0	0	0	1		ulcerative colitis					0.03470733870438092	-2.197258564171314		True	-0.4124144331048907	-0.3496700459677797	0.4359808650501444	0.9207543912661116							0.4588438652074535	-1.0411561347925464	1.5	0.0	0.0				False	False	0.0	-2.9770578067396274
SCARB1	17	1	2	0	0	1	2	type 1 diabetes mellitus	Crohn disease;ulcerative colitis	0.04913805160047704	0.42074477238605035	1.3215301520434894	0.6807000722541237	0.014258628204195293	-2.1470342312963435	t1d_endothelial_cell:1.32,p=0.049	True	0.176661486221219	0.3208572282416116	0.4566397981331662	0.9236315051718146															False	False	0.0	-3.0
PLA2G7	16	0	1	0	0	0	1		psoriasis					0.010621243656175821	-0.5467001163516259		True	0.3775930111395631	0.3143980486555391	0.4759936848671288	0.9258397578472236															False	False	0.0	-3.0
C1QC	15	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.026230297567668225	-1.4857147934504287		True	-0.5091140011096105	-0.7024433059007789	0.1227617549928257	0.8989378106274888							14.117481040631308	7.459861869994365	2.7201191706369423	3.0	1.0	Crohn,UC,psoriasis	RA		False	False	0.0	-6.294125947968435
CD36	17	1	3	0	0	1	3	psoriasis	Crohn disease;Sjogren syndrome;ulcerative colitis	0.04099952629415138	0.4022305021632905	3.3427158150828324	2.970943872480982	0.009698229345881883	-2.316203891677187	psoriasis_keratinocyte:3.34,p=0.041	True	-0.99925985802596	-0.3343429712025927	0.4410063385874331	0.9214560346888634							9.50075413590747	3.813254135907472	0.0	4.0	1.0	SLE_B,SLE_myeloid,lupus_nephritis,psoriasis	RA		False	False	0.0	-6.524962293204626
LGALS3	17	0	4	0	0	0	2		Crohn disease;psoriasis					0.004510684021937237	-1.1347401986392462		True	0.77778251830029	0.925488558138732	0.0509037442942543	0.8793979920162018							5.235851044816448	1.8679255224082236	3.367925522408224	1.0	0.0	MS			False	True	0.0	-6.738207447759177
CTSA	17	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.003331685447790813	-1.3394567073104655		True	-0.2526420970973166	-0.5175819848808214	0.2305102619743862	0.9004758652001262															False	False	0.0	-7.0
VSIG4	9	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.005353082894320101	-1.9110146302144893		True	-1.0515671441266328	-1.515830262996964	0.0020407308358746	0.8344760564031432															False	False	0.0	-7.0
MERTK	17	0	2	0	0	0	2		Sjogren syndrome;ulcerative colitis					0.0034729174649706486	-1.3720515044755257		True	0.2471109034794576	0.34078643587681	0.4292940108131474	0.9195199515584406							-4.352542197657148	-3.977542197657148	0.0	2.0	2.0	UC,lupus_nephritis	RA,psoriasis		False	False	0.0	-7.217627109882858
AXL	17	0	3	0	0	0	3		Crohn disease;type 1 diabetes mellitus;ulcerative colitis					0.0031385568948218614	-2.2914103021289467		True	0.2436879373355509	0.5356123959794967	0.2187319600718436	0.8993702893651148															False	False	0.0	-11.0
