gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood
AAGAB	17	3	0	0	0	2	0	psoriasis;ulcerative colitis		0.032717319659785506	0.36244869808773905	0.7228303880702298	2.103444215292035			psoriasis_skin_stromal:0.579,p=0.033;psoriasis_skin_apc:0.723,p=0.044;ibd_uc_stromal:0.491,p=0.045	False
AAK1	17	0	1	0	1	0	1		ulcerative colitis					0.0004506318838244595	-1.6732511350411885		False
AAMDC	17	1	3	0	1	1	2	type 1 diabetes mellitus	Crohn disease;ulcerative colitis	0.046248258296369874	0.554597753219192	0.6546673577579609	1.205423379374263	0.0005577439526473132	-1.1155518660999615	t1d_acinar_cell:0.655,p=0.046	False
AAMP	17	1	0	0	0	1	0	psoriasis		0.033269954514109974	0.40019800162873154	0.37622035354203387	2.749985863980413			psoriasis_keratinocyte:0.376,p=0.033	False
AANAT	10	0	0	0	0	0	0										False
AAR2	17	0	0	0	0	0	0										False
AARD	15	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.007807999324209563	-2.1747505346435188		False
AARS	6	0	0	0	0	0	0										False
AARS1	8	0	0	0	0	0	0										False
AARS2	17	2	0	0	0	2	0	psoriasis;type 1 diabetes mellitus		0.0313276622345911	0.3961913468997786	1.152720687329886	1.4705145855512225			t1d_stellate_cell:1.15,p=0.031;psoriasis_keratinocyte:0.918,p=0.036	False
AARSD1	17	1	1	0	0	1	1	psoriasis	Crohn disease	0.010057762064959667	0.3849693710143581	0.8179035930013623	4.020089595403973	0.011766129509805495	-1.7860580308818326	psoriasis_keratinocyte:0.818,p=0.01	False
AASDH	17	1	1	1	0	1	1	type 1 diabetes mellitus	ulcerative colitis	0.0006145675452037673	0.07653869731489585	0.7952592366538003	1.2811315005479904	0.026357289559674042	-0.5736688812828863	t1d_beta_cell:0.795,p=0.00061	False
AASDHPPT	17	2	1	0	0	2	1	Crohn disease;psoriasis	type 1 diabetes mellitus	0.023523347741378462	0.21996792324345366	1.0665263268155147	1.7077597674778615	0.012386700259493828	-0.4835771938677631	ibd_crohn_epithelial:0.498,p=0.024;psoriasis_skin_apc:1.07,p=0.047	False
AASS	17	3	0	0	0	3	0	Crohn disease;psoriasis;type 1 diabetes mellitus		0.0015584718218082296	0.12529269848863062	2.1826463187583816	2.0708297226277974			t1d_ductal_cell:1.3,p=0.0016;ibd_crohn_epithelial:1.39,p=0.003;psoriasis_keratinocyte:2.18,p=0.02	False
AATBC	11	0	1	0	0	0	1		ulcerative colitis					0.024865725292277173	-0.8829248106868532		False
AATF	14	0	0	0	0	0	0										False
AATK	17	0	2	0	0	0	2		Sjogren syndrome;psoriasis					0.018541182438962432	-2.189877604204077		False
ABALON	12	1	0	0	0	1	0	psoriasis		0.038001124198280625	0.40121785300954577	1.3230734085086593	2.6265366492860562			psoriasis_keratinocyte:1.32,p=0.038	False
ABAT	17	0	0	0	0	0	0										False
ABCA1	17	0	1	0	0	0	1		type 1 diabetes mellitus					0.01679932392513881	-2.1064776916997054		False
ABCA10	15	1	2	0	1	1	2	type 1 diabetes mellitus	Crohn disease;ulcerative colitis	0.03869336612690084	0.42764903799056536	1.088142334305843	0.5912557314760056	0.0014619370860492224	-2.1001498804537	t1d_stellate_cell:1.09,p=0.039	False
ABCA12	5	1	0	0	0	1	0	ulcerative colitis		0.007614399093502908	0.17406441030114223	3.3814576244857837	2.28586667657714			ibd_uc_epithelial:3.38,p=0.0076	False
ABCA13	10	0	0	0	0	0	0										False
ABCA15P	2	0	0	0	0	0	0										False
ABCA2	17	0	0	0	0	0	0										False
ABCA3	17	2	1	0	0	2	1	Sjogren syndrome;ulcerative colitis	type 1 diabetes mellitus	0.036266462944675844	0.3412047979561139	1.7962337357963472	1.1171864919344245	0.004478033103079742	-0.6722047822675021	ibd_uc_stromal:1.19,p=0.036;sjogren_gland_apc:1.8,p=0.043	False
ABCA4	5	0	0	0	0	0	0										False
ABCA5	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.04858646772867793	0.4739315837032629	0.37754635013015125	0.5729820811050819			t1d_ductal_cell:0.378,p=0.049	False
ABCA6	17	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.00466593539788192	-2.0571560542225527		False
ABCA7	17	1	0	0	0	1	0	Crohn disease		0.007177997530792244	0.1516184326881906	1.4119312796461405	2.001018466337716			ibd_crohn_epithelial:1.41,p=0.0072	False
ABCA8	14	0	2	0	1	0	2		Crohn disease;ulcerative colitis					0.000405576916269222	-3.1725995145458485		False
ABCA9	15	0	3	0	0	0	2		Crohn disease;ulcerative colitis					0.013772571345350084	-2.1418971035418304		False
ABCA9-AS1	4	0	0	0	0	0	0										False
ABCB1	17	1	2	0	0	1	2	Crohn disease	Crohn disease;ulcerative colitis	0.004810497109029458	0.4702570961658924	1.4326314903484971	1.9526756335421696	0.002444381231638812	-3.6146314151203884	ibd_crohn_stromal:1.43,p=0.0048	False
ABCB10	17	2	0	0	0	2	0	Crohn disease;type 1 diabetes mellitus		0.005100016526368395	0.13969715079538336	1.4811809264404663	1.5219189966516795			ibd_crohn_epithelial:0.69,p=0.0051;t1d_endothelial_cell:1.48,p=0.0059	False
ABCB11	6	0	0	0	0	0	0										False
ABCB4	16	0	1	0	0	0	1		ulcerative colitis					0.04335210731644582	-0.9586332464193359		False
ABCB5	11	0	1	0	0	0	1		type 1 diabetes mellitus					0.039530943747256735	-0.2415434307373612		False
ABCB6	15	0	0	0	0	0	0										False
ABCB7	17	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.0026254956370590204	-1.0525474340210321		False
ABCB8	17	2	2	0	0	2	2	psoriasis;type 1 diabetes mellitus	Crohn disease;ulcerative colitis	0.03395496254308512	0.38009514407401496	1.614955893178132	1.430287036534046	0.015821702667035562	-1.9366514222916074	t1d_endothelial_cell:1.61,p=0.034;psoriasis_keratinocyte:1.19,p=0.04	False
ABCB9	17	1	2	1	2	1	2	type 1 diabetes mellitus	type 1 diabetes mellitus;ulcerative colitis	0.0005436400042336399	0.08849560581493457	2.2068543890265477	1.539867338149897	0.00046895331311024735	-2.2908868941319427	t1d_endothelial_cell:2.21,p=0.00054	False
ABCC1	17	3	0	1	0	2	0	Crohn disease;ulcerative colitis		0.001553200229202082	0.08497491815010862	2.8039320549948537	1.6612324148512438			ibd_uc_epithelial:2.8,p=0.0016;ibd_crohn_epithelial:1.74,p=0.018;ibd_uc_stromal:1.09,p=0.023	False
ABCC10	17	2	2	0	0	1	2	type 1 diabetes mellitus	Crohn disease;ulcerative colitis	0.005941320314918057	0.2246945876281399	1.4603209530052	0.7541375664863619	0.026667930998049563	-1.803753422587269	t1d_stellate_cell:1.46,p=0.0059;t1d_ductal_cell:0.761,p=0.025	False
ABCC11	7	0	0	0	0	0	0										False
ABCC12	2	0	0	0	0	0	0										False
ABCC2	14	0	1	0	0	0	1		psoriasis					0.034422412662380726	-0.6126074634421206		False
ABCC3	17	3	0	0	0	2	0	Sjogren syndrome;type 1 diabetes mellitus		0.0019183801180315749	0.14671043552381316	1.4033058101764664	1.191912526476435			t1d_stellate_cell:1.4,p=0.0019;sjogren_gland_stromal:1.34,p=0.0046;t1d_beta_cell:1.4,p=0.0049	False
ABCC4	17	1	1	0	0	1	1	psoriasis	ulcerative colitis	0.02822491599666334	0.5560654875640701	0.598524944690733	2.336318476977023	0.038473925688916985	-2.0029504386069132	psoriasis_skin_stromal:0.599,p=0.028	False
ABCC5	17	0	1	0	0	0	1		Crohn disease					0.034161890878825804	-1.4393397725952735		False
ABCC5-AS1	4	0	0	0	0	0	0										False
ABCC6	14	1	0	0	0	1	0	type 1 diabetes mellitus		0.04487830256248225	0.4984821684318334	0.8117020561531962	0.7449119660764235			t1d_beta_cell:0.812,p=0.045	False
ABCC8	12	0	2	0	0	0	2		type 1 diabetes mellitus;ulcerative colitis					0.01651398605885538	-0.9299020685455757		False
ABCC9	13	2	0	0	0	2	0	type 1 diabetes mellitus;ulcerative colitis		0.022569651664286695	0.28803074792058014	1.6581931881146987	1.0764272844886784			ibd_uc_stromal:1.66,p=0.023;t1d_stellate_cell:0.933,p=0.037	False
ABCD1	17	4	0	0	0	2	0	Crohn disease;psoriasis		0.008768640242396828	0.15995652530135615	1.4981517591656561	1.594185188884424			ibd_crohn_epithelial:1.19,p=0.0088;ibd_crohn_stromal:1.45,p=0.03;ibd_crohn_myeloid:1.5,p=0.045;psoriasis_skin_stromal:0.469,p=0.049	False
ABCD2	6	0	0	0	0	0	0										False
ABCD3	17	0	2	0	0	0	1		type 1 diabetes mellitus					0.005575075514420125	-0.6431667081252321		False
ABCD4	17	3	0	0	0	2	0	type 1 diabetes mellitus;ulcerative colitis		0.035515069030921075	0.3610080889128337	0.6263449696273566	0.637963770687003			t1d_beta_cell:0.312,p=0.036;t1d_ductal_cell:0.343,p=0.039;ibd_uc_stromal:0.626,p=0.045	False
ABCE1	17	1	0	0	0	1	0	ulcerative colitis		0.04674034227875179	0.36705989849366844	0.631688032350743	1.234426704103416			ibd_uc_stromal:0.632,p=0.047	False
ABCF1	17	0	0	0	0	0	0										False
ABCF2	6	0	1	0	0	0	1		psoriasis					0.008782133934371019	-1.0714501619248427		False
ABCF3	17	1	0	0	0	1	0	psoriasis		0.00032491977492002356	0.49009224033850735	0.3876046249591223	11.018153151353209			psoriasis_skin_stromal:0.388,p=0.00032	False
ABCG1	17	0	4	0	0	0	3		Crohn disease;psoriasis;type 1 diabetes mellitus					0.0019046473595872421	-1.6171760340863521		False
ABCG2	15	0	4	0	2	0	3		Crohn disease;Sjogren syndrome;ulcerative colitis					4.379343196111376e-06	-4.48279261639877		False
ABCG4	5	0	0	0	0	0	0										False
ABCG5	8	0	1	0	0	0	1		type 1 diabetes mellitus					0.033391950583220656	-0.20118494310118532		False
ABCG8	9	0	0	0	0	0	0										False
ABHD1	17	0	1	0	0	0	1		ulcerative colitis					0.04167713925592273	-0.9456134673851215		False
ABHD10	17	0	2	0	0	0	2		type 1 diabetes mellitus;ulcerative colitis					0.027979760175696786	-0.9224103831662709		False
ABHD11	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.021039531699843163	0.33650000807721425	1.2817393849233278	0.7493427556606053			t1d_endothelial_cell:1.28,p=0.021	False
ABHD12	17	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.006259085940330369	-1.3469696481379563		False
ABHD12B	7	0	0	0	0	0	0										False
ABHD13	17	3	1	0	0	3	1	Crohn disease;psoriasis;ulcerative colitis	type 1 diabetes mellitus	0.016492139463600387	0.24248742516692187	0.9473094472772119	1.5348108953104083	0.04079668999542782	-0.6217224402171997	ibd_uc_myeloid:0.947,p=0.016;psoriasis_skin_stromal:0.458,p=0.019;ibd_crohn_epithelial:0.543,p=0.031	False
ABHD14A	17	1	0	0	0	1	0	psoriasis		0.047212963054797843	0.4069761493226161	1.2659601812431667	2.5017134706854325			psoriasis_keratinocyte:1.27,p=0.047	False
ABHD14A-ACY1	9	0	0	0	0	0	0										False
ABHD14B	17	1	3	0	0	1	2	type 1 diabetes mellitus	Crohn disease;ulcerative colitis	0.04149349915647695	0.4618611733095361	0.33715586552484655	0.8801265189052341	0.0006625828419290661	-1.4133120216607313	t1d_ductal_cell:0.337,p=0.041	False
ABHD15	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.02048642820306087	0.33548996410993254	1.4627758628704262	0.9377752536350012			t1d_endothelial_cell:1.46,p=0.02	False
ABHD15-AS1	3	0	0	0	0	0	0										False
ABHD16A	14	1	0	0	0	1	0	type 1 diabetes mellitus		0.0038637852172972572	0.19679716626644506	1.6106709043419352	1.5943750191007247			t1d_stellate_cell:1.61,p=0.0039	False
ABHD17A	17	2	0	0	0	1	0	Crohn disease		0.018545334711468724	0.19979425880636678	2.8318105232099664	1.475690616192756			ibd_crohn_epithelial:2.74,p=0.019;ibd_crohn_stromal:2.83,p=0.045	False
ABHD17B	17	0	0	0	0	0	0										False
ABHD17C	17	4	0	1	0	3	0	Crohn disease;psoriasis;ulcerative colitis		0.0007562628038585893	0.09224364050140664	2.5200124367566024	2.3399387185464295			ibd_crohn_myeloid:2.52,p=0.00076;psoriasis_skin_stromal:0.694,p=0.011;ibd_uc_epithelial:0.399,p=0.02;ibd_uc_myeloid:2.3,p=0.046	False
ABHD18	17	2	0	0	0	2	0	psoriasis;type 1 diabetes mellitus		0.014726786338941247	0.34629993337084886	1.133965851789418	1.975739466932675			psoriasis_skin_apc:1.01,p=0.015;t1d_stellate_cell:1.13,p=0.02	False
ABHD2	17	2	0	1	0	2	0	Crohn disease;ulcerative colitis		0.0001763858235847414	0.02953482623802281	0.9463359856960984	2.422263531394816			ibd_uc_epithelial:0.946,p=0.00018;ibd_crohn_epithelial:0.569,p=0.009	False
ABHD3	17	1	1	0	0	1	1	type 1 diabetes mellitus	type 1 diabetes mellitus	0.031912076019032086	0.37220199198075665	1.6675450472809454	0.8147587714955405	0.002930851724023403	-0.7510217592430086	t1d_endothelial_cell:1.67,p=0.032	False
ABHD4	17	0	0	0	0	0	0										False
ABHD5	17	0	0	0	0	0	0										False
ABHD6	17	0	0	0	0	0	0										False
ABHD8	17	0	0	0	0	0	0										False
ABI1	17	1	1	0	0	1	1	type 1 diabetes mellitus	psoriasis	0.0016080303937474043	0.13011328069421862	0.5257688591670062	1.230853461626561	0.02051770136799323	-0.6765697219562696	t1d_endothelial_cell:0.526,p=0.0016	False
ABI2	17	1	0	0	0	1	0	Crohn disease		0.020043130519084684	0.20631389988929902	0.3988115546071258	1.4965405423967164			ibd_crohn_epithelial:0.399,p=0.02	False
ABI3	15	0	0	0	0	0	0										False
ABI3BP	17	2	2	0	0	1	2	type 1 diabetes mellitus	Crohn disease;ulcerative colitis	0.01674702802667713	0.30769535089117694	2.3097338558487612	1.2861632808926837	0.010153015330016736	-1.5768879131641738	t1d_endothelial_cell:2.31,p=0.017;t1d_ductal_cell:0.897,p=0.023	False
ABITRAM	8	0	0	0	0	0	0										False
ABL1	17	0	2	0	0	0	2		type 1 diabetes mellitus;ulcerative colitis					0.02716596906439737	-1.1714346101612532		False
ABL2	17	1	0	1	0	1	0	type 1 diabetes mellitus		0.0007714614842351299	0.09281228360337442	0.8490989808520197	1.0870710979099645			t1d_endothelial_cell:0.849,p=0.00077	False
ABLIM1	17	2	1	0	0	2	1	Crohn disease;ulcerative colitis	psoriasis	0.004310155541691194	0.14098748215977924	0.8286461619730057	1.8072252299352085	0.0398257468966883	-1.2356779451948103	ibd_uc_epithelial:0.829,p=0.0043;ibd_crohn_epithelial:0.678,p=0.013	False
ABLIM2	15	2	0	0	0	2	0	psoriasis;ulcerative colitis		0.014024679502025735	0.23812837431118006	1.4384388205355945	1.7803908404707292			ibd_uc_stromal:1.44,p=0.014;psoriasis_skin_stromal:0.87,p=0.049	False
ABLIM3	15	1	1	0	0	1	1	type 1 diabetes mellitus	ulcerative colitis	0.0016090053098761188	0.13011328069421862	2.235669656081746	1.215971481451134	0.04587636293005411	-1.282466328861664	t1d_endothelial_cell:2.24,p=0.0016	False
ABO	16	2	0	0	0	2	0	Sjogren syndrome;type 1 diabetes mellitus		0.001949898135192665	0.21455264280503486	1.7527428604310367	0.955481532487277			t1d_ductal_cell:1.75,p=0.0019;sjogren_gland_stromal:1.01,p=0.036	False
ABR	14	0	1	0	0	0	1		ulcerative colitis					0.008607111543960542	-0.6811146114887343		False
ABRA	5	0	0	0	0	0	0										False
ABRACL	17	2	0	1	0	2	0	psoriasis;ulcerative colitis		0.0002034392310951824	0.04146197212437269	1.3954728750471923	4.5927331378302			ibd_uc_stromal:1.23,p=0.0002;psoriasis_skin_stromal:1.4,p=0.0019	False
ABRAXAS1	17	0	1	0	0	0	1		Crohn disease					0.026190113436567818	-0.8343117309722823		False
ABRAXAS2	17	0	0	0	0	0	0										False
ABT1	17	0	1	0	0	0	1		psoriasis					0.023756568051147453	-0.2537858351949824		False
ABTB1	17	0	0	0	0	0	0										False
ABTB2	17	2	0	0	0	2	0	type 1 diabetes mellitus;ulcerative colitis		0.0263317532007643	0.3337020979290255	1.3108533563067253	1.2297519785791402			t1d_stellate_cell:1.31,p=0.026;ibd_uc_myeloid:1.26,p=0.03	False
ABTB3	7	0	0	0	0	0	0										False
AC100763.1	3	0	0	0	0	0	0										False
AC100768.2	2	0	0	0	0	0	0										False
AC100771.2	5	0	2	0	0	0	2		psoriasis;ulcerative colitis					0.006593027142411123	-1.0189296167612663		False
AC100774.1	3	0	0	0	0	0	0										False
AC100775.1	1	0	0	0	0	0	0										False
AC100778.1	2	0	0	0	0	0	0										False
AC100778.2	1	0	0	0	0	0	0										False
AC100778.3	3	0	0	0	0	0	0										False
AC100781.1	2	0	0	0	0	0	0										False
AC100782.1	2	0	0	0	0	0	0										False
AC100786.1	9	0	0	0	0	0	0										False
AC100788.1	7	0	0	0	0	0	0										False
AC100791.2	1	0	0	0	0	0	0										False
AC100791.3	4	0	0	0	0	0	0										False
AC100793.2	8	0	0	0	0	0	0										False
AC100793.3	2	0	0	0	0	0	0										False
AC100793.4	4	0	0	0	0	0	0										False
AC100797.1	1	0	0	0	0	0	0										False
AC100800.1	3	0	0	0	0	0	0										False
AC100801.1	3	0	1	0	0	0	1		psoriasis					0.018497536689922895	-1.7492717307724874		False
AC100802.1	3	0	0	0	0	0	0										False
AC100803.1	3	0	0	0	0	0	0										False
AC100803.2	2	0	0	0	0	0	0										False
AC100803.3	5	1	0	0	0	1	0	Crohn disease		0.03409267176286246	0.5686114632158339	1.86132482239107	1.3369548392823483			ibd_crohn_stromal:1.86,p=0.034	False
AC100810.1	9	2	0	0	0	1	0	Crohn disease		0.025743914440235643	0.2266798341314954	2.275419716100967	1.447345957822931			ibd_crohn_epithelial:0.692,p=0.026;ibd_crohn_stromal:2.28,p=0.039	False
AC100812.1	7	0	1	0	0	0	1		Crohn disease					0.0412033729976276	-0.9345641483464276		False
AC100814.1	9	0	0	0	0	0	0										False
AC100821.2	5	0	0	0	0	0	0										False
AC100823.1	1	0	0	0	0	0	0										False
AC100826.1	1	0	0	0	0	0	0										False
AC100827.3	3	0	0	0	0	0	0										False
AC100827.4	8	0	0	0	0	0	0										False
AC100830.1	7	0	0	0	0	0	0										False
AC100830.2	2	0	0	0	0	0	0										False
AC100830.3	5	0	0	0	0	0	0										False
AC100832.2	2	0	0	0	0	0	0										False
AC100835.1	1	0	0	0	0	0	0										False
AC100835.2	3	0	0	0	0	0	0										False
AC100839.1	1	0	0	0	0	0	0										False
AC100839.2	1	0	0	0	0	0	0										False
AC100843.1	2	0	0	0	0	0	0										False
AC100844.1	2	0	0	0	0	0	0										False
AC100847.1	5	0	0	0	0	0	0										False
AC100849.1	3	0	0	0	0	0	0										False
AC100849.2	3	0	0	0	0	0	0										False
AC100858.2	1	0	0	0	0	0	0										False
AC100858.3	5	0	0	0	0	0	0										False
AC100861.1	3	1	0	0	0	1	0	psoriasis		0.008503721870304688	0.3849693710143581	0.7177516709973817	3.7559730624742516			psoriasis_keratinocyte:0.718,p=0.0085	False
AC100861.2	4	0	0	0	0	0	0										False
AC100863.1	3	0	0	0	0	0	0										False
AC102945.1	3	0	0	0	0	0	0										False
AC102953.1	3	0	0	0	0	0	0										False
AC102953.2	7	0	0	0	0	0	0										False
AC103409.1	3	0	0	0	0	0	0										False
AC103563.7	1	0	0	0	0	0	0										False
AC103591.3	9	0	0	0	0	0	0										False
AC103591.4	2	0	0	0	0	0	0										False
AC103691.1	9	1	1	0	0	1	1	psoriasis	Crohn disease	0.032448222121405974	0.40019800162873154	0.9943085086687513	2.3378935171799937	0.04344996466887831	-1.0773812582151212	psoriasis_keratinocyte:0.994,p=0.032	False
AC103691.2	3	0	0	0	0	0	0										False
AC103702.1	2	0	0	0	0	0	0										False
AC103702.2	7	0	0	0	0	0	0										False
AC103703.1	3	0	0	0	0	0	0										False
AC103706.1	9	0	0	0	0	0	0										False
AC103724.3	4	0	1	0	0	0	1		ulcerative colitis					0.0030088662607527876	-0.9459045236382412		False
AC103724.4	5	0	0	0	0	0	0										False
AC103726.1	1	0	0	0	0	0	0										False
AC103726.2	1	0	0	0	0	0	0										False
AC103739.1	3	0	0	0	0	0	0										False
AC103739.2	3	0	0	0	0	0	0										False
AC103739.3	1	0	0	0	0	0	0										False
AC103740.1	7	0	0	0	0	0	0										False
AC103740.2	3	0	0	0	0	0	0										False
AC103746.1	6	1	0	0	0	1	0	psoriasis		0.04595223403436868	0.5792247905546628	0.33425246626804206	2.0834246578857423			psoriasis_skin_stromal:0.334,p=0.046	False
AC103760.1	3	0	0	0	0	0	0										False
AC103770.1	1	0	0	0	0	0	0										False
AC103794.1	1	0	0	0	0	0	0										False
AC103796.1	3	0	0	0	0	0	0										False
AC103798.1	3	0	0	0	0	0	0										False
AC103808.4	3	1	0	0	0	1	0	psoriasis		0.029372606789996182	0.7297013371935511	0.9342112960419379	2.1708631538562515			psoriasis_skin_apc:0.934,p=0.029	False
AC103809.1	1	0	0	0	0	0	0										False
AC103810.2	6	0	0	0	0	0	0										False
AC103810.5	3	0	0	0	0	0	0										False
AC103831.1	1	0	0	0	0	0	0										False
AC103853.1	2	0	0	0	0	0	0										False
AC103853.2	2	0	0	0	0	0	0										False
AC103855.2	3	0	0	0	0	0	0										False
AC103855.3	3	1	0	0	0	1	0	psoriasis		0.045989226975984836	0.4067867496825199	1.7123479645183595	2.2686545352432343			psoriasis_keratinocyte:1.71,p=0.046	False
AC103858.2	1	0	0	0	0	0	0										False
AC103874.1	3	0	0	0	0	0	0										False
AC103876.1	3	0	0	0	0	0	0										False
AC103923.1	5	1	0	0	0	1	0	Crohn disease		0.03646177955231398	0.2576878951646498	0.7683541386681578	1.3021980378647764			ibd_crohn_epithelial:0.768,p=0.036	False
AC103957.1	3	0	0	0	0	0	0										False
AC103957.2	7	0	0	0	0	0	0										False
AC103974.1	5	0	0	0	0	0	0										False
AC103982.1	1	0	0	0	0	0	0										False
AC103987.2	3	0	0	0	0	0	0										False
AC104002.3	1	0	0	0	0	0	0										False
AC104009.1	3	0	0	0	0	0	0										False
AC104024.1	1	0	0	0	0	0	0										False
AC104024.2	4	0	0	0	0	0	0										False
AC104031.1	5	0	0	0	0	0	0										False
AC104035.1	3	0	0	0	0	0	0										False
AC104041.1	7	0	0	0	0	0	0										False
AC104051.1	3	0	0	0	0	0	0										False
AC104051.2	4	0	0	0	0	0	0										False
AC104066.2	3	0	0	0	0	0	0										False
AC104073.4	4	0	0	0	0	0	0										False
AC104076.1	2	0	0	0	0	0	0										False
AC104078.1	2	0	0	0	0	0	0										False
AC104078.2	3	0	0	0	0	0	0										False
AC104083.1	3	0	0	0	0	0	0										False
AC104088.1	3	0	0	0	0	0	0										False
AC104109.2	5	0	1	0	1	0	1		ulcerative colitis					1.5900902561596073e-06	-2.131497462050601		False
AC104109.4	3	0	0	0	0	0	0										False
AC104116.1	1	0	0	0	0	0	0										False
AC104117.3	3	0	0	0	0	0	0										False
AC104117.5	1	0	0	0	0	0	0										False
AC104118.1	5	0	0	0	0	0	0										False
AC104119.1	1	0	0	0	0	0	0										False
AC104126.1	2	1	0	0	0	1	0	psoriasis		0.013431930503368	0.3921590108107973	1.4698738221659025	4.614386981405816			psoriasis_keratinocyte:1.47,p=0.013	False
AC104134.1	3	0	0	0	0	0	0										False
AC104135.1	1	0	0	0	0	0	0										False
AC104170.1	5	0	0	0	0	0	0										False
AC104187.1	6	1	0	0	0	1	0	Crohn disease		0.01039650373313971	0.1669285636267529	1.0765128528209589	1.6835394272686217			ibd_crohn_epithelial:1.08,p=0.01	False
AC104211.1	3	0	0	0	0	0	0										False
AC104211.2	3	0	0	0	0	0	0										False
AC104211.3	1	0	0	0	0	0	0										False
AC104232.2	2	1	0	0	0	1	0	psoriasis		0.008666626553389326	0.5232404153085454	0.9266886266386668	3.4752802215302356			psoriasis_skin_stromal:0.927,p=0.0087	False
AC104233.1	1	0	0	0	0	0	0										False
AC104237.1	2	0	0	0	0	0	0										False
AC104237.2	1	0	0	0	0	0	0										False
AC104237.3	3	0	0	0	0	0	0										False
AC104241.1	1	0	1	0	0	0	1		psoriasis					0.011332450890166964	-0.334182555224037		False
AC104248.1	5	0	0	0	0	0	0										False
AC104257.1	2	0	0	0	0	0	0										False
AC104260.3	1	0	0	0	0	0	0										False
AC104316.1	3	0	0	0	0	0	0										False
AC104316.2	2	1	0	0	0	1	0	psoriasis		0.01814396115575743	0.54530051882611	0.2774750881626948	2.791384876954985			psoriasis_skin_stromal:0.277,p=0.018	False
AC104333.4	1	0	0	0	0	0	0										False
AC104350.1	1	0	0	0	0	0	0										False
AC104365.1	3	0	0	0	0	0	0										False
AC104365.3	3	0	0	0	0	0	0										False
AC104389.4	6	0	1	0	0	0	1		ulcerative colitis					0.021768222951639014	-0.675802253221105		False
