gene	modules	submodules	is_target_gene	n_up_contexts	n_up_datasets	n_down_contexts	n_down_datasets	max_delta	min_delta	up_contexts	down_contexts
TREM2	resolution_efferocytosis	trem2_lipid_sensing	True	5	3	2	2	1.53724853276655	-1.2484272182389777	AC_45min_vs_Alone;AC_90min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_2h_AC_vs_WT_Ctrl;LipaOE_vs_Control_PM
FPR2	resolution_efferocytosis	fpr2_anxa1_axis	True	3	3	3	2	1.5079233098841134	-2.7667438501595965	AC_90min_vs_Alone;LipaOE_vs_Control_PM;Aged_BEX_vs_Aged_vehicle	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;StrokeAged_BEX_vs_StrokeAged_vehicle
PPARD	resolution_efferocytosis		True	2	2	5	4	0.893668477661268	-1.6079290592677915	AC_90min_vs_Alone;GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;IL10_Treg_phago_vs_IL10_nonphago;GpnmbR150X_BMDM_vs_WT_BMDM;StrokeAged_BEX_vs_StrokeAged_vehicle
IL10	resolution_efferocytosis	repair_cytokine_matrix	True	2	2	4	3	1.4366687351255005	-1.1480510835134758	AC_45min_vs_Alone;LipaOE_vs_Control_PM	MF_AC_vs_MF;IFNg_Treg_phago_vs_IFNg_nonphago;Aged_BEX_vs_Aged_vehicle;StrokeAged_BEX_vs_StrokeAged_vehicle
GPNMB	lipid_lysosomal_apc	foam_dam_lipid	True	2	2	5	3	0.7152526141120931	-2.4141546325743204	WT_6h_AC_vs_WT_Ctrl;LipaOE_vs_Control_PM	WT_2h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;AC_90min_vs_Alone;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL
RXRA			True	1	1	3	3	1.2369316262187164	-0.820793521889696	GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_6h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;Aged_BEX_vs_Aged_vehicle
CD36	resolution_efferocytosis	scavenger_receptors	False	6	5	4	4	1.6038720592859739	-1.6182288837554815	MF_AC_vs_MF;AC_90min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL;Aged_BEX_vs_Aged_vehicle	WT_2h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;IL10_Tconv_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM
CASP3	stress_cytotoxicity	stress_core	False	6	5	2	2	1.4871218965408313	-1.2544935044241003	WT_2h_AC_vs_WT_Ctrl;AC_90min_vs_Alone;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL;Aged_BEX_vs_Aged_vehicle	WT_6h_AC_vs_WT_Ctrl;IL10_Tconv_phago_vs_IL10_nonphago
TYRO3	resolution_efferocytosis	tam_receptor_ligand	False	5	5	2	1	3.0103050584786564	-1.5005815573024963	WT_6h_AC_vs_WT_Ctrl;AC_90min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_OxLDL_vs_WT_OxLDL	Young_BEX_vs_Young_vehicle;StrokeAged_BEX_vs_StrokeAged_vehicle
IFI30	lipid_lysosomal_apc	mhcII_ciita	False	6	5	1	1	2.8310912301706628	-0.9031391876522408	WT_2h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_45min_vs_Alone;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	AC_90min_vs_Alone
BAX	stress_cytotoxicity	stress_core	False	6	5	1	1	2.4176647902479496	-1.2815424557126303	WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_90min_vs_Alone;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	Young_BEX_vs_Young_vehicle
ABCG1	resolution_efferocytosis	lxr_efflux	False	9	5	1	1	2.2102854031629477	-0.8634424238873969	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL;Young_BEX_vs_Young_vehicle;Aged_BEX_vs_Aged_vehicle;StrokeAged_BEX_vs_StrokeAged_vehicle	AC_45min_vs_Alone
FOS	stress_cytotoxicity	stress_core	False	5	4	6	5	2.1236938993665517	-1.922252444022316	AC_45min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL;Aged_BEX_vs_Aged_vehicle	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_90min_vs_Alone;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM
DDIT3	stress_cytotoxicity	stress_core	False	4	4	6	5	1.78824580189736	-1.220800593740211	WT_6h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;GpnmbR150X_OxLDL_vs_WT_OxLDL	AC_90min_vs_Alone;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;Young_BEX_vs_Young_vehicle
H2-DMA	lipid_lysosomal_apc	mhcII_ciita	False	4	4	4	4	2.118254377514339	-1.0982822587501306	WT_2h_AC_vs_WT_Ctrl;AC_90min_vs_Alone;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM	WT_6h_AC_vs_WT_Ctrl;IFNg_Treg_phago_vs_IFNg_nonphago;GpnmbR150X_OxLDL_vs_WT_OxLDL;Young_BEX_vs_Young_vehicle
JUN	stress_cytotoxicity	stress_core	False	6	4	5	4	1.959524486292993	-2.6225800405417763	MF_AC_vs_MF;AC_45min_vs_Alone;AC_90min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_6h_AC_vs_WT_Ctrl;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;StrokeAged_BEX_vs_StrokeAged_vehicle
LPL	resolution_efferocytosis;lipid_lysosomal_apc	trem2_lipid_sensing;foam_dam_lipid	False	5	4	5	4	1.9130325766776954	-1.2839539001168763	WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_90min_vs_Alone;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_2h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;Aged_BEX_vs_Aged_vehicle
HSP90AA1	stress_cytotoxicity	stress_core	False	4	4	5	4	1.18906035568072	-1.863423588002091	WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;IL10_Tconv_phago_vs_IL10_nonphago;GpnmbR150X_OxLDL_vs_WT_OxLDL	AC_45min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;LipaOE_vs_Control_PM;Young_BEX_vs_Young_vehicle;Aged_BEX_vs_Aged_vehicle
H2-EB1	lipid_lysosomal_apc	mhcII_ciita	False	6	4	2	2	1.8678000397996266	-1.3627327401105132	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM	IFNg_Treg_phago_vs_IFNg_nonphago;StrokeAged_BEX_vs_StrokeAged_vehicle
ABCA1	resolution_efferocytosis	lxr_efflux	False	7	4	3	2	1.6246752175634858	-2.7773989762573685	MF_AC_vs_MF;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL;Young_BEX_vs_Young_vehicle;Aged_BEX_vs_Aged_vehicle;StrokeAged_BEX_vs_StrokeAged_vehicle	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;AC_45min_vs_Alone
PLIN2	lipid_lysosomal_apc	foam_dam_lipid	False	6	4	1	1	2.0129460596577835	-1.6186378976299576	WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_45min_vs_Alone;AC_90min_vs_Alone;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	LipaOE_vs_Control_PM
H2-AB1	lipid_lysosomal_apc	mhcII_ciita	False	6	4	1	1	1.8816267491378484	-1.2980200491335063	AC_45min_vs_Alone;AC_90min_vs_Alone;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM	IFNg_Treg_phago_vs_IFNg_nonphago
H2-AA	lipid_lysosomal_apc	mhcII_ciita	False	6	4	1	1	1.8616329795330238	-1.0333043318018416	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM	IFNg_Treg_phago_vs_IFNg_nonphago
COL1A1	fibrosis_profibrotic	fibrosis_core	False	3	3	4	4	2.164769722672253	-0.9530527755145417	WT_2h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_45min_vs_Alone	IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;StrokeAged_BEX_vs_StrokeAged_vehicle
IRF1	generic_ifn	ifn_core	False	3	3	5	4	1.3702359758923843	-1.482695312025416	MF_AC_vs_MF;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM	WT_6h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;Young_BEX_vs_Young_vehicle;StrokeAged_BEX_vs_StrokeAged_vehicle
IFITM3	generic_ifn	ifn_core	False	3	3	5	4	0.9280447075952755	-2.27401328195599	AC_45min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;LipaOE_vs_Control_PM	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_90min_vs_Alone;IL10_Treg_phago_vs_IL10_nonphago
APOE	resolution_efferocytosis;lipid_lysosomal_apc	trem2_lipid_sensing;foam_dam_lipid	False	4	3	5	4	0.8035307141520042	-1.9963916528579178	IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;GpnmbR150X_BMDM_vs_WT_BMDM;Young_BEX_vs_Young_vehicle	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;AC_90min_vs_Alone;LipaOE_vs_Control_PM;GpnmbR150X_OxLDL_vs_WT_OxLDL
DNAJB1	stress_cytotoxicity	stress_core	False	4	3	4	3	1.7999974711784144	-1.4059104391340993	WT_2h_AC_vs_WT_Ctrl;MF_AC_vs_MF;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	AC_90min_vs_Alone;LipaOE_vs_Control_PM;Young_BEX_vs_Young_vehicle;Aged_BEX_vs_Aged_vehicle
C1QC	resolution_efferocytosis	complement_efferocytosis	False	3	3	4	3	1.097957018416645	-2.61910100143964	AC_45min_vs_Alone;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;AC_90min_vs_Alone;GpnmbR150X_OxLDL_vs_WT_OxLDL
H2-DMB1	lipid_lysosomal_apc	mhcII_ciita	False	4	3	3	2	2.0191472380456483	-1.7426319015858327	AC_45min_vs_Alone;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	IFNg_Treg_phago_vs_IFNg_nonphago;Young_BEX_vs_Young_vehicle;StrokeAged_BEX_vs_StrokeAged_vehicle
C1QB	resolution_efferocytosis	complement_efferocytosis	False	3	3	3	2	1.5143564796443039	-2.1382544615457535	AC_45min_vs_Alone;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;GpnmbR150X_OxLDL_vs_WT_OxLDL
MX1	generic_ifn	ifn_core	False	3	3	2	2	1.343129286038249	-0.6763568494406197	WT_2h_AC_vs_WT_Ctrl;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM	IFNg_Treg_phago_vs_IFNg_nonphago;StrokeAged_BEX_vs_StrokeAged_vehicle
IRF7	generic_ifn	ifn_core	False	3	3	2	2	1.205196461230209	-1.4455547787311045	WT_2h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;LipaOE_vs_Control_PM	WT_6h_AC_vs_WT_Ctrl;AC_90min_vs_Alone
TGFB1	resolution_efferocytosis;fibrosis_profibrotic	repair_cytokine_matrix;fibrosis_core	False	4	3	1	1	1.995443608130607	-1.6962183222584568	WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_2h_AC_vs_WT_Ctrl
MARCO	resolution_efferocytosis	scavenger_receptors	False	5	3	2	1	1.5517498958510128	-2.6272435460192494	AC_45min_vs_Alone;AC_90min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl
ISG15	generic_ifn	ifn_core	False	3	3	0	0	1.5148751845156783	-0.344684340625395	WT_2h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;LipaOE_vs_Control_PM	
ATF4	stress_cytotoxicity	stress_core	False	3	2	7	5	2.255690882957405	-1.494438341540322	MF_AC_vs_MF;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_2h_AC_vs_WT_Ctrl;AC_90min_vs_Alone;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;Young_BEX_vs_Young_vehicle;StrokeAged_BEX_vs_StrokeAged_vehicle
LAMP2	lipid_lysosomal_apc	cathepsin_lysosome	False	3	2	8	5	1.6763399696967356	-1.1918117718481755	AC_90min_vs_Alone;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_45min_vs_Alone;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;Young_BEX_vs_Young_vehicle;StrokeAged_BEX_vs_StrokeAged_vehicle
STAT1	generic_ifn	ifn_core	False	2	2	4	4	1.6195690915816723	-1.2516330095748343	WT_2h_AC_vs_WT_Ctrl;LipaOE_vs_Control_PM	WT_6h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;StrokeAged_BEX_vs_StrokeAged_vehicle
MRC1	resolution_efferocytosis	scavenger_receptors	False	2	2	3	3	2.2448194635695513	-1.0223100500918356	AC_90min_vs_Alone;GpnmbR150X_OxLDL_vs_WT_OxLDL	AC_45min_vs_Alone;GpnmbR150X_BMDM_vs_WT_BMDM;StrokeAged_BEX_vs_StrokeAged_vehicle
TYROBP	lipid_lysosomal_apc	trem2_lipid_sensing;foam_dam_lipid	False	3	2	4	3	2.219716228692651	-2.0183467687360848	AC_45min_vs_Alone;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;LipaOE_vs_Control_PM;Young_BEX_vs_Young_vehicle
CTSL	lipid_lysosomal_apc	cathepsin_lysosome	False	3	2	4	3	1.6109045092117957	-1.0096185972097835	AC_90min_vs_Alone;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_2h_AC_vs_WT_Ctrl;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM
CTSD	lipid_lysosomal_apc	cathepsin_lysosome	False	3	2	3	3	1.5622177293940849	-1.8235401961304727	GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL;StrokeAged_BEX_vs_StrokeAged_vehicle	WT_2h_AC_vs_WT_Ctrl;AC_90min_vs_Alone;LipaOE_vs_Control_PM
GAS6	resolution_efferocytosis	tam_receptor_ligand	False	3	2	5	3	1.4738148912697522	-2.1585549725138238	WT_6h_AC_vs_WT_Ctrl;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	AC_45min_vs_Alone;AC_90min_vs_Alone;LipaOE_vs_Control_PM;Young_BEX_vs_Young_vehicle;StrokeAged_BEX_vs_StrokeAged_vehicle
ACTA2	fibrosis_profibrotic	fibrosis_core	False	2	2	4	3	1.113340972193209	-1.992638681148509	WT_2h_AC_vs_WT_Ctrl;LipaOE_vs_Control_PM	IL10_Treg_phago_vs_IL10_nonphago;GpnmbR150X_BMDM_vs_WT_BMDM;Young_BEX_vs_Young_vehicle;Aged_BEX_vs_Aged_vehicle
C1QA	resolution_efferocytosis	complement_efferocytosis	False	3	2	4	3	0.8904226972537511	-2.2196137411948227	AC_45min_vs_Alone;AC_90min_vs_Alone;LipaOE_vs_Control_PM	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;GpnmbR150X_OxLDL_vs_WT_OxLDL
OAS1A	generic_ifn	ifn_core	False	2	2	5	3	0.5942851863580447	-1.0829941545798396	AC_45min_vs_Alone;LipaOE_vs_Control_PM	WT_6h_AC_vs_WT_Ctrl;AC_90min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago
LAMP1	lipid_lysosomal_apc	cathepsin_lysosome	False	3	2	3	2	2.157805469240152	-1.8853680664663404	GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL;Aged_BEX_vs_Aged_vehicle	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;AC_90min_vs_Alone
IFI44	generic_ifn	ifn_core	False	2	2	2	2	1.868294776759468	-0.7735318238333948	AC_90min_vs_Alone;LipaOE_vs_Control_PM	AC_45min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago
CTSB	lipid_lysosomal_apc	cathepsin_lysosome	False	3	2	2	2	1.752103164203739	-0.5799568946109208	AC_45min_vs_Alone;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_2h_AC_vs_WT_Ctrl;LipaOE_vs_Control_PM
IFIT3	generic_ifn	ifn_core	False	2	2	1	1	1.523329064528564	-0.9527590308270376	WT_2h_AC_vs_WT_Ctrl;LipaOE_vs_Control_PM	WT_6h_AC_vs_WT_Ctrl
CXCL10	generic_ifn	ifn_core	False	2	2	2	1	1.208080631438511	-2.3144671162948036	IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl
IFIT2	generic_ifn	ifn_core	False	3	2	0	0	2.5589075425571477	-0.4900113744942314	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;LipaOE_vs_Control_PM	
VSIG4	resolution_efferocytosis	complement_efferocytosis	False	2	1	7	5	1.0823157678568782	-1.845826146090433	IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;IFNg_Treg_phago_vs_IFNg_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL;Aged_BEX_vs_Aged_vehicle
PROS1	resolution_efferocytosis	tam_receptor_ligand	False	1	1	6	5	0.7695232146839462	-2.3486200951454173	GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_90min_vs_Alone;LipaOE_vs_Control_PM;Young_BEX_vs_Young_vehicle
SPP1	lipid_lysosomal_apc	foam_dam_lipid	False	1	1	5	4	1.940636440979708	-2.287556628933619	AC_90min_vs_Alone	WT_2h_AC_vs_WT_Ctrl;IL10_Tconv_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL
LYVE1	resolution_efferocytosis	repair_cytokine_matrix	False	2	1	4	4	1.095510020459065	-1.2566680013331195	IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago	WT_2h_AC_vs_WT_Ctrl;AC_90min_vs_Alone;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM
XBP1	stress_cytotoxicity	stress_core	False	2	1	3	3	1.8118179821626785	-1.7472833810217923	GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL	WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;LipaOE_vs_Control_PM
CD163	resolution_efferocytosis	scavenger_receptors	False	3	1	4	3	1.6220885317331954	-1.3958656135134702	IFNg_Treg_phago_vs_IFNg_nonphago;IL10_Tconv_phago_vs_IL10_nonphago;IL10_Treg_phago_vs_IL10_nonphago	WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;LipaOE_vs_Control_PM
IFIT1	generic_ifn	ifn_core	False	1	1	0	0	1.8346898679025272	-0.453263548656448	LipaOE_vs_Control_PM	
