feature_type	feature	contrast	n_case	n_control	mean_case	mean_control	delta_log2	hedges_g	welch_t	p	ols_beta_disease_ms	ols_p_disease_ms	ols_note	fdr
gene	GBP1	MS_GM_vs_CON_GM	5	5	9.302875570388554	8.77979753432938	0.5230780360591751	0.5739642004943813	1.0047510578170251	0.3497978581088435	0.36147659955799766	0.25333389914896365	HC3 robust SE; covariates disease, region, age, sex	0.6297588502496639
gene	LAMP2	MS_GM_vs_CON_GM	5	5	11.794948316447723	11.972963130654405	-0.17801481420668175	-0.5392252229527191	-0.943938860118279	0.37785531014979834	0.07972932439293101	0.5308787018897763	HC3 robust SE; covariates disease, region, age, sex	0.6297588502496639
gene	LAMP1	MS_GM_vs_CON_GM	5	5	11.569175679354775	11.760325992953103	-0.19115031359832813	-0.4144292627177533	-0.7254777209925806	0.49000541737168807	0.020902963734722557	0.9036707728334518	HC3 robust SE; covariates disease, region, age, sex	0.7399205607334918
gene	IFI30	MS_GM_vs_CON_GM	5	5	11.550607608218824	11.869846309035129	-0.3192387008163049	-0.34728261972353003	-0.6079343959573315	0.5633844188908709	0.2280738350360041	0.44025102457379717	HC3 robust SE; covariates disease, region, age, sex	0.7399205607334918
gene	CTSS	MS_GM_vs_CON_GM	5	5	12.85985389921466	12.69238950039092	0.1674643988237392	0.3268420260488739	0.5721521849773981	0.5852349889467301	0.289290238283167	0.024131589004829774	HC3 robust SE; covariates disease, region, age, sex	0.7399205607334918
gene	IRF1	MS_GM_vs_CON_GM	5	5	10.006725792697491	9.754809623920742	0.2519161687767486	0.2944833177127608	0.5155067593527723	0.6221726460345539	0.10218247138732617	0.7556017443510519	HC3 robust SE; covariates disease, region, age, sex	0.7399205607334918
gene	RFX5	MS_GM_vs_CON_GM	5	5	10.57226990584976	10.39257453124919	0.17969537460056983	0.28713123530209805	0.5026365967661363	0.628932476623468	-0.031950967457268664	0.875717022882153	HC3 robust SE; covariates disease, region, age, sex	0.7399205607334918
gene	CTSD	MS_GM_vs_CON_GM	5	5	13.031706119446776	13.145244979658907	-0.113538860212131	-0.20021961454684326	-0.3504937578656999	0.7353574899282542	0.3176077987952846	0.17500702572506066	HC3 robust SE; covariates disease, region, age, sex	0.8170638776980602
gene	CTSB	MS_GM_vs_CON_GM	5	5	15.247825830586113	15.35201223881547	-0.10418640822935821	-0.16261335722302028	-0.2846622534023475	0.785388873128048	-0.2068212743451191	0.4611398973967805	HC3 robust SE; covariates disease, region, age, sex	0.8267251296084716
gene	CD44	MS_GM_vs_CON_GM	5	5	8.5872602903794	8.624437116515566	-0.03717682613616624	-0.017954808718297292	-0.031430728671009066	0.9758187009849585	1.4375730391223258	0.02003528874946113	HC3 robust SE; covariates disease, region, age, sex	0.9758187009849585
gene	HLA-DPA1	MS_WM_vs_CON_WM	10	11	15.029225076402629	14.464559475973426	0.564665600429203	1.1896638011859288	2.784467829131773	0.013455034372777256	0.5106684291580474	0.031114942470352822	HC3 robust SE; covariates disease, region, age, sex	0.22728276907349143
gene	CD44	MS_WM_vs_CON_WM	10	11	10.120508235862705	8.775854450662507	1.3446537852001974	0.9541987285932503	2.299144581618782	0.03316698314451043	1.4375730391223258	0.02003528874946113	HC3 robust SE; covariates disease, region, age, sex	0.22728276907349143
gene	HLA-DPB1	MS_WM_vs_CON_WM	10	11	13.775057422721698	13.278981750478795	0.4960756722429025	0.9478883118254369	2.2294994729886586	0.03976611380406722	0.42760547315124864	0.14092006500866217	HC3 robust SE; covariates disease, region, age, sex	0.22728276907349143
gene	CTSD	MS_WM_vs_CON_WM	10	11	14.094390501012455	13.601254126987515	0.4931363740249406	0.9402214690667554	2.1767410987896842	0.04832001763881175	0.3176077987952846	0.17500702572506066	HC3 robust SE; covariates disease, region, age, sex	0.22728276907349143
gene	HLA-DRB1	MS_WM_vs_CON_WM	10	11	14.397496173279924	13.850628434494496	0.5468677387854282	0.8375223417578668	2.023008448915905	0.05776567476261802	0.7217594638926945	0.03319929693511385	HC3 robust SE; covariates disease, region, age, sex	0.22728276907349143
