n_requested	event_rate_target	odds_ratio_per_latent_sd	missing_rate	molecular_repeats	measurement_reliability_per_repeat	alpha	n_simulated_cohorts_baseline	n_valid_fits_baseline	valid_fit_rate_baseline	median_usable_n_across_seeds_baseline	median_events_across_seeds_baseline	conclusive_probability_baseline	conclusive_probability_ci_low_baseline	conclusive_probability_ci_high_baseline	minimum_seed_probability_baseline	maximum_seed_probability_baseline	n_simulated_cohorts_noisy	n_valid_fits_noisy	valid_fit_rate_noisy	median_usable_n_across_seeds_noisy	median_events_across_seeds_noisy	conclusive_probability_noisy	conclusive_probability_ci_low_noisy	conclusive_probability_ci_high_noisy	minimum_seed_probability_noisy	maximum_seed_probability_noisy	label_noise	absolute_power_change
40	0.15	2.0	0.0	2	0.7	0.05	1500	1102	0.7346666666666667	40.0	6.0	0.1766666666666666	0.1581991209848884	0.1967860775474956	0.156	0.206	1500	1328	0.8853333333333333	40.0	7.0	0.1473333333333333	0.1302977794617411	0.1661706123395602	0.144	0.15	0.05	-0.029333333333333322
40	0.15	2.0	0.2	1	0.7	0.05	1500	796	0.5306666666666666	32.0	5.0	0.0813333333333333	0.0685461561187387	0.0962594205376266	0.066	0.096	1500	1083	0.722	32.0	6.0	0.0806666666666666	0.0679326507208397	0.0955429985098191	0.066	0.094	0.05	-0.0006666666666667043
40	0.15	2.0	0.2	2	0.7	0.05	1500	773	0.5153333333333333	32.0	5.0	0.0933333333333333	0.0796330472200307	0.1091112230990501	0.086	0.098	1500	1091	0.7273333333333334	32.0	6.0	0.1	0.0858249705381975	0.1162185740379477	0.082	0.11	0.05	0.00666666666666671
40	0.3	1.0	0.0	1	0.7	0.05	1500	1495	0.9966666666666668	40.0	12.0	0.036	0.0276955880436974	0.0466749236646309	0.03	0.044	1500	1496	0.9973333333333332	40.0	13.0	0.0386666666666666	0.030029770987519	0.049660450423635	0.026	0.054	0.05	0.002666666666666602
40	0.3	1.0	0.0	2	0.7	0.05	1500	1496	0.9973333333333332	40.0	12.0	0.0473333333333333	0.0376950244185929	0.0592842535267447	0.044	0.054	1500	1498	0.9986666666666668	40.0	13.0	0.0366666666666666	0.028277917491892	0.0474225216421428	0.034	0.038	0.05	-0.0106666666666667
40	0.3	1.0	0.2	1	0.7	0.05	1500	1473	0.982	32.0	10.0	0.0373333333333333	0.0288610715093911	0.0481692950503501	0.032	0.04	1500	1478	0.9853333333333332	32.0	10.0	0.0333333333333333	0.0253749660597865	0.0436758359457161	0.024	0.038	0.05	-0.0040000000000000036
40	0.3	1.0	0.2	2	0.7	0.05	1500	1467	0.978	32.0	9.0	0.036	0.0276955880436974	0.0466749236646309	0.026	0.048	1500	1477	0.9846666666666668	32.0	10.0	0.0353333333333333	0.0271141048965456	0.0459264793860763	0.032	0.038	0.05	-0.0006666666666666973
40	0.3	1.25	0.0	1	0.7	0.05	1500	1497	0.998	40.0	12.0	0.052	0.0418646316973971	0.0644241382278854	0.046	0.062	1500	1499	0.9993333333333332	40.0	13.0	0.0546666666666666	0.0442585691503609	0.0673499104777474	0.05	0.058	0.05	0.002666666666666602
40	0.3	1.25	0.0	2	0.7	0.05	1500	1495	0.9966666666666668	40.0	12.0	0.06	0.0490685293610026	0.073179369672757	0.056	0.062	1500	1498	0.9986666666666668	40.0	13.0	0.0573333333333333	0.046660029622252	0.0702681597086819	0.05	0.07	0.05	-0.002666666666666699
40	0.3	1.25	0.2	1	0.7	0.05	1500	1463	0.9753333333333334	32.0	9.0	0.04	0.0312015305103439	0.051148545752223	0.036	0.044	1500	1476	0.984	32.0	10.0	0.0386666666666666	0.030029770987519	0.049660450423635	0.024	0.048	0.05	-0.0013333333333334016
40	0.3	1.25	0.2	2	0.7	0.05	1500	1469	0.9793333333333332	32.0	9.0	0.0506666666666666	0.0406706518037009	0.0629582632701688	0.046	0.058	1500	1481	0.9873333333333332	32.0	10.0	0.0386666666666666	0.030029770987519	0.049660450423635	0.032	0.05	0.05	-0.012000000000000004
40	0.3	1.5	0.0	1	0.7	0.05	1500	1496	0.9973333333333332	40.0	12.0	0.1426666666666666	0.1258799308747701	0.1612789689465862	0.132	0.148	1500	1496	0.9973333333333332	40.0	13.0	0.104	0.0895501408242769	0.1204729683061067	0.086	0.124	0.05	-0.03866666666666661
40	0.3	1.5	0.0	2	0.7	0.05	1500	1495	0.9966666666666668	40.0	12.0	0.1573333333333333	0.1397849855186522	0.1766323176682454	0.152	0.16	1500	1499	0.9993333333333332	40.0	13.0	0.116	0.1007665956352769	0.1331952071578225	0.106	0.122	0.05	-0.04133333333333329
40	0.3	1.5	0.2	1	0.7	0.05	1500	1470	0.98	32.0	9.0	0.094	0.0802512572688644	0.1098229404759229	0.082	0.11	1500	1480	0.9866666666666668	32.0	10.0	0.0833333333333333	0.0703882912877385	0.098407067645746	0.078	0.092	0.05	-0.0106666666666667
40	0.3	1.5	0.2	2	0.7	0.05	1500	1471	0.9806666666666668	32.0	9.0	0.1006666666666666	0.0864453274698467	0.1169281445320049	0.09	0.114	1500	1481	0.9873333333333332	32.0	10.0	0.0826666666666666	0.0697739793628594	0.0976914521449187	0.08	0.086	0.05	-0.018000000000000002
40	0.3	2.0	0.0	1	0.7	0.05	1500	1495	0.9966666666666668	40.0	12.0	0.308	0.2851520341310773	0.3318288672654724	0.29	0.328	1500	1500	1.0	40.0	13.0	0.2266666666666666	0.2061929429727387	0.2485368124876271	0.218	0.236	0.05	-0.0813333333333334
40	0.3	2.0	0.0	2	0.7	0.05	1500	1491	0.994	40.0	12.0	0.298	0.2753936478109385	0.3216383422000147	0.292	0.302	1500	1499	0.9993333333333332	40.0	13.0	0.2566666666666666	0.2352033323515725	0.2793731572655824	0.246	0.278	0.05	-0.04133333333333339
40	0.3	2.0	0.2	1	0.7	0.05	1500	1466	0.9773333333333334	32.0	10.0	0.222	0.2016935824669515	0.2437266810134694	0.202	0.252	1500	1483	0.9886666666666668	32.0	10.0	0.158	0.140418414169672	0.177328816442932	0.148	0.168	0.05	-0.064
40	0.3	2.0	0.2	2	0.7	0.05	1500	1469	0.9793333333333332	32.0	9.0	0.254	0.2326188778198833	0.2766379020944459	0.234	0.274	1500	1481	0.9873333333333332	32.0	10.0	0.1953333333333333	0.1760589885739298	0.216164177878234	0.18	0.21	0.05	-0.0586666666666667
60	0.15	1.0	0.0	1	0.7	0.05	1500	1433	0.9553333333333334	60.0	9.0	0.04	0.0312015305103439	0.051148545752223	0.036	0.044	1500	1493	0.9953333333333332	60.0	11.0	0.034	0.0259537695242043	0.0444269599070047	0.026	0.044	0.05	-0.005999999999999998
60	0.15	1.0	0.0	2	0.7	0.05	1500	1448	0.9653333333333334	60.0	9.0	0.0433333333333333	0.0341434035677698	0.0548563098233292	0.034	0.052	1500	1480	0.9866666666666668	60.0	11.0	0.044	0.0347337907182165	0.0555958500985889	0.04	0.048	0.05	0.0006666666666666973
60	0.15	1.0	0.2	1	0.7	0.05	1500	1294	0.8626666666666667	48.0	7.0	0.0306666666666666	0.0230694738882114	0.0406616184144655	0.028	0.032	1500	1441	0.9606666666666668	48.0	9.0	0.042	0.0329645968914412	0.053375261648245	0.038	0.046	0.05	0.011333333333333404
60	0.15	1.0	0.2	2	0.7	0.05	1500	1323	0.882	48.0	7.0	0.0346666666666666	0.0265334907872422	0.0451771660696733	0.026	0.04	1500	1437	0.958	48.0	9.0	0.0446666666666666	0.0353248150778835	0.0563347531646283	0.038	0.052	0.05	0.009999999999999995
60	0.15	1.25	0.0	1	0.7	0.05	1500	1441	0.9606666666666668	60.0	9.0	0.0546666666666666	0.0442585691503609	0.0673499104777474	0.046	0.062	1500	1483	0.9886666666666668	60.0	11.0	0.0506666666666666	0.0406706518037009	0.0629582632701688	0.046	0.054	0.05	-0.003999999999999997
60	0.15	1.25	0.0	2	0.7	0.05	1500	1435	0.9566666666666668	60.0	9.0	0.0673333333333333	0.0557248326251607	0.0811522680913696	0.062	0.074	1500	1482	0.988	60.0	11.0	0.0653333333333333	0.0539049650422325	0.0789823533971785	0.058	0.07	0.05	-0.0020000000000000018
60	0.15	1.25	0.2	1	0.7	0.05	1500	1255	0.8366666666666667	48.0	7.0	0.0406666666666666	0.0317885125366015	0.0518914911516718	0.036	0.048	1500	1414	0.9426666666666668	48.0	9.0	0.0473333333333333	0.0376950244185929	0.0592842535267447	0.036	0.058	0.05	0.006666666666666696
60	0.15	1.25	0.2	2	0.7	0.05	1500	1294	0.8626666666666667	48.0	7.0	0.048	0.0382890436317582	0.0600201617392858	0.048	0.048	1500	1433	0.9553333333333334	48.0	9.0	0.0426666666666666	0.0335536674928401	0.0541161184725525	0.036	0.054	0.05	-0.005333333333333398
60	0.15	1.5	0.0	1	0.7	0.05	1500	1429	0.9526666666666668	60.0	9.0	0.132	0.115806434515104	0.1500736264949494	0.11	0.15	1500	1490	0.9933333333333332	60.0	11.0	0.084	0.0710028662304122	0.0991224201287787	0.072	0.094	0.05	-0.048
60	0.15	1.5	0.0	2	0.7	0.05	1500	1442	0.9613333333333334	60.0	9.0	0.1553333333333333	0.1378853958051953	0.174542125104583	0.154	0.158	1500	1487	0.9913333333333332	60.0	11.0	0.112	0.0970212794578912	0.1289609587809696	0.092	0.126	0.05	-0.04333333333333329
60	0.15	1.5	0.2	1	0.7	0.05	1500	1298	0.8653333333333333	48.0	7.0	0.1	0.0858249705381975	0.1162185740379477	0.09	0.116	1500	1433	0.9553333333333334	48.0	9.0	0.0766666666666666	0.0642575017349467	0.0912385829414735	0.062	0.086	0.05	-0.0233333333333334
60	0.15	1.5	0.2	2	0.7	0.05	1500	1294	0.8626666666666667	48.0	7.0	0.1106666666666666	0.0957742468581943	0.1275481365292536	0.104	0.116	1500	1420	0.9466666666666668	48.0	9.0	0.0806666666666666	0.0679326507208397	0.0955429985098191	0.076	0.084	0.05	-0.03
60	0.15	2.0	0.0	1	0.7	0.05	1500	1432	0.9546666666666668	60.0	9.0	0.2806666666666667	0.2585105280581353	0.3039433488844509	0.276	0.286	1500	1487	0.9913333333333332	60.0	11.0	0.23	0.2094090628094533	0.2519703297794446	0.216	0.244	0.05	-0.050666666666666665
60	0.15	2.0	0.0	2	0.7	0.05	1500	1431	0.954	60.0	9.0	0.3326666666666666	0.3092767784432088	0.3569114377044786	0.324	0.34	1500	1484	0.9893333333333332	60.0	11.0	0.24	0.2190685676880607	0.2622597362864336	0.232	0.25	0.05	-0.09266666666666662
60	0.15	2.0	0.2	1	0.7	0.05	1500	1300	0.8666666666666667	48.0	7.0	0.2046666666666666	0.1850158105994301	0.2258263398126237	0.186	0.226	1500	1444	0.9626666666666668	48.0	9.0	0.166	0.1480283685069244	0.1856779912141568	0.144	0.188	0.05	-0.0386666666666666
60	0.15	2.0	0.2	2	0.7	0.05	1500	1285	0.8566666666666667	48.0	7.0	0.26	0.2384354098165712	0.2827907169291159	0.24	0.28	1500	1434	0.956	48.0	9.0	0.1953333333333333	0.1760589885739298	0.216164177878234	0.174	0.238	0.05	-0.0646666666666667
60	0.3	1.0	0.0	1	0.7	0.05	1500	1500	1.0	60.0	18.0	0.0413333333333333	0.0323762067224107	0.0526337243915691	0.03	0.058	1500	1500	1.0	60.0	19.0	0.0406666666666666	0.0317885125366015	0.0518914911516718	0.038	0.046	0.05	-0.0006666666666666973
60	0.3	1.0	0.0	2	0.7	0.05	1500	1500	1.0	60.0	18.0	0.0366666666666666	0.028277917491892	0.0474225216421428	0.032	0.046	1500	1500	1.0	60.0	19.0	0.0426666666666666	0.0335536674928401	0.0541161184725525	0.032	0.058	0.05	0.006000000000000005
60	0.3	1.0	0.2	1	0.7	0.05	1500	1499	0.9993333333333332	48.0	14.0	0.0466666666666666	0.0371015801662185	0.0585477703534126	0.036	0.054	1500	1499	0.9993333333333332	48.0	15.0	0.0386666666666666	0.030029770987519	0.049660450423635	0.034	0.042	0.05	-0.008
60	0.3	1.0	0.2	2	0.7	0.05	1500	1500	1.0	48.0	14.0	0.042	0.0329645968914412	0.053375261648245	0.03	0.05	1500	1500	1.0	48.0	15.0	0.048	0.0382890436317582	0.0600201617392858	0.04	0.058	0.05	0.005999999999999998
60	0.3	1.25	0.0	1	0.7	0.05	1500	1500	1.0	60.0	18.0	0.092	0.0783973068600983	0.1076871086075697	0.084	0.106	1500	1500	1.0	60.0	19.0	0.0693333333333333	0.0575478680802832	0.0833190149133664	0.066	0.072	0.05	-0.022666666666666696
60	0.3	1.25	0.0	2	0.7	0.05	1500	1500	1.0	60.0	18.0	0.102	0.0876866523121941	0.1183466745410703	0.09	0.112	1500	1500	1.0	60.0	19.0	0.0846666666666666	0.0716177013730421	0.0998375124118552	0.08	0.088	0.05	-0.017333333333333395
60	0.3	1.25	0.2	1	0.7	0.05	1500	1499	0.9993333333333332	48.0	14.0	0.0633333333333333	0.0520883999025476	0.0768091362597442	0.04	0.084	1500	1500	1.0	48.0	15.0	0.0613333333333333	0.0502752822740711	0.0746324716111013	0.054	0.066	0.05	-0.001999999999999995
60	0.3	1.25	0.2	2	0.7	0.05	1500	1499	0.9993333333333332	48.0	14.0	0.0806666666666666	0.0679326507208397	0.0955429985098191	0.078	0.086	1500	1500	1.0	48.0	15.0	0.0653333333333333	0.0539049650422325	0.0789823533971785	0.06	0.07	0.05	-0.015333333333333296
60	0.3	1.5	0.0	1	0.7	0.05	1500	1500	1.0	60.0	18.0	0.1906666666666666	0.1715871126928113	0.2113265617794076	0.188	0.194	1500	1500	1.0	60.0	19.0	0.16	0.1423193880766707	0.1794176248130526	0.146	0.168	0.05	-0.030666666666666592
60	0.3	1.5	0.0	2	0.7	0.05	1500	1500	1.0	60.0	18.0	0.2086666666666666	0.1888596066984454	0.229962108267847	0.2	0.218	1500	1500	1.0	60.0	19.0	0.1673333333333333	0.1492982369536113	0.1870679776188826	0.156	0.186	0.05	-0.041333333333333305
60	0.3	1.5	0.2	1	0.7	0.05	1500	1500	1.0	48.0	14.0	0.148	0.1309294076924961	0.1668689115345116	0.132	0.174	1500	1500	1.0	48.0	15.0	0.1253333333333333	0.1095289749460492	0.14305181180694	0.118	0.132	0.05	-0.022666666666666696
60	0.3	1.5	0.2	2	0.7	0.05	1500	1500	1.0	48.0	14.0	0.166	0.1480283685069244	0.1856779912141568	0.142	0.18	1500	1500	1.0	48.0	15.0	0.15	0.1328250373985235	0.1689630641056034	0.122	0.166	0.05	-0.016000000000000014
60	0.3	2.0	0.0	1	0.7	0.05	1500	1500	1.0	60.0	18.0	0.474	0.4488298287445873	0.4993030016528621	0.442	0.502	1500	1500	1.0	60.0	19.0	0.3686666666666666	0.344616491476356	0.3933878056594783	0.34	0.392	0.05	-0.10533333333333339
60	0.3	2.0	0.0	2	0.7	0.05	1500	1500	1.0	60.0	18.0	0.522	0.4966975256950255	0.5471900793532867	0.482	0.548	1500	1500	1.0	60.0	19.0	0.4126666666666667	0.3880065359604682	0.4377729712719902	0.404	0.428	0.05	-0.10933333333333334
60	0.3	2.0	0.2	1	0.7	0.05	1500	1499	0.9993333333333332	48.0	14.0	0.3613333333333333	0.3374055498949792	0.3859695455580845	0.346	0.37	1500	1499	0.9993333333333332	48.0	15.0	0.2926666666666667	0.2701945336573767	0.3161980369479252	0.266	0.306	0.05	-0.0686666666666666
60	0.3	2.0	0.2	2	0.7	0.05	1500	1499	0.9993333333333332	48.0	14.0	0.416	0.3913021323540869	0.4411270120069035	0.404	0.432	1500	1500	1.0	48.0	15.0	0.3193333333333333	0.2962269974983491	0.3433626701352099	0.296	0.342	0.05	-0.09666666666666668
80	0.15	1.0	0.0	1	0.7	0.05	1500	1487	0.9913333333333332	80.0	12.0	0.0466666666666666	0.0371015801662185	0.0585477703534126	0.036	0.062	1500	1500	1.0	80.0	15.0	0.0466666666666666	0.0371015801662185	0.0585477703534126	0.044	0.05	0.05	0.0
80	0.15	1.0	0.0	2	0.7	0.05	1500	1492	0.9946666666666668	80.0	12.0	0.038	0.0294450293082071	0.0489152646772405	0.036	0.04	1500	1499	0.9993333333333332	80.0	15.0	0.042	0.0329645968914412	0.053375261648245	0.038	0.046	0.05	0.0040000000000000036
80	0.15	1.0	0.2	1	0.7	0.05	1500	1456	0.9706666666666668	64.0	9.0	0.0406666666666666	0.0317885125366015	0.0518914911516718	0.038	0.044	1500	1489	0.9926666666666668	64.0	12.0	0.0413333333333333	0.0323762067224107	0.0526337243915691	0.036	0.046	0.05	0.0006666666666666973
80	0.15	1.0	0.2	2	0.7	0.05	1500	1437	0.958	64.0	10.0	0.0406666666666666	0.0317885125366015	0.0518914911516718	0.036	0.046	1500	1489	0.9926666666666668	64.0	12.0	0.0506666666666666	0.0406706518037009	0.0629582632701688	0.05	0.052	0.05	0.010000000000000002
80	0.15	1.25	0.0	1	0.7	0.05	1500	1496	0.9973333333333332	80.0	12.0	0.0806666666666666	0.0679326507208397	0.0955429985098191	0.07	0.1	1500	1498	0.9986666666666668	80.0	15.0	0.0733333333333333	0.0612029507097957	0.0876434968380924	0.066	0.08	0.05	-0.007333333333333289
80	0.15	1.25	0.0	2	0.7	0.05	1500	1487	0.9913333333333332	80.0	12.0	0.0853333333333333	0.0722327939521413	0.1005523472584624	0.062	0.1	1500	1499	0.9993333333333332	80.0	15.0	0.0813333333333333	0.0685461561187387	0.0962594205376266	0.07	0.094	0.05	-0.0040000000000000036
80	0.15	1.25	0.2	1	0.7	0.05	1500	1456	0.9706666666666668	64.0	10.0	0.0633333333333333	0.0520883999025476	0.0768091362597442	0.048	0.084	1500	1496	0.9973333333333332	64.0	12.0	0.066	0.0545112274826468	0.0797060183824707	0.056	0.076	0.05	0.002666666666666706
80	0.15	1.25	0.2	2	0.7	0.05	1500	1458	0.972	64.0	9.0	0.0733333333333333	0.0612029507097957	0.0876434968380924	0.066	0.088	1500	1491	0.994	64.0	12.0	0.0526666666666666	0.0424623821086239	0.065156315242365	0.05	0.054	0.05	-0.020666666666666708
80	0.15	1.5	0.0	1	0.7	0.05	1500	1494	0.996	80.0	12.0	0.162	0.1442213818062577	0.1815054133605849	0.146	0.174	1500	1499	0.9993333333333332	80.0	15.0	0.1113333333333333	0.0963976736862842	0.1282546371268701	0.106	0.114	0.05	-0.05066666666666671
80	0.15	1.5	0.0	2	0.7	0.05	1500	1496	0.9973333333333332	80.0	12.0	0.1926666666666666	0.1735030850539319	0.2134003716954063	0.176	0.202	1500	1500	1.0	80.0	15.0	0.144	0.1271415323507826	0.1626772223219865	0.14	0.148	0.05	-0.04866666666666661
80	0.15	1.5	0.2	1	0.7	0.05	1500	1450	0.9666666666666668	64.0	9.0	0.1386666666666666	0.1220982813307757	0.1570810539363421	0.116	0.154	1500	1489	0.9926666666666668	64.0	12.0	0.1046666666666666	0.090171697201228	0.121181339354862	0.098	0.112	0.05	-0.034
80	0.15	1.5	0.2	2	0.7	0.05	1500	1456	0.9706666666666668	64.0	9.0	0.1493333333333333	0.1321930373455337	0.1682651367328869	0.122	0.168	1500	1492	0.9946666666666668	64.0	12.0	0.1146666666666666	0.0995174645456837	0.1317844833960028	0.102	0.136	0.05	-0.03466666666666669
80	0.15	2.0	0.0	1	0.7	0.05	1500	1496	0.9973333333333332	80.0	12.0	0.4086666666666667	0.3840533696056923	0.4337465730725275	0.37	0.428	1500	1500	1.0	80.0	15.0	0.2873333333333333	0.2649992228203144	0.3107539283793361	0.28	0.302	0.05	-0.1213333333333334
80	0.15	2.0	0.0	2	0.7	0.05	1500	1495	0.9966666666666668	80.0	12.0	0.4333333333333333	0.4084579972564933	0.4585492601728643	0.422	0.452	1500	1497	0.998	80.0	15.0	0.328	0.3047068855873008	0.3521718385804416	0.3	0.348	0.05	-0.10533333333333328
80	0.15	2.0	0.2	1	0.7	0.05	1500	1449	0.966	64.0	10.0	0.308	0.2851520341310773	0.3318288672654724	0.298	0.318	1500	1491	0.994	64.0	12.0	0.228	0.2074791639483247	0.249910446363454	0.204	0.252	0.05	-0.07999999999999999
80	0.15	2.0	0.2	2	0.7	0.05	1500	1458	0.972	64.0	9.0	0.3506666666666667	0.3269278411609725	0.3751684154807883	0.34	0.364	1500	1491	0.994	64.0	12.0	0.2673333333333333	0.2455517860351199	0.2903035423933378	0.26	0.278	0.05	-0.08333333333333337
80	0.3	1.0	0.0	1	0.7	0.05	1500	1500	1.0	80.0	24.0	0.0433333333333333	0.0341434035677698	0.0548563098233292	0.032	0.058	1500	1500	1.0	80.0	25.0	0.052	0.0418646316973971	0.0644241382278854	0.042	0.06	0.05	0.008666666666666697
80	0.3	1.0	0.0	2	0.7	0.05	1500	1500	1.0	80.0	24.0	0.0353333333333333	0.0271141048965456	0.0459264793860763	0.032	0.04	1500	1500	1.0	80.0	25.0	0.052	0.0418646316973971	0.0644241382278854	0.044	0.058	0.05	0.016666666666666698
80	0.3	1.0	0.2	1	0.7	0.05	1500	1500	1.0	64.0	19.0	0.046	0.0365087224569012	0.0578107006370235	0.044	0.05	1500	1500	1.0	64.0	20.0	0.044	0.0347337907182165	0.0555958500985889	0.038	0.048	0.05	-0.0020000000000000018
80	0.3	1.0	0.2	2	0.7	0.05	1500	1500	1.0	64.0	19.0	0.0386666666666666	0.030029770987519	0.049660450423635	0.036	0.042	1500	1500	1.0	64.0	20.0	0.0493333333333333	0.0394787625552873	0.0614902976671695	0.046	0.052	0.05	0.0106666666666667
80	0.3	1.25	0.0	1	0.7	0.05	1500	1500	1.0	80.0	24.0	0.106	0.0914153903923917	0.1225975010151112	0.102	0.114	1500	1500	1.0	80.0	25.0	0.0813333333333333	0.0685461561187387	0.0962594205376266	0.07	0.092	0.05	-0.024666666666666698
80	0.3	1.25	0.0	2	0.7	0.05	1500	1500	1.0	80.0	24.0	0.1153333333333333	0.1001419446316277	0.1324899307357652	0.104	0.124	1500	1500	1.0	80.0	26.0	0.0866666666666666	0.0734637406288336	0.101981255433183	0.078	0.092	0.05	-0.0286666666666667
80	0.3	1.25	0.2	1	0.7	0.05	1500	1500	1.0	64.0	19.0	0.0926666666666666	0.0790150630259206	0.1083992798674539	0.078	0.11	1500	1500	1.0	64.0	20.0	0.078	0.0654814092251446	0.0926745303026885	0.068	0.094	0.05	-0.014666666666666606
80	0.3	1.25	0.2	2	0.7	0.05	1500	1500	1.0	64.0	19.0	0.0913333333333333	0.0777797809348639	0.1069747071070977	0.084	0.102	1500	1500	1.0	64.0	21.0	0.084	0.0710028662304122	0.0991224201287787	0.072	0.094	0.05	-0.007333333333333289
80	0.3	1.5	0.0	1	0.7	0.05	1500	1500	1.0	80.0	24.0	0.2626666666666666	0.2410222661440329	0.2855235703044799	0.256	0.276	1500	1500	1.0	80.0	25.0	0.1906666666666666	0.1715871126928113	0.2113265617794076	0.172	0.206	0.05	-0.07200000000000001
80	0.3	1.5	0.0	2	0.7	0.05	1500	1500	1.0	80.0	24.0	0.2966666666666667	0.2740935160023421	0.3202786191571983	0.286	0.308	1500	1500	1.0	80.0	25.0	0.2386666666666666	0.2177796848140084	0.260888764309073	0.236	0.24	0.05	-0.05800000000000008
80	0.3	1.5	0.2	1	0.7	0.05	1500	1500	1.0	64.0	19.0	0.2126666666666666	0.192706402374298	0.2340948771462329	0.184	0.254	1500	1500	1.0	64.0	20.0	0.1553333333333333	0.1378853958051953	0.174542125104583	0.142	0.166	0.05	-0.05733333333333329
