gene	disease	mean_delta	mean_hedges_g	min_p	positive_all	positive_any_nominal	negative_any_nominal	n_contrasts
C1QB	psoriasis	0.908069655172414	1.3040286869106756	6.318838689896031e-10	True	True	False	1
C1QC	IBD_active_vs_inactive	0.7105918918972005	1.0329048248206132	3.0395105605580546e-06	True	True	False	2
C1QC	RA	-13337.118777777778	-1.8485662339657951	0.0009151079375409	False	False	True	1
C1QC	psoriasis	0.6191366551724138	1.1033958221246356	8.993574231497771e-09	True	True	False	1
CD36	IBD_active_vs_inactive	-0.44426815152501126	-0.3404689308468466	0.0517187355380341	False	False	False	2
CD36	RA	-16810.245555555553	-4.107751780568541	1.2667593515891288e-05	False	False	True	1
CD36	lupus_nephritis	1.2225231548657733	1.0844629332973859	2.051292421620671e-09	True	True	False	2
CD36	psoriasis	0.6277299310344828	1.1088038711667765	4.2596469828463167e-10	True	True	False	1
CD68	IBD_active_vs_inactive	0.3448073347330203	0.8248365568904105	4.895333342423405e-07	False	True	False	2
CD68	lupus_nephritis	0.4840195308163686	0.9550032122526687	9.475782385854358e-07	True	True	False	2
CTSB	IBD_active_vs_inactive	0.44638756694259113	1.5089675915304825	1.6650287092165208e-17	True	True	False	2
CTSB	RA	-20474.851555555564	-3.650248559673378	2.126757350841342e-06	False	False	True	1
CTSB	lupus_nephritis	0.0871704882459827	0.12128283833179077	0.0219397728082922	False	True	False	2
CTSB	psoriasis	0.6548025172413794	2.23251719780039	4.101836280095948e-11	True	True	False	1
CTSD	IBD_active_vs_inactive	-0.17412023618066194	-0.6301151594314955	2.3588041463420593e-05	False	False	True	2
CTSD	RA	-20436.05222222222	-4.43320948686846	0.0020920476294298	False	False	True	1
CTSD	lupus_nephritis	-0.4500443495212801	-0.20421369703590753	0.0002949860663776	False	False	True	2
CTSD	psoriasis	0.6194796896551724	2.247105667818543	4.5529287065367746e-11	True	True	False	1
CXCL10	IBD_active_vs_inactive	2.1193738196761958	1.5557228411416548	1.59513301778145e-08	True	True	False	2
CXCL10	RA	16276.339015555555	1.0905110654648302	0.021365995437996	True	True	False	1
CXCL10	lupus_nephritis	1.0658135317665178	0.8671095510148272	9.083177510333706e-05	True	True	False	2
CXCL10	psoriasis	2.626769896551724	1.7732102608472198	1.0402060786884075e-10	True	True	False	1
FABP5	RA	-18646.072444444435	-1.8333448102219585	0.001296698137018	False	False	True	1
FABP5	psoriasis	1.2764876034482762	3.479578114983217	3.5060510731588664e-11	True	True	False	1
FCGR3A	IBD_active_vs_inactive	1.0279861587028192	1.7152207145340619	1.313609852020733e-16	True	True	False	2
GPNMB	IBD_active_vs_inactive	0.9891249605956305	1.0290679596637107	5.567029808812067e-07	True	True	False	2
GPNMB	RA	-40386.85011111111	-7.8879643065393426	4.720587230930076e-06	False	False	True	1
GPNMB	lupus_nephritis	0.28229223805312476	0.3585188775358764	0.000184175351339	False	True	False	2
GPNMB	psoriasis	-0.428247775862069	-1.5610115899876829	4.796327819478128e-11	False	False	True	1
IFI30	IBD_active_vs_inactive	0.9799517800407527	1.793325247428347	5.015981000102978e-15	True	True	False	2
IFI30	RA	-9661.12155555556	-2.5059620047489277	0.0007472111234997	False	False	True	1
IFI30	lupus_nephritis	1.565058496483334	2.0476401152782	1.6846930385843115e-11	True	True	False	2
IFI30	psoriasis	0.8561954482758621	2.511651413061874	3.5060510731588664e-11	True	True	False	1
IL1B	IBD_active_vs_inactive	2.182785630593103	1.456116114054126	7.578425562258629e-11	True	True	False	2
